000156 华数传媒 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.21	16.21	16.13	16.18	4100	66210.00
2017/04/27	0932	16.14	16.18	16.13	16.13	13600	219497.00
2017/04/27	0933	16.12	16.18	16.11	16.13	25900	417806.00
2017/04/27	0934	16.13	16.26	16.13	16.23	59900	971783.00
2017/04/27	0935	16.22	16.23	16.20	16.22	10000	162181.98
2017/04/27	0936	16.22	16.22	16.20	16.20	4700	76148.00
2017/04/27	0937	16.19	16.19	16.13	16.13	3200	51655.00
2017/04/27	0938	16.14	16.16	16.13	16.16	6700	108145.00
2017/04/27	0939	16.13	16.19	16.13	16.19	17100	276005.00
2017/04/27	0940	16.14	16.19	16.14	16.19	600	9699.00
2017/04/27	0941	16.13	16.19	16.13	16.16	1100	17764.00
2017/04/27	0942	16.14	16.16	16.14	16.14	12800	206708.00
2017/04/27	0943	16.15	16.17	16.14	16.15	7100	114676.99
2017/04/27	0944	16.15	16.16	16.14	16.16	18300	295419.00
2017/04/27	0945	16.16	16.16	16.13	16.15	3500	56460.00
2017/04/27	0946	16.13	16.15	16.13	16.13	9200	148462.00
2017/04/27	0947	16.12	16.13	16.10	16.13	50500	813296.00
2017/04/27	0948	16.12	16.13	16.10	16.11	10100	162673.00
2017/04/27	0949	16.13	16.13	16.10	16.11	34600	557143.00
2017/04/27	0950	16.12	16.12	16.08	16.08	26400	424791.00
2017/04/27	0951	16.08	16.09	16.08	16.09	4600	74002.00
2017/04/27	0952	16.08	16.11	16.08	16.11	20100	323552.00
2017/04/27	0953	16.11	16.11	16.09	16.09	21200	341431.00
2017/04/27	0954	16.09	16.11	16.09	16.10	19000	305843.00
2017/04/27	0955	16.09	16.11	16.09	16.10	37800	608644.00
2017/04/27	0956	16.08	16.08	16.08	16.08	200	3216.00
2017/04/27	0957	16.08	16.08	16.07	16.07	13700	220246.00
2017/04/27	0958	16.08	16.10	16.08	16.10	2200	35384.00
2017/04/27	0959	16.09	16.09	16.05	16.05	36300	583092.00
2017/04/27	1000	16.09	16.09	16.05	16.06	1600	25705.00
2017/04/27	1001	16.05	16.05	16.01	16.01	43900	703212.00
2017/04/27	1002	16.01	16.05	15.98	16.03	40700	652476.00
2017/04/27	1003	16.04	16.04	15.96	15.96	35600	569234.00
2017/04/27	1004	15.96	16.04	15.96	15.98	19100	305699.00
2017/04/27	1005	16.00	16.00	15.98	15.98	11300	180614.00
2017/04/27	1006	15.99	15.99	15.98	15.99	5700	91126.00
2017/04/27	1007	15.99	16.00	15.99	15.99	14800	236753.00
2017/04/27	1008	15.99	16.00	15.99	16.00	3900	62366.00
2017/04/27	1009	15.99	16.04	15.99	16.04	6900	110376.00
2017/04/27	1010	16.00	16.03	16.00	16.03	7300	116806.00
2017/04/27	1011	16.02	16.03	16.02	16.03	800	12817.00
2017/04/27	1012	16.02	16.02	16.00	16.00	5700	91249.00
2017/04/27	1013	16.00	16.01	16.00	16.01	9300	148865.00
2017/04/27	1014	16.01	16.01	16.00	16.00	1200	19211.00
2017/04/27	1015	16.01	16.01	16.00	16.01	7400	118414.00
2017/04/27	1016	16.01	16.01	16.00	16.01	6600	105664.00
2017/04/27	1017	16.01	16.01	16.00	16.01	800	12806.00
2017/04/27	1018	16.00	16.01	16.00	16.01	1300	20811.00
2017/04/27	1019	16.01	16.02	16.01	16.01	7300	116876.00
2017/04/27	1020	16.00	16.00	15.99	15.99	13100	209596.00
2017/04/27	1021	16.00	16.00	15.99	15.99	4800	76781.00
2017/04/27	1022	16.00	16.01	16.00	16.01	13400	214411.00
2017/04/27	1023	16.01	16.01	15.99	15.99	2300	36801.00
2017/04/27	1024	15.99	16.01	15.99	16.00	900	14395.00
2017/04/27	1025	16.01	16.02	16.00	16.01	4900	78440.00
2017/04/27	1026	16.01	16.01	16.00	16.00	4600	73605.00
2017/04/27	1027	16.01	16.02	16.00	16.01	3400	54431.00
2017/04/27	1028	16.01	16.01	16.01	16.01	2500	40025.00
2017/04/27	1029	15.99	16.01	15.99	16.01	1600	25601.00
2017/04/27	1030	16.00	16.01	16.00	16.01	4500	72023.00
2017/04/27	1031	16.00	16.01	16.00	16.01	14600	233608.00
2017/04/27	1032	16.01	16.01	16.01	16.01	500	8005.00
2017/04/27	1033	16.01	16.03	15.99	16.00	122400	1958400.00
2017/04/27	1034	15.99	15.99	15.95	15.96	44300	707487.00
2017/04/27	1035	15.98	15.99	15.96	15.99	17100	273164.00
2017/04/27	1036	15.99	15.99	15.95	15.98	14000	223377.00
2017/04/27	1037	15.98	15.98	15.96	15.98	9400	150206.00
2017/04/27	1038	15.98	15.98	15.96	15.96	300	4790.00
2017/04/27	1039	15.96	15.98	15.96	15.96	2400	38315.00
2017/04/27	1040	15.98	15.98	15.96	15.98	7700	123016.00
2017/04/27	1041	15.99	16.02	15.99	16.02	16600	265615.00
2017/04/27	1042	16.00	16.08	16.00	16.04	244800	3924775.25
2017/04/27	1043	16.01	16.04	16.00	16.03	25400	406481.00
2017/04/27	1044	16.00	16.03	16.00	16.03	3000	48064.00
2017/04/27	1045	16.01	16.03	16.01	16.03	2000	32056.00
2017/04/27	1046	16.02	16.02	16.01	16.02	6200	99269.00
2017/04/27	1047	16.01	16.02	16.01	16.02	4400	70465.00
2017/04/27	1048	16.01	16.02	16.01	16.02	2500	40033.00
2017/04/27	1049	16.01	16.02	16.01	16.02	10200	163347.00
2017/04/27	1050	16.01	16.03	16.00	16.03	13200	211244.00
2017/04/27	1051	16.00	16.02	15.98	15.98	8700	139115.00
2017/04/27	1052	15.98	16.02	15.97	16.00	9000	143817.00
2017/04/27	1053	15.98	16.04	15.98	16.03	26000	416708.00
2017/04/27	1054	16.00	16.03	15.99	16.00	12000	192019.00
2017/04/27	1055	15.99	16.03	15.98	15.99	12900	206310.00
2017/04/27	1056	15.98	16.04	15.98	16.03	9000	144205.00
2017/04/27	1057	16.03	16.04	15.98	16.04	49200	788899.06
2017/04/27	1058	16.04	16.04	15.98	16.04	133300	2137887.00
2017/04/27	1059	16.00	16.04	16.00	16.04	13200	211592.02
2017/04/27	1100	16.03	16.06	16.03	16.04	26900	431478.03
2017/04/27	1101	16.04	16.05	16.04	16.05	2700	43328.00
2017/04/27	1102	16.04	16.06	16.03	16.05	46200	740687.00
2017/04/27	1103	16.03	16.05	16.01	16.01	2000	32028.00
2017/04/27	1104	16.05	16.06	16.01	16.01	9100	146033.00
2017/04/27	1105	16.01	16.08	16.01	16.02	7500	120436.00
2017/04/27	1106	16.08	16.09	16.08	16.08	4400	70753.00
2017/04/27	1107	16.03	16.05	16.03	16.05	700	11227.00
2017/04/27	1108	16.05	16.09	16.02	16.09	145100	2330287.00
2017/04/27	1109	16.10	16.10	16.02	16.03	11700	188270.00
2017/04/27	1110	16.03	16.07	16.03	16.04	2000	32066.00
2017/04/27	1111	16.03	16.06	16.03	16.03	2100	33669.00
2017/04/27	1112	16.03	16.08	16.02	16.02	7000	112344.00
2017/04/27	1113	16.03	16.09	16.03	16.08	7000	112478.00
2017/04/27	1114	16.08	16.09	16.04	16.09	119400	1921044.00
2017/04/27	1115	16.04	16.18	16.04	16.17	101000	1624342.13
2017/04/27	1116	16.06	16.13	16.04	16.13	19400	311588.00
2017/04/27	1117	16.14	16.14	16.07	16.07	2100	33876.00
2017/04/27	1118	16.07	16.13	16.07	16.07	3400	54686.00
2017/04/27	1119	16.07	16.13	16.07	16.13	300	4827.00
2017/04/27	1120	16.15	16.16	16.13	16.13	10700	172854.00
