000338 潍柴动力 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	5.44	5.44	5.42	5.42	234800	2609698.00
2017/04/27	0932	5.42	5.43	5.41	5.41	87200	965710.00
2017/04/27	0933	5.41	5.42	5.40	5.42	164300	1820068.00
2017/04/27	0934	5.42	5.42	5.41	5.41	65000	719562.00
2017/04/27	0935	5.42	5.42	5.41	5.42	78700	872422.00
2017/04/27	0936	5.43	5.43	5.42	5.42	107800	1196170.00
2017/04/27	0937	5.42	5.43	5.42	5.42	112300	1244756.00
2017/04/27	0938	5.42	5.42	5.41	5.41	70100	775702.00
2017/04/27	0939	5.41	5.42	5.40	5.42	146300	1618311.00
2017/04/27	0940	5.41	5.42	5.41	5.42	59200	655913.00
2017/04/27	0941	5.42	5.43	5.42	5.43	35500	393725.00
2017/04/27	0942	5.43	5.43	5.42	5.42	44300	491476.00
2017/04/27	0943	5.42	5.43	5.42	5.42	61400	680988.00
2017/04/27	0944	5.42	5.42	5.42	5.42	47800	529898.00
2017/04/27	0945	5.42	5.42	5.42	5.42	96600	1070762.00
2017/04/27	0946	5.42	5.42	5.41	5.42	73400	813427.00
2017/04/27	0947	5.42	5.42	5.41	5.41	45000	498449.00
2017/04/27	0948	5.42	5.42	5.41	5.42	67200	744160.00
2017/04/27	0949	5.41	5.41	5.41	5.41	109700	1213943.00
2017/04/27	0950	5.41	5.41	5.40	5.41	109900	1215368.13
2017/04/27	0951	5.40	5.41	5.40	5.40	153600	1697895.00
2017/04/27	0952	5.40	5.40	5.39	5.40	76400	843335.00
2017/04/27	0953	5.40	5.40	5.39	5.39	234600	2586314.00
2017/04/27	0954	5.39	5.39	5.38	5.39	324200	3571138.00
2017/04/27	0955	5.39	5.40	5.39	5.40	96800	1067790.00
2017/04/27	0956	5.40	5.40	5.39	5.40	110600	1220713.00
2017/04/27	0957	5.40	5.40	5.38	5.38	256600	2826938.00
2017/04/27	0958	5.38	5.40	5.38	5.39	679500	7488697.00
2017/04/27	0959	5.39	5.39	5.39	5.39	170800	1882735.00
2017/04/27	1000	5.39	5.39	5.38	5.38	204100	2247932.25
2017/04/27	1001	5.38	5.39	5.37	5.37	561500	6179285.00
2017/04/27	1002	5.37	5.37	5.36	5.36	548000	6012974.00
2017/04/27	1003	5.36	5.37	5.36	5.37	390400	4284827.00
2017/04/27	1004	5.37	5.38	5.37	5.37	442200	4857214.00
2017/04/27	1005	5.38	5.38	5.37	5.38	138800	1527361.00
2017/04/27	1006	5.39	5.39	5.38	5.38	171600	1888716.00
2017/04/27	1007	5.38	5.39	5.37	5.38	185200	2037066.00
