000413 东旭光电 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	10.36	10.36	10.26	10.26	567600	5883635.00
2017/04/27	0932	10.27	10.28	10.26	10.28	394300	4076672.00
2017/04/27	0933	10.28	10.30	10.27	10.30	464300	4807446.00
2017/04/27	0934	10.30	10.30	10.27	10.28	603100	6242372.00
2017/04/27	0935	10.28	10.28	10.17	10.17	1703000	17521288.00
2017/04/27	0936	10.16	10.19	10.15	10.18	1145600	11725519.00
2017/04/27	0937	10.19	10.21	10.18	10.18	558200	5730917.00
2017/04/27	0938	10.19	10.20	10.17	10.17	666500	6832469.00
2017/04/27	0939	10.18	10.18	10.16	10.18	630600	6462116.00
2017/04/27	0940	10.18	10.22	10.17	10.22	409300	4198464.00
2017/04/27	0941	10.21	10.21	10.20	10.21	394300	4051434.00
2017/04/27	0942	10.21	10.21	10.20	10.20	370200	3802728.00
2017/04/27	0943	10.19	10.22	10.19	10.22	303000	3112649.00
2017/04/27	0944	10.21	10.22	10.20	10.21	382700	3934514.00
2017/04/27	0945	10.21	10.21	10.19	10.20	384500	3950183.00
2017/04/27	0946	10.19	10.21	10.19	10.20	380000	3901566.00
2017/04/27	0947	10.20	10.20	10.18	10.19	754300	7736222.50
2017/04/27	0948	10.19	10.19	10.16	10.16	1569600	16088044.00
2017/04/27	0949	10.16	10.17	10.16	10.17	1377700	14106203.00
2017/04/27	0950	10.16	10.17	10.14	10.14	690700	7062908.00
2017/04/27	0951	10.15	10.17	10.14	10.17	543300	5558122.00
2017/04/27	0952	10.17	10.18	10.15	10.15	380400	3893629.00
2017/04/27	0953	10.16	10.16	10.15	10.16	359800	3679915.00
2017/04/27	0954	10.17	10.18	10.16	10.17	192000	1966718.00
2017/04/27	0955	10.18	10.21	10.18	10.21	456700	4688868.00
2017/04/27	0956	10.20	10.21	10.19	10.19	325700	3344390.00
2017/04/27	0957	10.19	10.19	10.18	10.19	233300	2393343.00
2017/04/27	0958	10.19	10.20	10.16	10.16	275900	2828265.00
2017/04/27	0959	10.17	10.17	10.15	10.16	312300	3193886.00
2017/04/27	1000	10.15	10.16	10.14	10.14	973600	9947830.00
2017/04/27	1001	10.14	10.14	10.13	10.13	1387600	14157924.00
2017/04/27	1002	10.13	10.15	10.13	10.15	609400	6219467.00
2017/04/27	1003	10.14	10.15	10.13	10.14	626200	6393513.00
2017/04/27	1004	10.14	10.16	10.14	10.15	316900	3237554.00
2017/04/27	1005	10.16	10.17	10.15	10.17	207800	2125983.00
2017/04/27	1006	10.17	10.18	10.16	10.16	242900	2485702.00
2017/04/27	1007	10.16	10.17	10.15	10.16	268600	2748243.00
2017/04/27	1008	10.16	10.18	10.16	10.18	394800	4044311.00
2017/04/27	1009	10.18	10.19	10.17	10.18	301100	3085593.00
2017/04/27	1010	10.17	10.18	10.15	10.16	446100	4563817.00
2017/04/27	1011	10.16	10.17	10.14	10.14	327600	3348802.00
2017/04/27	1012	10.14	10.17	10.14	10.16	230300	2354855.00
2017/04/27	1013	10.16	10.17	10.16	10.17	324800	3324443.75
2017/04/27	1014	10.18	10.18	10.16	10.16	207500	2124724.00
2017/04/27	1015	10.16	10.17	10.14	10.15	507700	5190080.00
2017/04/27	1016	10.16	10.17	10.15	10.17	117200	1199265.00
2017/04/27	1017	10.16	10.17	10.15	10.15	208700	2134973.00
2017/04/27	1018	10.15	10.15	10.08	10.08	2807700	28635490.00
2017/04/27	1019	10.10	10.11	10.07	10.09	759900	7715322.00
2017/04/27	1020	10.11	10.12	10.10	10.12	302700	3080831.00
2017/04/27	1021	10.11	10.13	10.11	10.13	220300	2244149.00
2017/04/27	1022	10.13	10.13	10.11	10.12	182300	1858374.00
2017/04/27	1023	10.12	10.12	10.10	10.11	267000	2718864.00
2017/04/27	1024	10.12	10.13	10.11	10.12	266200	2711911.00
2017/04/27	1025	10.11	10.12	10.11	10.12	215500	2195492.00
2017/04/27	1026	10.12	10.12	10.11	10.11	207600	2113494.00
2017/04/27	1027	10.10	10.11	10.09	10.10	299100	3042640.00
2017/04/27	1028	10.10	10.11	10.10	10.10	208700	2122642.00
2017/04/27	1029	10.10	10.11	10.10	10.10	233500	2374991.00
2017/04/27	1030	10.11	10.11	10.09	10.10	337900	3438378.00
2017/04/27	1031	10.10	10.10	10.09	10.09	240500	2444809.00
2017/04/27	1032	10.09	10.09	10.05	10.05	838500	8505057.00
2017/04/27	1033	10.05	10.05	10.02	10.02	960600	9705584.00
2017/04/27	1034	10.02	10.03	10.01	10.03	892000	9003752.00
2017/04/27	1035	10.03	10.07	10.03	10.06	285200	2885206.00
2017/04/27	1036	10.07	10.08	10.06	10.08	153700	1558924.00
2017/04/27	1037	10.07	10.08	10.06	10.06	206100	2089426.00
2017/04/27	1038	10.07	10.07	10.05	10.06	172200	1744680.00
2017/04/27	1039	10.06	10.06	10.05	10.05	247000	2500668.00
2017/04/27	1040	10.05	10.06	10.05	10.06	286800	2904707.00
2017/04/27	1041	10.06	10.10	10.06	10.10	179900	1825145.00
2017/04/27	1042	10.10	10.11	10.09	10.10	228400	2323264.00
2017/04/27	1043	10.10	10.12	10.10	10.12	181400	1847415.00
2017/04/27	1044	10.12	10.13	10.12	10.13	201200	2050589.00
2017/04/27	1045	10.12	10.13	10.12	10.12	182600	1860752.00
