000423 东阿阿胶 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	66.10	66.22	65.63	65.64	140700	9392866.00
2017/04/27	0932	65.75	65.80	65.61	65.63	59000	3927467.00
2017/04/27	0933	65.62	65.78	65.20	65.20	123800	8230834.00
2017/04/27	0934	65.20	65.48	65.10	65.48	122900	8122189.00
2017/04/27	0935	65.30	65.60	65.20	65.45	54500	3613620.00
2017/04/27	0936	65.45	65.45	65.16	65.16	97700	6460781.00
2017/04/27	0937	65.10	65.10	65.00	65.06	125500	8277419.00
2017/04/27	0938	65.06	65.07	64.97	64.98	118400	7805198.00
2017/04/27	0939	64.98	65.05	64.98	65.05	100200	6604619.00
2017/04/27	0940	65.10	65.59	65.10	65.59	69500	4597315.00
2017/04/27	0941	65.31	65.59	65.26	65.30	60900	4032761.00
2017/04/27	0942	65.30	65.30	65.13	65.20	62500	4131315.00
2017/04/27	0943	65.20	65.45	65.20	65.45	80700	5341184.00
2017/04/27	0944	65.45	65.50	65.45	65.49	54100	3590948.00
2017/04/27	0945	65.50	65.57	65.46	65.54	49200	3268416.00
2017/04/27	0946	65.49	65.49	65.35	65.36	31200	2068846.00
2017/04/27	0947	65.36	65.40	65.29	65.30	57500	3807239.00
2017/04/27	0948	65.32	65.40	65.30	65.40	91400	6055101.00
2017/04/27	0949	65.42	65.54	65.40	65.54	49700	3296189.00
2017/04/27	0950	65.54	65.54	65.45	65.48	31900	2117136.00
2017/04/27	0951	65.45	65.46	65.40	65.40	40200	2666699.00
2017/04/27	0952	65.39	65.40	65.10	65.18	133700	8844593.00
2017/04/27	0953	65.18	65.19	65.05	65.09	89100	5883691.00
2017/04/27	0954	65.10	65.28	65.09	65.20	35400	2339459.00
2017/04/27	0955	65.27	65.32	65.13	65.17	35500	2347405.00
2017/04/27	0956	65.14	65.24	65.10	65.10	51600	3410742.00
2017/04/27	0957	65.18	65.18	65.10	65.10	59600	3934944.00
2017/04/27	0958	65.11	65.18	65.05	65.05	54800	3616791.00
2017/04/27	0959	65.02	65.03	64.91	64.93	129900	8558706.00
2017/04/27	1000	64.89	64.89	64.70	64.70	157000	10319132.00
2017/04/27	1001	64.68	64.78	64.63	64.78	79200	5193935.00
