000538 云南白药 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	85.20	86.23	85.20	86.23	261700	22581310.00
2017/04/27	0932	86.22	86.79	86.22	86.68	64400	5631206.00
2017/04/27	0933	86.66	86.79	86.51	86.70	131900	11539909.00
2017/04/27	0934	86.74	87.08	86.51	86.95	211700	18553252.00
2017/04/27	0935	87.11	88.35	87.11	88.35	339600	29919382.00
2017/04/27	0936	88.35	88.56	87.76	87.76	269800	24023944.00
2017/04/27	0937	87.70	87.70	87.20	87.21	173600	15329092.00
2017/04/27	0938	87.38	87.38	86.80	86.87	145300	12754694.00
2017/04/27	0939	86.70	87.05	86.70	87.05	100500	8806773.00
2017/04/27	0940	87.05	87.15	86.87	86.90	66700	5857828.00
2017/04/27	0941	86.90	86.90	86.70	86.70	119900	10497484.00
2017/04/27	0942	86.66	86.67	86.20	86.21	65000	5665457.00
2017/04/27	0943	86.21	86.39	86.20	86.39	46200	4021558.00
2017/04/27	0944	86.40	86.47	86.34	86.34	42200	3680119.00
2017/04/27	0945	86.34	86.37	86.28	86.32	63700	5550386.00
2017/04/27	0946	86.32	86.32	86.20	86.20	64100	5578701.00
2017/04/27	0947	86.21	86.21	85.75	85.85	36700	3187675.00
2017/04/27	0948	85.75	85.75	85.30	85.30	29200	2520070.00
2017/04/27	0949	85.33	85.59	85.25	85.59	40400	3480531.00
2017/04/27	0950	85.70	85.88	85.69	85.88	15200	1315332.00
2017/04/27	0951	85.89	86.20	85.85	86.18	96600	8379361.00
2017/04/27	0952	85.93	86.20	85.93	86.18	33800	2940189.00
2017/04/27	0953	86.13	86.18	86.08	86.08	12700	1104276.00
2017/04/27	0954	86.08	86.08	85.90	85.90	39500	3427248.00
2017/04/27	0955	86.00	86.13	86.00	86.12	39800	3455972.00
2017/04/27	0956	86.12	86.13	86.02	86.02	12600	1094876.00
2017/04/27	0957	86.02	86.03	86.00	86.03	12700	1102507.00
2017/04/27	0958	86.02	86.10	86.02	86.10	19500	1694323.00
2017/04/27	0959	86.10	86.13	86.10	86.12	14700	1277622.00
2017/04/27	1000	86.13	86.19	86.13	86.13	20500	1782605.00
2017/04/27	1001	86.13	86.16	86.03	86.03	31900	2771679.00
2017/04/27	1002	86.05	86.10	86.00	86.02	36500	3169431.00
2017/04/27	1003	86.02	86.05	86.00	86.02	18300	1588918.00
2017/04/27	1004	86.00	86.10	86.00	86.10	12400	1077042.00
2017/04/27	1005	86.17	86.17	86.10	86.13	28000	2433467.25
2017/04/27	1006	86.18	86.47	86.13	86.47	37900	3302364.00
2017/04/27	1007	86.47	86.70	86.44	86.70	35800	3129419.00
2017/04/27	1008	86.80	87.07	86.70	87.07	36700	3218032.00
2017/04/27	1009	87.10	87.15	86.70	86.77	37100	3256886.00
2017/04/27	1010	86.72	86.76	86.65	86.65	33600	2939988.00
2017/04/27	1011	86.67	86.69	86.60	86.60	26300	2299704.00
2017/04/27	1012	86.52	86.70	86.47	86.47	16000	1397964.00
2017/04/27	1013	86.71	86.71	86.30	86.70	30900	2698469.00
2017/04/27	1014	86.70	86.70	86.33	86.33	17700	1546635.00
2017/04/27	1015	86.40	86.40	86.31	86.34	12400	1080570.00
2017/04/27	1016	86.40	86.66	86.30	86.40	21200	1847239.00
2017/04/27	1017	86.60	86.69	86.50	86.60	16400	1434209.00
2017/04/27	1018	86.60	86.67	86.60	86.65	7900	690825.00
2017/04/27	1019	86.60	86.60	86.57	86.58	9300	812704.00
2017/04/27	1020	86.57	86.60	86.55	86.59	24700	2158592.00
2017/04/27	1021	86.57	86.72	86.56	86.72	29200	2552035.00
2017/04/27	1022	86.70	86.77	86.70	86.77	21700	1899826.00
2017/04/27	1023	86.77	86.90	86.77	86.81	10100	885202.00
2017/04/27	1024	86.90	87.05	86.89	87.05	20100	1764004.00
2017/04/27	1025	87.02	87.16	87.02	87.15	50700	4458525.00
2017/04/27	1026	87.18	87.19	87.15	87.15	29700	2612483.00
2017/04/27	1027	87.16	87.18	87.08	87.08	13500	1187332.00
2017/04/27	1028	87.08	87.08	86.80	86.80	29400	2580835.00
2017/04/27	1029	86.78	86.83	86.72	86.78	26100	2286113.00
2017/04/27	1030	86.72	86.90	86.72	86.79	17000	1489456.00
2017/04/27	1031	86.73	86.79	86.70	86.75	15300	1339409.00
2017/04/27	1032	86.70	86.70	86.57	86.57	27900	2440130.00
2017/04/27	1033	86.58	86.58	86.50	86.50	66700	5825396.00
2017/04/27	1034	86.50	86.50	86.20	86.22	41800	3641129.00
2017/04/27	1035	86.22	86.40	86.20	86.22	48000	4176880.00
2017/04/27	1036	86.40	86.40	86.23	86.30	25200	2194985.00
2017/04/27	1037	86.20	86.30	86.10	86.11	30900	2687491.00
2017/04/27	1038	86.19	86.20	86.15	86.16	37500	3261664.00
2017/04/27	1039	86.16	86.20	86.15	86.20	39000	3392269.00
2017/04/27	1040	86.21	86.50	86.21	86.50	18500	1612647.00
2017/04/27	1041	86.57	86.77	86.57	86.70	23700	2073365.00
2017/04/27	1042	86.79	86.90	86.60	86.65	14500	1270152.00
2017/04/27	1043	86.66	86.69	86.65	86.68	12700	1110764.00
2017/04/27	1044	86.69	86.82	86.68	86.72	16500	1444130.00
2017/04/27	1045	86.70	86.72	86.70	86.71	7200	630034.00
2017/04/27	1046	86.72	86.72	86.60	86.60	24300	2125794.00
2017/04/27	1047	86.57	86.60	86.40	86.53	19400	1693954.00
2017/04/27	1048	86.57	86.57	86.44	86.45	4300	375473.00
2017/04/27	1049	86.45	86.52	86.44	86.47	13900	1212826.00
2017/04/27	1050	86.56	86.60	86.56	86.60	5500	480559.00
2017/04/27	1051	86.60	86.60	86.57	86.60	5400	471902.00
2017/04/27	1052	86.60	86.71	86.60	86.70	9000	787501.00
2017/04/27	1053	86.70	86.72	86.70	86.72	9200	805087.00
2017/04/27	1054	86.75	86.75	86.71	86.75	11700	1024042.00
2017/04/27	1055	86.72	86.89	86.72	86.89	16700	1462458.00
2017/04/27	1056	86.89	87.10	86.89	87.10	23100	2027319.00
2017/04/27	1057	87.10	87.20	87.10	87.19	18000	1583281.00
2017/04/27	1058	87.20	87.25	87.18	87.22	45000	3959917.00
2017/04/27	1059	87.22	87.39	87.22	87.39	33800	2977993.00
2017/04/27	1100	87.39	87.50	87.35	87.48	29900	2636970.00
2017/04/27	1101	87.48	87.67	87.35	87.60	40900	3613443.00
2017/04/27	1102	87.67	87.67	87.36	87.41	25400	2242012.00
2017/04/27	1103	87.41	87.49	87.31	87.40	27400	2416804.00
2017/04/27	1104	87.50	87.50	87.20	87.25	38100	3358639.00
2017/04/27	1105	87.25	87.25	87.14	87.20	40600	3572661.00
2017/04/27	1106	87.23	87.25	87.13	87.23	23300	2050659.00
2017/04/27	1107	87.25	87.40	87.18	87.40	23300	2051737.00
2017/04/27	1108	87.36	87.48	87.36	87.48	32200	2839532.00
2017/04/27	1109	87.48	87.50	87.36	87.38	10800	952636.00
2017/04/27	1110	87.38	87.58	87.38	87.50	25000	2206043.00
2017/04/27	1111	87.59	87.59	87.44	87.58	26800	2366715.00
2017/04/27	1112	87.60	87.60	87.44	87.55	27200	2403077.00
2017/04/27	1113	87.36	87.58	87.36	87.39	47300	4171435.00
2017/04/27	1114	87.39	87.57	87.38	87.48	25800	2275883.00
2017/04/27	1115	87.50	87.57	87.48	87.50	26100	2305179.00
2017/04/27	1116	87.55	87.55	87.39	87.39	17600	1553203.00
2017/04/27	1117	87.38	87.50	87.37	87.50	20600	1816649.00
2017/04/27	1118	87.43	87.43	87.20	87.36	41700	3675901.00
2017/04/27	1119	87.36	87.37	87.17	87.17	22400	1974117.00
2017/04/27	1120	87.17	87.19	87.15	87.17	11100	976481.00
2017/04/27	1121	87.16	87.17	87.16	87.16	6500	571768.00
2017/04/27	1122	87.16	87.18	87.16	87.18	5600	492620.00
2017/04/27	1123	87.17	87.19	87.17	87.19	7500	659816.00
2017/04/27	1124	87.18	87.24	87.18	87.22	14700	1293708.00
2017/04/27	1125	87.22	87.22	87.20	87.21	14400	1267326.00
2017/04/27	1126	87.20	87.21	87.19	87.20	9200	809619.00
2017/04/27	1127	87.19	87.21	87.15	87.16	29400	2586517.00
2017/04/27	1128	87.15	87.15	86.92	86.92	14800	1299778.00
2017/04/27	1129	86.95	87.08	86.95	87.08	6000	526680.00
2017/04/27	1300	87.10	87.30	87.08	87.10	41600	3659346.00
2017/04/27	1301	87.10	87.10	87.10	87.10	0	0.00
2017/04/27	1302	87.10	87.10	87.05	87.05	6800	597699.00
2017/04/27	1303	87.00	87.00	86.90	86.90	21600	1894879.00
2017/04/27	1304	86.90	87.30	86.90	87.20	72800	6407624.00
2017/04/27	1305	87.29	87.29	86.90	86.90	25500	2241110.00
2017/04/27	1306	86.89	86.90	86.80	86.80	19300	1691813.00
2017/04/27	1307	86.81	86.81	86.60	86.60	49500	4331983.00
2017/04/27	1308	86.58	86.60	86.40	86.40	28700	2505053.00
2017/04/27	1309	86.40	86.42	86.40	86.42	22000	1918669.00
2017/04/27	1310	86.41	86.42	86.40	86.42	8400	732541.00
2017/04/27	1311	86.42	86.43	86.42	86.43	9800	854763.00
2017/04/27	1312	86.42	86.69	86.41	86.69	6300	549992.00
2017/04/27	1313	86.66	86.71	86.66	86.70	11300	988727.00
2017/04/27	1314	86.70	86.71	86.66	86.69	20100	1758575.00
2017/04/27	1315	86.69	86.69	86.45	86.47	7300	637730.00
2017/04/27	1316	86.45	86.68	86.45	86.50	5300	462655.00
2017/04/27	1317	86.58	86.58	86.45	86.45	13600	1187459.00
2017/04/27	1318	86.45	86.47	86.45	86.46	6600	575906.00
2017/04/27	1319	86.46	86.60	86.46	86.60	12400	1083022.00
2017/04/27	1320	86.60	86.69	86.60	86.68	5900	516019.00
2017/04/27	1321	86.68	86.69	86.61	86.61	6700	586117.00
2017/04/27	1322	86.66	86.88	86.66	86.76	33300	2914085.00
2017/04/27	1323	86.76	86.88	86.76	86.82	16000	1401659.00
2017/04/27	1324	86.82	87.00	86.82	87.00	25400	2227842.00
2017/04/27	1325	87.00	87.10	87.00	87.01	13200	1159553.00
2017/04/27	1326	87.01	87.09	87.01	87.09	7700	676361.00
2017/04/27	1327	87.01	87.08	87.01	87.08	9500	834661.00
2017/04/27	1328	87.01	87.01	86.99	86.99	6000	526750.00
2017/04/27	1329	86.99	86.99	86.86	86.86	6500	570004.00
2017/04/27	1330	86.86	86.91	86.80	86.86	43300	3794603.00
2017/04/27	1331	86.80	86.82	86.80	86.80	9700	849790.00
2017/04/27	1332	86.80	86.86	86.80	86.80	20400	1787132.00
2017/04/27	1333	86.78	86.80	86.76	86.80	8800	770738.00
2017/04/27	1334	86.79	86.86	86.79	86.83	13100	1147606.00
2017/04/27	1335	86.83	86.91	86.79	86.79	13000	1139483.00
2017/04/27	1336	86.78	86.79	86.76	86.76	20700	1812718.00
2017/04/27	1337	86.75	86.80	86.66	86.80	26100	2284980.00
2017/04/27	1338	86.80	86.80	86.60	86.61	10500	917919.00
2017/04/27	1339	86.60	86.70	86.57	86.70	68700	6006843.00
2017/04/27	1340	86.65	86.70	86.51	86.70	36700	3210616.00
2017/04/27	1341	86.60	86.85	86.60	86.80	28600	2503230.00
2017/04/27	1342	86.80	86.80	86.50	86.50	11500	1005772.00
2017/04/27	1343	86.51	86.51	86.47	86.47	54200	4731653.00
2017/04/27	1344	86.47	86.47	86.45	86.45	33700	2940422.00
2017/04/27	1345	86.45	86.45	86.38	86.41	61900	5398035.00
2017/04/27	1346	86.41	86.45	86.40	86.40	19900	1735342.00
2017/04/27	1347	86.40	86.54	86.40	86.54	32500	2835802.00
2017/04/27	1348	86.54	86.61	86.50	86.50	16100	1405702.00
2017/04/27	1349	86.42	86.44	86.41	86.43	18500	1613700.00
2017/04/27	1350	86.45	86.79	86.45	86.74	20200	1764626.00
2017/04/27	1351	86.76	86.76	86.70	86.70	15600	1365400.00
2017/04/27	1352	86.70	86.70	86.46	86.50	13300	1161862.00
2017/04/27	1353	86.50	86.50	86.48	86.50	8500	741930.00
2017/04/27	1354	86.70	86.74	86.70	86.70	24700	2161340.00
2017/04/27	1355	86.70	86.71	86.49	86.50	15600	1364444.00
2017/04/27	1356	86.49	86.50	86.49	86.49	10000	872908.00
2017/04/27	1357	86.49	86.50	86.48	86.49	6600	576094.00
2017/04/27	1358	86.49	86.69	86.49	86.69	8300	725707.00
2017/04/27	1359	86.69	86.70	86.49	86.50	8000	698980.00
2017/04/27	1400	86.51	86.70	86.50	86.51	5600	488985.00
2017/04/27	1401	86.51	86.69	86.50	86.50	8700	759779.00
2017/04/27	1402	86.50	86.69	86.49	86.50	10500	916679.00
2017/04/27	1403	86.50	86.51	86.49	86.50	7500	654756.00
2017/04/27	1404	86.50	86.68	86.50	86.51	5900	515201.00
2017/04/27	1405	86.51	86.63	86.50	86.63	9500	829497.00
2017/04/27	1406	86.63	86.68	86.51	86.51	6300	550226.00
2017/04/27	1407	86.51	86.63	86.51	86.57	9500	829728.00
2017/04/27	1408	86.57	86.68	86.57	86.62	9800	856489.00
2017/04/27	1409	86.62	86.67	86.62	86.67	13400	1171590.00
2017/04/27	1410	86.67	86.70	86.67	86.69	14300	1250870.00
2017/04/27	1411	86.67	86.69	86.61	86.67	7200	629723.00
2017/04/27	1412	86.67	86.69	86.61	86.67	12100	1058244.00
2017/04/27	1413	86.68	86.69	86.60	86.66	8600	752210.00
2017/04/27	1414	86.67	86.70	86.66	86.67	32200	2816521.00
2017/04/27	1415	86.62	86.72	86.60	86.72	16400	1434648.00
2017/04/27	1416	86.72	86.72	86.60	86.67	12700	1111147.00
2017/04/27	1417	86.61	86.71	86.60	86.70	13500	1181136.00
2017/04/27	1418	86.70	86.73	86.62	86.71	25100	2196521.00
2017/04/27	1419	86.71	86.72	86.61	86.68	7200	629883.00
2017/04/27	1420	86.68	86.68	86.60	86.60	14700	1284938.00
2017/04/27	1421	86.60	86.61	86.58	86.58	17400	1520727.00
2017/04/27	1422	86.58	86.59	86.52	86.52	8500	742425.00
2017/04/27	1423	86.52	86.52	86.49	86.49	9800	855627.00
2017/04/27	1424	86.49	86.49	86.42	86.43	6900	602108.00
2017/04/27	1425	86.43	86.44	86.42	86.43	7400	645460.00
2017/04/27	1426	86.51	86.51	86.42	86.50	12500	1090982.00
2017/04/27	1427	86.41	86.45	86.37	86.37	6900	601716.00
2017/04/27	1428	86.37	86.37	86.30	86.30	9000	784227.00
2017/04/27	1429	86.30	86.30	86.22	86.23	18900	1645069.00
2017/04/27	1430	86.32	86.33	86.22	86.22	10900	948866.00
2017/04/27	1431	86.23	86.26	86.21	86.26	14800	1287876.00
2017/04/27	1432	86.26	86.29	86.26	86.27	8000	696515.00
2017/04/27	1433	86.27	86.29	86.25	86.25	9800	853144.00
2017/04/27	1434	86.25	86.25	86.22	86.22	15000	1305350.00
2017/04/27	1435	86.22	86.26	86.22	86.25	63600	5535631.00
2017/04/27	1436	86.25	86.35	86.25	86.28	24200	2107097.00
2017/04/27	1437	86.30	86.48	86.30	86.48	11400	993768.00
2017/04/27	1438	86.45	86.45	86.28	86.29	30800	2685134.00
2017/04/27	1439	86.29	86.39	86.29	86.34	10100	880072.00
2017/04/27	1440	86.31	86.31	86.27	86.27	11200	975533.00
2017/04/27	1441	86.29	86.29	86.25	86.26	22500	1958842.00
2017/04/27	1442	86.27	86.29	86.27	86.28	20300	1767634.00
2017/04/27	1443	86.28	86.29	86.27	86.28	12600	1097167.00
2017/04/27	1444	86.28	86.30	86.28	86.30	7500	653142.00
2017/04/27	1445	86.30	86.35	86.29	86.34	19200	1672793.00
2017/04/27	1446	86.34	86.35	86.34	86.35	9000	784314.00
2017/04/27	1447	86.39	86.39	86.29	86.30	17700	1541730.00
2017/04/27	1448	86.30	86.35	86.28	86.30	11700	1019050.00
2017/04/27	1449	86.31	86.31	86.29	86.29	17100	1489320.00
2017/04/27	1450	86.29	86.30	86.27	86.27	42400	3692164.00
2017/04/27	1451	86.27	86.29	86.27	86.29	14500	1262730.00
2017/04/27	1452	86.29	86.34	86.29	86.29	15300	1332608.00
2017/04/27	1453	86.29	86.34	86.29	86.32	7100	618462.00
2017/04/27	1454	86.32	86.44	86.31	86.44	23000	2004784.00
2017/04/27	1455	86.44	86.55	86.44	86.52	27600	2409036.00
2017/04/27	1456	86.58	86.60	86.52	86.55	13000	1135877.00
2017/04/27	1457	86.55	86.57	86.38	86.40	22000	1919855.00
2017/04/27	1458	86.40	86.40	86.40	86.40	600	52320.00
2017/04/27	1459	86.40	86.40	86.40	86.40	0	0.00
2017/04/27	1500	86.60	86.60	86.60	86.60	57800	5051720.00
2017/04/28	0931	86.32	86.32	86.08	86.08	21900	1907339.00
2017/04/28	0932	86.19	86.23	86.04	86.23	28700	2495993.00
2017/04/28	0933	86.23	87.02	86.23	86.90	6800	594629.00
2017/04/28	0934	86.90	86.90	86.50	86.80	10700	934653.00
2017/04/28	0935	86.79	86.79	86.52	86.59	6700	585627.00
2017/04/28	0936	86.59	86.61	86.53	86.61	9200	804009.00
2017/04/28	0937	86.70	86.80	86.70	86.71	11600	1015594.00
2017/04/28	0938	86.70	87.05	86.70	87.04	37400	3282648.00
2017/04/28	0939	87.05	87.05	86.84	87.00	17300	1519376.00
2017/04/28	0940	87.00	87.07	86.82	87.06	11900	1044774.00
2017/04/28	0941	87.06	87.06	86.83	87.02	39100	3427800.00
2017/04/28	0942	87.04	87.04	86.84	86.89	15700	1377376.00
2017/04/28	0943	86.89	87.07	86.89	87.00	49900	4381970.00
2017/04/28	0944	87.07	87.40	87.01	87.40	55900	4923067.00
2017/04/28	0945	87.42	87.87	87.42	87.82	40100	3546726.00
2017/04/28	0946	87.82	87.82	87.60	87.75	109200	9666405.00
2017/04/28	0947	87.76	87.90	87.76	87.88	88400	7835756.00
2017/04/28	0948	87.89	88.10	87.76	87.88	111700	9908813.00
2017/04/28	0949	87.88	88.10	87.80	87.89	41200	3659420.00
2017/04/28	0950	87.77	88.00	87.77	88.00	67300	5975514.00
2017/04/28	0951	88.00	88.00	87.76	87.76	15600	1384273.00
2017/04/28	0952	87.70	87.70	87.50	87.50	36200	3200334.00
2017/04/28	0953	87.49	87.58	87.43	87.58	45500	4019483.00
2017/04/28	0954	87.50	87.58	87.48	87.56	37500	3311934.00
2017/04/28	0955	87.57	87.57	87.46	87.51	18100	1598796.00
2017/04/28	0956	87.55	87.61	87.50	87.50	15700	1387355.00
2017/04/28	0957	87.48	87.62	87.25	87.57	67000	5918930.00
2017/04/28	0958	87.50	87.50	87.30	87.30	45400	4006866.00
2017/04/28	0959	87.50	87.50	87.10	87.10	54500	4801323.00
2017/04/28	1000	87.08	87.08	86.53	86.53	42700	3743495.00
2017/04/28	1001	86.70	86.90	86.52	86.90	30200	2639883.00
2017/04/28	1002	86.88	86.90	86.70	86.80	24700	2165289.00
2017/04/28	1003	86.71	86.85	86.70	86.70	38500	3369545.00
