000540 中天金融 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	6.47	6.48	6.46	6.46	277000	1848092.00
2017/04/27	0932	6.46	6.46	6.43	6.43	194400	1290992.00
2017/04/27	0933	6.43	6.44	6.42	6.42	187900	1244629.00
2017/04/27	0934	6.44	6.44	6.42	6.44	75900	503534.00
2017/04/27	0935	6.43	6.45	6.43	6.43	73000	484579.00
2017/04/27	0936	6.43	6.44	6.43	6.43	69300	459757.00
2017/04/27	0937	6.43	6.44	6.42	6.43	188200	1247748.00
2017/04/27	0938	6.43	6.43	6.42	6.42	57600	381599.00
2017/04/27	0939	6.42	6.43	6.41	6.42	304700	2016942.00
2017/04/27	0940	6.42	6.43	6.42	6.42	125400	830577.00
2017/04/27	0941	6.42	6.44	6.42	6.44	96700	641097.00
2017/04/27	0942	6.43	6.44	6.42	6.42	144800	959418.00
2017/04/27	0943	6.43	6.43	6.41	6.42	395100	2613655.00
2017/04/27	0944	6.42	6.42	6.40	6.40	295200	1948897.00
2017/04/27	0945	6.39	6.40	6.39	6.40	86200	568434.00
2017/04/27	0946	6.39	6.41	6.39	6.40	268700	1772011.00
2017/04/27	0947	6.40	6.40	6.38	6.38	171700	1130177.00
2017/04/27	0948	6.38	6.39	6.38	6.38	168800	1111106.00
2017/04/27	0949	6.39	6.40	6.38	6.39	95700	630499.00
2017/04/27	0950	6.39	6.40	6.39	6.40	47300	311726.00
2017/04/27	0951	6.40	6.40	6.38	6.38	91900	605919.00
2017/04/27	0952	6.38	6.39	6.37	6.37	225900	1486205.00
2017/04/27	0953	6.37	6.39	6.35	6.38	437700	2868796.00
2017/04/27	0954	6.38	6.39	6.37	6.38	126300	831542.00
2017/04/27	0955	6.38	6.39	6.36	6.37	79000	518902.00
2017/04/27	0956	6.36	6.38	6.36	6.37	122400	803265.00
2017/04/27	0957	6.37	6.37	6.36	6.37	62500	410464.00
2017/04/27	0958	6.36	6.37	6.36	6.37	90300	592642.00
2017/04/27	0959	6.37	6.37	6.35	6.35	510500	3344798.00
2017/04/27	1000	6.35	6.35	6.32	6.33	292200	1908458.00
2017/04/27	1001	6.32	6.33	6.31	6.33	246600	1608589.00
2017/04/27	1002	6.33	6.34	6.33	6.34	193500	1264718.00
2017/04/27	1003	6.33	6.34	6.32	6.33	156900	1024674.00
2017/04/27	1004	6.33	6.33	6.32	6.33	196000	1279463.00
2017/04/27	1005	6.34	6.35	6.33	6.35	197700	1292446.00
2017/04/27	1006	6.35	6.35	6.34	6.34	70300	459973.00
2017/04/27	1007	6.35	6.35	6.34	6.34	126200	825525.00
2017/04/27	1008	6.35	6.35	6.34	6.35	108600	711071.00
2017/04/27	1009	6.35	6.35	6.34	6.35	98100	642450.00
2017/04/27	1010	6.35	6.35	6.34	6.35	43000	281549.00
2017/04/27	1011	6.35	6.35	6.34	6.35	96600	632500.00
2017/04/27	1012	6.35	6.36	6.34	6.36	58200	381407.00
2017/04/27	1013	6.36	6.37	6.35	6.36	42500	278821.00
2017/04/27	1014	6.37	6.38	6.36	6.37	64300	422272.00
2017/04/27	1015	6.37	6.37	6.36	6.36	55000	361203.00
2017/04/27	1016	6.37	6.37	6.35	6.37	64400	422779.00
2017/04/27	1017	6.36	6.36	6.36	6.36	40900	268304.00
2017/04/27	1018	6.36	6.36	6.35	6.36	33400	218991.00
2017/04/27	1019	6.36	6.36	6.35	6.36	48000	314775.00
2017/04/27	1020	6.35	6.36	6.35	6.36	70400	461362.00
2017/04/27	1021	6.35	6.36	6.35	6.35	84800	555625.00
2017/04/27	1022	6.36	6.36	6.34	6.34	65200	427037.00
2017/04/27	1023	6.35	6.36	6.34	6.35	65000	425673.00
2017/04/27	1024	6.35	6.35	6.34	6.34	99900	653777.00
2017/04/27	1025	6.34	6.35	6.34	6.35	88800	581346.00
2017/04/27	1026	6.35	6.36	6.34	6.34	292100	1914095.00
2017/04/27	1027	6.34	6.35	6.34	6.34	78200	511897.00
2017/04/27	1028	6.35	6.35	6.34	6.35	31700	207423.00
2017/04/27	1029	6.35	6.35	6.34	6.34	39000	255192.00
2017/04/27	1030	6.34	6.35	6.34	6.34	90700	593438.00
2017/04/27	1031	6.35	6.35	6.33	6.33	120900	790238.00
2017/04/27	1032	6.33	6.35	6.33	6.33	104000	679307.00
2017/04/27	1033	6.33	6.34	6.32	6.32	132400	864529.00
2017/04/27	1034	6.32	6.33	6.32	6.32	112200	731769.00
2017/04/27	1035	6.33	6.37	6.32	6.32	221500	1445206.00
2017/04/27	1036	6.37	6.37	6.32	6.32	714800	4661705.00
2017/04/27	1037	6.31	6.32	6.31	6.32	135600	883714.00
2017/04/27	1038	6.32	6.33	6.32	6.32	237400	1549755.00
2017/04/27	1039	6.32	6.32	6.31	6.31	312100	2032491.00
2017/04/27	1040	6.30	6.33	6.30	6.32	346000	2251091.00
2017/04/27	1041	6.32	6.34	6.30	6.31	325700	2120634.00
2017/04/27	1042	6.31	6.33	6.31	6.33	58900	384147.03
2017/04/27	1043	6.32	6.33	6.32	6.33	26400	172242.00
2017/04/27	1044	6.32	6.33	6.32	6.33	84300	549935.00
2017/04/27	1045	6.32	6.34	6.32	6.34	29900	195230.00
2017/04/27	1046	6.33	6.34	6.33	6.33	54100	353641.00
2017/04/27	1047	6.34	6.34	6.32	6.34	33000	215427.00
2017/04/27	1048	6.33	6.34	6.32	6.34	33500	218726.00
2017/04/27	1049	6.33	6.34	6.32	6.33	24900	162500.00
2017/04/27	1050	6.33	6.33	6.32	6.32	57200	373014.00
2017/04/27	1051	6.32	6.33	6.32	6.32	55600	362672.00
2017/04/27	1052	6.32	6.33	6.32	6.33	53500	348991.00
2017/04/27	1053	6.32	6.35	6.32	6.34	127000	829577.00
2017/04/27	1054	6.33	6.34	6.33	6.34	40500	264739.00
2017/04/27	1055	6.33	6.35	6.33	6.35	75700	494718.00
2017/04/27	1056	6.33	6.35	6.33	6.35	29800	194957.00
2017/04/27	1057	6.35	6.35	6.32	6.34	62500	408619.00
2017/04/27	1058	6.34	6.35	6.32	6.35	54400	355243.00
2017/04/27	1059	6.35	6.35	6.32	6.33	42100	275051.00
2017/04/27	1100	6.33	6.34	6.32	6.34	38800	253390.00
2017/04/27	1101	6.33	6.34	6.33	6.34	40900	267283.00
2017/04/27	1102	6.34	6.34	6.33	6.34	83100	543260.00
2017/04/27	1103	6.34	6.35	6.33	6.35	40800	266870.00
2017/04/27	1104	6.35	6.35	6.33	6.35	96200	629090.00
2017/04/27	1105	6.35	6.36	6.35	6.36	48100	315139.00
2017/04/27	1106	6.36	6.37	6.35	6.36	69800	457787.00
2017/04/27	1107	6.36	6.37	6.36	6.37	40800	267766.00
2017/04/27	1108	6.37	6.37	6.36	6.37	38100	250049.00
