000550 江铃汽车 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	22.37	23.76	22.37	23.35	971000	22508956.00
2017/04/27	0932	23.38	23.38	23.17	23.25	25700	614709.00
2017/04/27	0933	23.20	23.34	23.20	23.34	57300	1367436.00
2017/04/27	0934	23.32	23.34	23.27	23.29	39700	948824.00
2017/04/27	0935	23.28	23.29	23.19	23.19	40700	970191.00
2017/04/27	0936	23.19	23.24	23.09	23.09	37700	896611.00
2017/04/27	0937	23.09	23.14	23.01	23.09	105600	2502079.00
2017/04/27	0938	23.09	23.10	22.99	22.99	107200	2531449.00
2017/04/27	0939	22.99	22.99	22.84	22.84	56400	1327302.00
2017/04/27	0940	22.89	22.89	22.78	22.84	41600	974086.00
2017/04/27	0941	22.84	23.02	22.84	23.02	18300	431106.00
2017/04/27	0942	23.02	23.09	23.02	23.04	51000	1207762.00
2017/04/27	0943	23.09	23.09	23.03	23.04	23500	556319.00
2017/04/27	0944	23.04	23.04	22.96	22.99	33100	781165.00
2017/04/27	0945	22.99	22.99	22.92	22.94	26800	631839.00
2017/04/27	0946	22.94	22.98	22.92	22.98	37200	875767.00
2017/04/27	0947	22.98	22.98	22.89	22.89	44900	1056160.00
2017/04/27	0948	22.87	22.87	22.83	22.83	26500	621669.00
2017/04/27	0949	22.84	22.84	22.79	22.82	49600	1162128.00
2017/04/27	0950	22.82	22.83	22.78	22.78	25600	599313.00
2017/04/27	0951	22.78	22.78	22.59	22.59	33100	770611.00
2017/04/27	0952	22.59	22.61	22.40	22.40	97100	2238930.00
2017/04/27	0953	22.40	22.40	22.38	22.38	301600	6935409.00
2017/04/27	0954	22.38	22.68	22.37	22.68	37800	870566.00
2017/04/27	0955	22.57	22.74	22.49	22.69	51600	1196368.00
2017/04/27	0956	22.52	22.69	22.52	22.59	14300	331334.00
2017/04/27	0957	22.59	22.59	22.56	22.56	36200	839298.06
2017/04/27	0958	22.56	22.64	22.55	22.59	25700	595911.00
2017/04/27	0959	22.64	22.67	22.60	22.64	31400	729762.00
2017/04/27	1000	22.64	22.67	22.59	22.64	50600	1175141.00
2017/04/27	1001	22.59	22.61	22.59	22.60	14700	341106.00
2017/04/27	1002	22.60	22.60	22.56	22.56	41500	961932.00
2017/04/27	1003	22.57	22.58	22.55	22.57	36500	845993.00
2017/04/27	1004	22.58	22.61	22.57	22.60	83500	1937646.00
2017/04/27	1005	22.60	22.60	22.57	22.60	52500	1218089.00
2017/04/27	1006	22.60	22.60	22.56	22.56	51400	1191729.00
2017/04/27	1007	22.56	22.61	22.55	22.61	75200	1745008.00
2017/04/27	1008	22.61	22.67	22.61	22.67	12800	297641.00
2017/04/27	1009	22.69	22.78	22.69	22.78	81500	1902322.00
2017/04/27	1010	22.78	22.88	22.76	22.85	42900	1006915.00
2017/04/27	1011	22.87	22.88	22.85	22.88	17400	408462.00
2017/04/27	1012	22.87	22.94	22.87	22.94	63800	1498820.00
2017/04/27	1013	22.94	22.98	22.94	22.98	41200	971442.00
2017/04/27	1014	22.99	23.04	22.99	23.03	36600	864583.00
2017/04/27	1015	23.03	23.05	23.00	23.05	33900	801514.00
2017/04/27	1016	23.04	23.04	22.97	22.97	44200	1043277.00
2017/04/27	1017	22.96	22.98	22.89	22.89	21900	515861.00
2017/04/27	1018	22.89	22.89	22.85	22.86	10800	253606.00
2017/04/27	1019	22.86	22.86	22.79	22.79	27100	634527.00
2017/04/27	1020	22.79	22.79	22.72	22.72	18600	434567.00
2017/04/27	1021	22.74	22.74	22.70	22.72	11400	266019.00
2017/04/27	1022	22.73	22.74	22.72	22.74	9500	221743.00
2017/04/27	1023	22.74	22.79	22.74	22.79	12300	287497.00
2017/04/27	1024	22.79	22.84	22.79	22.81	8600	201385.00
2017/04/27	1025	22.80	22.80	22.77	22.78	10600	248043.00
2017/04/27	1026	22.79	22.81	22.78	22.81	10500	245724.00
2017/04/27	1027	22.81	22.81	22.79	22.80	4000	93661.00
2017/04/27	1028	22.79	22.80	22.79	22.79	22800	533533.00
2017/04/27	1029	22.79	22.79	22.77	22.77	9800	229189.00
2017/04/27	1030	22.75	22.76	22.72	22.72	59400	1386773.00
2017/04/27	1031	22.71	22.71	22.61	22.63	25500	594124.00
2017/04/27	1032	22.63	22.63	22.57	22.58	17500	405957.00
2017/04/27	1033	22.58	22.58	22.55	22.55	14500	336052.00
2017/04/27	1034	22.55	22.62	22.54	22.56	20900	484185.00
2017/04/27	1035	22.54	22.56	22.53	22.54	35200	815232.00
2017/04/27	1036	22.54	22.56	22.49	22.56	80200	1853710.00
2017/04/27	1037	22.49	22.49	22.47	22.47	49200	1136159.00
2017/04/27	1038	22.47	22.48	22.46	22.48	20100	464001.00
2017/04/27	1039	22.47	22.50	22.47	22.50	44800	1034542.00
2017/04/27	1040	22.49	22.50	22.49	22.50	18600	429747.00
2017/04/27	1041	22.49	22.50	22.49	22.50	41700	963368.00
2017/04/27	1042	22.50	22.62	22.50	22.62	13100	303345.00
2017/04/27	1043	22.62	22.68	22.62	22.66	9900	230339.00
2017/04/27	1044	22.66	22.67	22.65	22.67	5400	125680.00
2017/04/27	1045	22.63	22.70	22.63	22.70	54200	1262781.00
2017/04/27	1046	22.72	22.72	22.69	22.69	14100	328681.00
2017/04/27	1047	22.72	22.72	22.68	22.70	40500	944622.00
2017/04/27	1048	22.70	22.71	22.69	22.69	39500	920949.00
2017/04/27	1049	22.71	22.77	22.69	22.77	45300	1058081.00
2017/04/27	1050	22.77	22.79	22.77	22.78	9900	231565.00
2017/04/27	1051	22.77	22.83	22.76	22.83	13000	304379.00
2017/04/27	1052	22.80	22.84	22.76	22.84	10400	243563.00
2017/04/27	1053	22.82	22.83	22.76	22.81	10200	238930.00
2017/04/27	1054	22.84	22.85	22.69	22.84	25000	585296.00
2017/04/27	1055	22.85	22.85	22.79	22.85	13500	316481.00
2017/04/27	1056	22.74	22.74	22.69	22.73	25400	592928.00
2017/04/27	1057	22.74	22.74	22.71	22.71	6800	158720.00
2017/04/27	1058	22.74	22.74	22.70	22.74	7000	163363.00
2017/04/27	1059	22.74	22.74	22.71	22.74	12800	298846.00
2017/04/27	1100	22.74	22.74	22.71	22.72	11600	270742.00
2017/04/27	1101	22.74	22.74	22.72	22.74	8900	207752.00
2017/04/27	1102	22.74	22.74	22.67	22.67	21900	510364.00
2017/04/27	1103	22.67	22.69	22.66	22.69	9800	228169.00
2017/04/27	1104	22.69	22.69	22.67	22.69	15000	349395.00
2017/04/27	1105	22.69	22.69	22.64	22.69	35300	821880.00
2017/04/27	1106	22.69	22.73	22.69	22.73	49500	1155078.00
2017/04/27	1107	22.73	22.74	22.70	22.74	28300	660720.00
2017/04/27	1108	22.74	22.79	22.74	22.79	71700	1675358.00
2017/04/27	1109	22.82	22.84	22.72	22.77	38500	902109.00
2017/04/27	1110	22.83	22.84	22.76	22.79	30200	706325.00
2017/04/27	1111	22.79	22.79	22.73	22.76	12300	287488.00
2017/04/27	1112	22.78	22.78	22.76	22.76	11400	266594.00
2017/04/27	1113	22.78	22.78	22.76	22.78	17800	416292.00
2017/04/27	1114	22.77	22.79	22.77	22.79	8600	201187.00
2017/04/27	1115	22.79	22.79	22.72	22.78	32500	759207.00
2017/04/27	1116	22.79	22.79	22.78	22.79	24900	582648.00
2017/04/27	1117	22.80	22.81	22.79	22.79	30200	706838.00
2017/04/27	1118	22.78	22.78	22.74	22.75	5800	135525.00
2017/04/27	1119	22.74	22.75	22.74	22.75	9700	226576.00
2017/04/27	1120	22.77	22.77	22.69	22.74	39300	916428.00
2017/04/27	1121	22.70	22.73	22.69	22.69	5900	137510.00
2017/04/27	1122	22.69	22.71	22.69	22.69	12200	284290.00
2017/04/27	1123	22.69	22.71	22.68	22.68	13900	323825.00
2017/04/27	1124	22.69	22.71	22.69	22.71	6500	151518.98
2017/04/27	1125	22.70	22.71	22.70	22.71	10300	240119.00
2017/04/27	1126	22.71	22.73	22.70	22.73	15500	361526.00
2017/04/27	1127	22.73	22.73	22.69	22.69	22300	519688.00
2017/04/27	1128	22.69	22.69	22.68	22.69	9500	221304.00
2017/04/27	1129	22.69	22.74	22.69	22.74	13900	324104.00
2017/04/27	1300	22.68	22.74	22.68	22.72	44100	1029182.00
2017/04/27	1301	22.72	22.72	22.72	22.72	0	0.00
2017/04/27	1302	22.72	22.73	22.69	22.73	38600	899856.00
2017/04/27	1303	22.73	22.73	22.68	22.69	20700	482329.00
2017/04/27	1304	22.69	22.72	22.69	22.69	22600	526672.00
2017/04/27	1305	22.71	22.72	22.69	22.72	14700	342657.00
2017/04/27	1306	22.68	22.69	22.68	22.69	14300	333145.00
2017/04/27	1307	22.69	22.69	22.67	22.67	6900	160712.00
2017/04/27	1308	22.69	22.69	22.65	22.65	35300	821570.00
2017/04/27	1309	22.66	22.66	22.64	22.64	22700	527826.00
2017/04/27	1310	22.64	22.64	22.63	22.63	17900	416079.00
2017/04/27	1311	22.62	22.62	22.61	22.62	27700	643422.00
2017/04/27	1312	22.61	22.62	22.59	22.59	8800	204279.00
2017/04/27	1313	22.61	22.61	22.59	22.59	8600	199524.00
2017/04/27	1314	22.59	22.60	22.58	22.59	9500	220426.00
2017/04/27	1315	22.58	22.59	22.57	22.57	42000	973746.00
2017/04/27	1316	22.60	22.60	22.57	22.58	10100	234268.00
2017/04/27	1317	22.58	22.58	22.55	22.55	25500	590974.00
2017/04/27	1318	22.54	22.54	22.52	22.52	22500	520706.00
2017/04/27	1319	22.52	22.54	22.51	22.53	116700	2701361.00
2017/04/27	1320	22.53	22.57	22.53	22.54	52800	1222562.00
2017/04/27	1321	22.55	22.55	22.53	22.54	22600	523142.00
2017/04/27	1322	22.55	22.58	22.54	22.58	24900	577044.00
2017/04/27	1323	22.58	22.63	22.58	22.63	5000	116049.00
2017/04/27	1324	22.63	22.69	22.59	22.68	58200	1351805.00
2017/04/27	1325	22.69	22.69	22.64	22.68	33600	782752.00
2017/04/27	1326	22.66	22.68	22.64	22.65	30600	711934.00
2017/04/27	1327	22.65	22.67	22.65	22.67	11900	276803.00
2017/04/27	1328	22.65	22.67	22.65	22.65	32600	758679.00
2017/04/27	1329	22.65	22.67	22.65	22.67	8400	195422.00
2017/04/27	1330	22.66	22.68	22.66	22.68	21000	488857.00
2017/04/27	1331	22.67	22.69	22.67	22.69	7900	183968.00
2017/04/27	1332	22.68	22.69	22.67	22.69	80900	1884812.00
2017/04/27	1333	22.68	22.69	22.67	22.69	9600	223649.00
2017/04/27	1334	22.68	22.69	22.68	22.69	41100	957418.00
2017/04/27	1335	22.71	22.73	22.70	22.73	8100	189022.00
2017/04/27	1336	22.73	22.73	22.70	22.73	10900	254276.00
2017/04/27	1337	22.73	22.74	22.71	22.71	7600	177369.00
2017/04/27	1338	22.73	22.73	22.69	22.71	31000	722486.00
2017/04/27	1339	22.72	22.72	22.69	22.69	6900	160892.00
2017/04/27	1340	22.69	22.70	22.69	22.70	7300	170110.00
2017/04/27	1341	22.70	22.70	22.68	22.69	14900	347152.00
2017/04/27	1342	22.68	22.69	22.68	22.68	29800	694219.00
2017/04/27	1343	22.68	22.68	22.67	22.68	10100	235210.00
2017/04/27	1344	22.67	22.68	22.67	22.67	14500	337601.00
2017/04/27	1345	22.67	22.70	22.67	22.70	11100	258584.00
2017/04/27	1346	22.69	22.70	22.68	22.68	4200	97853.00
2017/04/27	1347	22.68	22.69	22.67	22.68	7100	165350.00
2017/04/27	1348	22.68	22.69	22.67	22.69	10000	232944.00
2017/04/27	1349	22.69	22.72	22.69	22.72	26600	620006.00
2017/04/27	1350	22.72	22.73	22.72	22.72	3400	79336.00
2017/04/27	1351	22.72	22.74	22.68	22.68	41900	976321.00
2017/04/27	1352	22.67	22.68	22.67	22.67	14800	344618.00
2017/04/27	1353	22.68	22.69	22.68	22.69	26300	612783.00
2017/04/27	1354	22.68	22.69	22.66	22.67	78700	1832171.00
2017/04/27	1355	22.66	22.67	22.66	22.67	58600	1364172.00
2017/04/27	1356	22.66	22.67	22.65	22.67	32800	763390.00
2017/04/27	1357	22.65	22.66	22.62	22.63	33300	774342.00
2017/04/27	1358	22.63	22.69	22.62	22.69	35300	822005.00
2017/04/27	1359	22.64	22.69	22.64	22.68	65700	1528442.00
2017/04/27	1400	22.65	22.69	22.65	22.67	23500	547186.00
2017/04/27	1401	22.66	22.69	22.66	22.68	25400	591293.00
2017/04/27	1402	22.68	22.68	22.64	22.65	61800	1438273.00
2017/04/27	1403	22.65	22.65	22.62	22.64	58500	1359830.00
2017/04/27	1404	22.63	22.64	22.62	22.63	54600	1268878.00
2017/04/27	1405	22.62	22.62	22.59	22.60	138200	3208992.00
2017/04/27	1406	22.59	22.59	22.57	22.58	44900	1041314.00
2017/04/27	1407	22.58	22.59	22.55	22.57	33500	776927.00
2017/04/27	1408	22.57	22.58	22.57	22.58	17000	394132.00
2017/04/27	1409	22.57	22.59	22.57	22.59	34000	788613.00
2017/04/27	1410	22.59	22.59	22.56	22.58	30600	709315.00
2017/04/27	1411	22.58	22.59	22.57	22.59	12100	280622.00
2017/04/27	1412	22.58	22.59	22.58	22.59	34600	802623.00
2017/04/27	1413	22.56	22.59	22.56	22.59	42000	974343.00
2017/04/27	1414	22.59	22.60	22.58	22.60	73800	1712104.00
2017/04/27	1415	22.59	22.60	22.58	22.58	45900	1064983.00
2017/04/27	1416	22.59	22.59	22.58	22.58	34300	795539.00
2017/04/27	1417	22.57	22.58	22.57	22.58	31200	723306.00
2017/04/27	1418	22.58	22.59	22.58	22.59	43800	1016116.06
2017/04/27	1419	22.58	22.59	22.58	22.58	16700	387335.00
2017/04/27	1420	22.59	22.59	22.58	22.58	14200	329338.00
2017/04/27	1421	22.58	22.59	22.58	22.59	36500	846647.00
2017/04/27	1422	22.58	22.59	22.58	22.59	55500	1287550.00
2017/04/27	1423	22.59	22.59	22.57	22.57	35100	814046.00
2017/04/27	1424	22.58	22.58	22.55	22.55	67800	1571316.00
2017/04/27	1425	22.54	22.54	22.49	22.51	126900	2933942.00
2017/04/27	1426	22.50	22.51	22.43	22.48	44500	1027710.00
2017/04/27	1427	22.48	22.49	22.45	22.49	44000	1016309.00
2017/04/27	1428	22.48	22.49	22.41	22.41	85200	1962936.00
2017/04/27	1429	22.42	22.47	22.42	22.46	12900	297472.00
2017/04/27	1430	22.46	22.51	22.46	22.51	15600	360310.00
2017/04/27	1431	22.52	22.56	22.51	22.56	16600	384201.00
2017/04/27	1432	22.56	22.58	22.54	22.58	26700	618440.00
2017/04/27	1433	22.57	22.59	22.54	22.57	41800	969023.00
2017/04/27	1434	22.57	22.58	22.55	22.58	12300	285101.00
2017/04/27	1435	22.58	22.59	22.57	22.59	24300	563472.00
2017/04/27	1436	22.59	22.59	22.56	22.59	14400	333898.00
2017/04/27	1437	22.59	22.59	22.57	22.57	15900	368807.03
2017/04/27	1438	22.57	22.59	22.57	22.59	57800	1340876.00
2017/04/27	1439	22.58	22.59	22.58	22.59	72600	1683995.00
2017/04/27	1440	22.59	22.60	22.59	22.59	204100	4735405.00
2017/04/27	1441	22.59	22.60	22.58	22.59	74100	1719198.00
2017/04/27	1442	22.59	22.72	22.58	22.61	91700	2133797.00
2017/04/27	1443	22.66	22.66	22.58	22.59	83600	1940725.00
2017/04/27	1444	22.59	22.59	22.58	22.59	84200	1953338.00
2017/04/27	1445	22.58	22.59	22.58	22.59	19400	450050.00
2017/04/27	1446	22.59	22.59	22.56	22.57	61900	1435044.00
2017/04/27	1447	22.56	22.57	22.55	22.56	55500	1285958.00
2017/04/27	1448	22.56	22.57	22.52	22.52	35500	822470.00
2017/04/27	1449	22.52	22.56	22.52	22.52	24200	559976.00
2017/04/27	1450	22.52	22.55	22.52	22.55	49800	1153131.00
2017/04/27	1451	22.52	22.54	22.52	22.53	45800	1059963.88
2017/04/27	1452	22.54	22.54	22.53	22.53	27900	645686.00
2017/04/27	1453	22.54	22.56	22.53	22.55	20900	483898.00
2017/04/27	1454	22.55	22.55	22.53	22.55	50100	1160062.00
2017/04/27	1455	22.54	22.58	22.54	22.55	202600	4692901.00
2017/04/27	1456	22.64	22.64	22.54	22.56	226900	5274648.00
2017/04/27	1457	22.58	22.73	22.58	22.69	39300	914123.00
2017/04/27	1458	22.69	22.69	22.69	22.69	100	2330.00
2017/04/27	1459	22.69	22.69	22.69	22.69	0	0.00
2017/04/27	1500	22.58	22.58	22.58	22.58	254000	5890260.00
2017/04/28	0931	22.37	22.37	22.20	22.36	216800	4975287.00
2017/04/28	0932	22.36	22.39	22.29	22.29	41700	957214.00
2017/04/28	0933	22.36	22.36	22.29	22.29	53900	1235115.00
