000563 陕国投Ａ 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	5.86	5.86	5.82	5.82	351900	2060547.00
2017/04/27	0932	5.82	5.82	5.80	5.80	271700	1583716.00
2017/04/27	0933	5.80	5.82	5.80	5.82	218200	1272214.00
2017/04/27	0934	5.81	5.82	5.79	5.80	561200	3263044.00
2017/04/27	0935	5.80	5.82	5.80	5.82	378800	2208303.00
2017/04/27	0936	5.80	5.81	5.80	5.80	205100	1194050.00
2017/04/27	0937	5.80	5.80	5.73	5.74	755400	4378059.00
2017/04/27	0938	5.73	5.76	5.72	5.73	1028100	5911032.00
2017/04/27	0939	5.76	5.80	5.74	5.79	307100	1776863.00
2017/04/27	0940	5.78	5.78	5.76	5.78	253400	1467121.00
2017/04/27	0941	5.76	5.78	5.76	5.77	156100	902708.00
2017/04/27	0942	5.77	5.77	5.76	5.76	201500	1165939.00
2017/04/27	0943	5.76	5.77	5.75	5.76	290400	1676129.00
2017/04/27	0944	5.75	5.76	5.75	5.75	298300	1722858.00
2017/04/27	0945	5.76	5.76	5.75	5.75	174500	1007062.00
2017/04/27	0946	5.75	5.77	5.74	5.74	207500	1196915.00
2017/04/27	0947	5.76	5.76	5.75	5.76	82600	476809.00
2017/04/27	0948	5.76	5.77	5.75	5.75	348300	2011691.00
2017/04/27	0949	5.75	5.77	5.75	5.77	185000	1068525.00
2017/04/27	0950	5.77	5.77	5.75	5.76	77700	448942.00
2017/04/27	0951	5.76	5.76	5.75	5.75	202600	1170069.00
2017/04/27	0952	5.77	5.77	5.75	5.76	243100	1403702.00
2017/04/27	0953	5.76	5.76	5.74	5.74	421000	2426830.00
2017/04/27	0954	5.75	5.75	5.73	5.74	372100	2141043.00
2017/04/27	0955	5.73	5.74	5.73	5.73	278700	1604905.00
2017/04/27	0956	5.73	5.75	5.73	5.75	234300	1350211.00
2017/04/27	0957	5.74	5.76	5.74	5.76	181400	1046375.00
2017/04/27	0958	5.76	5.76	5.75	5.76	238100	1374367.00
2017/04/27	0959	5.75	5.76	5.74	5.74	303700	1750297.00
2017/04/27	1000	5.74	5.74	5.72	5.73	353600	2033748.00
2017/04/27	1001	5.73	5.73	5.70	5.70	620800	3560248.00
2017/04/27	1002	5.70	5.72	5.70	5.71	593700	3398798.00
2017/04/27	1003	5.73	5.74	5.72	5.74	221600	1274527.00
2017/04/27	1004	5.74	5.74	5.72	5.73	194100	1116121.00
