000568 泸州老窖 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	45.17	45.17	44.54	44.54	113300	5192612.00
2017/04/27	0932	44.54	44.54	44.24	44.38	98500	4468215.00
2017/04/27	0933	44.39	44.58	44.39	44.58	56300	2558217.00
2017/04/27	0934	44.56	44.82	44.56	44.82	21800	994918.00
2017/04/27	0935	44.77	44.84	44.74	44.79	68700	3142579.00
2017/04/27	0936	44.79	44.92	44.79	44.92	51800	2373169.00
2017/04/27	0937	44.97	45.00	44.91	44.99	48300	2218500.00
2017/04/27	0938	44.99	45.00	44.94	44.94	47500	2181266.00
2017/04/27	0939	44.94	44.94	44.89	44.92	99500	4565427.00
2017/04/27	0940	44.89	44.94	44.89	44.91	28200	1294009.00
2017/04/27	0941	44.92	45.29	44.92	45.29	72300	3328261.00
2017/04/27	0942	45.34	45.34	45.06	45.29	112800	5219070.00
2017/04/27	0943	45.29	45.31	45.04	45.22	59800	2761960.00
2017/04/27	0944	45.21	45.21	45.05	45.11	57900	2666453.00
2017/04/27	0945	45.11	45.17	45.10	45.13	48000	2213003.00
2017/04/27	0946	45.14	45.14	44.97	44.97	75500	3475542.00
2017/04/27	0947	45.04	45.04	44.93	44.95	23400	1074510.00
2017/04/27	0948	44.95	45.01	44.94	44.98	30300	1391581.00
2017/04/27	0949	45.01	45.07	44.99	45.07	56100	2579969.00
2017/04/27	0950	45.06	45.12	45.06	45.06	62500	2877874.00
2017/04/27	0951	45.12	45.15	45.04	45.15	77500	3570425.00
2017/04/27	0952	45.15	45.17	45.12	45.15	52200	2406583.00
2017/04/27	0953	45.17	45.19	45.15	45.17	40800	1882115.00
2017/04/27	0954	45.17	45.19	45.14	45.14	57300	2642071.00
2017/04/27	0955	45.14	45.14	45.04	45.05	65900	3033527.00
2017/04/27	0956	45.04	45.10	45.00	45.04	60000	2759266.00
2017/04/27	0957	45.03	45.03	44.73	44.82	54200	2483238.00
2017/04/27	0958	44.64	44.82	44.64	44.64	89900	4104126.00
2017/04/27	0959	44.65	44.80	44.64	44.74	54000	2464795.00
2017/04/27	1000	44.74	44.74	44.65	44.65	50300	2295436.00
2017/04/27	1001	44.65	44.65	44.38	44.38	133200	6063066.00
2017/04/27	1002	44.39	44.39	44.28	44.35	67600	3061681.00
2017/04/27	1003	44.34	44.72	44.34	44.72	50800	2310810.00
2017/04/27	1004	44.66	44.72	44.41	44.62	17200	783690.00
2017/04/27	1005	44.44	44.62	44.43	44.54	28500	1296096.00
2017/04/27	1006	44.54	44.64	44.54	44.64	34400	1567241.00
2017/04/27	1007	44.64	44.64	44.55	44.57	14100	642383.00
2017/04/27	1008	44.64	44.68	44.57	44.68	33500	1527883.00
2017/04/27	1009	44.68	44.81	44.60	44.70	22400	1022408.00
2017/04/27	1010	44.68	44.84	44.68	44.84	17700	809053.00
2017/04/27	1011	44.81	44.90	44.78	44.82	16700	764485.00
2017/04/27	1012	44.74	44.77	44.70	44.75	12600	575829.00
2017/04/27	1013	44.65	44.89	44.65	44.86	60800	2782353.00
2017/04/27	1014	44.86	44.99	44.84	44.99	12000	550289.00
2017/04/27	1015	44.95	45.04	44.95	45.02	39800	1830242.00
2017/04/27	1016	45.03	45.04	44.86	45.01	49100	2257127.00
2017/04/27	1017	45.03	45.04	44.94	45.04	27400	1260000.00
2017/04/27	1018	44.97	45.03	44.90	45.03	27000	1239942.00
2017/04/27	1019	44.98	45.03	44.97	45.02	16800	772179.00
2017/04/27	1020	45.02	45.03	45.01	45.03	47200	2170441.00
2017/04/27	1021	45.03	45.04	45.02	45.04	38700	1779959.00
2017/04/27	1022	45.04	45.04	45.03	45.04	32000	1471945.00
2017/04/27	1023	45.04	45.11	45.04	45.11	20100	925036.00
2017/04/27	1024	45.11	45.11	45.04	45.09	72100	3319566.00
2017/04/27	1025	45.08	45.09	45.03	45.06	16900	777810.00
2017/04/27	1026	45.04	45.09	45.04	45.04	40700	1873628.00
2017/04/27	1027	45.04	45.08	45.03	45.05	13800	635015.00
2017/04/27	1028	45.05	45.05	45.00	45.00	20100	924376.00
2017/04/27	1029	45.00	45.03	44.99	45.00	11200	514730.00
2017/04/27	1030	45.00	45.04	44.98	45.00	32500	1493486.00
2017/04/27	1031	44.97	45.02	44.97	44.97	25500	1171439.00
2017/04/27	1032	44.97	45.00	44.97	44.97	25700	1180620.00
2017/04/27	1033	44.97	45.03	44.97	45.03	23500	1079682.00
2017/04/27	1034	45.00	45.00	44.89	44.89	59000	2709819.00
2017/04/27	1035	44.87	44.87	44.84	44.84	36400	1667433.00
2017/04/27	1036	44.84	44.85	44.79	44.80	16100	736993.00
2017/04/27	1037	44.80	44.80	44.75	44.77	11000	503173.00
2017/04/27	1038	44.78	44.78	44.71	44.76	28000	1279465.00
2017/04/27	1039	44.76	44.77	44.72	44.72	11100	507262.00
2017/04/27	1040	44.71	44.79	44.70	44.77	16000	731267.00
2017/04/27	1041	44.77	44.87	44.77	44.87	39800	1822522.00
2017/04/27	1042	44.87	45.04	44.87	45.04	34400	1581819.00
2017/04/27	1043	45.04	45.11	45.04	45.11	39000	1795811.00
2017/04/27	1044	45.11	45.14	45.11	45.12	63000	2903044.00
2017/04/27	1045	45.12	45.12	45.10	45.10	26600	1225588.00
2017/04/27	1046	45.10	45.12	45.09	45.09	30500	1405321.00
2017/04/27	1047	45.12	45.15	45.09	45.15	69100	3185347.00
2017/04/27	1048	45.15	45.17	45.12	45.17	16800	774638.00
2017/04/27	1049	45.14	45.18	45.14	45.16	12900	595033.00
2017/04/27	1050	45.17	45.18	45.14	45.14	35600	1641764.00
2017/04/27	1051	45.13	45.14	45.09	45.13	11900	548395.00
2017/04/27	1052	45.07	45.12	45.04	45.04	13500	621313.00
2017/04/27	1053	45.04	45.05	44.93	45.00	11600	533137.00
2017/04/27	1054	45.03	45.03	45.00	45.01	9900	455153.00
2017/04/27	1055	45.04	45.09	44.98	45.09	13300	611738.00
2017/04/27	1056	45.09	45.14	45.07	45.14	52200	2404546.00
2017/04/27	1057	45.14	45.14	45.12	45.12	45600	2102056.00
2017/04/27	1058	45.12	45.12	44.98	44.98	29100	1338644.00
2017/04/27	1059	45.04	45.04	44.95	44.96	7800	358289.00
2017/04/27	1100	44.98	44.98	44.94	44.95	11600	532619.00
2017/04/27	1101	44.94	45.02	44.94	45.02	10600	486889.00
2017/04/27	1102	45.02	45.02	44.95	44.96	13800	633657.00
2017/04/27	1103	44.96	45.06	44.94	45.06	19200	881732.00
2017/04/27	1104	45.10	45.10	44.96	44.98	7000	321852.00
2017/04/27	1105	45.00	45.04	44.98	45.00	16500	758384.00
2017/04/27	1106	44.94	45.03	44.93	44.94	10000	459259.00
2017/04/27	1107	44.94	44.94	44.87	44.87	21300	977432.00
2017/04/27	1108	44.90	44.93	44.87	44.93	14400	660321.00
2017/04/27	1109	44.93	44.94	44.88	44.88	25900	1188089.00
2017/04/27	1110	44.91	44.91	44.80	44.84	15800	723922.00
2017/04/27	1111	44.84	44.84	44.78	44.84	11000	503704.00
2017/04/27	1112	44.79	44.90	44.79	44.84	5600	256481.00
2017/04/27	1113	44.90	44.93	44.84	44.84	6700	307266.00
2017/04/27	1114	44.84	44.94	44.84	44.94	7700	353311.00
2017/04/27	1115	44.84	44.94	44.84	44.92	14000	642232.00
2017/04/27	1116	44.92	44.94	44.84	44.90	12600	577833.00
2017/04/27	1117	44.84	44.92	44.84	44.85	7300	334627.00
2017/04/27	1118	44.86	44.88	44.79	44.79	12800	586230.00
2017/04/27	1119	44.81	44.91	44.79	44.84	24600	1126601.00
2017/04/27	1120	44.84	44.89	44.80	44.80	14000	640859.00
2017/04/27	1121	44.79	44.89	44.79	44.84	6700	306808.00
2017/04/27	1122	44.82	44.84	44.79	44.82	8600	393638.00
2017/04/27	1123	44.81	44.84	44.81	44.84	9700	444034.00
2017/04/27	1124	44.82	44.84	44.81	44.84	7500	343348.00
2017/04/27	1125	44.82	44.85	44.79	44.79	31400	1436890.00
2017/04/27	1126	44.80	44.80	44.74	44.77	21200	969793.94
2017/04/27	1127	44.75	44.75	44.74	44.74	7500	342801.00
2017/04/27	1128	44.75	44.78	44.75	44.75	13400	612575.00
2017/04/27	1129	44.75	44.79	44.75	44.77	10400	475502.00
2017/04/27	1300	44.77	44.79	44.73	44.77	77900	3561712.00
2017/04/27	1301	44.77	44.77	44.77	44.77	0	0.00
2017/04/27	1302	44.76	44.76	44.73	44.73	22300	1018933.00
2017/04/27	1303	44.80	44.80	44.72	44.75	36100	1651161.88
2017/04/27	1304	44.74	44.76	44.74	44.74	16900	772345.00
2017/04/27	1305	44.74	44.76	44.56	44.69	39100	1781441.00
2017/04/27	1306	44.69	44.69	44.54	44.66	34800	1585218.00
2017/04/27	1307	44.64	44.64	44.54	44.54	51600	2349736.00
2017/04/27	1308	44.53	44.58	44.50	44.58	19400	882680.00
2017/04/27	1309	44.51	44.60	44.51	44.60	11400	519124.00
2017/04/27	1310	44.60	44.64	44.59	44.62	43000	1958996.00
2017/04/27	1311	44.61	44.62	44.59	44.62	11400	519412.00
2017/04/27	1312	44.60	44.71	44.59	44.71	17600	802259.00
2017/04/27	1313	44.69	44.73	44.61	44.61	9100	415242.00
2017/04/27	1314	44.69	44.69	44.67	44.67	3900	177977.00
2017/04/27	1315	44.67	44.69	44.64	44.65	11200	510998.00
2017/04/27	1316	44.64	44.68	44.64	44.65	20700	944014.00
2017/04/27	1317	44.65	44.69	44.64	44.66	18100	825675.00
2017/04/27	1318	44.67	44.69	44.67	44.69	8200	374318.00
2017/04/27	1319	44.69	44.80	44.69	44.69	6600	301559.00
2017/04/27	1320	44.77	44.86	44.77	44.86	7300	334103.00
2017/04/27	1321	44.88	44.93	44.88	44.93	9800	449613.00
2017/04/27	1322	44.93	44.99	44.90	44.99	221600	10171577.00
2017/04/27	1323	44.94	44.97	44.94	44.97	16100	739307.00
2017/04/27	1324	44.94	44.97	44.94	44.94	10000	459186.00
2017/04/27	1325	44.94	44.94	44.89	44.89	8100	371509.00
2017/04/27	1326	44.89	44.89	44.87	44.88	14300	655611.00
2017/04/27	1327	44.88	44.90	44.85	44.90	31000	1420720.00
2017/04/27	1328	44.89	44.89	44.85	44.89	14900	683112.00
2017/04/27	1329	44.90	44.91	44.86	44.86	22000	1008646.00
2017/04/27	1330	44.87	44.92	44.87	44.89	17200	788511.00
2017/04/27	1331	44.87	44.91	44.85	44.91	23900	1095412.00
2017/04/27	1332	44.84	44.93	44.84	44.85	15400	705914.00
2017/04/27	1333	44.84	44.85	44.77	44.77	17700	810422.00
2017/04/27	1334	44.81	44.84	44.70	44.74	63600	2906641.00
2017/04/27	1335	44.75	44.79	44.73	44.77	51500	2354187.00
2017/04/27	1336	44.74	44.78	44.72	44.74	47100	2152013.00
2017/04/27	1337	44.74	44.74	44.65	44.69	57800	2639622.00
2017/04/27	1338	44.70	44.70	44.66	44.67	23500	1072401.00
2017/04/27	1339	44.66	44.70	44.66	44.70	28200	1286679.00
2017/04/27	1340	44.70	44.74	44.68	44.72	7300	333347.00
2017/04/27	1341	44.74	44.75	44.70	44.74	13100	598612.00
2017/04/27	1342	44.74	44.76	44.68	44.76	36000	1645066.00
2017/04/27	1343	44.76	44.85	44.74	44.83	16700	764236.00
2017/04/27	1344	44.83	44.83	44.76	44.79	11400	521535.00
2017/04/27	1345	44.80	44.80	44.77	44.77	16800	768663.00
2017/04/27	1346	44.76	44.79	44.76	44.79	9400	429824.00
2017/04/27	1347	44.76	44.85	44.75	44.83	21500	983963.00
2017/04/27	1348	44.83	44.85	44.76	44.77	14700	672490.00
2017/04/27	1349	44.80	44.85	44.77	44.85	19800	906221.00
2017/04/27	1350	44.85	44.99	44.85	44.99	15800	725100.00
2017/04/27	1351	45.01	45.04	44.84	44.84	173600	7983716.00
2017/04/27	1352	44.85	45.11	44.85	45.07	4600	211674.00
2017/04/27	1353	45.09	45.09	45.06	45.08	14300	658288.00
2017/04/27	1354	45.07	45.08	44.93	44.95	12500	574998.00
2017/04/27	1355	44.95	45.06	44.95	45.06	50900	2341406.00
