000623 吉林敖东 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	21.70	21.70	21.62	21.68	122900	3497065.00
2017/04/27	0932	21.62	21.62	21.61	21.62	31300	889076.00
2017/04/27	0933	21.62	21.62	21.58	21.58	98700	2800738.00
2017/04/27	0934	21.59	21.62	21.58	21.62	100400	2847775.00
2017/04/27	0935	21.62	21.62	21.59	21.60	21400	607513.00
2017/04/27	0936	21.60	21.60	21.58	21.58	80000	2269129.00
2017/04/27	0937	21.58	21.58	21.50	21.50	257300	7281479.00
2017/04/27	0938	21.51	21.51	21.41	21.45	258300	7284110.00
2017/04/27	0939	21.43	21.46	21.43	21.45	68500	1930579.00
2017/04/27	0940	21.45	21.48	21.45	21.48	43200	1218971.00
2017/04/27	0941	21.48	21.49	21.46	21.48	93300	2632349.00
2017/04/27	0942	21.49	21.49	21.45	21.45	79400	2240408.00
2017/04/27	0943	21.46	21.46	21.45	21.45	139400	3930120.00
2017/04/27	0944	21.46	21.46	21.45	21.46	69000	1945792.00
2017/04/27	0945	21.46	21.48	21.46	21.48	49200	1388128.00
2017/04/27	0946	21.48	21.48	21.48	21.48	39300	1109427.00
2017/04/27	0947	21.48	21.48	21.47	21.47	38600	1089318.00
2017/04/27	0948	21.47	21.48	21.46	21.47	99000	2792293.00
2017/04/27	0949	21.47	21.48	21.46	21.47	27700	781397.00
2017/04/27	0950	21.48	21.48	21.46	21.47	30900	871740.00
2017/04/27	0951	21.46	21.47	21.46	21.47	47700	1345332.00
2017/04/27	0952	21.45	21.47	21.45	21.45	42600	1200703.00
2017/04/27	0953	21.44	21.47	21.44	21.45	52100	1468437.00
2017/04/27	0954	21.44	21.47	21.44	21.46	42700	1203642.00
2017/04/27	0955	21.47	21.48	21.45	21.48	32500	916484.00
2017/04/27	0956	21.45	21.48	21.45	21.48	24500	690877.00
2017/04/27	0957	21.45	21.47	21.45	21.45	23600	665458.00
2017/04/27	0958	21.45	21.45	21.44	21.44	48500	1366739.00
2017/04/27	0959	21.43	21.45	21.43	21.43	57500	1619572.00
2017/04/27	1000	21.44	21.44	21.38	21.38	85300	2399382.00
2017/04/27	1001	21.37	21.37	21.32	21.34	105200	2950350.00
2017/04/27	1002	21.34	21.35	21.31	21.32	326200	9144013.00
2017/04/27	1003	21.32	21.34	21.32	21.34	130300	3651958.00
2017/04/27	1004	21.35	21.40	21.35	21.40	35100	985300.00
2017/04/27	1005	21.41	21.44	21.40	21.42	28200	793865.00
2017/04/27	1006	21.42	21.42	21.37	21.37	47700	1339968.00
2017/04/27	1007	21.37	21.40	21.36	21.38	18600	522534.00
2017/04/27	1008	21.39	21.42	21.39	21.41	56300	1583613.00
2017/04/27	1009	21.41	21.42	21.40	21.41	22100	621682.00
2017/04/27	1010	21.41	21.42	21.39	21.39	54900	1544319.00
2017/04/27	1011	21.41	21.43	21.41	21.43	60700	1708588.00
2017/04/27	1012	21.43	21.47	21.43	21.47	9900	279045.00
2017/04/27	1013	21.48	21.48	21.47	21.47	32000	903089.00
2017/04/27	1014	21.46	21.47	21.45	21.45	36300	1023554.00
2017/04/27	1015	21.45	21.48	21.45	21.48	15100	425991.00
2017/04/27	1016	21.48	21.48	21.47	21.48	11700	330152.00
2017/04/27	1017	21.47	21.47	21.45	21.45	41800	1178577.00
2017/04/27	1018	21.45	21.45	21.42	21.42	36700	1033574.00
2017/04/27	1019	21.42	21.43	21.42	21.43	14000	394179.00
2017/04/27	1020	21.43	21.45	21.42	21.42	68400	1925593.00
