000728 国元证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	13.50	13.50	13.45	13.46	286500	5879096.00
2017/04/27	0932	13.48	13.48	13.46	13.47	123800	2538685.00
2017/04/27	0933	13.46	13.49	13.46	13.49	267300	5481361.00
2017/04/27	0934	13.49	13.50	13.47	13.50	126000	2586406.00
2017/04/27	0935	13.50	13.50	13.47	13.47	261300	5361134.00
2017/04/27	0936	13.47	13.47	13.38	13.38	423500	8652796.00
2017/04/27	0937	13.39	13.40	13.35	13.36	623100	12689679.00
2017/04/27	0938	13.36	13.36	13.31	13.35	656200	13320229.00
2017/04/27	0939	13.33	13.43	13.33	13.40	322000	6560853.00
2017/04/27	0940	13.40	13.42	13.37	13.37	215500	4394716.00
2017/04/27	0941	13.36	13.41	13.36	13.41	224700	4575649.00
2017/04/27	0942	13.40	13.43	13.40	13.43	184900	3778243.00
2017/04/27	0943	13.43	13.43	13.40	13.41	146200	2986552.00
2017/04/27	0944	13.40	13.44	13.40	13.43	119300	2437712.00
2017/04/27	0945	13.43	13.45	13.42	13.42	131200	2684599.00
2017/04/27	0946	13.43	13.43	13.41	13.41	118600	2422031.00
2017/04/27	0947	13.41	13.41	13.37	13.39	212100	4326065.00
2017/04/27	0948	13.39	13.42	13.39	13.42	101200	2065954.00
2017/04/27	0949	13.43	13.45	13.43	13.45	59700	1220893.00
2017/04/27	0950	13.44	13.45	13.42	13.42	84600	1729680.00
2017/04/27	0951	13.41	13.41	13.39	13.39	89600	1827570.00
2017/04/27	0952	13.39	13.39	13.37	13.38	280100	5704104.00
2017/04/27	0953	13.37	13.41	13.37	13.40	110500	2253963.00
2017/04/27	0954	13.40	13.40	13.35	13.39	315600	6420991.00
2017/04/27	0955	13.39	13.40	13.39	13.40	109900	2240698.75
2017/04/27	0956	13.39	13.44	13.39	13.43	104800	2139731.00
2017/04/27	0957	13.44	13.45	13.43	13.44	167700	3432529.00
2017/04/27	0958	13.44	13.44	13.39	13.40	38000	776018.00
2017/04/27	0959	13.41	13.41	13.37	13.37	135500	2760077.00
2017/04/27	1000	13.37	13.37	13.32	13.32	481100	9770133.00
2017/04/27	1001	13.33	13.34	13.32	13.34	362500	7357547.00
2017/04/27	1002	13.39	13.39	13.35	13.39	122400	2491315.00
2017/04/27	1003	13.39	13.41	13.39	13.39	128100	2612627.75
2017/04/27	1004	13.41	13.42	13.40	13.41	71700	1463738.00
2017/04/27	1005	13.41	13.43	13.39	13.39	99200	2024529.00
2017/04/27	1006	13.39	13.43	13.39	13.43	92300	1884894.00
2017/04/27	1007	13.44	13.47	13.44	13.47	112700	2309439.00
2017/04/27	1008	13.47	13.48	13.46	13.47	83000	1702035.00
2017/04/27	1009	13.47	13.47	13.43	13.43	75600	1548036.00
2017/04/27	1010	13.43	13.46	13.43	13.45	33300	681280.00
2017/04/27	1011	13.46	13.49	13.46	13.49	68800	1411123.00
2017/04/27	1012	13.49	13.50	13.47	13.49	76200	1564121.13
2017/04/27	1013	13.48	13.48	13.45	13.46	72000	1476467.00
2017/04/27	1014	13.45	13.45	13.43	13.44	52000	1064196.00
2017/04/27	1015	13.43	13.45	13.43	13.45	22100	452092.00
2017/04/27	1016	13.45	13.47	13.45	13.46	27700	567597.00
2017/04/27	1017	13.46	13.46	13.44	13.44	33100	677898.00
2017/04/27	1018	13.44	13.44	13.42	13.42	28700	586877.00
2017/04/27	1019	13.42	13.45	13.41	13.44	52400	1071093.00
2017/04/27	1020	13.43	13.44	13.42	13.43	25200	515299.00
2017/04/27	1021	13.42	13.45	13.42	13.45	90500	1851324.00
2017/04/27	1022	13.45	13.47	13.44	13.46	71800	1470815.00
2017/04/27	1023	13.47	13.59	13.46	13.59	311700	6420364.00
2017/04/27	1024	13.58	13.60	13.57	13.58	333300	6892482.00
2017/04/27	1025	13.57	13.59	13.56	13.58	208300	4303139.00
2017/04/27	1026	13.58	13.58	13.56	13.56	165700	3422976.00
2017/04/27	1027	13.56	13.56	13.52	13.55	79700	1642919.00
2017/04/27	1028	13.55	13.57	13.53	13.57	61100	1260846.00
2017/04/27	1029	13.57	13.57	13.54	13.55	83600	1724759.00
2017/04/27	1030	13.55	13.56	13.54	13.55	123900	2555532.00
2017/04/27	1031	13.54	13.55	13.52	13.52	136400	2809510.00
2017/04/27	1032	13.52	13.52	13.47	13.48	91500	1879792.00
2017/04/27	1033	13.48	13.51	13.47	13.51	86400	1773936.00
2017/04/27	1034	13.51	13.55	13.51	13.52	127600	2626968.00
2017/04/27	1035	13.53	13.56	13.52	13.56	219100	4519107.00
2017/04/27	1036	13.57	13.64	13.57	13.62	504500	10446187.00
