000738 航发控制 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	23.50	23.58	23.50	23.56	34300	807208.00
2017/04/27	0932	23.53	23.53	23.46	23.47	106300	2499529.00
2017/04/27	0933	23.47	23.51	23.43	23.43	76400	1794156.00
2017/04/27	0934	23.43	23.47	23.43	23.46	16900	396424.00
2017/04/27	0935	23.45	23.48	23.45	23.46	32900	772770.00
2017/04/27	0936	23.46	23.47	23.44	23.44	41000	962397.00
2017/04/27	0937	23.43	23.44	23.40	23.40	105100	2463668.00
2017/04/27	0938	23.40	23.40	23.38	23.38	104400	2443885.00
2017/04/27	0939	23.38	23.39	23.36	23.39	104200	2437106.00
2017/04/27	0940	23.39	23.40	23.38	23.39	64600	1512175.00
2017/04/27	0941	23.39	23.39	23.37	23.38	41000	959525.00
2017/04/27	0942	23.39	23.39	23.38	23.38	45400	1062568.00
2017/04/27	0943	23.39	23.43	23.39	23.42	17000	398247.00
2017/04/27	0944	23.43	23.44	23.42	23.43	15200	356417.00
2017/04/27	0945	23.47	23.47	23.43	23.43	16700	391906.00
2017/04/27	0946	23.44	23.44	23.39	23.39	10900	255458.00
2017/04/27	0947	23.42	23.42	23.38	23.38	34400	805128.00
2017/04/27	0948	23.38	23.38	23.36	23.36	24100	563705.00
2017/04/27	0949	23.36	23.37	23.35	23.35	39100	914133.94
2017/04/27	0950	23.36	23.37	23.34	23.37	37400	874347.94
2017/04/27	0951	23.38	23.41	23.36	23.37	43500	1017856.00
2017/04/27	0952	23.38	23.38	23.36	23.37	25400	594171.00
2017/04/27	0953	23.36	23.37	23.32	23.32	93300	2180253.00
2017/04/27	0954	23.31	23.31	23.26	23.28	108000	2516363.00
2017/04/27	0955	23.30	23.30	23.27	23.27	98000	2283472.00
2017/04/27	0956	23.27	23.28	23.26	23.27	44100	1027122.00
2017/04/27	0957	23.28	23.28	23.25	23.25	49200	1145809.00
2017/04/27	0958	23.26	23.26	23.13	23.13	119100	2761772.00
2017/04/27	0959	23.12	23.12	23.01	23.01	108500	2505276.00
2017/04/27	1000	23.01	23.02	22.99	23.00	271700	6254184.00
2017/04/27	1001	23.01	23.03	22.99	22.99	141700	3262885.00
2017/04/27	1002	23.01	23.02	22.97	22.97	244200	5616642.00
2017/04/27	1003	22.96	22.96	22.78	22.78	132800	3035559.00
2017/04/27	1004	22.80	22.89	22.78	22.88	116200	2657498.00
2017/04/27	1005	22.89	22.89	22.85	22.85	92800	2124324.00
2017/04/27	1006	22.85	22.92	22.85	22.91	26000	595256.00
2017/04/27	1007	22.92	22.97	22.92	22.97	25800	592205.00
2017/04/27	1008	23.01	23.01	22.95	22.98	103700	2384453.00
2017/04/27	1009	22.98	22.99	22.98	22.98	69000	1587067.00
2017/04/27	1010	23.00	23.01	22.99	23.00	11300	260123.00
2017/04/27	1011	23.00	23.03	22.99	23.03	39900	918505.00
2017/04/27	1012	23.03	23.03	22.98	22.98	75400	1735197.00
