000768 中航飞机 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	23.24	23.24	23.08	23.14	358800	8335538.00
2017/04/27	0932	23.12	23.13	23.05	23.08	207000	4789451.00
2017/04/27	0933	23.07	23.08	23.00	23.00	258700	5971718.00
2017/04/27	0934	23.00	23.12	22.98	23.12	126800	2926091.00
2017/04/27	0935	23.12	23.22	23.12	23.19	208300	4839085.00
2017/04/27	0936	23.19	23.20	23.10	23.10	143600	3332420.00
2017/04/27	0937	23.10	23.10	22.99	22.99	136500	3149446.00
2017/04/27	0938	22.96	23.00	22.95	22.97	263700	6069854.00
2017/04/27	0939	23.00	23.15	22.97	23.14	133200	3074236.00
2017/04/27	0940	23.13	23.14	23.04	23.04	133800	3096960.00
2017/04/27	0941	23.05	23.20	23.05	23.20	342900	7948137.00
2017/04/27	0942	23.19	23.22	23.13	23.14	214400	4979071.00
2017/04/27	0943	23.15	23.18	23.12	23.17	141300	3278869.00
2017/04/27	0944	23.17	23.29	23.17	23.29	465000	10826591.00
2017/04/27	0945	23.30	23.30	23.25	23.25	468500	10931687.00
2017/04/27	0946	23.26	23.26	23.21	23.22	219500	5109423.00
2017/04/27	0947	23.22	23.22	23.19	23.20	154400	3590092.00
2017/04/27	0948	23.20	23.22	23.20	23.21	144600	3362834.00
2017/04/27	0949	23.21	23.21	23.13	23.15	180900	4198862.00
2017/04/27	0950	23.15	23.20	23.15	23.19	136900	3180329.00
2017/04/27	0951	23.19	23.21	23.15	23.17	126000	2927727.00
2017/04/27	0952	23.15	23.18	23.10	23.10	141500	3281924.00
2017/04/27	0953	23.11	23.11	23.07	23.07	145700	3372147.00
2017/04/27	0954	23.07	23.18	23.07	23.15	152900	3540705.00
2017/04/27	0955	23.15	23.19	23.15	23.18	137600	3195446.00
2017/04/27	0956	23.18	23.20	23.16	23.16	139000	3228582.00
2017/04/27	0957	23.15	23.16	23.15	23.15	85300	1979076.00
2017/04/27	0958	23.15	23.16	23.14	23.15	87900	2039554.00
2017/04/27	0959	23.15	23.15	23.07	23.07	181300	4198825.00
2017/04/27	1000	23.08	23.10	23.00	23.00	328400	7587592.00
2017/04/27	1001	23.00	23.03	22.96	22.99	352400	8118990.00
2017/04/27	1002	22.97	23.05	22.97	23.05	545100	12566706.00
2017/04/27	1003	23.06	23.10	23.04	23.10	201500	4656110.00
2017/04/27	1004	23.10	23.11	23.07	23.07	134700	3118322.00
2017/04/27	1005	23.07	23.09	23.06	23.09	205900	4761503.00
2017/04/27	1006	23.09	23.15	23.08	23.13	157200	3641589.00
2017/04/27	1007	23.17	23.19	23.15	23.18	156600	3636877.00
2017/04/27	1008	23.20	23.20	23.13	23.15	98400	2285585.00
2017/04/27	1009	23.16	23.16	23.11	23.11	60900	1412670.00
2017/04/27	1010	23.13	23.15	23.10	23.13	128900	2988264.00
2017/04/27	1011	23.15	23.15	23.13	23.14	77500	1797401.13
2017/04/27	1012	23.13	23.14	23.10	23.11	145800	3378739.00
2017/04/27	1013	23.10	23.10	23.08	23.09	98600	2281745.00
2017/04/27	1014	23.07	23.10	23.07	23.10	65700	1519943.00
2017/04/27	1015	23.13	23.13	23.09	23.09	37600	871297.00
2017/04/27	1016	23.13	23.13	23.08	23.10	66000	1527815.00
2017/04/27	1017	23.12	23.12	23.09	23.09	43600	1009317.00
2017/04/27	1018	23.12	23.12	23.09	23.09	20000	463210.00
2017/04/27	1019	23.11	23.13	23.09	23.10	77600	1796908.00
2017/04/27	1020	23.10	23.12	23.09	23.10	74400	1722814.00
2017/04/27	1021	23.12	23.12	23.08	23.09	87700	2029580.00
2017/04/27	1022	23.08	23.08	23.05	23.05	224300	5184445.00
2017/04/27	1023	23.05	23.05	23.02	23.02	124800	2881354.00
2017/04/27	1024	23.02	23.06	23.01	23.06	117200	2704477.00
2017/04/27	1025	23.06	23.08	23.05	23.08	108800	2514923.00
2017/04/27	1026	23.10	23.10	23.06	23.06	51100	1182566.00
2017/04/27	1027	23.09	23.11	23.09	23.11	35900	831054.00
2017/04/27	1028	23.11	23.11	23.09	23.09	60200	1393580.00
2017/04/27	1029	23.11	23.11	23.08	23.09	62000	1435575.00
2017/04/27	1030	23.10	23.10	23.08	23.09	48800	1129204.00
2017/04/27	1031	23.08	23.08	23.02	23.03	174900	4041266.00
2017/04/27	1032	23.04	23.04	22.98	22.99	222800	5135652.00
2017/04/27	1033	22.97	22.98	22.77	22.77	477800	10970064.00
2017/04/27	1034	22.75	22.87	22.72	22.87	439900	10049451.00
2017/04/27	1035	22.88	22.91	22.84	22.84	177700	4074523.00
2017/04/27	1036	22.84	22.84	22.75	22.76	505600	11539056.00
2017/04/27	1037	22.75	22.83	22.75	22.83	355300	8115117.00
2017/04/27	1038	22.84	22.86	22.82	22.85	230500	5278188.00
2017/04/27	1039	22.83	22.88	22.83	22.88	111200	2547513.00
2017/04/27	1040	22.88	23.04	22.86	23.04	139900	3214737.00
2017/04/27	1041	22.96	22.96	22.86	22.90	142300	3267602.00
2017/04/27	1042	22.92	22.96	22.90	22.96	91000	2089737.00
2017/04/27	1043	22.97	22.97	22.93	22.93	86100	1980927.00
2017/04/27	1044	22.93	22.93	22.86	22.89	53100	1218110.00
2017/04/27	1045	22.91	22.96	22.91	22.94	47700	1096407.00
