000776 广发证券 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.31	16.34	16.30	16.30	327200	5451267.00
2017/04/27	0932	16.34	16.34	16.31	16.32	64700	1078581.00
2017/04/27	0933	16.32	16.34	16.31	16.31	119200	1987492.00
2017/04/27	0934	16.32	16.35	16.30	16.35	265400	4424469.00
2017/04/27	0935	16.33	16.38	16.33	16.38	53200	889029.00
2017/04/27	0936	16.37	16.38	16.33	16.34	159000	2655308.00
2017/04/27	0937	16.33	16.33	16.25	16.26	363600	6043440.00
2017/04/27	0938	16.26	16.29	16.25	16.28	131400	2184369.00
2017/04/27	0939	16.28	16.28	16.26	16.27	226700	3768109.00
2017/04/27	0940	16.28	16.30	16.26	16.29	187900	3126059.00
2017/04/27	0941	16.29	16.35	16.29	16.34	150000	2499866.00
2017/04/27	0942	16.34	16.35	16.32	16.32	44700	745492.00
2017/04/27	0943	16.33	16.35	16.32	16.35	53800	897833.00
2017/04/27	0944	16.36	16.39	16.35	16.39	57200	956476.94
2017/04/27	0945	16.38	16.40	16.37	16.38	62900	1052780.00
2017/04/27	0946	16.39	16.41	16.39	16.40	97200	1627868.00
2017/04/27	0947	16.41	16.41	16.37	16.37	161600	2705493.00
2017/04/27	0948	16.37	16.37	16.32	16.32	38200	638250.00
2017/04/27	0949	16.34	16.35	16.31	16.32	131900	2199216.00
2017/04/27	0950	16.31	16.35	16.31	16.35	44500	742276.00
2017/04/27	0951	16.34	16.36	16.34	16.35	39400	658067.00
2017/04/27	0952	16.34	16.34	16.33	16.34	27400	457296.00
2017/04/27	0953	16.33	16.34	16.32	16.34	124900	2083919.00
2017/04/27	0954	16.33	16.34	16.33	16.34	95400	1591877.00
2017/04/27	0955	16.33	16.33	16.31	16.32	146700	2445699.00
2017/04/27	0956	16.31	16.32	16.30	16.30	102000	1699796.00
2017/04/27	0957	16.31	16.31	16.29	16.30	60900	1014444.00
2017/04/27	0958	16.30	16.30	16.28	16.29	58500	973539.00
2017/04/27	0959	16.28	16.28	16.24	16.24	294900	4895228.00
2017/04/27	1000	16.25	16.25	16.23	16.24	90700	1504631.00
2017/04/27	1001	16.23	16.25	16.23	16.23	106900	1773308.00
2017/04/27	1002	16.26	16.27	16.22	16.24	217200	3602582.00
2017/04/27	1003	16.24	16.25	16.23	16.24	80800	1340438.00
2017/04/27	1004	16.23	16.25	16.23	16.24	103700	1720422.00
2017/04/27	1005	16.24	16.24	16.23	16.24	94200	1562564.00
2017/04/27	1006	16.24	16.25	16.23	16.25	141300	2343292.00
2017/04/27	1007	16.24	16.27	16.24	16.26	32100	533031.00
2017/04/27	1008	16.27	16.27	16.24	16.24	40900	679122.00
2017/04/27	1009	16.25	16.25	16.24	16.24	96700	1604679.00
2017/04/27	1010	16.23	16.25	16.23	16.25	33900	562304.00
