000793 华闻传媒 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	10.69	10.76	10.69	10.75	42000	451311.00
2017/04/27	0932	10.75	10.76	10.75	10.75	43700	471746.00
2017/04/27	0933	10.74	10.74	10.73	10.74	43700	470855.00
2017/04/27	0934	10.74	10.77	10.72	10.77	185800	2004084.00
2017/04/27	0935	10.75	10.77	10.75	10.77	29000	313278.00
2017/04/27	0936	10.76	10.76	10.75	10.76	23400	252713.00
2017/04/27	0937	10.73	10.76	10.73	10.74	68600	738933.00
2017/04/27	0938	10.74	10.75	10.72	10.72	21000	226435.00
2017/04/27	0939	10.72	10.75	10.72	10.75	45300	487941.00
2017/04/27	0940	10.75	10.76	10.74	10.76	11100	119816.00
2017/04/27	0941	10.74	10.76	10.74	10.75	27900	300925.00
2017/04/27	0942	10.75	10.76	10.75	10.75	8400	90637.00
2017/04/27	0943	10.76	10.76	10.75	10.76	4000	43172.00
2017/04/27	0944	10.76	10.77	10.76	10.77	57600	622193.00
2017/04/27	0945	10.77	10.78	10.76	10.78	36500	394552.00
2017/04/27	0946	10.78	10.78	10.76	10.76	27400	296206.00
2017/04/27	0947	10.76	10.77	10.76	10.76	37000	399768.00
2017/04/27	0948	10.76	10.77	10.75	10.75	25900	279564.00
2017/04/27	0949	10.76	10.76	10.76	10.76	37500	405000.00
2017/04/27	0950	10.77	10.77	10.76	10.77	6900	74552.01
2017/04/27	0951	10.76	10.77	10.76	10.76	30500	329450.03
2017/04/27	0952	10.75	10.76	10.75	10.76	31900	344482.00
2017/04/27	0953	10.76	10.76	10.76	10.76	39100	422280.00
2017/04/27	0954	10.76	10.77	10.76	10.77	107600	1162279.00
2017/04/27	0955	10.77	10.77	10.77	10.77	77700	839937.06
2017/04/27	0956	10.76	10.77	10.76	10.77	74000	799421.00
2017/04/27	0957	10.77	10.77	10.76	10.76	44600	481689.00
2017/04/27	0958	10.76	10.76	10.74	10.74	66600	718585.00
2017/04/27	0959	10.74	10.75	10.74	10.74	23100	249026.00
2017/04/27	1000	10.74	10.75	10.73	10.73	103400	1114061.00
2017/04/27	1001	10.73	10.73	10.71	10.71	100800	1084258.00
2017/04/27	1002	10.70	10.71	10.68	10.71	199700	2143049.00
2017/04/27	1003	10.71	10.71	10.67	10.71	202300	2169263.00
2017/04/27	1004	10.71	10.72	10.71	10.72	43600	468935.00
2017/04/27	1005	10.72	10.72	10.71	10.71	18900	203289.00
2017/04/27	1006	10.72	10.72	10.71	10.71	121000	1300761.00
2017/04/27	1007	10.71	10.71	10.70	10.71	42500	456862.00
2017/04/27	1008	10.71	10.72	10.70	10.72	22100	237569.00
2017/04/27	1009	10.72	10.73	10.71	10.73	35200	379030.00
2017/04/27	1010	10.73	10.73	10.72	10.73	16200	174464.02
2017/04/27	1011	10.73	10.74	10.73	10.74	45900	494683.00
2017/04/27	1012	10.73	10.75	10.73	10.75	20200	217956.00
2017/04/27	1013	10.75	10.75	10.73	10.73	9100	98094.00
2017/04/27	1014	10.73	10.74	10.73	10.73	7000	75392.01
2017/04/27	1015	10.74	10.74	10.72	10.72	51400	553421.00
2017/04/27	1016	10.72	10.74	10.72	10.72	29500	317553.00
2017/04/27	1017	10.72	10.73	10.71	10.71	115200	1239494.00
2017/04/27	1018	10.71	10.73	10.71	10.71	8800	94655.00
2017/04/27	1019	10.72	10.73	10.71	10.72	19300	207698.00
2017/04/27	1020	10.71	10.73	10.71	10.72	10800	116248.00
2017/04/27	1021	10.72	10.72	10.71	10.71	36800	395668.00
2017/04/27	1022	10.71	10.73	10.71	10.73	29100	313271.00
2017/04/27	1023	10.73	10.73	10.72	10.73	33400	359455.00
2017/04/27	1024	10.72	10.73	10.72	10.72	30700	330407.00
2017/04/27	1025	10.73	10.73	10.71	10.72	94700	1019193.00
2017/04/27	1026	10.71	10.73	10.71	10.72	46200	496957.00
2017/04/27	1027	10.72	10.73	10.72	10.72	62500	672502.00
2017/04/27	1028	10.72	10.73	10.72	10.73	9100	97918.00
2017/04/27	1029	10.72	10.73	10.72	10.73	32400	348854.00
2017/04/27	1030	10.73	10.73	10.73	10.73	2600	28002.00
2017/04/27	1031	10.72	10.73	10.72	10.72	47400	510027.00
2017/04/27	1032	10.72	10.73	10.72	10.72	3600	38738.00
2017/04/27	1033	10.72	10.73	10.71	10.73	35200	378755.00
2017/04/27	1034	10.72	10.73	10.72	10.72	65700	706948.00
2017/04/27	1035	10.72	10.73	10.71	10.71	92600	995826.00
2017/04/27	1036	10.72	10.72	10.71	10.71	26800	288178.00
2017/04/27	1037	10.70	10.71	10.69	10.69	238700	2563764.00
2017/04/27	1038	10.69	10.70	10.69	10.69	22000	236217.00
2017/04/27	1039	10.69	10.70	10.69	10.69	84000	901327.00
2017/04/27	1040	10.69	10.70	10.69	10.69	28100	301620.97
2017/04/27	1041	10.70	10.72	10.70	10.70	103700	1113913.00
2017/04/27	1042	10.72	10.72	10.70	10.71	12400	133281.00
2017/04/27	1043	10.71	10.73	10.71	10.73	13700	147379.00
2017/04/27	1044	10.73	10.73	10.72	10.72	91400	983864.06
2017/04/27	1045	10.74	10.74	10.73	10.74	16600	178905.00
2017/04/27	1046	10.74	10.74	10.73	10.74	11500	123882.00
2017/04/27	1047	10.74	10.74	10.73	10.73	9300	100184.00
2017/04/27	1048	10.72	10.73	10.72	10.73	13800	148602.00
2017/04/27	1049	10.73	10.74	10.73	10.74	2500	26927.00
2017/04/27	1050	10.74	10.74	10.73	10.73	8100	87239.00
2017/04/27	1051	10.72	10.74	10.71	10.71	61800	664608.00
2017/04/27	1052	10.73	10.73	10.71	10.73	20000	215244.00
2017/04/27	1053	10.71	10.73	10.71	10.71	36400	391524.00
2017/04/27	1054	10.72	10.72	10.71	10.72	3800	40863.00
2017/04/27	1055	10.72	10.73	10.71	10.73	18100	194837.00
