000826 启迪桑德 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	36.51	36.52	36.35	36.35	173800	6379351.00
2017/04/27	0932	36.37	36.43	36.31	36.43	137800	5038200.00
2017/04/27	0933	36.43	36.61	36.42	36.61	67300	2466780.00
2017/04/27	0934	36.66	36.71	36.61	36.70	75500	2784321.00
2017/04/27	0935	36.64	36.70	36.51	36.60	67200	2476020.00
2017/04/27	0936	36.61	36.61	36.50	36.51	91500	3361022.00
2017/04/27	0937	36.51	36.75	36.51	36.71	117700	4339846.00
2017/04/27	0938	36.71	36.80	36.71	36.78	196100	7247226.00
2017/04/27	0939	36.78	36.83	36.78	36.81	163200	6037699.00
2017/04/27	0940	36.85	37.01	36.85	37.00	134200	4982256.00
2017/04/27	0941	37.00	37.05	36.92	36.92	205700	7654825.00
2017/04/27	0942	37.04	37.04	36.87	36.91	106400	3949272.00
2017/04/27	0943	36.95	37.00	36.90	37.00	156800	5828337.00
2017/04/27	0944	36.98	36.98	36.82	36.83	73100	2713221.00
2017/04/27	0945	36.83	36.90	36.80	36.89	140600	5205181.00
2017/04/27	0946	36.88	36.88	36.70	36.71	79400	2935599.00
2017/04/27	0947	36.70	36.70	36.61	36.63	122200	4501949.00
2017/04/27	0948	36.63	36.70	36.62	36.66	50700	1868682.00
2017/04/27	0949	36.70	36.70	36.53	36.53	118700	4368720.00
2017/04/27	0950	36.56	36.58	36.53	36.55	72700	2671864.00
2017/04/27	0951	36.55	36.67	36.54	36.67	36400	1339581.00
2017/04/27	0952	36.67	36.73	36.67	36.70	37300	1376550.00
2017/04/27	0953	36.70	36.73	36.68	36.70	47800	1763804.00
2017/04/27	0954	36.70	36.71	36.67	36.68	42600	1571493.00
2017/04/27	0955	36.71	36.79	36.70	36.79	59000	2179822.00
2017/04/27	0956	36.79	36.87	36.76	36.86	35000	1295169.00
2017/04/27	0957	36.82	36.87	36.82	36.85	76800	2844689.00
2017/04/27	0958	36.83	36.83	36.67	36.67	99000	3659820.00
2017/04/27	0959	36.66	36.66	36.54	36.54	58500	2153296.00
2017/04/27	1000	36.50	36.53	36.48	36.50	157600	5784069.00
2017/04/27	1001	36.60	36.60	36.51	36.52	79300	2914099.00
2017/04/27	1002	36.52	36.59	36.52	36.59	76200	2799062.00
2017/04/27	1003	36.62	36.62	36.52	36.53	68900	2531202.00
2017/04/27	1004	36.53	36.61	36.53	36.59	92100	3388532.00
2017/04/27	1005	36.59	36.59	36.58	36.59	13900	511278.00
2017/04/27	1006	36.58	36.59	36.55	36.55	40600	1492628.00
2017/04/27	1007	36.57	36.57	36.54	36.57	71600	2632053.00
2017/04/27	1008	36.56	36.58	36.53	36.54	71200	2616969.00
2017/04/27	1009	36.54	36.58	36.54	36.57	34100	1253587.00
2017/04/27	1010	36.57	36.61	36.56	36.60	39900	1467281.00
