000917 电广传媒 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	12.31	12.31	12.25	12.26	45500	560617.00
2017/04/27	0932	12.24	12.26	12.24	12.25	11500	141285.00
2017/04/27	0933	12.25	12.26	12.22	12.25	150500	1845066.00
2017/04/27	0934	12.26	12.35	12.23	12.30	72900	899501.00
2017/04/27	0935	12.30	12.32	12.29	12.32	18400	227181.00
2017/04/27	0936	12.32	12.32	12.27	12.27	73800	909998.00
2017/04/27	0937	12.27	12.28	12.25	12.25	77800	956754.00
2017/04/27	0938	12.24	12.26	12.23	12.23	75400	925549.00
2017/04/27	0939	12.23	12.25	12.20	12.22	59500	728955.00
2017/04/27	0940	12.24	12.25	12.22	12.23	127600	1563523.00
2017/04/27	0941	12.23	12.27	12.23	12.24	86400	1059971.00
2017/04/27	0942	12.24	12.24	12.23	12.23	47900	587688.00
2017/04/27	0943	12.24	12.24	12.22	12.24	52800	647337.00
2017/04/27	0944	12.24	12.25	12.24	12.24	14500	177921.00
2017/04/27	0945	12.23	12.24	12.22	12.22	61500	753872.00
2017/04/27	0946	12.23	12.23	12.22	12.22	41200	504788.00
2017/04/27	0947	12.22	12.24	12.22	12.22	30600	374898.00
2017/04/27	0948	12.23	12.23	12.21	12.22	41900	513031.00
2017/04/27	0949	12.22	12.22	12.21	12.21	75100	919892.00
2017/04/27	0950	12.21	12.21	12.20	12.20	109700	1342345.00
2017/04/27	0951	12.20	12.21	12.19	12.19	96300	1177471.00
2017/04/27	0952	12.18	12.20	12.18	12.20	23000	280979.00
2017/04/27	0953	12.21	12.23	12.19	12.22	87300	1068290.00
2017/04/27	0954	12.22	12.22	12.18	12.19	37400	457077.00
2017/04/27	0955	12.20	12.22	12.18	12.20	87300	1066508.00
2017/04/27	0956	12.20	12.21	12.20	12.20	48500	593199.00
2017/04/27	0957	12.21	12.22	12.19	12.21	26700	326592.00
2017/04/27	0958	12.21	12.22	12.20	12.20	30900	378119.00
2017/04/27	0959	12.20	12.20	12.15	12.15	169500	2067259.00
2017/04/27	1000	12.14	12.15	11.99	12.03	175600	2125415.00
2017/04/27	1001	12.03	12.05	12.00	12.03	290400	3501413.00
2017/04/27	1002	12.03	12.07	12.03	12.05	106800	1289276.00
2017/04/27	1003	12.07	12.09	12.05	12.08	121000	1464655.00
2017/04/27	1004	12.08	12.08	12.06	12.06	47800	578497.00
2017/04/27	1005	12.07	12.08	12.05	12.08	92200	1115043.00
2017/04/27	1006	12.07	12.07	12.05	12.05	73100	883523.00
2017/04/27	1007	12.04	12.05	12.03	12.03	105000	1267579.00
2017/04/27	1008	12.04	12.07	12.03	12.05	134400	1622928.00
2017/04/27	1009	12.05	12.05	12.04	12.05	66900	807839.00
2017/04/27	1010	12.04	12.05	12.04	12.05	63500	766969.00
2017/04/27	1011	12.05	12.08	12.05	12.08	66100	799820.00
2017/04/27	1012	12.08	12.12	12.08	12.10	77500	940092.00
2017/04/27	1013	12.09	12.10	12.07	12.08	71000	860613.00
2017/04/27	1014	12.08	12.08	12.05	12.06	32400	392024.00
2017/04/27	1015	12.07	12.07	12.05	12.07	99300	1200549.00
2017/04/27	1016	12.06	12.07	12.05	12.07	29500	356861.00
2017/04/27	1017	12.05	12.06	12.03	12.05	66300	800580.00
2017/04/27	1018	12.04	12.04	12.02	12.03	67800	817648.00
2017/04/27	1019	12.02	12.03	12.00	12.02	237700	2865669.00
2017/04/27	1020	12.01	12.03	11.98	12.02	204500	2459538.00
2017/04/27	1021	12.02	12.04	12.02	12.04	172600	2081604.00
2017/04/27	1022	12.04	12.07	12.03	12.07	123600	1492755.00
2017/04/27	1023	12.07	12.07	12.03	12.06	128000	1546582.00
2017/04/27	1024	12.04	12.07	12.04	12.04	23400	282671.00
2017/04/27	1025	12.04	12.05	12.04	12.04	63500	766515.00
2017/04/27	1026	12.05	12.05	12.03	12.03	83200	1004209.00
2017/04/27	1027	12.03	12.04	12.02	12.02	124900	1506195.00
2017/04/27	1028	12.02	12.04	12.02	12.02	27700	333905.00
2017/04/27	1029	12.01	12.02	12.00	12.00	60000	722384.00
2017/04/27	1030	12.01	12.01	11.99	11.99	101800	1225159.00
2017/04/27	1031	12.00	12.01	11.99	11.99	98400	1183308.00
2017/04/27	1032	11.99	11.99	11.88	11.88	495100	5935951.00
2017/04/27	1033	11.87	11.92	11.87	11.92	354300	4222381.00
2017/04/27	1034	11.91	11.93	11.90	11.93	242900	2901860.00
2017/04/27	1035	11.92	11.92	11.88	11.89	206600	2463249.00
2017/04/27	1036	11.89	11.90	11.88	11.89	242800	2894558.00
2017/04/27	1037	11.89	11.90	11.88	11.89	231100	2756482.00
2017/04/27	1038	11.89	11.91	11.89	11.91	71700	854881.00
2017/04/27	1039	11.91	11.93	11.91	11.92	183200	2188858.00
2017/04/27	1040	11.93	11.94	11.92	11.94	65700	785824.00
2017/04/27	1041	11.94	11.94	11.92	11.94	109100	1304309.00
2017/04/27	1042	11.95	11.96	11.95	11.95	74900	897560.94
2017/04/27	1043	11.95	11.97	11.95	11.95	117500	1408843.00
2017/04/27	1044	11.95	11.95	11.92	11.95	18500	221245.00
2017/04/27	1045	11.95	11.97	11.95	11.95	171400	2053744.00
2017/04/27	1046	11.95	11.96	11.95	11.95	18900	226533.98
2017/04/27	1047	11.96	11.97	11.95	11.97	90900	1089990.00
2017/04/27	1048	11.97	11.99	11.96	11.98	41200	494112.00
2017/04/27	1049	11.97	11.98	11.95	11.97	41700	499809.00
2017/04/27	1050	11.96	11.96	11.96	11.96	34000	407660.00
2017/04/27	1051	11.97	11.97	11.96	11.96	15400	184745.00
2017/04/27	1052	11.96	11.96	11.95	11.96	56300	674900.00
2017/04/27	1053	11.96	11.96	11.94	11.96	42100	504453.00
2017/04/27	1054	11.96	11.96	11.95	11.95	52100	624330.00
2017/04/27	1055	11.95	11.98	11.95	11.97	85000	1018974.94
2017/04/27	1056	11.98	11.98	11.95	11.97	24600	294885.00
2017/04/27	1057	11.97	11.98	11.95	11.98	40000	479822.00
2017/04/27	1058	11.97	11.98	11.96	11.97	63000	756159.00
2017/04/27	1059	11.96	11.98	11.96	11.97	42000	503982.00
2017/04/27	1100	11.97	11.99	11.97	11.99	33700	404880.00
2017/04/27	1101	12.00	12.04	12.00	12.04	49100	591428.00
2017/04/27	1102	12.01	12.04	12.01	12.03	56900	685594.00
2017/04/27	1103	12.04	12.06	12.04	12.05	47900	578557.00
2017/04/27	1104	12.06	12.06	12.04	12.04	64200	775411.00
2017/04/27	1105	12.04	12.06	12.03	12.06	39100	472282.00
2017/04/27	1106	12.06	12.06	12.05	12.05	50700	612719.00
2017/04/27	1107	12.05	12.05	12.03	12.04	45600	550207.00
2017/04/27	1108	12.05	12.05	12.04	12.04	28500	344044.00
2017/04/27	1109	12.04	12.05	12.02	12.02	43800	527973.00
2017/04/27	1110	12.01	12.01	12.00	12.00	18400	221406.00
2017/04/27	1111	12.01	12.02	12.00	12.00	31400	378039.00
2017/04/27	1112	12.01	12.02	12.00	12.02	27100	326273.00
2017/04/27	1113	12.02	12.04	12.01	12.04	28600	344544.00
2017/04/27	1114	12.02	12.02	12.02	12.02	19700	237385.00
2017/04/27	1115	12.03	12.06	12.03	12.06	49300	595200.00
2017/04/27	1116	12.06	12.07	12.06	12.06	28900	349521.00
2017/04/27	1117	12.06	12.06	12.05	12.05	36800	444796.00
2017/04/27	1118	12.06	12.07	12.06	12.07	47800	578341.00
2017/04/27	1119	12.08	12.09	12.07	12.09	24900	301587.00
2017/04/27	1120	12.09	12.10	12.09	12.09	50600	613320.00
2017/04/27	1121	12.09	12.09	12.08	12.09	23900	289567.00
2017/04/27	1122	12.08	12.09	12.08	12.08	20100	243529.00
2017/04/27	1123	12.08	12.08	12.06	12.06	39300	475530.00
2017/04/27	1124	12.06	12.06	12.05	12.05	23600	285257.00
2017/04/27	1125	12.05	12.06	12.04	12.04	43800	529033.00
2017/04/27	1126	12.04	12.05	12.04	12.05	6800	82111.00
2017/04/27	1127	12.05	12.06	12.05	12.05	15100	182460.00
2017/04/27	1128	12.06	12.06	12.05	12.06	34400	415683.00
2017/04/27	1129	12.07	12.07	12.06	12.07	4800	58044.00
2017/04/27	1300	12.06	12.09	12.06	12.08	182600	2209388.00
2017/04/27	1301	12.08	12.08	12.08	12.08	0	0.00
2017/04/27	1302	12.08	12.08	12.08	12.08	4100	49651.00
2017/04/27	1303	12.08	12.08	12.07	12.07	37200	450237.00
2017/04/27	1304	12.07	12.07	12.07	12.07	19600	237160.00
2017/04/27	1305	12.07	12.07	12.06	12.07	9800	118557.00
2017/04/27	1306	12.07	12.09	12.07	12.09	26800	324555.00
2017/04/27	1307	12.07	12.10	12.07	12.10	44400	537596.00
2017/04/27	1308	12.10	12.10	12.10	12.10	16700	202571.00
2017/04/27	1309	12.10	12.10	12.09	12.10	8100	98214.00
2017/04/27	1310	12.10	12.10	12.08	12.10	41500	503171.00
2017/04/27	1311	12.09	12.10	12.09	12.09	9600	116358.00
2017/04/27	1312	12.09	12.11	12.09	12.11	11200	135873.00
2017/04/27	1313	12.11	12.11	12.11	12.11	25600	310784.00
2017/04/27	1314	12.11	12.11	12.10	12.10	19100	231747.00
2017/04/27	1315	12.11	12.11	12.09	12.09	36100	437820.00
2017/04/27	1316	12.09	12.10	12.08	12.10	57100	691562.00
2017/04/27	1317	12.10	12.10	12.08	12.09	20900	253289.00
2017/04/27	1318	12.09	12.10	12.08	12.08	48100	582921.00
2017/04/27	1319	12.10	12.10	12.07	12.10	33600	406797.00
2017/04/27	1320	12.10	12.10	12.08	12.10	36900	447315.00
2017/04/27	1321	12.10	12.15	12.10	12.15	70400	856033.00
2017/04/27	1322	12.15	12.16	12.15	12.16	31700	386286.00
2017/04/27	1323	12.16	12.16	12.15	12.16	62000	755441.00
2017/04/27	1324	12.16	12.18	12.16	12.18	85600	1043819.00
2017/04/27	1325	12.17	12.20	12.17	12.20	52700	643590.00
2017/04/27	1326	12.19	12.20	12.17	12.20	46100	563715.00
2017/04/27	1327	12.19	12.20	12.18	12.18	20900	255356.00
2017/04/27	1328	12.18	12.20	12.18	12.20	64100	783716.00
2017/04/27	1329	12.20	12.21	12.19	12.19	49900	610022.00
2017/04/27	1330	12.19	12.20	12.16	12.20	145100	1770360.00
2017/04/27	1331	12.20	12.22	12.20	12.22	23700	290010.00
2017/04/27	1332	12.22	12.22	12.18	12.21	52400	641491.00
2017/04/27	1333	12.21	12.22	12.20	12.21	32700	400488.00
2017/04/27	1334	12.22	12.22	12.20	12.22	16600	203269.00
2017/04/27	1335	12.21	12.22	12.21	12.21	23600	288900.00
2017/04/27	1336	12.21	12.22	12.20	12.22	39800	487173.00
2017/04/27	1337	12.22	12.22	12.20	12.20	47000	575327.00
2017/04/27	1338	12.21	12.21	12.19	12.19	43300	529515.00
2017/04/27	1339	12.19	12.19	12.18	12.19	13000	158847.00
2017/04/27	1340	12.19	12.19	12.18	12.18	40900	499536.00
2017/04/27	1341	12.18	12.18	12.16	12.16	42400	517512.00
2017/04/27	1342	12.17	12.18	12.17	12.17	26000	317208.00
2017/04/27	1343	12.18	12.18	12.17	12.17	40900	499047.00
2017/04/27	1344	12.17	12.18	12.17	12.17	30700	374676.00
2017/04/27	1345	12.18	12.18	12.16	12.18	97100	1184178.00
2017/04/27	1346	12.17	12.17	12.15	12.16	54600	665426.00
2017/04/27	1347	12.16	12.17	12.16	12.16	25300	308432.00
2017/04/27	1348	12.16	12.21	12.16	12.21	76700	937493.00
2017/04/27	1349	12.22	12.25	12.22	12.25	74700	916164.00
2017/04/27	1350	12.25	12.26	12.25	12.25	42300	519559.00
2017/04/27	1351	12.26	12.26	12.24	12.24	28900	354837.00
2017/04/27	1352	12.23	12.24	12.23	12.23	19000	233041.00
2017/04/27	1353	12.23	12.24	12.22	12.22	18300	224299.00
2017/04/27	1354	12.23	12.24	12.22	12.24	11200	137245.00
2017/04/27	1355	12.23	12.24	12.22	12.23	32600	399712.00
2017/04/27	1356	12.23	12.23	12.22	12.22	34500	422953.00
2017/04/27	1357	12.22	12.23	12.13	12.20	391200	4761752.00
2017/04/27	1358	12.20	12.21	12.18	12.20	28300	346188.00
2017/04/27	1359	12.20	12.23	12.19	12.23	40000	489659.00
2017/04/27	1400	12.23	12.24	12.22	12.24	25700	315040.00
2017/04/27	1401	12.24	12.24	12.23	12.23	25700	315309.03
2017/04/27	1402	12.24	12.24	12.23	12.24	29100	357030.00
2017/04/27	1403	12.24	12.24	12.23	12.24	12400	152141.00
2017/04/27	1404	12.24	12.25	12.24	12.25	37700	462864.00
2017/04/27	1405	12.25	12.26	12.25	12.26	18600	228460.00
2017/04/27	1406	12.26	12.26	12.24	12.24	43600	535400.00
2017/04/27	1407	12.25	12.25	12.24	12.24	31200	382907.00
2017/04/27	1408	12.24	12.24	12.23	12.23	37200	456162.00
2017/04/27	1409	12.24	12.24	12.22	12.23	15800	193648.00
2017/04/27	1410	12.23	12.23	12.20	12.20	33200	406750.00
2017/04/27	1411	12.20	12.22	12.20	12.22	9000	110202.00
2017/04/27	1412	12.22	12.23	12.21	12.22	32400	396961.00
2017/04/27	1413	12.22	12.25	12.22	12.25	28600	350939.00
2017/04/27	1414	12.25	12.25	12.24	12.25	46200	567151.00
2017/04/27	1415	12.24	12.26	12.24	12.26	7500	92118.00
2017/04/27	1416	12.25	12.26	12.24	12.25	91800	1126552.00
2017/04/27	1417	12.24	12.25	12.24	12.24	17000	208742.00
2017/04/27	1418	12.24	12.25	12.24	12.25	24300	298346.00
2017/04/27	1419	12.25	12.25	12.24	12.25	13400	164524.00
2017/04/27	1420	12.25	12.25	12.24	12.24	12800	157180.00
2017/04/27	1421	12.24	12.25	12.24	12.25	39700	487180.00
2017/04/27	1422	12.24	12.25	12.24	12.24	12400	152189.00
2017/04/27	1423	12.24	12.25	12.24	12.25	35000	429680.00
2017/04/27	1424	12.25	12.27	12.25	12.27	55500	682045.00
2017/04/27	1425	12.27	12.27	12.25	12.26	26600	326958.00
2017/04/27	1426	12.26	12.26	12.25	12.26	13500	165859.00
2017/04/27	1427	12.26	12.31	12.25	12.31	268700	3307733.00
2017/04/27	1428	12.31	12.32	12.29	12.31	142100	1753156.00
2017/04/27	1429	12.30	12.31	12.30	12.31	70900	874748.00
2017/04/27	1430	12.30	12.31	12.30	12.30	33400	411828.00
2017/04/27	1431	12.29	12.30	12.28	12.28	57100	703188.00
2017/04/27	1432	12.28	12.28	12.27	12.27	36600	450383.00
2017/04/27	1433	12.27	12.28	12.26	12.28	7800	95918.00
2017/04/27	1434	12.28	12.31	12.27	12.31	56400	695211.00
2017/04/27	1435	12.28	12.30	12.28	12.29	10600	130607.00
2017/04/27	1436	12.29	12.30	12.29	12.30	59500	733563.00
2017/04/27	1437	12.31	12.32	12.31	12.31	48000	592333.00
2017/04/27	1438	12.31	12.32	12.31	12.32	34800	429539.00
2017/04/27	1439	12.32	12.33	12.32	12.33	53600	662019.00
2017/04/27	1440	12.33	12.36	12.32	12.36	140300	1736174.00
2017/04/27	1441	12.37	12.42	12.37	12.39	160300	1991502.00
2017/04/27	1442	12.39	12.39	12.37	12.37	105000	1303397.00
2017/04/27	1443	12.38	12.38	12.36	12.36	58100	720428.00
2017/04/27	1444	12.36	12.36	12.33	12.33	52300	647492.00
2017/04/27	1445	12.33	12.34	12.32	12.32	54600	674829.00
2017/04/27	1446	12.33	12.33	12.32	12.32	16200	200125.00
2017/04/27	1447	12.31	12.32	12.30	12.30	45200	557639.00
2017/04/27	1448	12.30	12.30	12.29	12.29	25400	312989.00
2017/04/27	1449	12.29	12.29	12.28	12.28	211600	2605304.00
2017/04/27	1450	12.29	12.30	12.29	12.30	28700	353702.00
2017/04/27	1451	12.30	12.33	12.30	12.32	102800	1268620.00
2017/04/27	1452	12.33	12.33	12.31	12.32	33500	413756.00
2017/04/27	1453	12.31	12.32	12.30	12.30	26700	329467.00
2017/04/27	1454	12.30	12.31	12.28	12.31	113400	1396273.00
2017/04/27	1455	12.29	12.30	12.28	12.29	44000	542202.00
2017/04/27	1456	12.29	12.30	12.28	12.29	152400	1878455.00
2017/04/27	1457	12.29	12.30	12.28	12.29	45900	565506.00
2017/04/27	1458	12.30	12.30	12.30	12.30	400	4932.00
2017/04/27	1459	12.30	12.30	12.30	12.30	0	0.00
2017/04/27	1500	12.29	12.29	12.29	12.29	110900	1366288.00
2017/04/28	0931	12.23	12.26	12.23	12.25	118600	1455493.00
2017/04/28	0932	12.25	12.26	12.24	12.25	47600	584278.00
2017/04/28	0933	12.24	12.29	12.24	12.29	116800	1435653.00
2017/04/28	0934	12.28	12.30	12.28	12.30	49000	603485.00
2017/04/28	0935	12.27	12.29	12.27	12.29	43900	540490.00
2017/04/28	0936	12.28	12.30	12.27	12.30	36700	452159.00
2017/04/28	0937	12.30	12.31	12.29	12.30	48600	599451.00
2017/04/28	0938	12.30	12.30	12.28	12.28	50200	618463.00
2017/04/28	0939	12.29	12.29	12.26	12.26	147200	1810630.00
2017/04/28	0940	12.27	12.28	12.26	12.27	22700	279157.00
2017/04/28	0941	12.28	12.29	12.28	12.29	12600	155168.00
2017/04/28	0942	12.29	12.29	12.27	12.27	59000	726202.00
2017/04/28	0943	12.27	12.28	12.27	12.27	38000	467598.00
2017/04/28	0944	12.27	12.27	12.25	12.25	84200	1034433.00
2017/04/28	0945	12.25	12.26	12.25	12.26	8200	100769.00
2017/04/28	0946	12.25	12.26	12.24	12.26	41800	513352.00
2017/04/28	0947	12.27	12.27	12.24	12.26	43100	529044.00
2017/04/28	0948	12.26	12.27	12.26	12.27	10900	134059.00
2017/04/28	0949	12.27	12.29	12.27	12.29	28200	347281.00
2017/04/28	0950	12.30	12.32	12.30	12.31	79500	980431.00
2017/04/28	0951	12.32	12.33	12.32	12.33	25600	316283.00
2017/04/28	0952	12.33	12.33	12.30	12.30	29700	366531.00
2017/04/28	0953	12.30	12.30	12.27	12.29	84300	1038079.00
2017/04/28	0954	12.30	12.30	12.29	12.30	15800	194761.00
2017/04/28	0955	12.30	12.32	12.30	12.30	39900	492389.00
2017/04/28	0956	12.30	12.31	12.30	12.31	7000	86350.00
2017/04/28	0957	12.31	12.31	12.30	12.30	70000	863219.00
2017/04/28	0958	12.30	12.30	12.29	12.29	29800	367238.00
2017/04/28	0959	12.30	12.30	12.29	12.29	25100	309321.00
