000937 冀中能源 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	6.48	6.48	6.43	6.43	1000000	6549883.00
2017/04/27	0932	6.43	6.44	6.43	6.44	513100	3353094.00
2017/04/27	0933	6.43	6.45	6.43	6.45	627000	4097733.00
2017/04/27	0934	6.44	6.45	6.41	6.41	858800	5602875.00
2017/04/27	0935	6.40	6.42	6.40	6.42	578700	3764593.00
2017/04/27	0936	6.42	6.43	6.41	6.41	649400	4233127.00
2017/04/27	0937	6.41	6.42	6.40	6.40	1061100	6906305.00
2017/04/27	0938	6.40	6.40	6.38	6.38	840100	5450825.00
2017/04/27	0939	6.39	6.42	6.38	6.41	519300	3374040.00
2017/04/27	0940	6.41	6.43	6.41	6.42	395400	2579054.00
2017/04/27	0941	6.42	6.44	6.42	6.43	458800	2996051.00
2017/04/27	0942	6.43	6.43	6.41	6.41	540600	3523904.00
2017/04/27	0943	6.40	6.43	6.40	6.42	302200	1967753.00
2017/04/27	0944	6.42	6.43	6.42	6.43	311400	2030486.00
2017/04/27	0945	6.43	6.44	6.42	6.44	356700	2330383.00
2017/04/27	0946	6.44	6.44	6.42	6.43	480900	3138742.00
2017/04/27	0947	6.41	6.42	6.41	6.41	136800	891275.00
2017/04/27	0948	6.41	6.42	6.41	6.41	200600	1306670.00
2017/04/27	0949	6.41	6.42	6.41	6.42	601300	3919688.00
2017/04/27	0950	6.42	6.42	6.41	6.41	304100	1980430.00
2017/04/27	0951	6.41	6.42	6.40	6.41	462300	3010089.00
2017/04/27	0952	6.42	6.42	6.41	6.41	278300	1812931.00
2017/04/27	0953	6.42	6.42	6.40	6.40	664700	4325370.00
2017/04/27	0954	6.41	6.41	6.39	6.40	757900	4922927.00
2017/04/27	0955	6.40	6.41	6.40	6.40	583500	3793713.00
2017/04/27	0956	6.40	6.42	6.40	6.42	452600	2947117.00
2017/04/27	0957	6.43	6.45	6.43	6.45	347600	2272724.00
2017/04/27	0958	6.44	6.45	6.42	6.42	260000	1699011.00
2017/04/27	0959	6.42	6.44	6.42	6.42	334600	2184430.00
2017/04/27	1000	6.43	6.44	6.41	6.41	568600	3709401.25
2017/04/27	1001	6.41	6.41	6.40	6.41	298900	1945179.00
2017/04/27	1002	6.41	6.41	6.38	6.39	642100	4170637.00
2017/04/27	1003	6.39	6.41	6.39	6.40	264400	1717697.00
2017/04/27	1004	6.40	6.42	6.40	6.42	262700	1711455.00
2017/04/27	1005	6.42	6.42	6.41	6.42	137700	897072.00
2017/04/27	1006	6.41	6.43	6.41	6.42	175000	1141320.00
2017/04/27	1007	6.42	6.43	6.42	6.43	242000	1578794.00
2017/04/27	1008	6.43	6.44	6.42	6.43	266900	1743056.00
2017/04/27	1009	6.44	6.47	6.44	6.47	276300	1811418.00
2017/04/27	1010	6.47	6.47	6.45	6.46	398300	2612909.00
2017/04/27	1011	6.46	6.51	6.45	6.51	595300	3919098.00
2017/04/27	1012	6.51	6.51	6.48	6.49	678900	4478160.00
2017/04/27	1013	6.49	6.49	6.48	6.48	344700	2271466.00
2017/04/27	1014	6.49	6.51	6.48	6.50	404400	2666963.00
2017/04/27	1015	6.50	6.51	6.48	6.48	372000	2452655.00
2017/04/27	1016	6.49	6.49	6.46	6.46	224100	1474533.00
2017/04/27	1017	6.46	6.47	6.46	6.47	159900	1049708.00
2017/04/27	1018	6.48	6.48	6.46	6.46	184500	1211280.00
2017/04/27	1019	6.45	6.45	6.44	6.44	369600	2420056.00
2017/04/27	1020	6.44	6.46	6.44	6.45	140600	920594.00
2017/04/27	1021	6.44	6.45	6.44	6.45	249300	1632645.00
2017/04/27	1022	6.44	6.45	6.43	6.44	162700	1064744.00
2017/04/27	1023	6.45	6.46	6.44	6.45	132300	866256.00
2017/04/27	1024	6.46	6.47	6.46	6.46	142000	932035.00
2017/04/27	1025	6.46	6.47	6.46	6.46	264200	1733782.00
2017/04/27	1026	6.46	6.46	6.44	6.44	134100	877934.00
2017/04/27	1027	6.44	6.44	6.43	6.43	240700	1572451.00
2017/04/27	1028	6.43	6.44	6.43	6.43	79900	521902.03
2017/04/27	1029	6.43	6.44	6.42	6.44	215500	1407031.13
2017/04/27	1030	6.42	6.43	6.41	6.41	275200	1793945.00
2017/04/27	1031	6.41	6.41	6.35	6.35	1717800	11136855.00
2017/04/27	1032	6.35	6.36	6.33	6.34	724100	4664620.00
2017/04/27	1033	6.36	6.37	6.35	6.36	352600	2280260.00
2017/04/27	1034	6.38	6.38	6.34	6.34	637100	4112696.00
2017/04/27	1035	6.34	6.37	6.34	6.37	407600	2629241.00
2017/04/27	1036	6.37	6.38	6.37	6.38	221200	1432809.00
2017/04/27	1037	6.37	6.39	6.37	6.38	221000	1432821.00
2017/04/27	1038	6.37	6.39	6.37	6.38	301100	1952022.00
2017/04/27	1039	6.38	6.39	6.36	6.36	263400	1705296.00
2017/04/27	1040	6.37	6.37	6.35	6.36	391700	2529728.00
2017/04/27	1041	6.36	6.39	6.36	6.39	317400	2054224.00
2017/04/27	1042	6.39	6.39	6.37	6.38	103200	669091.00
2017/04/27	1043	6.39	6.41	6.38	6.40	366400	2377730.00
2017/04/27	1044	6.41	6.42	6.40	6.42	164800	1072737.00
2017/04/27	1045	6.41	6.42	6.40	6.41	199200	1296081.00
2017/04/27	1046	6.41	6.41	6.39	6.41	158900	1031808.00
2017/04/27	1047	6.40	6.40	6.39	6.40	81200	527681.00
2017/04/27	1048	6.39	6.40	6.39	6.40	96800	628596.00
2017/04/27	1049	6.39	6.39	6.38	6.39	91700	594758.00
2017/04/27	1050	6.39	6.39	6.38	6.38	144500	936688.00
2017/04/27	1051	6.38	6.38	6.37	6.38	206700	1338705.00
2017/04/27	1052	6.37	6.38	6.37	6.38	133000	860655.00
2017/04/27	1053	6.38	6.38	6.36	6.37	163500	1057776.00
2017/04/27	1054	6.36	6.38	6.36	6.38	200000	1294510.00
2017/04/27	1055	6.38	6.38	6.37	6.38	105600	683765.00
2017/04/27	1056	6.38	6.38	6.37	6.38	341700	2214100.00
2017/04/27	1057	6.38	6.40	6.38	6.40	83600	542507.00
2017/04/27	1058	6.41	6.41	6.40	6.40	132600	862121.00
2017/04/27	1059	6.40	6.41	6.39	6.41	96600	628570.00
2017/04/27	1100	6.41	6.42	6.41	6.42	106300	692640.00
2017/04/27	1101	6.42	6.44	6.41	6.43	149100	972953.00
2017/04/27	1102	6.43	6.44	6.43	6.44	138000	902220.00
2017/04/27	1103	6.45	6.45	6.44	6.44	144100	943623.00
2017/04/27	1104	6.45	6.45	6.43	6.43	140600	919836.00
2017/04/27	1105	6.44	6.44	6.42	6.43	83300	544012.00
2017/04/27	1106	6.43	6.44	6.42	6.43	80100	523124.00
2017/04/27	1107	6.44	6.44	6.42	6.43	57500	375370.00
2017/04/27	1108	6.43	6.43	6.42	6.42	60200	392889.00
2017/04/27	1109	6.43	6.43	6.42	6.42	75300	491171.00
2017/04/27	1110	6.42	6.43	6.42	6.43	44200	288573.00
2017/04/27	1111	6.42	6.43	6.42	6.42	53400	348376.00
2017/04/27	1112	6.42	6.42	6.41	6.42	58400	380641.00
2017/04/27	1113	6.42	6.42	6.40	6.41	264600	1720611.00
2017/04/27	1114	6.42	6.42	6.41	6.41	260300	1694938.00
2017/04/27	1115	6.42	6.43	6.40	6.43	220300	1434648.00
2017/04/27	1116	6.42	6.44	6.42	6.44	317100	2070156.00
2017/04/27	1117	6.44	6.44	6.43	6.43	127300	831579.00
2017/04/27	1118	6.42	6.43	6.42	6.43	111800	729057.00
2017/04/27	1119	6.43	6.43	6.42	6.43	105500	688543.00
2017/04/27	1120	6.43	6.44	6.43	6.43	150600	984787.00
2017/04/27	1121	6.44	6.44	6.43	6.44	56200	367196.00
2017/04/27	1122	6.43	6.44	6.42	6.42	158000	1031778.00
2017/04/27	1123	6.43	6.43	6.42	6.43	43900	286309.00
2017/04/27	1124	6.43	6.43	6.41	6.41	97900	638246.00
2017/04/27	1125	6.41	6.42	6.41	6.42	45700	297522.03
2017/04/27	1126	6.41	6.42	6.41	6.41	74400	484711.00
2017/04/27	1127	6.41	6.42	6.40	6.42	204300	1329111.00
2017/04/27	1128	6.41	6.42	6.41	6.41	146900	956382.00
2017/04/27	1129	6.41	6.41	6.40	6.41	163300	1062894.00
2017/04/27	1300	6.40	6.43	6.40	6.42	357000	2327487.00
2017/04/27	1301	6.42	6.42	6.42	6.42	0	0.00
2017/04/27	1302	6.42	6.43	6.42	6.43	71700	468180.00
2017/04/27	1303	6.43	6.44	6.42	6.43	75200	490838.00
2017/04/27	1304	6.43	6.44	6.42	6.44	53300	348318.00
2017/04/27	1305	6.43	6.43	6.42	6.43	77600	506625.03
2017/04/27	1306	6.43	6.43	6.42	6.42	120900	788562.00
2017/04/27	1307	6.43	6.43	6.42	6.43	63400	413716.00
2017/04/27	1308	6.42	6.43	6.42	6.42	14200	92642.00
2017/04/27	1309	6.43	6.43	6.42	6.42	59000	385244.00
2017/04/27	1310	6.43	6.43	6.42	6.43	72600	473950.00
2017/04/27	1311	6.43	6.43	6.42	6.43	69000	450495.00
2017/04/27	1312	6.42	6.42	6.41	6.41	141100	919579.00
2017/04/27	1313	6.41	6.42	6.41	6.41	90600	590203.00
2017/04/27	1314	6.41	6.42	6.41	6.42	58700	382334.00
2017/04/27	1315	6.41	6.42	6.41	6.42	18400	119809.00
2017/04/27	1316	6.41	6.42	6.41	6.42	43100	280796.00
2017/04/27	1317	6.42	6.42	6.41	6.42	112000	729987.00
2017/04/27	1318	6.43	6.43	6.42	6.42	88200	575398.00
2017/04/27	1319	6.42	6.42	6.41	6.41	206400	1345386.00
2017/04/27	1320	6.42	6.43	6.42	6.43	191300	1248597.00
2017/04/27	1321	6.43	6.45	6.43	6.45	120600	788961.00
2017/04/27	1322	6.45	6.47	6.45	6.47	238700	1564217.00
2017/04/27	1323	6.47	6.48	6.47	6.48	342400	2252227.00
2017/04/27	1324	6.48	6.48	6.46	6.47	174500	1146248.00
2017/04/27	1325	6.47	6.47	6.44	6.44	155400	1019270.00
2017/04/27	1326	6.46	6.46	6.45	6.45	63100	413375.00
2017/04/27	1327	6.45	6.47	6.45	6.46	91200	598591.00
2017/04/27	1328	6.47	6.48	6.46	6.47	117400	771446.00
2017/04/27	1329	6.47	6.47	6.45	6.45	207100	1358689.00
2017/04/27	1330	6.46	6.47	6.46	6.46	61900	406413.00
2017/04/27	1331	6.46	6.47	6.46	6.47	73000	479396.00
2017/04/27	1332	6.47	6.47	6.46	6.46	112500	738965.00
2017/04/27	1333	6.47	6.48	6.46	6.47	190100	1248433.00
2017/04/27	1334	6.47	6.50	6.47	6.50	543600	3584703.00
2017/04/27	1335	6.50	6.51	6.50	6.50	359600	2376223.00
2017/04/27	1336	6.51	6.51	6.49	6.49	343500	2267181.00
2017/04/27	1337	6.50	6.50	6.47	6.47	114700	755334.00
2017/04/27	1338	6.48	6.50	6.48	6.49	200100	1318104.00
2017/04/27	1339	6.49	6.49	6.48	6.48	53200	350125.00
2017/04/27	1340	6.48	6.49	6.47	6.48	126800	834024.00
