000959 首钢股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.48	7.57	7.48	7.56	258500	1940919.00
2017/04/27	0932	7.55	7.63	7.51	7.61	190300	1441172.00
2017/04/27	0933	7.60	7.63	7.60	7.63	173400	1320042.00
2017/04/27	0934	7.64	7.71	7.64	7.70	248000	1901296.00
2017/04/27	0935	7.71	7.75	7.70	7.73	403300	3114307.00
2017/04/27	0936	7.74	7.74	7.66	7.66	586000	4516206.00
2017/04/27	0937	7.65	7.65	7.57	7.57	213100	1623213.00
2017/04/27	0938	7.57	7.63	7.55	7.63	248600	1886230.00
2017/04/27	0939	7.61	7.65	7.61	7.63	138600	1056801.00
2017/04/27	0940	7.64	7.65	7.62	7.63	179700	1370778.00
2017/04/27	0941	7.63	7.63	7.62	7.62	178200	1359207.00
2017/04/27	0942	7.62	7.64	7.62	7.62	197000	1501566.00
2017/04/27	0943	7.63	7.65	7.62	7.65	99200	757549.00
2017/04/27	0944	7.65	7.68	7.65	7.68	106700	817518.00
2017/04/27	0945	7.69	7.70	7.69	7.70	204300	1572664.00
2017/04/27	0946	7.70	7.71	7.69	7.69	339300	2613672.00
2017/04/27	0947	7.69	7.69	7.65	7.67	113000	866348.00
2017/04/27	0948	7.67	7.68	7.66	7.67	78700	603474.00
2017/04/27	0949	7.67	7.69	7.67	7.68	108800	835644.00
2017/04/27	0950	7.68	7.68	7.66	7.66	333200	2555080.00
2017/04/27	0951	7.65	7.66	7.65	7.65	107800	825086.00
2017/04/27	0952	7.65	7.66	7.64	7.64	129600	991078.00
2017/04/27	0953	7.65	7.65	7.63	7.63	76500	584260.00
2017/04/27	0954	7.63	7.65	7.63	7.64	146400	1118389.00
2017/04/27	0955	7.64	7.65	7.64	7.65	93500	715109.00
2017/04/27	0956	7.65	7.66	7.65	7.65	162800	1245936.00
2017/04/27	0957	7.65	7.66	7.65	7.66	97200	744221.00
2017/04/27	0958	7.66	7.69	7.66	7.69	138500	1062384.00
2017/04/27	0959	7.67	7.69	7.66	7.66	140400	1077465.00
2017/04/27	1000	7.66	7.66	7.64	7.64	127200	973121.00
2017/04/27	1001	7.64	7.64	7.63	7.63	141900	1082904.00
2017/04/27	1002	7.63	7.64	7.61	7.62	344800	2629979.00
2017/04/27	1003	7.62	7.62	7.60	7.62	201500	1534165.00
2017/04/27	1004	7.62	7.64	7.62	7.64	134900	1028892.00
2017/04/27	1005	7.64	7.64	7.63	7.63	94100	718306.00
2017/04/27	1006	7.63	7.67	7.63	7.66	67500	516262.00
2017/04/27	1007	7.67	7.68	7.66	7.68	92500	709945.00
2017/04/27	1008	7.68	7.69	7.67	7.68	190700	1464676.00
2017/04/27	1009	7.67	7.68	7.67	7.68	143900	1103903.00
2017/04/27	1010	7.68	7.78	7.67	7.78	1247800	9658465.00
2017/04/27	1011	7.77	7.79	7.77	7.78	284300	2212456.00
2017/04/27	1012	7.78	7.78	7.75	7.75	252000	1958979.00
2017/04/27	1013	7.74	7.76	7.74	7.75	128200	992784.00
2017/04/27	1014	7.75	7.75	7.74	7.75	222700	1725710.00
2017/04/27	1015	7.75	7.76	7.75	7.75	122900	952779.00
2017/04/27	1016	7.76	7.77	7.75	7.77	176200	1367809.00
2017/04/27	1017	7.76	7.78	7.76	7.77	254500	1977556.00
2017/04/27	1018	7.77	7.78	7.76	7.77	149900	1165155.00
