000961 中南建设 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.04	7.04	7.02	7.02	63200	444888.00
2017/04/27	0932	7.02	7.02	6.99	6.99	372900	2615921.00
2017/04/27	0933	7.00	7.02	7.00	7.01	155200	1089542.00
2017/04/27	0934	7.00	7.03	7.00	7.03	138200	970315.00
2017/04/27	0935	7.03	7.03	7.01	7.02	62800	441507.00
2017/04/27	0936	7.02	7.02	7.00	7.00	210900	1480616.00
2017/04/27	0937	7.00	7.02	7.00	7.00	123000	863334.00
2017/04/27	0938	7.00	7.01	7.00	7.00	178200	1249564.00
2017/04/27	0939	7.01	7.01	7.00	7.00	151300	1060765.00
2017/04/27	0940	7.00	7.01	7.00	7.01	94400	662193.00
2017/04/27	0941	7.00	7.02	7.00	7.02	74100	520288.00
2017/04/27	0942	7.02	7.02	7.01	7.01	144400	1014136.00
2017/04/27	0943	7.02	7.02	7.00	7.01	109200	766590.00
2017/04/27	0944	7.00	7.01	7.00	7.01	69300	486170.00
2017/04/27	0945	7.01	7.01	7.00	7.00	62500	438137.00
2017/04/27	0946	7.00	7.01	7.00	7.01	99200	695818.00
2017/04/27	0947	7.00	7.01	6.99	6.99	178200	1248696.00
2017/04/27	0948	7.01	7.01	6.99	6.99	93100	651918.00
2017/04/27	0949	6.99	7.00	6.99	6.99	259600	1817255.00
2017/04/27	0950	6.99	7.00	6.99	6.99	516500	3619910.00
2017/04/27	0951	7.00	7.00	6.99	6.99	106800	747618.00
2017/04/27	0952	6.99	7.00	6.99	6.99	88700	621022.00
2017/04/27	0953	7.00	7.00	6.99	6.99	128800	902287.00
2017/04/27	0954	6.99	6.99	6.98	6.99	199100	1393681.00
2017/04/27	0955	6.98	6.99	6.98	6.98	199500	1394663.00
2017/04/27	0956	6.98	6.98	6.96	6.96	410400	2863951.00
2017/04/27	0957	6.96	6.96	6.92	6.92	170700	1186843.00
2017/04/27	0958	6.93	6.93	6.90	6.91	724300	5016350.00
2017/04/27	0959	6.92	6.93	6.91	6.93	218500	1514796.00
2017/04/27	1000	6.93	6.93	6.92	6.92	142300	987416.00
2017/04/27	1001	6.93	6.93	6.92	6.92	342700	2376266.00
2017/04/27	1002	6.92	6.94	6.91	6.93	397000	2754174.00
