002007 华兰生物 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	35.93	36.10	35.93	36.10	286800	10439563.00
2017/04/27	0932	36.06	36.10	35.95	35.95	131500	4790032.00
2017/04/27	0933	35.94	35.95	35.89	35.89	91700	3329414.00
2017/04/27	0934	35.88	35.88	35.77	35.80	78900	2858166.00
2017/04/27	0935	35.80	35.88	35.76	35.88	68400	2476841.00
2017/04/27	0936	35.88	35.98	35.85	35.97	61200	2222824.00
2017/04/27	0937	35.97	35.97	35.85	35.96	198900	7219738.00
2017/04/27	0938	35.96	35.96	35.90	35.94	135400	4916281.00
2017/04/27	0939	35.94	35.94	35.86	35.90	93100	3380409.00
2017/04/27	0940	35.91	35.91	35.84	35.91	34600	1255453.00
2017/04/27	0941	35.91	35.98	35.91	35.98	80500	2926144.00
2017/04/27	0942	36.00	36.18	35.98	36.17	158800	5794529.00
2017/04/27	0943	36.11	36.15	36.07	36.09	66200	2416307.00
2017/04/27	0944	36.10	36.10	36.00	36.07	174800	6372109.00
2017/04/27	0945	36.00	36.10	36.00	36.08	229300	8358126.00
2017/04/27	0946	36.06	36.15	36.06	36.13	71000	2593234.00
2017/04/27	0947	36.14	36.15	36.06	36.07	119900	4378886.00
2017/04/27	0948	36.08	36.11	36.08	36.09	51900	1894108.00
2017/04/27	0949	36.13	36.16	36.09	36.16	126300	4613810.00
2017/04/27	0950	36.16	36.22	36.15	36.20	150500	5507822.00
2017/04/27	0951	36.22	36.22	36.14	36.14	114300	4182014.00
2017/04/27	0952	36.15	36.16	36.05	36.08	61000	2227804.00
2017/04/27	0953	36.13	36.13	36.09	36.09	91900	3356131.00
2017/04/27	0954	36.14	36.15	36.10	36.14	50900	1859510.00
2017/04/27	0955	36.14	36.15	36.12	36.13	55100	2013066.00
2017/04/27	0956	36.14	36.14	36.12	36.14	60800	2221096.00
2017/04/27	0957	36.14	36.14	36.11	36.11	60800	2220903.00
2017/04/27	0958	36.11	36.11	36.04	36.04	43100	1571841.00
2017/04/27	0959	36.05	36.05	35.94	35.96	101500	3692977.00
2017/04/27	1000	35.96	36.00	35.93	35.93	53700	1952393.00
2017/04/27	1001	35.93	35.96	35.89	35.90	24900	904453.00
2017/04/27	1002	35.88	35.91	35.85	35.85	72200	2620720.00
2017/04/27	1003	35.85	35.93	35.85	35.93	79700	2893476.00
2017/04/27	1004	35.97	36.01	35.94	36.01	60100	2187283.00
2017/04/27	1005	36.02	36.07	36.02	36.04	21600	787149.00
2017/04/27	1006	36.04	36.10	36.00	36.09	135300	4930238.00
2017/04/27	1007	35.99	36.08	35.97	36.07	69700	2537137.00
2017/04/27	1008	36.08	36.08	35.95	36.00	57300	2086504.00
2017/04/27	1009	35.99	36.07	35.99	36.04	161100	5873827.00
2017/04/27	1010	36.00	36.06	36.00	36.04	26000	947671.00
2017/04/27	1011	36.05	36.06	36.05	36.06	89700	3269607.00
2017/04/27	1012	36.05	36.08	36.03	36.05	64700	2359062.00
2017/04/27	1013	36.05	36.08	36.04	36.04	49700	1812081.00
2017/04/27	1014	36.04	36.07	36.03	36.07	21100	769098.00
2017/04/27	1015	36.07	36.10	36.07	36.10	118800	4333820.00
2017/04/27	1016	36.10	36.11	36.04	36.06	59000	2152313.00
2017/04/27	1017	36.07	36.11	36.07	36.10	25900	945267.00
2017/04/27	1018	36.07	36.10	36.07	36.10	25000	912225.00
2017/04/27	1019	36.10	36.10	36.06	36.08	39800	1452299.00
2017/04/27	1020	36.05	36.08	36.04	36.08	25200	918657.94
2017/04/27	1021	36.05	36.09	36.05	36.05	48100	1754027.00
2017/04/27	1022	36.09	36.10	36.05	36.10	36100	1317150.13
2017/04/27	1023	36.10	36.10	36.05	36.10	200300	7308617.00
2017/04/27	1024	36.11	36.11	36.09	36.10	37800	1379879.00
2017/04/27	1025	36.09	36.11	36.07	36.09	35600	1299429.00
2017/04/27	1026	36.10	36.10	36.06	36.06	22000	802824.00
2017/04/27	1027	36.09	36.09	36.05	36.05	23300	849805.00
2017/04/27	1028	36.05	36.07	36.05	36.07	23800	867748.00
2017/04/27	1029	36.04	36.07	36.03	36.04	25400	925924.00
2017/04/27	1030	36.04	36.05	36.02	36.02	20300	739476.00
2017/04/27	1031	36.02	36.02	35.93	35.96	88700	3225187.00
2017/04/27	1032	35.93	35.99	35.89	35.89	41200	1496456.00
2017/04/27	1033	35.89	35.89	35.85	35.86	51400	1864081.00
2017/04/27	1034	35.86	35.90	35.85	35.90	34400	1248128.00
2017/04/27	1035	35.95	35.99	35.90	35.99	19300	701050.00
2017/04/27	1036	35.99	36.00	35.91	35.92	36600	1330495.00
2017/04/27	1037	35.92	35.98	35.92	35.93	60500	2198137.00
2017/04/27	1038	35.96	36.02	35.93	35.93	37600	1367293.00
2017/04/27	1039	35.96	35.96	35.93	35.93	20200	734003.00
2017/04/27	1040	35.92	35.93	35.88	35.93	28200	1024032.00
2017/04/27	1041	35.92	35.92	35.88	35.91	15800	573760.00
2017/04/27	1042	35.91	35.93	35.89	35.89	25200	915049.00
2017/04/27	1043	35.91	35.91	35.86	35.86	27200	986991.00
2017/04/27	1044	35.87	35.90	35.86	35.90	40700	1476914.00
2017/04/27	1045	35.89	35.89	35.78	35.78	56400	2041894.00
2017/04/27	1046	35.79	35.79	35.70	35.78	70400	2545017.00
2017/04/27	1047	35.76	35.78	35.72	35.78	11700	423092.00
2017/04/27	1048	35.73	35.78	35.73	35.73	47200	1706665.00
2017/04/27	1049	35.72	35.72	35.71	35.72	50300	1816766.00
2017/04/27	1050	35.72	35.75	35.70	35.70	34400	1241981.00
2017/04/27	1051	35.75	35.78	35.74	35.74	8000	289247.00
2017/04/27	1052	35.78	35.78	35.72	35.72	18000	650729.00
