002008 大族激光 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	28.57	28.84	28.57	28.80	847900	24484702.00
2017/04/27	0932	28.80	28.80	28.63	28.75	421600	12211848.00
2017/04/27	0933	28.75	29.08	28.75	29.08	294500	8579288.00
2017/04/27	0934	29.10	29.25	29.10	29.15	487700	14347268.00
2017/04/27	0935	29.18	29.50	29.14	29.30	480500	14153253.00
2017/04/27	0936	29.30	29.30	29.00	29.11	326000	9579334.00
2017/04/27	0937	29.11	29.38	29.10	29.31	361700	10678450.00
2017/04/27	0938	29.31	29.31	29.21	29.27	268300	7904607.00
2017/04/27	0939	29.25	29.48	29.22	29.43	428600	12675649.00
2017/04/27	0940	29.45	29.45	29.30	29.38	308300	9127543.00
2017/04/27	0941	29.38	29.38	29.26	29.30	239100	7057935.00
2017/04/27	0942	29.26	29.34	29.26	29.27	169000	4985323.00
2017/04/27	0943	29.26	29.26	29.22	29.25	113600	3345585.00
2017/04/27	0944	29.25	29.26	29.22	29.22	106400	3132747.00
2017/04/27	0945	29.22	29.22	29.12	29.18	293100	8610544.00
2017/04/27	0946	29.18	29.18	29.12	29.13	87300	2561045.00
2017/04/27	0947	29.11	29.13	29.08	29.08	148800	4361208.00
2017/04/27	0948	29.08	29.12	29.06	29.10	97100	2845044.00
2017/04/27	0949	29.11	29.12	29.08	29.11	120700	3536537.00
2017/04/27	0950	29.11	29.18	29.10	29.18	134400	3944272.00
2017/04/27	0951	29.18	29.18	29.13	29.15	166400	4884817.00
2017/04/27	0952	29.13	29.16	29.13	29.16	80600	2365303.00
2017/04/27	0953	29.16	29.18	29.15	29.18	65700	1929546.00
2017/04/27	0954	29.18	29.18	29.15	29.17	65000	1908988.00
2017/04/27	0955	29.16	29.20	29.16	29.20	77300	2271976.00
2017/04/27	0956	29.21	29.23	29.19	29.20	60400	1776332.00
2017/04/27	0957	29.19	29.20	29.10	29.10	58100	1705479.00
2017/04/27	0958	29.15	29.15	28.99	28.99	120000	3507519.00
2017/04/27	0959	28.96	28.98	28.90	28.90	125700	3661901.00
2017/04/27	1000	28.90	28.90	28.82	28.88	246800	7170941.00
2017/04/27	1001	28.88	28.96	28.85	28.96	279800	8140624.00
2017/04/27	1002	28.96	29.06	28.95	29.03	165400	4832904.00
2017/04/27	1003	29.01	29.01	28.94	28.96	108700	3169498.00
2017/04/27	1004	28.95	29.06	28.95	29.02	215800	6303558.00
2017/04/27	1005	29.00	29.00	28.90	28.90	241000	7019168.00
2017/04/27	1006	28.91	28.97	28.91	28.97	189400	5520155.00
2017/04/27	1007	28.97	28.99	28.95	28.99	87900	2564346.00
2017/04/27	1008	28.98	28.98	28.94	28.95	93000	2710797.00
2017/04/27	1009	28.95	29.02	28.94	29.00	77000	2247449.00
2017/04/27	1010	29.00	29.08	29.00	29.08	77600	2268402.00
2017/04/27	1011	29.07	29.21	29.07	29.20	274900	8077539.00
2017/04/27	1012	29.20	29.21	29.11	29.17	227900	6698916.00
2017/04/27	1013	29.18	29.20	29.14	29.14	87700	2576385.00
2017/04/27	1014	29.14	29.17	29.13	29.14	99700	2926384.00
2017/04/27	1015	29.16	29.16	29.13	29.14	38900	1141528.00
2017/04/27	1016	29.14	29.15	29.12	29.12	30200	886041.00
2017/04/27	1017	29.13	29.13	29.10	29.10	98000	2871998.00
2017/04/27	1018	29.09	29.10	29.07	29.08	77500	2269646.00
2017/04/27	1019	29.09	29.10	29.07	29.07	43400	1270914.00
2017/04/27	1020	29.10	29.11	29.06	29.10	45600	1335298.00
2017/04/27	1021	29.10	29.13	29.09	29.13	106400	3117949.00
2017/04/27	1022	29.13	29.20	29.10	29.20	116500	3420531.00
2017/04/27	1023	29.15	29.20	29.15	29.20	144900	4258388.00
2017/04/27	1024	29.21	29.22	29.19	29.22	116200	3416097.00
2017/04/27	1025	29.21	29.22	29.19	29.19	116100	3413716.00
2017/04/27	1026	29.20	29.20	29.18	29.18	86100	2530040.00
2017/04/27	1027	29.18	29.20	29.17	29.20	99800	2933002.00
2017/04/27	1028	29.20	29.22	29.19	29.22	230400	6774207.00
2017/04/27	1029	29.23	29.30	29.22	29.29	443400	13063097.00
2017/04/27	1030	29.31	29.43	29.31	29.40	224000	6630580.00
2017/04/27	1031	29.40	29.41	29.32	29.32	259700	7676292.00
2017/04/27	1032	29.32	29.35	29.29	29.29	264500	7804843.00
2017/04/27	1033	29.30	29.30	29.20	29.20	74900	2206392.00
2017/04/27	1034	29.25	29.31	29.24	29.31	139000	4097668.00
2017/04/27	1035	29.31	29.33	29.28	29.28	203600	6005846.00
2017/04/27	1036	29.28	29.29	29.27	29.29	73300	2161074.00
2017/04/27	1037	29.29	29.31	29.27	29.30	95800	2826387.00
2017/04/27	1038	29.30	29.32	29.29	29.32	75700	2233770.00
2017/04/27	1039	29.31	29.32	29.28	29.29	85400	2519456.00
2017/04/27	1040	29.27	29.27	29.20	29.20	148200	4363241.00
2017/04/27	1041	29.23	29.28	29.20	29.24	109300	3216585.00
2017/04/27	1042	29.28	29.28	29.19	29.19	130600	3840391.00
2017/04/27	1043	29.20	29.22	29.18	29.19	87100	2560124.00
2017/04/27	1044	29.19	29.25	29.18	29.25	87900	2585142.00
2017/04/27	1045	29.25	29.25	29.20	29.24	95600	2813577.00
2017/04/27	1046	29.23	29.28	29.23	29.27	66100	1947163.00
2017/04/27	1047	29.27	29.27	29.24	29.26	57200	1684895.00
2017/04/27	1048	29.26	29.27	29.24	29.27	45800	1349263.00
2017/04/27	1049	29.26	29.27	29.26	29.26	45400	1337558.00
2017/04/27	1050	29.26	29.26	29.22	29.22	42000	1236740.00
2017/04/27	1051	29.23	29.23	29.19	29.19	121500	3572533.00
2017/04/27	1052	29.18	29.19	29.17	29.17	34900	1025281.00
2017/04/27	1053	29.16	29.20	29.16	29.17	58500	1718175.00
2017/04/27	1054	29.20	29.20	29.17	29.20	39700	1166236.00
2017/04/27	1055	29.18	29.20	29.17	29.19	31600	928553.00
2017/04/27	1056	29.19	29.20	29.17	29.19	34700	1019885.00
2017/04/27	1057	29.19	29.22	29.18	29.22	75700	2225621.00
