002018 华信国际 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	7.31	7.31	7.28	7.28	131100	959179.00
2017/04/27	0932	7.28	7.28	7.26	7.26	131700	959758.00
2017/04/27	0933	7.26	7.26	7.23	7.25	189300	1374710.00
2017/04/27	0934	7.24	7.24	7.16	7.16	269400	1943193.00
2017/04/27	0935	7.16	7.18	7.14	7.16	262900	1887849.00
2017/04/27	0936	7.18	7.21	7.17	7.21	150500	1084677.00
2017/04/27	0937	7.21	7.21	7.17	7.17	117000	843182.00
2017/04/27	0938	7.17	7.17	7.16	7.16	119800	860517.00
2017/04/27	0939	7.16	7.18	7.16	7.18	137900	991094.00
2017/04/27	0940	7.18	7.20	7.17	7.19	86900	625624.00
2017/04/27	0941	7.19	7.21	7.19	7.20	52700	380393.00
2017/04/27	0942	7.20	7.21	7.20	7.21	37200	268833.00
2017/04/27	0943	7.19	7.21	7.19	7.21	31300	225802.00
2017/04/27	0944	7.19	7.21	7.19	7.20	63200	456737.00
2017/04/27	0945	7.20	7.20	7.19	7.19	93800	676989.00
2017/04/27	0946	7.19	7.20	7.18	7.19	79500	572995.00
2017/04/27	0947	7.18	7.20	7.18	7.18	45000	324347.00
2017/04/27	0948	7.19	7.19	7.18	7.19	74500	536721.00
2017/04/27	0949	7.19	7.19	7.17	7.19	101000	727235.00
2017/04/27	0950	7.18	7.18	7.17	7.18	66700	479991.00
2017/04/27	0951	7.18	7.18	7.16	7.17	45900	330075.00
2017/04/27	0952	7.16	7.17	7.16	7.16	178400	1281005.00
2017/04/27	0953	7.15	7.17	7.15	7.17	94800	680014.00
2017/04/27	0954	7.17	7.17	7.16	7.16	70300	504944.00
2017/04/27	0955	7.16	7.16	7.15	7.16	95600	686376.00
2017/04/27	0956	7.16	7.17	7.16	7.17	47500	341316.00
2017/04/27	0957	7.17	7.17	7.16	7.17	122300	878396.00
2017/04/27	0958	7.17	7.17	7.15	7.16	106500	764751.00
2017/04/27	0959	7.16	7.16	7.15	7.15	86100	617701.00
2017/04/27	1000	7.16	7.16	7.13	7.13	260900	1867512.00
2017/04/27	1001	7.13	7.13	7.10	7.11	138100	985688.00
2017/04/27	1002	7.10	7.13	7.08	7.13	442500	3152255.00
2017/04/27	1003	7.13	7.13	7.10	7.13	217400	1551375.00
2017/04/27	1004	7.13	7.13	7.11	7.13	256000	1829051.00
2017/04/27	1005	7.13	7.15	7.13	7.15	131300	940167.00
2017/04/27	1006	7.15	7.17	7.15	7.17	81300	583908.00
2017/04/27	1007	7.18	7.18	7.15	7.15	131500	942988.00
2017/04/27	1008	7.16	7.17	7.16	7.16	38200	274427.00
2017/04/27	1009	7.15	7.16	7.15	7.15	59500	426836.00
2017/04/27	1010	7.15	7.16	7.15	7.15	46100	330584.00
2017/04/27	1011	7.15	7.15	7.14	7.15	32000	229425.00
2017/04/27	1012	7.15	7.15	7.14	7.15	8800	63089.00
2017/04/27	1013	7.15	7.15	7.14	7.14	49400	353778.00
2017/04/27	1014	7.15	7.15	7.14	7.14	34300	245619.00
2017/04/27	1015	7.15	7.15	7.12	7.14	154800	1107519.00
2017/04/27	1016	7.14	7.14	7.12	7.13	81700	584173.00
2017/04/27	1017	7.13	7.14	7.12	7.12	79600	568557.00
