002038 双鹭药业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	25.15	25.15	25.07	25.07	12300	311734.00
2017/04/27	0932	25.07	25.07	25.06	25.07	3300	83389.00
2017/04/27	0933	25.07	25.08	25.06	25.08	18400	464957.00
2017/04/27	0934	25.08	25.09	25.08	25.09	1500	37931.00
2017/04/27	0935	25.15	25.22	25.09	25.11	4600	116488.00
2017/04/27	0936	25.11	25.11	25.09	25.09	5500	139146.00
2017/04/27	0937	25.09	25.10	25.09	25.09	7500	189695.00
2017/04/27	0938	25.09	25.09	25.06	25.06	42100	1063560.00
2017/04/27	0939	25.06	25.06	25.04	25.05	19400	489921.00
2017/04/27	0940	25.05	25.09	25.05	25.05	10900	275289.00
2017/04/27	0941	25.09	25.10	25.05	25.05	6300	159170.00
2017/04/27	0942	25.09	25.09	25.06	25.07	7600	192061.00
2017/04/27	0943	25.06	25.07	25.02	25.02	23900	602922.00
2017/04/27	0944	25.02	25.02	24.98	24.98	12200	307498.00
2017/04/27	0945	24.99	25.00	24.98	24.98	15000	377720.00
2017/04/27	0946	25.00	25.00	24.99	24.99	9000	226716.00
2017/04/27	0947	24.99	25.00	24.99	25.00	3200	80628.00
2017/04/27	0948	24.98	25.04	24.98	24.99	11500	289634.00
2017/04/27	0949	24.99	25.02	24.97	25.01	8100	204032.00
2017/04/27	0950	25.01	25.04	25.01	25.02	9300	234558.00
2017/04/27	0951	25.05	25.05	25.02	25.02	6500	164080.00
2017/04/27	0952	25.02	25.02	24.93	24.93	12100	304608.00
2017/04/27	0953	24.93	24.93	24.91	24.92	14300	359202.00
2017/04/27	0954	24.92	24.97	24.90	24.92	29300	735618.00
2017/04/27	0955	24.92	24.97	24.92	24.93	4200	105655.00
2017/04/27	0956	24.97	24.98	24.93	24.94	1700	42760.00
2017/04/27	0957	24.93	24.95	24.93	24.95	2900	72933.00
2017/04/27	0958	24.93	24.93	24.89	24.89	36000	903782.00
2017/04/27	0959	24.89	24.89	24.80	24.81	42800	1070159.00
2017/04/27	1000	24.81	24.83	24.81	24.83	2900	72544.00
2017/04/27	1001	24.82	24.88	24.80	24.80	33600	840347.00
2017/04/27	1002	24.81	24.81	24.80	24.81	12200	305039.00
2017/04/27	1003	24.81	24.87	24.78	24.79	15200	380020.00
2017/04/27	1004	24.80	24.87	24.80	24.82	26500	662618.00
2017/04/27	1005	24.82	24.86	24.81	24.86	11700	292762.00
2017/04/27	1006	24.86	24.86	24.82	24.86	2700	67576.00
2017/04/27	1007	24.86	24.86	24.83	24.86	2800	70153.00
2017/04/27	1008	24.86	24.86	24.83	24.86	12100	302923.00
2017/04/27	1009	24.86	24.87	24.86	24.86	19800	496192.00
2017/04/27	1010	24.86	24.87	24.84	24.86	4600	115270.00
2017/04/27	1011	24.83	24.87	24.83	24.87	11900	297921.00
2017/04/27	1012	24.87	24.88	24.85	24.88	1600	40114.00
2017/04/27	1013	24.85	24.85	24.84	24.84	4600	115200.00
2017/04/27	1014	24.84	24.84	24.84	24.84	1600	40064.00
2017/04/27	1015	24.84	24.88	24.83	24.84	26000	651011.00
2017/04/27	1016	24.88	24.88	24.84	24.84	4500	112812.00
2017/04/27	1017	24.88	24.89	24.86	24.86	900	22562.00
2017/04/27	1018	24.87	24.87	24.83	24.83	14500	363170.00
2017/04/27	1019	24.84	24.86	24.83	24.86	3500	87659.00
2017/04/27	1020	24.85	24.85	24.81	24.81	11400	285247.00
2017/04/27	1021	24.81	24.81	24.78	24.78	41000	1024972.00
2017/04/27	1022	24.78	24.81	24.78	24.81	16800	419707.00
2017/04/27	1023	24.78	24.85	24.78	24.80	12700	317420.00
2017/04/27	1024	24.81	24.85	24.81	24.81	3600	90052.00
2017/04/27	1025	24.82	24.83	24.81	24.83	5500	137647.00
2017/04/27	1026	24.84	24.84	24.81	24.81	6300	157670.00
2017/04/27	1027	24.81	24.81	24.80	24.80	4200	105032.00
2017/04/27	1028	24.80	24.80	24.80	24.80	1100	27500.00
2017/04/27	1029	24.81	24.81	24.80	24.80	2800	70017.00
2017/04/27	1030	24.80	24.80	24.78	24.79	20900	522369.00
2017/04/27	1031	24.79	24.80	24.77	24.77	13300	332301.00
2017/04/27	1032	24.77	24.77	24.72	24.72	24400	608895.00
2017/04/27	1033	24.72	24.72	24.70	24.70	9600	239080.00
2017/04/27	1034	24.70	24.79	24.70	24.74	11900	296796.00
2017/04/27	1035	24.74	24.74	24.67	24.68	47400	1179371.00
2017/04/27	1036	24.68	24.69	24.66	24.66	18900	470000.00
2017/04/27	1037	24.74	24.77	24.69	24.77	2400	59837.00
2017/04/27	1038	24.77	24.80	24.77	24.80	2500	62470.00
2017/04/27	1039	24.80	24.80	24.78	24.78	19900	497486.00
2017/04/27	1040	24.77	24.80	24.75	24.75	8800	219872.00
2017/04/27	1041	24.80	24.83	24.80	24.83	27500	687524.00
2017/04/27	1042	24.83	24.84	24.83	24.83	2300	57575.00
2017/04/27	1043	24.83	24.85	24.83	24.85	3400	85150.00
2017/04/27	1044	24.83	24.85	24.80	24.85	12100	302585.00
2017/04/27	1045	24.70	24.83	24.70	24.83	29100	724643.00
2017/04/27	1046	24.83	24.83	24.73	24.73	1900	47387.00
2017/04/27	1047	24.82	24.82	24.73	24.82	2800	69939.00
2017/04/27	1048	24.74	24.86	24.74	24.85	16900	423166.00
2017/04/27	1049	24.85	24.86	24.77	24.77	8800	220433.00
2017/04/27	1050	24.75	24.77	24.75	24.77	3200	79902.00
2017/04/27	1051	24.77	24.77	24.75	24.77	2400	59906.00
2017/04/27	1052	24.77	24.77	24.71	24.71	19500	485984.00
2017/04/27	1053	24.70	24.71	24.70	24.70	3600	89654.00
2017/04/27	1054	24.71	24.72	24.71	24.72	42200	1051216.00
2017/04/27	1055	24.72	24.72	24.71	24.72	6800	169445.00
2017/04/27	1056	24.70	24.77	24.70	24.77	12200	303837.00
2017/04/27	1057	24.77	24.77	24.77	24.77	3700	92389.00
2017/04/27	1058	24.77	24.77	24.73	24.75	12800	319438.00
2017/04/27	1059	24.75	24.75	24.70	24.70	50300	1252666.00
2017/04/27	1100	24.70	24.70	24.68	24.70	14000	348462.00
