002044 美年健康 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.71	14.71	14.61	14.61	57600	844751.00
2017/04/27	0932	14.62	14.62	14.60	14.61	32300	471830.00
2017/04/27	0933	14.62	14.67	14.61	14.62	16600	242811.00
2017/04/27	0934	14.62	14.67	14.62	14.66	12800	187409.00
2017/04/27	0935	14.66	14.75	14.66	14.75	19000	279641.00
2017/04/27	0936	14.76	14.76	14.71	14.73	90100	1329203.00
2017/04/27	0937	14.72	14.74	14.72	14.74	18300	269494.00
2017/04/27	0938	14.74	14.74	14.67	14.71	25900	381062.00
2017/04/27	0939	14.71	14.73	14.71	14.73	62900	925771.00
2017/04/27	0940	14.68	14.71	14.68	14.68	15300	224926.00
2017/04/27	0941	14.67	14.67	14.55	14.59	55700	811455.00
2017/04/27	0942	14.59	14.66	14.59	14.66	14300	209029.00
2017/04/27	0943	14.66	14.66	14.65	14.66	38400	562919.00
2017/04/27	0944	14.70	14.70	14.66	14.66	6500	95342.00
2017/04/27	0945	14.65	14.65	14.65	14.65	44100	646065.00
2017/04/27	0946	14.65	14.66	14.65	14.66	92900	1360988.00
2017/04/27	0947	14.66	14.66	14.65	14.65	31900	467397.00
2017/04/27	0948	14.65	14.66	14.65	14.66	5200	76227.00
2017/04/27	0949	14.68	14.69	14.66	14.67	22700	333154.00
2017/04/27	0950	14.67	14.67	14.66	14.66	9800	143687.00
2017/04/27	0951	14.66	14.69	14.66	14.66	11100	163030.00
2017/04/27	0952	14.67	14.68	14.66	14.66	11400	167195.00
2017/04/27	0953	14.66	14.67	14.66	14.67	6200	90921.00
2017/04/27	0954	14.67	14.67	14.66	14.66	16900	247771.00
2017/04/27	0955	14.66	14.66	14.65	14.65	32400	474762.00
2017/04/27	0956	14.65	14.66	14.65	14.65	9000	131879.00
2017/04/27	0957	14.65	14.67	14.65	14.67	10400	152508.00
2017/04/27	0958	14.66	14.68	14.66	14.67	25900	380055.00
2017/04/27	0959	14.67	14.67	14.66	14.66	13000	190598.00
2017/04/27	1000	14.66	14.66	14.65	14.65	57700	845405.00
2017/04/27	1001	14.65	14.65	14.65	14.65	28500	417525.00
2017/04/27	1002	14.66	14.66	14.65	14.66	52300	766258.00
2017/04/27	1003	14.65	14.66	14.61	14.61	163300	2392247.00
2017/04/27	1004	14.61	14.65	14.61	14.62	21900	320238.00
2017/04/27	1005	14.63	14.65	14.63	14.63	24900	364377.00
2017/04/27	1006	14.65	14.65	14.63	14.64	34400	503435.00
2017/04/27	1007	14.63	14.63	14.62	14.62	22400	327491.00
2017/04/27	1008	14.62	14.65	14.62	14.65	19900	291157.00
2017/04/27	1009	14.65	14.65	14.64	14.64	5900	86399.00
2017/04/27	1010	14.64	14.65	14.64	14.64	24200	354451.00
2017/04/27	1011	14.64	14.64	14.64	14.64	20200	295728.00
2017/04/27	1012	14.64	14.64	14.63	14.64	11400	166888.00
2017/04/27	1013	14.64	14.64	14.63	14.64	2000	29272.00
2017/04/27	1014	14.63	14.64	14.63	14.63	32100	469638.00
2017/04/27	1015	14.63	14.65	14.63	14.63	56600	828671.00
2017/04/27	1016	14.63	14.64	14.62	14.63	17700	259048.00
2017/04/27	1017	14.63	14.63	14.62	14.62	17800	260245.00
2017/04/27	1018	14.62	14.64	14.62	14.62	17100	250083.00
2017/04/27	1019	14.62	14.62	14.61	14.61	98400	1437895.00
2017/04/27	1020	14.61	14.61	14.60	14.60	96700	1412594.00
2017/04/27	1021	14.60	14.61	14.58	14.58	91900	1341965.00
2017/04/27	1022	14.58	14.58	14.52	14.52	101900	1482830.00
2017/04/27	1023	14.52	14.56	14.52	14.56	106300	1544233.00
2017/04/27	1024	14.56	14.58	14.56	14.57	36000	524263.00
2017/04/27	1025	14.57	14.60	14.57	14.60	25900	377677.00
2017/04/27	1026	14.61	14.65	14.58	14.65	92800	1357288.00
2017/04/27	1027	14.66	14.70	14.59	14.60	67800	993640.00
2017/04/27	1028	14.63	14.65	14.62	14.63	5000	73176.00
2017/04/27	1029	14.65	14.65	14.63	14.63	5700	83491.00
2017/04/27	1030	14.62	14.62	14.60	14.60	11700	170870.00
2017/04/27	1031	14.60	14.60	14.60	14.60	3900	56940.00
2017/04/27	1032	14.60	14.60	14.60	14.60	35400	516840.00
2017/04/27	1033	14.58	14.60	14.58	14.58	3100	45218.00
2017/04/27	1034	14.58	14.59	14.58	14.59	7400	107897.00
2017/04/27	1035	14.60	14.60	14.59	14.59	22900	334236.00
2017/04/27	1036	14.59	14.59	14.57	14.57	26900	392117.00
2017/04/27	1037	14.57	14.57	14.55	14.55	44600	649453.00
2017/04/27	1038	14.56	14.57	14.56	14.56	112500	1638055.00
2017/04/27	1039	14.57	14.57	14.55	14.55	20900	304146.00
2017/04/27	1040	14.55	14.56	14.55	14.56	18100	263424.00
2017/04/27	1041	14.56	14.57	14.56	14.56	9400	136890.00
2017/04/27	1042	14.57	14.58	14.57	14.58	9400	136993.00
2017/04/27	1043	14.58	14.60	14.58	14.60	3300	48162.00
2017/04/27	1044	14.60	14.60	14.55	14.55	55000	800309.00
2017/04/27	1045	14.55	14.58	14.55	14.58	3700	53943.00
2017/04/27	1046	14.59	14.59	14.58	14.58	14800	215788.00
2017/04/27	1047	14.55	14.55	14.55	14.55	11000	160050.00
2017/04/27	1048	14.58	14.58	14.55	14.55	10000	145698.00
2017/04/27	1049	14.56	14.58	14.56	14.56	8900	129608.00
2017/04/27	1050	14.55	14.56	14.55	14.56	28400	413259.00
2017/04/27	1051	14.56	14.56	14.54	14.55	17700	257469.00
2017/04/27	1052	14.55	14.55	14.54	14.54	10800	157037.00
2017/04/27	1053	14.54	14.54	14.54	14.54	6200	90148.00
2017/04/27	1054	14.55	14.56	14.54	14.55	9600	139678.00
2017/04/27	1055	14.56	14.58	14.56	14.58	8000	116520.00
2017/04/27	1056	14.55	14.58	14.54	14.56	9700	141295.00
2017/04/27	1057	14.54	14.58	14.54	14.56	9300	135470.00
2017/04/27	1058	14.56	14.58	14.56	14.58	6300	91816.00
2017/04/27	1059	14.57	14.58	14.57	14.58	4300	62666.00
2017/04/27	1100	14.57	14.58	14.55	14.55	20900	304485.00
2017/04/27	1101	14.56	14.56	14.55	14.55	15400	224179.00
2017/04/27	1102	14.55	14.56	14.55	14.55	17700	257590.00
2017/04/27	1103	14.55	14.56	14.55	14.56	33600	489159.00
2017/04/27	1104	14.57	14.60	14.57	14.60	5000	72923.00
2017/04/27	1105	14.60	14.60	14.57	14.60	3200	46672.00
2017/04/27	1106	14.61	14.62	14.61	14.62	2900	42376.00
2017/04/27	1107	14.62	14.63	14.62	14.63	17200	251513.00
2017/04/27	1108	14.63	14.64	14.63	14.64	9500	139041.00
2017/04/27	1109	14.63	14.64	14.63	14.63	18300	267784.00
2017/04/27	1110	14.63	14.64	14.63	14.63	4500	65845.00
2017/04/27	1111	14.63	14.64	14.63	14.64	10800	158027.00
2017/04/27	1112	14.63	14.64	14.63	14.63	14000	204822.00
2017/04/27	1113	14.64	14.64	14.63	14.63	1700	24876.00
2017/04/27	1114	14.64	14.64	14.63	14.63	5800	84904.00
2017/04/27	1115	14.63	14.65	14.63	14.65	17500	256209.00
2017/04/27	1116	14.65	14.65	14.64	14.65	32600	477577.00
2017/04/27	1117	14.65	14.65	14.64	14.65	7000	102543.00
2017/04/27	1118	14.67	14.68	14.67	14.68	6700	98335.00
2017/04/27	1119	14.69	14.70	14.68	14.69	11600	170462.00
2017/04/27	1120	14.69	14.70	14.68	14.68	14400	211498.00
2017/04/27	1121	14.69	14.70	14.67	14.70	20400	299646.00
2017/04/27	1122	14.70	14.71	14.70	14.70	13600	200010.00
2017/04/27	1123	14.70	14.70	14.68	14.68	900	13220.00
2017/04/27	1124	14.70	14.71	14.68	14.70	18200	267466.00
2017/04/27	1125	14.70	14.70	14.67	14.70	6200	91077.00
2017/04/27	1126	14.70	14.70	14.69	14.69	5200	76434.00
2017/04/27	1127	14.70	14.70	14.67	14.67	9600	140930.00
2017/04/27	1128	14.69	14.69	14.65	14.65	3800	55725.00
2017/04/27	1129	14.65	14.65	14.65	14.65	5300	77645.00
2017/04/27	1300	14.64	14.65	14.62	14.62	17200	251635.00
2017/04/27	1301	14.62	14.62	14.62	14.62	0	0.00
2017/04/27	1302	14.61	14.61	14.60	14.60	11200	163533.00
2017/04/27	1303	14.60	14.60	14.59	14.60	2100	30654.00
2017/04/27	1304	14.58	14.60	14.58	14.59	9600	140022.00
2017/04/27	1305	14.57	14.65	14.56	14.57	29200	426129.00
2017/04/27	1306	14.57	14.63	14.57	14.63	3700	54079.00
2017/04/27	1307	14.63	14.63	14.63	14.63	4600	67298.00
2017/04/27	1308	14.64	14.64	14.63	14.64	2200	32207.00
2017/04/27	1309	14.64	14.65	14.64	14.65	8700	127433.00
2017/04/27	1310	14.65	14.65	14.63	14.63	1900	27823.00
2017/04/27	1311	14.63	14.65	14.63	14.64	5500	80518.00
2017/04/27	1312	14.64	14.65	14.64	14.65	2400	35138.00
2017/04/27	1313	14.64	14.65	14.64	14.65	4500	65908.00
2017/04/27	1314	14.68	14.68	14.64	14.64	16700	245036.00
2017/04/27	1315	14.64	14.64	14.63	14.63	6100	89263.00
2017/04/27	1316	14.63	14.63	14.63	14.63	0	0.00
2017/04/27	1317	14.63	14.64	14.63	14.64	11000	160940.00
2017/04/27	1318	14.63	14.63	14.63	14.63	1000	14630.00
2017/04/27	1319	14.64	14.64	14.63	14.63	41000	600140.00
2017/04/27	1320	14.64	14.65	14.64	14.65	21000	307460.00
2017/04/27	1321	14.66	14.67	14.66	14.67	8500	124611.00
2017/04/27	1322	14.67	14.68	14.67	14.68	22800	334499.00
2017/04/27	1323	14.67	14.68	14.67	14.68	14700	215761.00
2017/04/27	1324	14.69	14.69	14.68	14.68	25500	374397.00
2017/04/27	1325	14.68	14.68	14.67	14.67	38600	566347.00
2017/04/27	1326	14.68	14.68	14.67	14.68	9400	137932.00
2017/04/27	1327	14.68	14.68	14.67	14.67	6800	99757.00
2017/04/27	1328	14.66	14.67	14.66	14.67	8600	126109.00
2017/04/27	1329	14.67	14.67	14.66	14.66	8800	129016.00
2017/04/27	1330	14.67	14.67	14.66	14.66	26600	390076.00
2017/04/27	1331	14.67	14.68	14.67	14.67	10200	149654.00
2017/04/27	1332	14.68	14.69	14.67	14.68	24500	359695.00
2017/04/27	1333	14.68	14.70	14.68	14.70	26600	390725.00
2017/04/27	1334	14.71	14.72	14.71	14.71	49800	732801.00
2017/04/27	1335	14.71	14.71	14.69	14.69	14000	205814.00
2017/04/27	1336	14.69	14.70	14.69	14.69	20300	298367.00
2017/04/27	1337	14.70	14.70	14.69	14.69	27200	399701.00
2017/04/27	1338	14.69	14.70	14.68	14.68	21300	312924.00
2017/04/27	1339	14.68	14.68	14.68	14.68	15700	230476.00
2017/04/27	1340	14.68	14.68	14.67	14.68	3300	48439.00
2017/04/27	1341	14.70	14.70	14.68	14.68	5600	82214.00
2017/04/27	1342	14.68	14.68	14.68	14.68	5100	74868.00
2017/04/27	1343	14.68	14.70	14.68	14.70	8100	118918.00
2017/04/27	1344	14.68	14.70	14.68	14.70	3100	45560.00
2017/04/27	1345	14.70	14.70	14.68	14.68	4700	69010.00
2017/04/27	1346	14.69	14.69	14.68	14.69	7200	105748.00
2017/04/27	1347	14.70	14.70	14.68	14.70	19200	282177.00
2017/04/27	1348	14.71	14.73	14.70	14.73	31900	469554.00
2017/04/27	1349	14.73	14.75	14.72	14.73	25900	381812.00
2017/04/27	1350	14.73	14.77	14.73	14.77	50200	740629.00
2017/04/27	1351	14.77	14.77	14.75	14.77	52000	767541.00
2017/04/27	1352	14.76	14.77	14.75	14.76	19200	283396.00
2017/04/27	1353	14.76	14.76	14.71	14.75	40000	590016.00
2017/04/27	1354	14.72	14.73	14.72	14.72	39200	577079.00
2017/04/27	1355	14.72	14.72	14.70	14.72	18700	274946.00
2017/04/27	1356	14.72	14.74	14.72	14.72	20700	304817.00
2017/04/27	1357	14.73	14.74	14.73	14.74	7800	114950.00
2017/04/27	1358	14.75	14.75	14.74	14.74	3000	44230.00
2017/04/27	1359	14.75	14.76	14.74	14.75	25000	368745.00
2017/04/27	1400	14.75	14.75	14.74	14.74	11300	166619.00
2017/04/27	1401	14.74	14.75	14.74	14.75	38500	567603.00
2017/04/27	1402	14.75	14.75	14.74	14.74	16900	249112.00
2017/04/27	1403	14.74	14.76	14.74	14.76	25000	368741.00
2017/04/27	1404	14.76	14.76	14.75	14.76	50900	750783.00
