002050 三花智控 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	12.16	12.20	12.10	12.20	567700	6897185.00
2017/04/27	0932	12.17	12.26	12.15	12.25	105600	1290403.00
2017/04/27	0933	12.25	12.27	12.20	12.25	224800	2746215.00
2017/04/27	0934	12.23	12.23	12.16	12.16	152100	1855482.00
2017/04/27	0935	12.15	12.24	12.15	12.23	377500	4596078.00
2017/04/27	0936	12.17	12.23	12.17	12.19	90500	1103797.00
2017/04/27	0937	12.19	12.23	12.18	12.23	99100	1209006.00
2017/04/27	0938	12.20	12.25	12.17	12.18	213900	2606512.00
2017/04/27	0939	12.19	12.19	12.16	12.18	111400	1356008.00
2017/04/27	0940	12.20	12.24	12.18	12.24	158100	1931376.00
2017/04/27	0941	12.19	12.29	12.19	12.29	238300	2921948.00
2017/04/27	0942	12.29	12.37	12.29	12.36	143600	1770685.00
2017/04/27	0943	12.36	12.37	12.31	12.37	197200	2433260.00
2017/04/27	0944	12.37	12.48	12.37	12.47	412500	5130565.00
2017/04/27	0945	12.47	12.50	12.45	12.47	651600	8133861.00
2017/04/27	0946	12.45	12.45	12.42	12.42	302500	3760356.00
2017/04/27	0947	12.42	12.45	12.42	12.45	117700	1462799.00
2017/04/27	0948	12.45	12.45	12.37	12.40	185200	2301854.00
2017/04/27	0949	12.40	12.43	12.37	12.43	127200	1577567.00
2017/04/27	0950	12.42	12.44	12.40	12.42	133700	1660958.00
2017/04/27	0951	12.41	12.42	12.37	12.39	106500	1320594.00
2017/04/27	0952	12.38	12.38	12.33	12.33	185800	2294720.00
2017/04/27	0953	12.33	12.33	12.31	12.31	118900	1464119.00
2017/04/27	0954	12.31	12.35	12.31	12.35	90300	1113604.00
2017/04/27	0955	12.35	12.37	12.33	12.34	80900	999058.00
2017/04/27	0956	12.34	12.37	12.33	12.35	66900	826033.00
2017/04/27	0957	12.35	12.38	12.35	12.38	60800	752149.00
