002085 万丰奥威 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.66	16.66	16.51	16.51	8700	173862.00
2017/04/27	0932	16.51	16.51	16.44	16.48	11000	218248.00
2017/04/27	0933	16.51	16.55	16.48	16.55	4200	83613.00
2017/04/27	0934	16.55	16.55	16.48	16.48	3500	69787.99
2017/04/27	0935	16.58	16.58	16.48	16.49	7800	155289.00
2017/04/27	0936	16.49	16.49	16.45	16.45	15400	305769.00
2017/04/27	0937	16.44	16.44	16.40	16.42	15900	314825.00
2017/04/27	0938	16.42	16.43	16.40	16.40	9300	184045.00
2017/04/27	0939	16.38	16.58	16.35	16.57	17100	339547.00
2017/04/27	0940	16.55	16.55	16.41	16.45	8900	176674.00
2017/04/27	0941	16.42	16.43	16.41	16.43	3200	63355.00
2017/04/27	0942	16.44	16.45	16.44	16.45	5600	111092.00
2017/04/27	0943	16.44	16.44	16.41	16.41	7500	148691.00
2017/04/27	0944	16.43	16.44	16.43	16.43	7800	154618.00
2017/04/27	0945	16.44	16.52	16.44	16.50	6300	125130.00
2017/04/27	0946	16.50	16.50	16.43	16.43	8000	158727.00
2017/04/27	0947	16.43	16.44	16.43	16.44	4000	79281.00
2017/04/27	0948	16.44	16.45	16.43	16.45	1800	35689.00
2017/04/27	0949	16.45	16.45	16.43	16.43	4300	85252.00
2017/04/27	0950	16.45	16.45	16.45	16.45	4000	79360.00
2017/04/27	0951	16.45	16.45	16.43	16.45	3300	65470.00
2017/04/27	0952	16.45	16.45	16.42	16.42	16700	331012.00
2017/04/27	0953	16.42	16.42	16.40	16.40	13600	269167.00
2017/04/27	0954	16.41	16.42	16.39	16.41	17300	342311.00
2017/04/27	0955	16.41	16.41	16.39	16.40	6700	132542.02
2017/04/27	0956	16.40	16.40	16.39	16.40	5500	108786.00
2017/04/27	0957	16.39	16.39	16.38	16.38	10000	197675.00
2017/04/27	0958	16.40	16.40	16.37	16.37	15600	308147.00
2017/04/27	0959	16.36	16.37	16.35	16.35	10000	197276.00
2017/04/27	1000	16.35	16.36	16.35	16.35	10000	197236.00
2017/04/27	1001	16.35	16.35	16.34	16.34	16700	329297.00
2017/04/27	1002	16.34	16.37	16.32	16.33	46600	918028.00
2017/04/27	1003	16.33	16.33	16.33	16.33	16600	326963.00
2017/04/27	1004	16.33	16.33	16.30	16.30	31100	612124.00
2017/04/27	1005	16.30	16.33	16.29	16.33	27700	545200.00
2017/04/27	1006	16.33	16.45	16.33	16.45	28300	559601.00
2017/04/27	1007	16.45	16.48	16.37	16.45	47400	940077.00
2017/04/27	1008	16.45	16.45	16.43	16.43	2300	45608.00
2017/04/27	1009	16.42	16.42	16.40	16.40	4400	87109.99
2017/04/27	1010	16.40	16.40	16.40	16.40	1200	23736.00
2017/04/27	1011	16.40	16.40	16.39	16.39	7400	146344.00
2017/04/27	1012	16.38	16.39	16.38	16.39	2500	49412.00
2017/04/27	1013	16.38	16.38	16.33	16.33	3800	74950.00
2017/04/27	1014	16.33	16.36	16.33	16.36	2400	47283.00
2017/04/27	1015	16.36	16.36	16.33	16.33	10700	210783.02
2017/04/27	1016	16.33	16.33	16.32	16.32	4200	82668.00
2017/04/27	1017	16.32	16.33	16.32	16.33	6700	131912.00
2017/04/27	1018	16.32	16.32	16.30	16.32	7500	147542.00
2017/04/27	1019	16.30	16.32	16.30	16.32	5400	106240.00
2017/04/27	1020	16.32	16.33	16.32	16.33	5800	114154.00
2017/04/27	1021	16.33	16.33	16.33	16.33	500	9850.00
2017/04/27	1022	16.33	16.37	16.32	16.37	6500	128110.00
2017/04/27	1023	16.37	16.49	16.37	16.42	3100	61365.00
2017/04/27	1024	16.33	16.41	16.33	16.41	1500	29577.00
2017/04/27	1025	16.41	16.42	16.34	16.41	4700	93013.00
2017/04/27	1026	16.34	16.34	16.33	16.33	4400	86721.99
2017/04/27	1027	16.33	16.33	16.33	16.33	2700	53190.00
2017/04/27	1028	16.35	16.41	16.35	16.41	2200	43503.00
2017/04/27	1029	16.41	16.41	16.41	16.41	2400	47496.00
2017/04/27	1030	16.36	16.36	16.36	16.36	600	11838.00
2017/04/27	1031	16.35	16.36	16.35	16.35	7900	155792.00
2017/04/27	1032	16.35	16.35	16.32	16.32	55600	1094975.00
2017/04/27	1033	16.32	16.32	16.29	16.30	26300	517129.00
2017/04/27	1034	16.29	16.33	16.29	16.32	16800	330518.00
2017/04/27	1035	16.32	16.33	16.30	16.30	23800	468727.00
2017/04/27	1036	16.33	16.42	16.33	16.42	16600	328086.00
2017/04/27	1037	16.43	16.46	16.39	16.39	5700	112972.00
2017/04/27	1038	16.39	16.40	16.39	16.39	5000	98875.00
2017/04/27	1039	16.39	16.39	16.38	16.39	3000	59282.00
2017/04/27	1040	16.39	16.39	16.39	16.39	400	7908.00
2017/04/27	1041	16.40	16.47	16.40	16.47	3300	65391.00
2017/04/27	1042	16.48	16.48	16.39	16.42	5500	109135.00
2017/04/27	1043	16.42	16.42	16.42	16.42	0	0.00
2017/04/27	1044	16.39	16.39	16.39	16.39	500	9885.00
2017/04/27	1045	16.42	16.42	16.38	16.38	2200	43512.00
2017/04/27	1046	16.42	16.42	16.38	16.38	2800	55365.00
2017/04/27	1047	16.39	16.39	16.35	16.38	4700	92729.00
2017/04/27	1048	16.38	16.38	16.38	16.38	4800	94800.00
2017/04/27	1049	16.41	16.41	16.41	16.41	6600	130614.01
2017/04/27	1050	16.38	16.38	16.38	16.38	300	5925.00
2017/04/27	1051	16.35	16.35	16.33	16.33	7800	153764.00
2017/04/27	1052	16.33	16.33	16.32	16.32	10000	196972.00
2017/04/27	1053	16.32	16.35	16.30	16.30	7300	143618.00
2017/04/27	1054	16.32	16.33	16.30	16.32	5600	110172.00
2017/04/27	1055	16.32	16.34	16.30	16.33	6000	118084.00
2017/04/27	1056	16.32	16.32	16.31	16.32	7000	137719.00
2017/04/27	1057	16.32	16.34	16.30	16.30	5700	112139.00
2017/04/27	1058	16.30	16.34	16.29	16.30	22500	442254.00
2017/04/27	1059	16.27	16.32	16.25	16.32	50400	988904.00
2017/04/27	1100	16.25	16.38	16.25	16.38	13100	257806.00
2017/04/27	1101	16.38	16.42	16.38	16.41	23000	455126.00
2017/04/27	1102	16.39	16.39	16.38	16.38	1700	33595.00
2017/04/27	1103	16.38	16.40	16.36	16.36	4700	92824.00
2017/04/27	1104	16.38	16.40	16.33	16.33	12900	254728.00
2017/04/27	1105	16.33	16.40	16.32	16.40	24000	473971.00
2017/04/27	1106	16.41	16.42	16.41	16.42	46700	924640.00
2017/04/27	1107	16.43	16.49	16.42	16.49	14400	285817.00
2017/04/27	1108	16.50	16.50	16.39	16.39	11700	232303.00
2017/04/27	1109	16.30	16.32	16.29	16.32	6100	119966.00
2017/04/27	1110	16.39	16.39	16.29	16.29	55000	1081084.00
2017/04/27	1111	16.39	16.47	16.30	16.46	8300	164162.00
2017/04/27	1112	16.48	16.48	16.31	16.47	10100	200060.02
2017/04/27	1113	16.48	16.48	16.38	16.38	10700	212434.00
2017/04/27	1114	16.38	16.48	16.38	16.48	6000	119151.00
2017/04/27	1115	16.33	16.48	16.33	16.48	12100	240222.00
2017/04/27	1116	16.49	16.51	16.48	16.50	9900	196967.00
2017/04/27	1117	16.53	16.54	16.37	16.50	10800	214766.00
2017/04/27	1118	16.50	16.50	16.37	16.43	7800	154647.00
2017/04/27	1119	16.39	16.50	16.38	16.38	10500	208603.00
2017/04/27	1120	16.49	16.49	16.38	16.38	2200	43485.00
2017/04/27	1121	16.49	16.49	16.38	16.39	4900	97085.00
2017/04/27	1122	16.39	16.49	16.39	16.49	3400	67608.00
2017/04/27	1123	16.49	16.49	16.43	16.43	900	17853.00
2017/04/27	1124	16.49	16.49	16.42	16.42	5200	103017.00
2017/04/27	1125	16.49	16.50	16.42	16.43	21100	419706.00
2017/04/27	1126	16.43	16.43	16.42	16.42	67600	1338482.88
2017/04/27	1127	16.49	16.49	16.42	16.42	1200	23850.00
2017/04/27	1128	16.48	16.49	16.42	16.42	13000	257484.98
2017/04/27	1129	16.43	16.44	16.43	16.44	1900	37661.00
2017/04/27	1300	16.43	16.44	16.43	16.44	3700	73341.00
2017/04/27	1301	16.44	16.44	16.44	16.44	0	0.00
2017/04/27	1302	16.43	16.43	16.43	16.43	10100	200182.00
2017/04/27	1303	16.43	16.43	16.43	16.43	1100	21802.00
2017/04/27	1304	16.44	16.46	16.43	16.43	3200	63476.00
2017/04/27	1305	16.43	16.43	16.43	16.43	3000	59436.00
2017/04/27	1306	16.43	16.43	16.43	16.43	10400	206024.00
2017/04/27	1307	16.43	16.43	16.43	16.43	100	1981.00
2017/04/27	1308	16.43	16.43	16.43	16.43	1400	27748.00
2017/04/27	1309	16.44	16.44	16.44	16.44	500	9915.00
2017/04/27	1310	16.46	16.48	16.46	16.48	2000	39715.00
2017/04/27	1311	16.48	16.50	16.48	16.50	3700	73570.99
2017/04/27	1312	16.44	16.44	16.43	16.44	6300	124886.00
2017/04/27	1313	16.44	16.44	16.42	16.42	26900	532849.00
2017/04/27	1314	16.42	16.42	16.38	16.38	15600	308129.00
2017/04/27	1315	16.38	16.41	16.37	16.41	10700	211273.00
2017/04/27	1316	16.41	16.43	16.38	16.43	14400	284941.00
2017/04/27	1317	16.43	16.50	16.41	16.50	25000	496562.00
