002142 宁波银行 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	12.88	12.95	12.88	12.94	152900	2617139.00
2017/04/27	0932	12.95	12.98	12.93	12.98	48100	826919.00
2017/04/27	0933	12.98	12.98	12.94	12.95	61800	1062117.00
2017/04/27	0934	12.95	12.99	12.94	12.99	60500	1040614.00
2017/04/27	0935	12.99	13.02	12.99	13.02	22900	395279.00
2017/04/27	0936	13.02	13.03	13.00	13.02	94000	1623553.00
2017/04/27	0937	13.02	13.02	12.96	12.97	45100	778002.00
2017/04/27	0938	12.96	13.00	12.96	12.99	40600	699652.00
2017/04/27	0939	13.00	13.02	12.99	13.02	93100	1607510.00
2017/04/27	0940	13.01	13.04	13.01	13.04	80800	1396549.00
2017/04/27	0941	13.05	13.07	13.04	13.06	55900	968287.00
2017/04/27	0942	13.06	13.08	13.06	13.08	129000	2238086.00
2017/04/27	0943	13.08	13.08	13.06	13.07	42200	731996.00
2017/04/27	0944	13.07	13.07	13.06	13.06	47200	818411.00
2017/04/27	0945	13.06	13.07	13.04	13.04	80800	1400126.00
2017/04/27	0946	13.04	13.04	13.02	13.03	37500	648335.06
2017/04/27	0947	13.03	13.03	13.02	13.02	32500	561817.06
2017/04/27	0948	13.02	13.05	13.02	13.05	87400	1512691.00
2017/04/27	0949	13.05	13.05	13.05	13.05	67700	1171992.00
2017/04/27	0950	13.04	13.05	13.03	13.04	73400	1269177.13
2017/04/27	0951	13.04	13.05	13.03	13.04	22900	396187.97
2017/04/27	0952	13.04	13.04	13.03	13.04	37700	651930.00
2017/04/27	0953	13.04	13.04	13.03	13.03	71100	1229478.00
2017/04/27	0954	13.04	13.04	13.03	13.04	40400	698740.00
2017/04/27	0955	13.04	13.04	13.03	13.03	32000	553562.94
2017/04/27	0956	13.04	13.05	13.03	13.04	16900	292332.00
2017/04/27	0957	13.04	13.05	13.04	13.04	44400	768218.00
2017/04/27	0958	13.05	13.06	13.05	13.06	38700	670355.00
2017/04/27	0959	13.06	13.06	13.03	13.03	158700	2746906.00
2017/04/27	1000	13.03	13.03	13.00	13.00	55800	964082.06
2017/04/27	1001	12.99	13.00	12.99	12.99	46700	805277.00
2017/04/27	1002	12.99	13.00	12.99	13.00	91400	1576271.00
2017/04/27	1003	12.99	13.02	12.98	12.99	76500	1319088.00
2017/04/27	1004	12.99	13.01	12.98	13.01	48100	829655.00
2017/04/27	1005	13.01	13.02	13.00	13.02	26600	459298.00
2017/04/27	1006	13.02	13.02	13.01	13.01	47900	827236.00
2017/04/27	1007	13.02	13.02	13.01	13.02	21300	367818.00
2017/04/27	1008	13.02	13.02	13.01	13.02	65200	1126555.00
2017/04/27	1009	13.02	13.04	13.02	13.03	73100	1264540.00
2017/04/27	1010	13.04	13.04	13.03	13.03	22100	382272.00
2017/04/27	1011	13.04	13.04	13.02	13.02	66100	1142240.13
2017/04/27	1012	13.02	13.02	13.02	13.02	40100	692897.00
2017/04/27	1013	13.02	13.02	13.00	13.01	76300	1317661.00
2017/04/27	1014	13.01	13.02	13.01	13.02	65100	1124125.00
2017/04/27	1015	13.02	13.02	13.01	13.02	74400	1284773.00
2017/04/27	1016	13.02	13.02	13.01	13.02	52600	908161.00
2017/04/27	1017	13.02	13.02	13.01	13.02	70000	1209039.00
2017/04/27	1018	13.02	13.02	13.01	13.02	28200	487010.00
2017/04/27	1019	13.02	13.02	13.00	13.01	144400	2492087.00
2017/04/27	1020	12.99	12.99	12.98	12.98	45900	791162.00
2017/04/27	1021	12.99	12.99	12.98	12.99	49400	851504.00
2017/04/27	1022	12.98	13.02	12.98	13.02	85400	1473139.00
2017/04/27	1023	13.02	13.04	13.02	13.03	91300	1578473.13
2017/04/27	1024	13.02	13.04	13.02	13.03	67700	1170717.00
2017/04/27	1025	13.03	13.04	13.02	13.03	58800	1016686.00
2017/04/27	1026	13.04	13.04	13.02	13.02	220200	3809136.00
2017/04/27	1027	13.04	13.04	13.01	13.02	126000	2177378.00
2017/04/27	1028	13.02	13.02	13.01	13.01	52700	909870.00
2017/04/27	1029	13.00	13.00	12.98	13.00	42700	736389.00
2017/04/27	1030	12.99	13.01	12.99	13.01	24600	424344.00
2017/04/27	1031	13.00	13.01	13.00	13.00	28700	495216.00
2017/04/27	1032	13.01	13.01	13.00	13.00	35300	609252.00
2017/04/27	1033	13.00	13.01	12.99	13.01	46500	802017.00
2017/04/27	1034	13.00	13.03	12.99	13.02	78600	1357788.00
2017/04/27	1035	13.03	13.04	13.02	13.04	81900	1416130.00
2017/04/27	1036	13.03	13.04	13.02	13.04	41500	717683.00
2017/04/27	1037	13.04	13.06	13.02	13.02	125200	2166070.75
2017/04/27	1038	13.02	13.03	13.02	13.03	22200	383702.03
2017/04/27	1039	13.02	13.04	13.02	13.03	29800	515120.00
2017/04/27	1040	13.02	13.04	13.02	13.04	26800	463409.00
2017/04/27	1041	13.04	13.05	13.03	13.04	158500	2741225.00
2017/04/27	1042	13.05	13.06	13.03	13.06	69600	1205578.00
2017/04/27	1043	13.05	13.07	13.05	13.05	132900	2302629.00
2017/04/27	1044	13.04	13.06	13.04	13.05	46000	796848.00
2017/04/27	1045	13.06	13.07	13.05	13.05	44900	777980.00
2017/04/27	1046	13.07	13.08	13.05	13.08	101100	1752432.00
2017/04/27	1047	13.06	13.08	13.06	13.07	18200	315563.00
2017/04/27	1048	13.07	13.08	13.07	13.08	43100	747641.00
2017/04/27	1049	13.08	13.09	13.07	13.08	113700	1974093.00
2017/04/27	1050	13.08	13.09	13.06	13.08	64200	1113475.00
2017/04/27	1051	13.08	13.08	13.06	13.06	94900	1645129.00
2017/04/27	1052	13.06	13.08	13.06	13.07	71000	1231354.00
2017/04/27	1053	13.07	13.08	13.07	13.07	45900	796184.00
2017/04/27	1054	13.07	13.08	13.07	13.07	71000	1231407.00
2017/04/27	1055	13.07	13.08	13.07	13.08	128700	2232608.00
2017/04/27	1056	13.08	13.08	13.07	13.07	62800	1089560.00
2017/04/27	1057	13.08	13.10	13.07	13.10	106400	1847810.13
2017/04/27	1058	13.09	13.10	13.07	13.08	55400	962228.00
2017/04/27	1059	13.10	13.10	13.08	13.09	108800	1890500.00
2017/04/27	1100	13.10	13.11	13.09	13.09	66300	1152327.00
2017/04/27	1101	13.11	13.11	13.09	13.10	73000	1269132.88
2017/04/27	1102	13.10	13.12	13.10	13.12	93900	1632956.00
2017/04/27	1103	13.11	13.11	13.09	13.10	89100	1548714.00
2017/04/27	1104	13.10	13.11	13.10	13.11	73000	1269426.88
2017/04/27	1105	13.11	13.12	13.10	13.12	110200	1917909.00
2017/04/27	1106	13.12	13.13	13.12	13.12	83300	1450567.00
2017/04/27	1107	13.12	13.14	13.12	13.14	85300	1486198.00
2017/04/27	1108	13.14	13.15	13.13	13.13	102800	1791767.00
2017/04/27	1109	13.13	13.14	13.12	13.12	79700	1388520.00
2017/04/27	1110	13.13	13.14	13.12	13.14	165000	2874630.00
2017/04/27	1111	13.15	13.15	13.12	13.13	49400	860343.00
2017/04/27	1112	13.13	13.14	13.12	13.13	77400	1347715.00
2017/04/27	1113	13.13	13.14	13.13	13.13	62300	1085386.00
2017/04/27	1114	13.14	13.14	13.12	13.12	66300	1155072.00
2017/04/27	1115	13.12	13.13	13.12	13.13	98900	1721345.00
2017/04/27	1116	13.11	13.12	13.11	13.12	46400	807505.00
2017/04/27	1117	13.12	13.13	13.11	13.11	101800	1772314.00
2017/04/27	1118	13.12	13.12	13.11	13.12	51800	901207.00
2017/04/27	1119	13.12	13.12	13.12	13.12	28100	489136.00
2017/04/27	1120	13.13	13.13	13.12	13.13	64400	1121738.00
2017/04/27	1121	13.13	13.14	13.12	13.12	95200	1658458.00
2017/04/27	1122	13.13	13.14	13.12	13.13	48800	850085.00
2017/04/27	1123	13.12	13.13	13.12	13.13	50900	886575.00
2017/04/27	1124	13.13	13.14	13.12	13.13	78900	1374600.00
2017/04/27	1125	13.15	13.15	13.12	13.14	173500	3024797.00
2017/04/27	1126	13.12	13.15	13.12	13.14	51000	888843.00
2017/04/27	1127	13.14	13.15	13.14	13.14	80600	1404994.00
2017/04/27	1128	13.14	13.15	13.14	13.14	106400	1856189.00
2017/04/27	1129	13.14	13.16	13.11	13.12	123500	2152695.00
2017/04/27	1300	13.12	13.16	13.12	13.15	187600	3271384.00
2017/04/27	1301	13.15	13.15	13.15	13.15	0	0.00
2017/04/27	1302	13.15	13.16	13.15	13.15	75000	1309039.00
2017/04/27	1303	13.15	13.15	13.15	13.15	121300	2115900.00
2017/04/27	1304	13.15	13.15	13.14	13.15	99200	1730639.13
2017/04/27	1305	13.15	13.16	13.14	13.15	71600	1249239.00
2017/04/27	1306	13.15	13.16	13.14	13.16	65700	1146416.00
2017/04/27	1307	13.16	13.16	13.13	13.13	106800	1861679.00
2017/04/27	1308	13.15	13.15	13.13	13.15	43400	756971.00
2017/04/27	1309	13.15	13.16	13.15	13.15	46200	806245.00
2017/04/27	1310	13.15	13.16	13.15	13.15	66300	1156930.00
2017/04/27	1311	13.15	13.15	13.14	13.14	46300	807825.00
2017/04/27	1312	13.15	13.15	13.15	13.15	26600	464081.00
2017/04/27	1313	13.15	13.16	13.15	13.15	72800	1270611.00
2017/04/27	1314	13.16	13.17	13.15	13.17	99100	1730821.00
2017/04/27	1315	13.17	13.17	13.15	13.17	74800	1306335.00
2017/04/27	1316	13.17	13.17	13.15	13.15	70800	1235531.00
2017/04/27	1317	13.15	13.15	13.15	13.15	21900	382074.00
2017/04/27	1318	13.15	13.17	13.14	13.15	114600	2000413.00
