002147 新光圆成 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	15.42	15.42	15.20	15.24	33200	511000.00
2017/04/27	0932	15.24	15.30	15.24	15.30	1300	19824.00
2017/04/27	0933	15.21	15.21	15.20	15.20	3800	57762.00
2017/04/27	0934	15.12	15.12	15.12	15.12	15000	226800.00
2017/04/27	0935	15.17	15.17	15.15	15.17	9100	137981.00
2017/04/27	0936	15.17	15.17	15.17	15.17	400	6068.00
2017/04/27	0937	15.15	15.15	15.13	15.15	10600	160554.00
2017/04/27	0938	15.15	15.15	15.13	15.13	4900	74229.00
2017/04/27	0939	15.13	15.25	15.13	15.25	11500	174287.00
2017/04/27	0940	15.23	15.23	15.22	15.22	5500	83753.00
2017/04/27	0941	15.22	15.22	15.22	15.22	1300	19786.00
2017/04/27	0942	15.22	15.22	15.22	15.22	4500	68490.00
2017/04/27	0943	15.22	15.22	15.22	15.22	1600	24352.00
2017/04/27	0944	15.22	15.22	15.20	15.20	5800	88260.00
2017/04/27	0945	15.20	15.20	15.17	15.17	3100	47090.00
2017/04/27	0946	15.17	15.17	15.17	15.17	3800	57646.00
2017/04/27	0947	15.17	15.20	15.14	15.14	19000	288089.00
2017/04/27	0948	15.13	15.14	15.13	15.13	10200	154368.00
2017/04/27	0949	15.13	15.15	15.08	15.08	37300	563383.00
2017/04/27	0950	15.06	15.08	15.06	15.06	34300	516663.00
2017/04/27	0951	15.07	15.09	15.07	15.09	10400	156812.00
2017/04/27	0952	15.08	15.20	15.08	15.20	30500	463492.00
2017/04/27	0953	15.20	15.20	15.09	15.10	3800	57411.00
2017/04/27	0954	15.10	15.11	15.10	15.11	6400	96671.00
2017/04/27	0955	15.11	15.11	15.10	15.11	3100	46834.00
2017/04/27	0956	15.10	15.11	15.10	15.11	1200	18130.00
2017/04/27	0957	15.16	15.16	15.12	15.12	900	13612.00
2017/04/27	0958	15.16	15.16	15.12	15.12	2200	33304.00
2017/04/27	0959	15.13	15.15	15.12	15.13	6900	104389.00
2017/04/27	1000	15.13	15.15	15.13	15.14	5000	75689.00
2017/04/27	1001	15.14	15.14	15.11	15.12	9600	145141.00
2017/04/27	1002	15.11	15.11	15.08	15.08	21700	327578.00
2017/04/27	1003	15.08	15.11	15.08	15.09	18600	280658.00
2017/04/27	1004	15.09	15.10	15.09	15.09	14500	218812.00
2017/04/27	1005	15.09	15.15	15.09	15.11	18700	282395.00
