002202 金风科技 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.65	11.65	11.52	11.52	194300	2969260.00
2017/04/27	0932	11.52	11.52	11.38	11.38	199400	3002298.00
2017/04/27	0933	11.38	11.38	11.28	11.31	392000	5842738.00
2017/04/27	0934	11.31	11.35	11.29	11.35	253200	3772776.00
2017/04/27	0935	11.33	11.38	11.33	11.35	283400	4242032.00
2017/04/27	0936	11.31	11.37	11.31	11.31	232500	3466556.00
2017/04/27	0937	11.32	11.34	11.31	11.32	140600	2097407.00
2017/04/27	0938	11.32	11.34	11.29	11.29	266000	3965618.00
2017/04/27	0939	11.29	11.31	11.28	11.28	196200	2920293.00
2017/04/27	0940	11.28	11.28	11.24	11.24	333500	4954712.00
2017/04/27	0941	11.25	11.27	11.25	11.25	265400	3937056.00
2017/04/27	0942	11.26	11.28	11.25	11.25	274100	4069422.00
2017/04/27	0943	11.27	11.28	11.25	11.27	310700	4615696.00
2017/04/27	0944	11.26	11.30	11.26	11.28	235300	3496415.00
2017/04/27	0945	11.27	11.28	11.25	11.25	386500	5736012.00
2017/04/27	0946	11.26	11.26	11.24	11.24	412500	6112011.00
2017/04/27	0947	11.24	11.24	11.14	11.14	571300	8438723.00
2017/04/27	0948	11.14	11.14	11.05	11.05	438600	6407109.00
2017/04/27	0949	11.05	11.05	10.94	10.94	567300	8231380.00
2017/04/27	0950	10.95	10.95	10.87	10.88	624800	8995924.00
2017/04/27	0951	10.89	10.92	10.88	10.92	622400	8946031.00
2017/04/27	0952	10.94	11.01	10.93	11.00	420000	6073501.00
2017/04/27	0953	11.02	11.02	10.91	10.92	681300	9832756.00
2017/04/27	0954	10.93	10.95	10.92	10.95	485600	6997283.00
2017/04/27	0955	10.95	10.95	10.94	10.95	281700	4065360.00
2017/04/27	0956	10.95	10.95	10.92	10.92	355200	5119345.00
2017/04/27	0957	10.93	10.95	10.92	10.94	233000	3357697.00
2017/04/27	0958	10.94	10.95	10.93	10.93	306000	4412127.00
2017/04/27	0959	10.94	10.94	10.92	10.92	194500	2802847.00
2017/04/27	1000	10.92	10.93	10.91	10.91	371800	5350383.00
2017/04/27	1001	10.92	10.92	10.89	10.89	250600	3603708.00
2017/04/27	1002	10.91	10.92	10.89	10.92	174700	2514999.00
2017/04/27	1003	10.92	10.93	10.92	10.93	169200	2436711.00
2017/04/27	1004	10.92	10.97	10.92	10.97	300400	4335596.00
2017/04/27	1005	10.98	11.00	10.97	10.99	106300	1539278.00
2017/04/27	1006	11.00	11.01	10.98	11.01	144100	2088839.00
2017/04/27	1007	10.98	11.00	10.98	11.00	200800	2909483.00
2017/04/27	1008	11.02	11.03	11.00	11.02	113700	1649649.00
2017/04/27	1009	11.02	11.02	10.98	11.01	201700	2925978.00
2017/04/27	1010	10.99	11.02	10.99	11.01	106700	1548246.00
