002221 东华能源 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.90	11.93	11.90	11.93	27000	322849.00
2017/04/27	0932	11.93	11.93	11.91	11.93	21900	262298.00
2017/04/27	0933	11.93	11.93	11.90	11.90	12900	154330.00
2017/04/27	0934	11.89	11.89	11.89	11.89	19800	236412.00
2017/04/27	0935	11.89	11.90	11.89	11.89	44700	533987.00
2017/04/27	0936	11.89	11.91	11.89	11.90	26100	311911.00
2017/04/27	0937	11.89	11.91	11.88	11.90	47200	564066.00
2017/04/27	0938	11.90	11.90	11.88	11.88	34900	416564.00
2017/04/27	0939	11.88	11.88	11.85	11.85	37500	446604.00
2017/04/27	0940	11.85	11.87	11.85	11.87	7400	88147.00
2017/04/27	0941	11.87	11.88	11.87	11.87	13000	155080.00
2017/04/27	0942	11.87	11.88	11.87	11.87	5300	63183.00
2017/04/27	0943	11.87	11.88	11.87	11.88	9100	108494.00
2017/04/27	0944	11.87	11.87	11.87	11.87	4700	56024.00
2017/04/27	0945	11.87	11.88	11.86	11.86	19700	234822.00
2017/04/27	0946	11.86	11.86	11.85	11.86	13800	164332.00
2017/04/27	0947	11.85	11.85	11.83	11.83	78600	935085.00
2017/04/27	0948	11.83	11.83	11.82	11.82	20300	240968.00
2017/04/27	0949	11.82	11.84	11.81	11.82	6500	77160.00
2017/04/27	0950	11.83	11.83	11.81	11.83	8100	96132.00
2017/04/27	0951	11.83	11.85	11.83	11.84	18000	214023.00
2017/04/27	0952	11.84	11.85	11.84	11.84	8100	96333.00
2017/04/27	0953	11.84	11.84	11.81	11.81	12900	153304.00
2017/04/27	0954	11.81	11.83	11.81	11.83	8100	96152.00
2017/04/27	0955	11.82	11.83	11.82	11.82	29000	344240.00
2017/04/27	0956	11.82	11.84	11.82	11.84	51000	606328.00
2017/04/27	0957	11.84	11.85	11.82	11.85	59100	701681.00
2017/04/27	0958	11.84	11.84	11.82	11.82	32800	389468.00
2017/04/27	0959	11.82	11.82	11.80	11.80	31900	378097.00
2017/04/27	1000	11.80	11.81	11.80	11.81	25400	301070.00
2017/04/27	1001	11.80	11.80	11.79	11.80	18900	223950.00
2017/04/27	1002	11.79	11.80	11.79	11.80	27500	325795.00
2017/04/27	1003	11.84	11.84	11.80	11.81	10300	122261.00
2017/04/27	1004	11.81	11.81	11.81	11.81	81000	960660.00
2017/04/27	1005	11.81	11.83	11.81	11.82	7400	87846.00
2017/04/27	1006	11.81	11.83	11.81	11.83	29800	353699.00
2017/04/27	1007	11.83	11.84	11.83	11.84	8200	97480.00
2017/04/27	1008	11.84	11.87	11.84	11.87	30600	364166.00
2017/04/27	1009	11.86	11.87	11.86	11.86	7500	89355.00
2017/04/27	1010	11.85	11.86	11.85	11.86	5200	61885.00
2017/04/27	1011	11.85	11.85	11.85	11.85	2800	33320.00
2017/04/27	1012	11.85	11.85	11.83	11.83	24700	293904.00
2017/04/27	1013	11.82	11.83	11.82	11.83	3700	43945.00
