002236 大华股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	18.40	18.40	18.20	18.20	205500	3784634.00
2017/04/27	0932	18.25	18.30	18.20	18.29	101200	1856583.00
2017/04/27	0933	18.28	18.28	18.21	18.25	96400	1768695.00
2017/04/27	0934	18.22	18.24	18.20	18.21	189800	3475325.00
2017/04/27	0935	18.21	18.22	18.19	18.19	184800	3382485.00
2017/04/27	0936	18.20	18.20	18.16	18.17	154400	2822229.00
2017/04/27	0937	18.16	18.18	18.15	18.17	109700	2003888.00
2017/04/27	0938	18.16	18.17	18.14	18.14	309900	5655568.00
2017/04/27	0939	18.13	18.13	18.01	18.06	271400	4936880.00
2017/04/27	0940	18.05	18.10	18.03	18.10	260300	4728523.00
2017/04/27	0941	18.10	18.10	18.06	18.07	118500	2153827.00
2017/04/27	0942	18.06	18.14	18.06	18.14	209000	3802681.00
2017/04/27	0943	18.12	18.21	18.12	18.20	290200	5306216.00
2017/04/27	0944	18.18	18.22	18.15	18.22	158400	2897056.00
2017/04/27	0945	18.22	18.24	18.22	18.24	241100	4418958.00
2017/04/27	0946	18.23	18.25	18.20	18.21	244600	4480009.00
2017/04/27	0947	18.20	18.23	18.20	18.23	58600	1072749.88
2017/04/27	0948	18.23	18.23	18.20	18.20	151600	2775171.00
2017/04/27	0949	18.22	18.22	18.19	18.20	208700	3820325.00
2017/04/27	0950	18.19	18.20	18.19	18.20	208500	3815294.00
2017/04/27	0951	18.20	18.20	18.19	18.19	181100	3312875.00
2017/04/27	0952	18.19	18.19	18.15	18.16	175400	3204973.00
2017/04/27	0953	18.16	18.17	18.15	18.15	140500	2564742.00
2017/04/27	0954	18.15	18.21	18.15	18.21	95500	1745665.00
2017/04/27	0955	18.20	18.23	18.20	18.21	262400	4803527.50
2017/04/27	0956	18.22	18.25	18.21	18.23	65500	1200371.00
2017/04/27	0957	18.25	18.29	18.23	18.29	57400	1054154.00
2017/04/27	0958	18.28	18.37	18.27	18.37	254400	4688123.00
2017/04/27	0959	18.37	18.38	18.30	18.33	185200	3415274.00
2017/04/27	1000	18.37	18.45	18.32	18.45	277000	5124480.00
2017/04/27	1001	18.44	18.53	18.42	18.53	264000	4905145.00
2017/04/27	1002	18.52	18.55	18.48	18.48	263100	4901637.00
2017/04/27	1003	18.48	18.49	18.46	18.48	87900	1633260.00
2017/04/27	1004	18.47	18.47	18.37	18.37	142000	2631417.00
2017/04/27	1005	18.36	18.43	18.36	18.40	55700	1029132.94
2017/04/27	1006	18.42	18.45	18.40	18.43	79900	1480002.00
2017/04/27	1007	18.43	18.43	18.39	18.39	42800	792216.00
2017/04/27	1008	18.38	18.40	18.38	18.39	36300	671235.00
2017/04/27	1009	18.38	18.43	18.38	18.42	90500	1675048.00
2017/04/27	1010	18.42	18.46	18.41	18.44	162800	3020052.00
2017/04/27	1011	18.44	18.44	18.40	18.41	25400	470200.00
2017/04/27	1012	18.41	18.42	18.40	18.40	65500	1212595.00
2017/04/27	1013	18.40	18.43	18.40	18.41	82700	1531943.00
2017/04/27	1014	18.42	18.43	18.41	18.42	52300	968634.00
2017/04/27	1015	18.43	18.43	18.42	18.43	56000	1037533.00
2017/04/27	1016	18.42	18.42	18.36	18.36	199300	3687553.00
2017/04/27	1017	18.36	18.37	18.30	18.30	32800	604346.00
2017/04/27	1018	18.30	18.40	18.29	18.40	291700	5374118.00
2017/04/27	1019	18.40	18.40	18.38	18.40	264000	4883985.00
2017/04/27	1020	18.41	18.41	18.34	18.39	81400	1503583.00
2017/04/27	1021	18.39	18.40	18.39	18.40	177600	3284958.00
2017/04/27	1022	18.40	18.41	18.34	18.35	187100	3459973.00
2017/04/27	1023	18.34	18.38	18.31	18.31	131500	2423187.00
2017/04/27	1024	18.31	18.36	18.31	18.32	213100	3929036.00
2017/04/27	1025	18.32	18.40	18.32	18.40	356800	6596568.00
2017/04/27	1026	18.37	18.39	18.34	18.37	30700	566587.00
2017/04/27	1027	18.37	18.41	18.37	18.41	201200	3721914.00
2017/04/27	1028	18.41	18.43	18.40	18.43	297400	5506018.00
2017/04/27	1029	18.42	18.46	18.42	18.45	97700	1811737.00
2017/04/27	1030	18.45	18.45	18.38	18.39	200200	3708405.00
2017/04/27	1031	18.39	18.41	18.36	18.36	308400	5697914.50
2017/04/27	1032	18.37	18.41	18.34	18.41	107800	1992217.00
2017/04/27	1033	18.40	18.42	18.36	18.36	251800	4658554.00
2017/04/27	1034	18.36	18.39	18.31	18.32	182100	3363233.00
2017/04/27	1035	18.35	18.41	18.32	18.40	256400	4742343.00
2017/04/27	1036	18.40	18.42	18.33	18.35	180100	3333323.00
2017/04/27	1037	18.40	18.40	18.35	18.39	38600	712992.94
2017/04/27	1038	18.36	18.37	18.35	18.35	46600	860199.00
2017/04/27	1039	18.35	18.36	18.32	18.33	150200	2769463.00
2017/04/27	1040	18.34	18.39	18.32	18.39	72200	1332178.00
2017/04/27	1041	18.39	18.40	18.39	18.39	74800	1383620.00
2017/04/27	1042	18.39	18.40	18.31	18.31	206200	3798604.00
2017/04/27	1043	18.38	18.38	18.33	18.36	51000	940923.00
2017/04/27	1044	18.32	18.38	18.30	18.34	156500	2880826.00
2017/04/27	1045	18.34	18.40	18.31	18.31	215100	3977149.00
2017/04/27	1046	18.32	18.40	18.30	18.40	198000	3659055.00
2017/04/27	1047	18.40	18.42	18.31	18.39	257700	4769156.00
2017/04/27	1048	18.42	18.45	18.39	18.44	122000	2262614.00
2017/04/27	1049	18.44	18.45	18.42	18.42	40400	748786.00
2017/04/27	1050	18.41	18.41	18.40	18.41	14600	270218.00
2017/04/27	1051	18.41	18.41	18.39	18.39	19000	351474.00
2017/04/27	1052	18.39	18.39	18.37	18.37	16100	297559.00
2017/04/27	1053	18.37	18.39	18.37	18.38	15900	293770.00
2017/04/27	1054	18.38	18.39	18.36	18.36	32600	602188.00
2017/04/27	1055	18.36	18.39	18.36	18.39	23700	437896.00
2017/04/27	1056	18.39	18.40	18.35	18.37	39100	722309.00
2017/04/27	1057	18.36	18.38	18.36	18.38	27700	511619.00
2017/04/27	1058	18.37	18.37	18.35	18.36	22600	417185.00
2017/04/27	1059	18.36	18.38	18.32	18.32	46800	863205.00
2017/04/27	1100	18.33	18.33	18.31	18.33	61200	1127150.00
2017/04/27	1101	18.32	18.39	18.32	18.33	103700	1911728.00
2017/04/27	1102	18.33	18.39	18.33	18.33	99800	1839633.00
2017/04/27	1103	18.35	18.39	18.32	18.36	17000	313529.00
2017/04/27	1104	18.35	18.37	18.35	18.35	20300	374609.00
