002299 圣农发展 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/28	0931	16.23	16.23	16.23	16.23	396700	6636791.00
2017/04/28	0932	16.23	16.23	16.23	16.23	56100	938553.00
2017/04/28	0933	16.23	16.23	16.23	16.23	56000	936880.00
2017/04/28	0934	16.23	16.23	16.23	16.23	38300	640759.00
2017/04/28	0935	16.23	16.23	16.23	16.23	29300	490189.00
2017/04/28	0936	16.23	16.23	16.23	16.23	10800	180684.00
2017/04/28	0937	16.23	16.23	16.23	16.23	30200	505246.00
2017/04/28	0938	16.23	16.23	16.23	16.23	9400	157262.00
2017/04/28	0939	16.23	16.23	16.23	16.23	12900	215817.00
2017/04/28	0940	16.23	16.23	16.23	16.23	12000	200760.00
2017/04/28	0941	16.23	16.23	16.23	16.23	25600	428288.00
2017/04/28	0942	16.23	16.23	16.23	16.23	2500	41825.00
2017/04/28	0943	16.23	16.23	16.23	16.23	72100	1206233.00
2017/04/28	0944	16.23	16.23	16.23	16.23	4900	81977.00
2017/04/28	0945	16.23	16.23	16.23	16.23	2600	43498.00
2017/04/28	0946	16.23	16.23	16.23	16.23	6600	110418.00
2017/04/28	0947	16.23	16.23	16.23	16.23	10200	170646.00
2017/04/28	0948	16.23	16.23	16.23	16.23	7000	117110.00
2017/04/28	0949	16.23	16.23	16.23	16.23	10200	170646.00
2017/04/28	0950	16.23	16.23	16.23	16.23	8500	142205.00
2017/04/28	0951	16.23	16.23	16.23	16.23	8100	135513.00
2017/04/28	0952	16.23	16.23	16.23	16.23	17200	287756.00
2017/04/28	0953	16.23	16.23	16.23	16.23	6300	105399.00
2017/04/28	0954	16.23	16.23	16.23	16.23	20100	336273.00
2017/04/28	0955	16.23	16.23	16.23	16.23	11100	185703.00
2017/04/28	0956	16.23	16.23	16.23	16.23	2500	41825.00
2017/04/28	0957	16.23	16.23	16.23	16.23	4700	78631.00
2017/04/28	0958	16.23	16.23	16.23	16.23	6700	112091.00
2017/04/28	0959	16.23	16.23	16.23	16.23	6600	110418.00
2017/04/28	1000	16.23	16.23	16.23	16.23	4400	73612.00
2017/04/28	1001	16.23	16.23	16.23	16.23	6300	105399.00
2017/04/28	1002	16.23	16.23	16.23	16.23	11300	189049.00
2017/04/28	1003	16.23	16.23	16.23	16.23	8800	147224.00
2017/04/28	1004	16.23	16.23	16.23	16.23	9800	163954.00
2017/04/28	1005	16.23	16.23	16.23	16.23	10900	182357.00
2017/04/28	1006	16.23	16.23	16.23	16.23	4900	81977.00
2017/04/28	1007	16.23	16.23	16.23	16.23	6000	100380.00
2017/04/28	1008	16.23	16.23	16.23	16.23	3900	65247.00
2017/04/28	1009	16.23	16.23	16.23	16.23	5500	92015.00
2017/04/28	1010	16.23	16.23	16.23	16.23	400	6692.00
2017/04/28	1011	16.23	16.23	16.23	16.23	3900	65247.00
2017/04/28	1012	16.23	16.23	16.23	16.23	4000	66920.00
2017/04/28	1013	16.23	16.23	16.23	16.23	9600	160608.00
2017/04/28	1014	16.23	16.23	16.23	16.23	2200	36806.00
2017/04/28	1015	16.23	16.23	16.23	16.23	800	13384.00
2017/04/28	1016	16.23	16.23	16.23	16.23	1900	31787.00
2017/04/28	1017	16.23	16.23	16.23	16.23	4300	71939.00
2017/04/28	1018	16.23	16.23	16.23	16.23	500	8365.00
2017/04/28	1019	16.23	16.23	16.23	16.23	200	3346.00
2017/04/28	1020	16.23	16.23	16.23	16.23	4600	76958.00
2017/04/28	1021	16.23	16.23	16.23	16.23	5900	98707.00
2017/04/28	1022	16.23	16.23	16.23	16.23	2400	40152.00
2017/04/28	1023	16.23	16.23	16.23	16.23	2300	38479.00
2017/04/28	1024	16.23	16.23	16.23	16.23	13000	217490.00
2017/04/28	1025	16.23	16.23	16.23	16.23	7400	123802.00
2017/04/28	1026	16.23	16.23	16.23	16.23	1500	25095.00
2017/04/28	1027	16.23	16.23	16.23	16.23	2400	40152.00
2017/04/28	1028	16.23	16.23	16.23	16.23	3300	55209.00
2017/04/28	1029	16.23	16.23	16.23	16.23	2300	38479.00
2017/04/28	1030	16.23	16.23	16.23	16.23	2500	41825.00
2017/04/28	1031	16.23	16.23	16.23	16.23	2400	40152.00
2017/04/28	1032	16.23	16.23	16.23	16.23	1200	20076.00
2017/04/28	1033	16.23	16.23	16.23	16.23	1900	31787.00
2017/04/28	1034	16.23	16.23	16.23	16.23	2500	41825.00
2017/04/28	1035	16.23	16.23	16.23	16.23	1300	21749.00
2017/04/28	1036	16.23	16.23	16.23	16.23	1300	21749.00
2017/04/28	1037	16.23	16.23	16.23	16.23	2200	36806.00
2017/04/28	1038	16.23	16.23	16.23	16.23	3700	61901.00
2017/04/28	1039	16.23	16.23	16.23	16.23	3700	61901.00
2017/04/28	1040	16.23	16.23	16.23	16.23	2800	46844.00
2017/04/28	1041	16.23	16.23	16.23	16.23	1600	26768.00
