002304 洋河股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	84.24	84.29	83.81	83.90	33300	2865304.00
2017/04/27	0932	84.10	84.10	83.74	83.74	12300	1058203.00
2017/04/27	0933	83.74	83.79	83.50	83.66	16600	1423680.00
2017/04/27	0934	83.60	83.70	83.50	83.58	32800	2810458.00
2017/04/27	0935	83.53	83.99	83.53	83.90	19200	1646589.00
2017/04/27	0936	83.89	84.12	83.63	84.08	11500	989698.00
2017/04/27	0937	83.91	84.16	83.70	84.04	22400	1927670.00
2017/04/27	0938	84.03	84.12	84.00	84.08	20100	1731224.00
2017/04/27	0939	84.08	84.28	84.08	84.28	33100	2857149.00
2017/04/27	0940	84.35	84.80	84.35	84.80	43500	3769448.00
2017/04/27	0941	84.86	85.08	84.85	84.93	11300	983452.00
2017/04/27	0942	84.94	84.94	84.78	84.78	19800	1722093.00
2017/04/27	0943	84.78	84.90	84.78	84.79	8500	738609.00
2017/04/27	0944	84.89	84.99	84.89	84.94	9700	844075.00
2017/04/27	0945	84.94	84.98	84.89	84.89	8400	730884.00
2017/04/27	0946	84.79	84.89	84.79	84.89	7500	651853.00
2017/04/27	0947	84.80	84.89	84.78	84.78	5900	512803.00
2017/04/27	0948	84.79	84.79	84.52	84.53	12400	1075111.00
2017/04/27	0949	84.53	84.88	84.53	84.88	14500	1259171.00
2017/04/27	0950	84.88	85.20	84.88	85.20	28600	2493850.00
2017/04/27	0951	85.03	85.30	85.03	85.23	37600	3283233.00
2017/04/27	0952	84.79	85.20	84.60	84.90	8200	713544.00
2017/04/27	0953	84.90	85.10	84.81	84.90	29900	2600959.00
2017/04/27	0954	84.90	85.08	84.71	84.92	15000	1306614.00
2017/04/27	0955	85.10	85.15	84.98	85.10	23600	2057413.00
2017/04/27	0956	84.98	85.10	84.90	84.91	19300	1682530.00
2017/04/27	0957	84.92	85.06	84.82	84.83	10200	887390.00
2017/04/27	0958	84.84	84.90	84.80	84.81	9500	825788.00
2017/04/27	0959	84.80	84.80	84.55	84.55	15900	1379064.00
2017/04/27	1000	84.52	84.52	84.03	84.05	12400	1071833.00
2017/04/27	1001	84.06	84.34	84.06	84.32	8500	733713.00
2017/04/27	1002	84.32	84.47	84.31	84.41	44900	3886152.00
2017/04/27	1003	84.47	84.78	84.47	84.78	14600	1264662.00
2017/04/27	1004	84.77	84.77	84.56	84.60	5000	433465.00
2017/04/27	1005	84.59	84.73	84.59	84.66	30900	2682187.00
2017/04/27	1006	84.70	84.73	84.70	84.73	10700	928884.00
2017/04/27	1007	84.73	84.74	84.72	84.72	4500	390750.00
2017/04/27	1008	84.72	84.88	84.70	84.88	18000	1564391.00
2017/04/27	1009	84.89	84.89	84.63	84.70	5500	477702.00
2017/04/27	1010	84.56	84.56	84.55	84.56	3300	285972.03
2017/04/27	1011	84.52	84.68	84.52	84.68	2900	251486.00
2017/04/27	1012	84.68	84.68	84.68	84.68	3700	321086.00
