002311 海大集团 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	16.85	16.85	16.80	16.80	60200	1031683.00
2017/04/27	0932	16.85	16.85	16.78	16.78	54200	926476.00
2017/04/27	0933	16.82	16.85	16.78	16.78	19800	338714.00
2017/04/27	0934	16.81	16.81	16.74	16.74	21200	361790.00
2017/04/27	0935	16.74	16.78	16.72	16.73	22100	376704.00
2017/04/27	0936	16.76	16.77	16.73	16.73	16400	279621.00
2017/04/27	0937	16.74	16.77	16.70	16.70	130000	2212056.00
2017/04/27	0938	16.67	16.68	16.58	16.59	42900	725336.00
2017/04/27	0939	16.58	16.66	16.58	16.66	72700	1232091.00
2017/04/27	0940	16.63	16.70	16.63	16.66	29300	497623.00
2017/04/27	0941	16.66	16.71	16.65	16.71	30900	525442.00
2017/04/27	0942	16.70	16.71	16.62	16.70	40800	692583.00
2017/04/27	0943	16.68	16.70	16.63	16.65	7300	123924.00
2017/04/27	0944	16.67	16.70	16.67	16.70	23500	399236.00
2017/04/27	0945	16.70	16.78	16.67	16.78	26800	456721.00
2017/04/27	0946	16.78	16.84	16.70	16.75	31300	534789.00
2017/04/27	0947	16.78	16.79	16.72	16.79	21600	368368.00
2017/04/27	0948	16.78	16.78	16.72	16.78	19500	332978.00
2017/04/27	0949	16.79	16.84	16.79	16.84	16900	289111.00
2017/04/27	0950	16.84	16.87	16.83	16.83	25300	433799.00
2017/04/27	0951	16.84	16.87	16.83	16.87	13300	228138.00
2017/04/27	0952	16.88	16.88	16.76	16.76	20600	353194.00
2017/04/27	0953	16.76	16.83	16.76	16.83	17900	306119.00
2017/04/27	0954	16.82	16.87	16.82	16.85	23000	394248.00
2017/04/27	0955	16.82	16.87	16.82	16.87	26700	458035.00
2017/04/27	0956	16.89	16.92	16.87	16.92	38200	656689.00
2017/04/27	0957	16.90	16.95	16.88	16.95	15500	267130.00
2017/04/27	0958	16.95	17.00	16.94	17.00	81000	1399941.00
2017/04/27	0959	17.03	17.04	16.99	16.99	35500	614669.00
2017/04/27	1000	17.00	17.03	16.99	17.03	51500	890698.00
2017/04/27	1001	17.03	17.06	16.98	16.98	44900	777133.00
2017/04/27	1002	16.98	17.00	16.96	16.97	49400	853360.00
2017/04/27	1003	16.98	17.01	16.98	17.01	59700	1033184.00
2017/04/27	1004	17.00	17.05	16.94	17.05	73500	1271787.00
2017/04/27	1005	17.00	17.12	17.00	17.12	116300	2022016.00
2017/04/27	1006	17.12	17.15	17.10	17.10	43200	753013.00
2017/04/27	1007	17.10	17.10	16.95	17.00	98900	1713555.00
2017/04/27	1008	17.09	17.10	17.04	17.05	18700	324964.00
2017/04/27	1009	17.08	17.11	17.08	17.09	41400	720012.94
2017/04/27	1010	17.10	17.13	17.08	17.11	51700	900003.00
2017/04/27	1011	17.10	17.13	17.09	17.09	74300	1293464.00
2017/04/27	1012	17.09	17.09	17.07	17.08	14100	245109.00
2017/04/27	1013	17.09	17.10	17.08	17.08	32700	568903.00
2017/04/27	1014	17.10	17.10	17.08	17.09	48800	848948.00
2017/04/27	1015	17.07	17.10	17.05	17.05	40000	695111.00
2017/04/27	1016	17.06	17.08	17.03	17.04	47900	830953.00
2017/04/27	1017	17.03	17.04	17.00	17.00	44100	763720.00
2017/04/27	1018	17.00	17.05	16.96	17.03	29900	517894.00
2017/04/27	1019	17.03	17.07	16.97	17.04	62300	1080240.00
2017/04/27	1020	17.05	17.06	17.00	17.06	44800	776862.00
2017/04/27	1021	17.06	17.08	17.02	17.08	60100	1043902.00
2017/04/27	1022	17.08	17.08	17.02	17.07	27700	481110.00
2017/04/27	1023	17.07	17.07	17.00	17.00	71700	1243366.00
2017/04/27	1024	17.06	17.07	17.00	17.07	40400	701528.00
2017/04/27	1025	17.07	17.07	17.01	17.07	33800	586632.00
2017/04/27	1026	17.06	17.07	17.00	17.04	66300	1150023.13
2017/04/27	1027	16.98	17.06	16.98	17.00	65600	1136945.00
2017/04/27	1028	17.00	17.07	16.97	17.07	51200	887663.00
2017/04/27	1029	17.07	17.07	17.00	17.07	36000	624751.00
2017/04/27	1030	17.07	17.07	17.01	17.05	38000	659078.00
2017/04/27	1031	17.05	17.05	17.01	17.03	46800	810436.00
2017/04/27	1032	17.01	17.03	16.96	17.03	65100	1126682.00
2017/04/27	1033	16.96	17.05	16.96	16.99	54600	943924.00
2017/04/27	1034	16.98	17.05	16.97	17.02	51500	892266.00
2017/04/27	1035	16.97	17.05	16.94	17.05	96400	1666972.00
2017/04/27	1036	17.00	17.05	16.93	17.04	57200	987785.00
2017/04/27	1037	16.93	17.04	16.93	17.01	40500	700858.00
2017/04/27	1038	16.93	17.01	16.86	16.86	92500	1592006.00
2017/04/27	1039	16.85	17.00	16.83	16.98	42600	733190.00
