002422 科伦药业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	15.97	15.97	15.91	15.94	27300	438763.00
2017/04/27	0932	15.94	15.95	15.86	15.91	61100	978628.00
2017/04/27	0933	15.91	15.91	15.90	15.91	11300	181280.00
2017/04/27	0934	15.92	15.96	15.92	15.96	11500	184818.00
2017/04/27	0935	15.97	15.98	15.93	15.97	8700	140054.00
2017/04/27	0936	15.97	15.97	15.92	15.92	14500	233146.00
2017/04/27	0937	15.92	15.93	15.89	15.89	29000	465510.00
2017/04/27	0938	15.89	15.89	15.87	15.88	31300	501491.00
2017/04/27	0939	15.87	15.90	15.87	15.87	106200	1700598.00
2017/04/27	0940	15.88	15.90	15.86	15.86	45300	724919.00
2017/04/27	0941	15.87	15.89	15.86	15.87	6900	110487.00
2017/04/27	0942	15.87	15.89	15.87	15.89	11200	179423.00
2017/04/27	0943	15.87	15.89	15.87	15.88	9000	144193.00
2017/04/27	0944	15.88	15.89	15.88	15.89	16100	257947.00
2017/04/27	0945	15.89	15.89	15.88	15.89	9200	147473.00
2017/04/27	0946	15.90	15.90	15.88	15.88	5900	94546.01
2017/04/27	0947	15.88	15.88	15.86	15.87	36500	584227.00
2017/04/27	0948	15.87	15.88	15.87	15.87	9700	155333.00
2017/04/27	0949	15.87	15.88	15.87	15.87	8500	136129.00
2017/04/27	0950	15.88	15.89	15.87	15.87	15500	248284.00
2017/04/27	0951	15.88	15.90	15.87	15.88	4400	70496.00
2017/04/27	0952	15.88	15.90	15.88	15.88	14900	238704.00
2017/04/27	0953	15.88	15.89	15.88	15.89	49000	785043.00
2017/04/27	0954	15.89	15.89	15.86	15.87	95600	1529926.00
2017/04/27	0955	15.86	15.87	15.84	15.86	56700	906990.00
2017/04/27	0956	15.83	15.86	15.82	15.82	38000	606876.00
2017/04/27	0957	15.83	15.86	15.82	15.84	24200	386508.00
2017/04/27	0958	15.84	15.84	15.82	15.82	16800	268210.00
2017/04/27	0959	15.82	15.82	15.79	15.79	76400	1218727.00
2017/04/27	1000	15.79	15.79	15.74	15.75	104700	1664264.00
2017/04/27	1001	15.74	15.75	15.71	15.73	54400	863411.00
2017/04/27	1002	15.72	15.74	15.71	15.73	74100	1175617.00
2017/04/27	1003	15.74	15.78	15.72	15.78	87600	1391005.00
2017/04/27	1004	15.78	15.78	15.74	15.76	32200	512135.00
2017/04/27	1005	15.75	15.75	15.73	15.74	51600	819140.00
2017/04/27	1006	15.73	15.77	15.73	15.77	48900	777308.00
2017/04/27	1007	15.76	15.80	15.76	15.80	47400	754352.00
2017/04/27	1008	15.80	15.81	15.74	15.74	33000	525034.00
2017/04/27	1009	15.74	15.76	15.74	15.76	6300	100142.00
2017/04/27	1010	15.76	15.76	15.75	15.75	9900	157405.00
2017/04/27	1011	15.75	15.77	15.75	15.76	117600	1870904.00
2017/04/27	1012	15.77	15.80	15.76	15.80	70800	1126434.00
2017/04/27	1013	15.80	15.81	15.79	15.80	9300	148289.00
2017/04/27	1014	15.79	15.80	15.78	15.79	28900	460572.00
2017/04/27	1015	15.79	15.80	15.79	15.80	7100	113165.00
2017/04/27	1016	15.79	15.83	15.79	15.81	17600	280602.00
2017/04/27	1017	15.83	15.83	15.81	15.81	8300	132472.00
2017/04/27	1018	15.82	15.83	15.81	15.82	9700	154806.00
2017/04/27	1019	15.82	15.82	15.81	15.81	38500	614252.00
2017/04/27	1020	15.80	15.80	15.79	15.80	12900	205624.00
2017/04/27	1021	15.80	15.80	15.79	15.79	3300	52590.00
2017/04/27	1022	15.80	15.81	15.80	15.81	10400	165789.00
2017/04/27	1023	15.81	15.81	15.79	15.80	16300	259758.00
2017/04/27	1024	15.79	15.80	15.79	15.80	4400	70135.00
2017/04/27	1025	15.81	15.81	15.80	15.81	6600	105255.00
2017/04/27	1026	15.81	15.82	15.81	15.82	31900	509009.00
2017/04/27	1027	15.81	15.82	15.80	15.81	61900	987393.00
2017/04/27	1028	15.82	15.83	15.81	15.83	4600	73395.00
2017/04/27	1029	15.81	15.81	15.81	15.81	1900	30305.00
2017/04/27	1030	15.83	15.83	15.79	15.83	24200	386028.00
2017/04/27	1031	15.84	15.86	15.83	15.83	39600	633252.00
2017/04/27	1032	15.83	15.83	15.79	15.79	14700	234466.00
2017/04/27	1033	15.79	15.80	15.78	15.78	19900	316960.00
2017/04/27	1034	15.78	15.84	15.77	15.78	40100	639102.00
2017/04/27	1035	15.83	15.84	15.78	15.79	13900	221680.00
2017/04/27	1036	15.80	15.83	15.79	15.79	4300	68540.00
2017/04/27	1037	15.78	15.80	15.78	15.80	6300	100306.00
2017/04/27	1038	15.80	15.80	15.78	15.80	9200	146580.00
2017/04/27	1039	15.80	15.80	15.78	15.78	23300	371126.00
2017/04/27	1040	15.78	15.79	15.78	15.79	700	11146.00
2017/04/27	1041	15.81	15.81	15.79	15.80	3800	60574.00
2017/04/27	1042	15.81	15.85	15.81	15.85	21800	348148.00
2017/04/27	1043	15.85	15.85	15.85	15.85	2100	33579.00
2017/04/27	1044	15.85	15.85	15.82	15.82	1400	22377.00
2017/04/27	1045	15.82	15.85	15.82	15.85	1300	20772.00
2017/04/27	1046	15.85	15.85	15.82	15.82	9500	151827.00
2017/04/27	1047	15.83	15.83	15.83	15.83	1000	15970.00
2017/04/27	1048	15.82	15.85	15.82	15.83	11100	177267.00
2017/04/27	1049	15.82	15.83	15.82	15.82	3800	60661.00
2017/04/27	1050	15.82	15.82	15.81	15.81	21400	341430.00
2017/04/27	1051	15.81	15.81	15.79	15.79	12200	194379.00
2017/04/27	1052	15.79	15.81	15.79	15.81	6800	108410.00
2017/04/27	1053	15.81	15.81	15.81	15.81	5300	84535.00
2017/04/27	1054	15.81	15.81	15.81	15.81	2900	46255.00
2017/04/27	1055	15.83	15.83	15.81	15.82	11500	183575.00
2017/04/27	1056	15.83	15.83	15.82	15.82	12900	206004.00
2017/04/27	1057	15.82	15.83	15.82	15.82	3600	57465.00
2017/04/27	1058	15.82	15.84	15.82	15.84	11500	183552.00
2017/04/27	1059	15.84	15.84	15.84	15.84	2100	33558.00
2017/04/27	1100	15.84	15.84	15.83	15.84	15900	254037.00
2017/04/27	1101	15.83	15.85	15.83	15.85	22400	357923.00
2017/04/27	1102	15.83	15.85	15.83	15.85	13700	218889.00
2017/04/27	1103	15.85	15.85	15.84	15.85	7500	119918.00
2017/04/27	1104	15.85	15.88	15.85	15.86	18800	300783.00
2017/04/27	1105	15.88	15.88	15.87	15.87	2000	32036.00
2017/04/27	1106	15.88	15.89	15.88	15.88	19800	317316.00
2017/04/27	1107	15.88	15.89	15.88	15.88	9100	145788.00
2017/04/27	1108	15.88	15.88	15.87	15.87	8100	129707.00
