002456 欧菲光 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	15.17	15.17	15.13	15.13	102200	3884074.00
2017/04/27	0932	15.13	15.13	15.06	15.06	78400	2965110.00
2017/04/27	0933	15.06	15.06	15.02	15.02	79200	2986182.00
2017/04/27	0934	15.03	15.06	15.02	15.06	51600	1944705.00
2017/04/27	0935	15.06	15.16	15.06	15.10	43100	1634864.00
2017/04/27	0936	15.16	15.16	15.11	15.16	36500	1386740.00
2017/04/27	0937	15.15	15.16	15.12	15.14	33700	1279115.00
2017/04/27	0938	15.14	15.14	15.11	15.11	75700	2869076.00
2017/04/27	0939	15.11	15.11	15.09	15.10	98700	3737483.00
2017/04/27	0940	15.10	15.16	15.10	15.16	112200	4258552.00
2017/04/27	0941	15.14	15.18	15.14	15.18	50300	1911580.00
2017/04/27	0942	15.17	15.23	15.17	15.23	69100	2633748.00
2017/04/27	0943	15.24	15.26	15.23	15.24	94100	3596337.00
2017/04/27	0944	15.24	15.24	15.20	15.22	95600	3650855.00
2017/04/27	0945	15.23	15.24	15.20	15.23	98700	3766580.00
2017/04/27	0946	15.23	15.23	15.20	15.20	58500	2232646.00
2017/04/27	0947	15.20	15.20	15.17	15.17	116600	4440182.00
2017/04/27	0948	15.17	15.19	15.17	15.18	60200	2291060.00
2017/04/27	0949	15.18	15.19	15.16	15.19	99100	3771638.00
2017/04/27	0950	15.18	15.19	15.18	15.19	40900	1557368.00
2017/04/27	0951	15.20	15.20	15.19	15.20	24100	918083.00
2017/04/27	0952	15.20	15.20	15.19	15.19	58900	2244160.00
2017/04/27	0953	15.20	15.22	15.20	15.21	60100	2291003.00
2017/04/27	0954	15.22	15.22	15.21	15.22	28100	1072042.00
2017/04/27	0955	15.22	15.23	15.21	15.23	128000	4883889.00
2017/04/27	0956	15.23	15.23	15.20	15.20	125300	4781367.00
2017/04/27	0957	15.21	15.22	15.21	15.21	90600	3456016.00
2017/04/27	0958	15.21	15.22	15.21	15.22	84000	3204493.00
2017/04/27	0959	15.21	15.22	15.16	15.16	128400	4890658.00
2017/04/27	1000	15.20	15.20	15.16	15.16	178700	6793524.00
2017/04/27	1001	15.16	15.16	15.15	15.16	177200	6735001.00
2017/04/27	1002	15.16	15.20	15.16	15.16	105300	4003404.00
2017/04/27	1003	15.15	15.20	15.15	15.18	114300	4352734.00
2017/04/27	1004	15.16	15.19	15.16	15.17	47100	1790725.88
2017/04/27	1005	15.17	15.20	15.17	15.17	82600	3145265.00
2017/04/27	1006	15.16	15.18	15.16	15.16	34500	1311971.00
2017/04/27	1007	15.16	15.17	15.16	15.16	46000	1748703.00
2017/04/27	1008	15.16	15.18	15.15	15.16	26000	988379.00
2017/04/27	1009	15.15	15.16	15.15	15.16	59000	2242241.00
2017/04/27	1010	15.16	15.16	15.16	15.16	32000	1216548.00
2017/04/27	1011	15.16	15.18	15.16	15.18	47500	1806790.00
2017/04/27	1012	15.20	15.20	15.18	15.19	61700	2350502.00
2017/04/27	1013	15.19	15.20	15.19	15.19	43700	1664328.00
2017/04/27	1014	15.19	15.21	15.19	15.21	64400	2454041.00
2017/04/27	1015	15.21	15.21	15.21	15.21	42600	1624583.00
2017/04/27	1016	15.21	15.22	15.20	15.21	136900	5221200.00
2017/04/27	1017	15.21	15.22	15.20	15.22	28400	1083118.00
2017/04/27	1018	15.22	15.22	15.20	15.20	55500	2116874.00
2017/04/27	1019	15.20	15.21	15.20	15.20	47800	1821478.00
2017/04/27	1020	15.20	15.21	15.20	15.21	17300	659512.00
2017/04/27	1021	15.20	15.21	15.20	15.20	14000	533638.00
2017/04/27	1022	15.20	15.20	15.18	15.18	22300	849121.00
2017/04/27	1023	15.18	15.25	15.18	15.25	332500	12693433.00
2017/04/27	1024	15.24	15.30	15.24	15.30	218100	8349482.00
2017/04/27	1025	15.30	15.30	15.24	15.24	144200	5524736.00
2017/04/27	1026	15.25	15.25	15.23	15.23	95000	3630380.25
2017/04/27	1027	15.23	15.23	15.22	15.23	18200	694808.00
2017/04/27	1028	15.23	15.23	15.22	15.23	55800	2130779.00
2017/04/27	1029	15.23	15.24	15.23	15.23	62000	2367752.00
2017/04/27	1030	15.24	15.25	15.23	15.24	66800	2551428.00
2017/04/27	1031	15.25	15.25	15.22	15.22	107600	4111176.25
2017/04/27	1032	15.24	15.25	15.22	15.24	21600	825167.00
2017/04/27	1033	15.24	15.24	15.22	15.23	112700	4304603.00
2017/04/27	1034	15.23	15.23	15.19	15.19	95400	3634664.00
2017/04/27	1035	15.19	15.20	15.16	15.16	151900	5779739.00
2017/04/27	1036	15.16	15.16	15.12	15.12	77400	2940268.00
2017/04/27	1037	15.12	15.17	15.11	15.12	165100	6269667.00
2017/04/27	1038	15.12	15.15	15.07	15.08	291800	11038995.00
2017/04/27	1039	15.08	15.15	15.08	15.12	30200	1143699.00
2017/04/27	1040	15.14	15.15	15.14	15.15	40700	1545867.00
2017/04/27	1041	15.14	15.16	15.12	15.15	24700	938189.00
2017/04/27	1042	15.15	15.16	15.15	15.16	40100	1523638.00
2017/04/27	1043	15.16	15.18	15.15	15.16	29800	1132552.00
2017/04/27	1044	15.18	15.18	15.16	15.18	24100	916518.00
2017/04/27	1045	15.18	15.19	15.18	15.19	17000	647185.00
2017/04/27	1046	15.19	15.19	15.14	15.19	45600	1733806.00
2017/04/27	1047	15.16	15.19	15.16	15.19	24600	936359.00
2017/04/27	1048	15.16	15.19	15.16	15.16	39500	1502128.00
2017/04/27	1049	15.16	15.19	15.12	15.16	45900	1742953.00
2017/04/27	1050	15.16	15.18	15.11	15.11	33800	1282659.00
2017/04/27	1051	15.15	15.15	15.11	15.11	33100	1255510.00
2017/04/27	1052	15.11	15.15	15.08	15.14	54400	2061762.00
2017/04/27	1053	15.15	15.16	15.14	15.15	33600	1276280.00
2017/04/27	1054	15.16	15.16	15.11	15.14	33000	1252455.00
2017/04/27	1055	15.15	15.15	15.11	15.12	68300	2591728.00
2017/04/27	1056	15.12	15.18	15.12	15.18	105700	4018694.00
2017/04/27	1057	15.18	15.20	15.16	15.16	162400	6180642.00
2017/04/27	1058	15.16	15.17	15.16	15.16	19900	756782.00
2017/04/27	1059	15.16	15.17	15.16	15.17	12200	463901.00
2017/04/27	1100	15.16	15.17	15.16	15.17	21000	798620.00
2017/04/27	1101	15.17	15.20	15.16	15.20	22300	849183.00
2017/04/27	1102	15.20	15.23	15.20	15.23	97600	3721218.00
2017/04/27	1103	15.23	15.25	15.22	15.25	137500	5253003.00
2017/04/27	1104	15.26	15.26	15.24	15.24	51200	1957753.00
2017/04/27	1105	15.24	15.24	15.22	15.23	19600	748523.00
2017/04/27	1106	15.22	15.24	15.22	15.22	25200	961621.00
2017/04/27	1107	15.22	15.24	15.20	15.23	40000	1526040.00
2017/04/27	1108	15.23	15.23	15.20	15.21	21900	835079.00
2017/04/27	1109	15.23	15.23	15.20	15.20	8800	335628.00
2017/04/27	1110	15.20	15.21	15.20	15.21	19900	758685.00
2017/04/27	1111	15.21	15.22	15.20	15.20	12400	472759.00
2017/04/27	1112	15.20	15.22	15.20	15.20	18100	690035.00
2017/04/27	1113	15.20	15.22	15.20	15.22	12000	457663.00
2017/04/27	1114	15.22	15.24	15.22	15.24	44800	1711162.00
2017/04/27	1115	15.24	15.26	15.24	15.26	142000	5428894.00
2017/04/27	1116	15.27	15.28	15.26	15.28	194200	7436654.00
2017/04/27	1117	15.28	15.31	15.28	15.30	131000	5025349.00
2017/04/27	1118	15.30	15.31	15.30	15.31	91800	3522122.00
2017/04/27	1119	15.31	15.32	15.31	15.31	129300	4963659.00
2017/04/27	1120	15.32	15.32	15.30	15.32	81500	3128951.00
2017/04/27	1121	15.31	15.31	15.30	15.30	55200	2118637.00
2017/04/27	1122	15.31	15.32	15.29	15.31	87800	3368816.00
2017/04/27	1123	15.31	15.33	15.31	15.33	111400	4278971.00
2017/04/27	1124	15.33	15.34	15.33	15.34	60400	2321851.00
2017/04/27	1125	15.34	15.34	15.33	15.34	85000	3267725.00
2017/04/27	1126	15.34	15.36	15.34	15.36	200200	7704528.00
