002465 海格通信 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	11.10	11.10	11.05	11.06	106800	1195026.00
2017/04/27	0932	11.08	11.08	11.04	11.04	103900	1158810.00
2017/04/27	0933	11.04	11.05	11.03	11.03	33000	367811.00
2017/04/27	0934	11.00	11.00	10.98	11.00	69300	768466.00
2017/04/27	0935	11.03	11.04	11.00	11.04	38500	428300.00
2017/04/27	0936	11.02	11.02	11.00	11.00	35600	395746.00
2017/04/27	0937	11.01	11.01	10.98	10.98	87700	972821.00
2017/04/27	0938	10.98	10.98	10.95	10.95	175800	1943735.00
2017/04/27	0939	10.96	11.00	10.94	11.00	60100	665350.00
2017/04/27	0940	11.01	11.01	10.97	10.97	80900	897620.00
2017/04/27	0941	10.97	10.99	10.97	10.98	41100	455445.00
2017/04/27	0942	10.99	10.99	10.98	10.98	68800	762548.00
2017/04/27	0943	10.98	10.99	10.98	10.98	51600	571908.00
2017/04/27	0944	10.99	10.99	10.97	10.98	20500	227129.00
2017/04/27	0945	10.97	10.98	10.97	10.98	40400	447367.00
2017/04/27	0946	10.97	10.98	10.97	10.98	39100	432931.00
2017/04/27	0947	10.97	10.98	10.97	10.98	50900	563677.00
2017/04/27	0948	10.96	10.97	10.96	10.96	61600	681514.00
2017/04/27	0949	10.96	10.97	10.95	10.95	53400	590474.00
2017/04/27	0950	10.96	10.98	10.95	10.97	16800	185862.00
2017/04/27	0951	10.97	10.97	10.96	10.96	47000	519933.00
2017/04/27	0952	10.96	10.96	10.95	10.96	84700	936490.00
2017/04/27	0953	10.95	10.95	10.94	10.94	64300	710167.00
2017/04/27	0954	10.94	10.95	10.93	10.95	138100	1524660.00
2017/04/27	0955	10.95	10.96	10.94	10.94	116400	1286348.00
2017/04/27	0956	10.94	10.95	10.94	10.95	33900	374496.00
2017/04/27	0957	10.95	10.95	10.93	10.94	86200	951645.00
2017/04/27	0958	10.94	10.96	10.93	10.93	40500	447345.00
2017/04/27	0959	10.94	10.94	10.93	10.93	80800	891476.00
2017/04/27	1000	10.93	10.93	10.90	10.90	283500	3122163.00
2017/04/27	1001	10.91	10.91	10.88	10.89	494400	5438231.00
2017/04/27	1002	10.88	10.88	10.85	10.85	279300	3063263.00
2017/04/27	1003	10.85	10.85	10.80	10.80	469300	5124330.00
2017/04/27	1004	10.80	10.82	10.80	10.82	209300	2281880.00
2017/04/27	1005	10.84	10.86	10.84	10.85	129500	1417840.00
2017/04/27	1006	10.85	10.87	10.84	10.84	96200	1053450.00
2017/04/27	1007	10.85	10.85	10.84	10.85	39000	426929.00
2017/04/27	1008	10.85	10.86	10.84	10.84	93400	1022500.00
2017/04/27	1009	10.85	10.88	10.85	10.88	128200	1404884.00
2017/04/27	1010	10.87	10.87	10.85	10.85	36000	394605.00
2017/04/27	1011	10.86	10.86	10.84	10.85	42800	468684.00
2017/04/27	1012	10.84	10.87	10.84	10.86	85000	930927.00
2017/04/27	1013	10.85	10.87	10.85	10.85	29000	317791.00
2017/04/27	1014	10.86	10.87	10.85	10.86	45500	498605.00
2017/04/27	1015	10.86	10.86	10.85	10.86	38400	420732.00
2017/04/27	1016	10.85	10.86	10.85	10.85	72800	797626.00
2017/04/27	1017	10.85	10.85	10.80	10.80	487900	5337500.00
2017/04/27	1018	10.84	10.84	10.80	10.80	200000	2180914.00
2017/04/27	1019	10.81	10.82	10.80	10.80	170000	1853158.00
2017/04/27	1020	10.80	10.81	10.79	10.80	135300	1474886.00
2017/04/27	1021	10.79	10.81	10.78	10.79	161800	1762854.00
2017/04/27	1022	10.78	10.79	10.77	10.78	160200	1742816.00
2017/04/27	1023	10.77	10.77	10.75	10.76	149100	1619687.00
2017/04/27	1024	10.77	10.79	10.77	10.79	111900	1217072.00
2017/04/27	1025	10.79	10.80	10.79	10.80	171700	1871338.00
2017/04/27	1026	10.80	10.81	10.77	10.77	154400	1680113.00
2017/04/27	1027	10.79	10.80	10.76	10.80	157500	1712351.00
2017/04/27	1028	10.77	10.79	10.77	10.79	47200	513800.00
2017/04/27	1029	10.79	10.79	10.78	10.78	89400	972712.00
2017/04/27	1030	10.78	10.79	10.76	10.79	108500	1179295.00
2017/04/27	1031	10.77	10.78	10.77	10.78	59800	650248.00
2017/04/27	1032	10.76	10.77	10.75	10.75	161000	1748396.00
2017/04/27	1033	10.76	10.76	10.75	10.76	165300	1794884.00
2017/04/27	1034	10.75	10.76	10.73	10.74	135600	1470108.00
2017/04/27	1035	10.72	10.73	10.70	10.71	515200	5567680.00
2017/04/27	1036	10.70	10.72	10.70	10.71	78800	851719.00
2017/04/27	1037	10.71	10.73	10.70	10.72	141500	1528827.00
2017/04/27	1038	10.72	10.73	10.71	10.72	55500	600417.00
2017/04/27	1039	10.71	10.75	10.71	10.74	133900	1450442.13
2017/04/27	1040	10.72	10.73	10.72	10.73	58900	637441.00
2017/04/27	1041	10.73	10.75	10.73	10.74	116600	1263216.00
2017/04/27	1042	10.75	10.75	10.74	10.75	21600	234274.00
2017/04/27	1043	10.76	10.77	10.75	10.77	47000	510368.00
2017/04/27	1044	10.77	10.77	10.76	10.77	34200	371490.00
2017/04/27	1045	10.76	10.77	10.76	10.77	38900	422821.00
2017/04/27	1046	10.77	10.77	10.76	10.77	15000	163044.00
2017/04/27	1047	10.77	10.77	10.76	10.76	51700	561574.00
2017/04/27	1048	10.77	10.77	10.76	10.77	21800	236953.00
2017/04/27	1049	10.77	10.77	10.75	10.77	35100	380936.00
2017/04/27	1050	10.76	10.77	10.76	10.76	3900	42383.00
2017/04/27	1051	10.76	10.77	10.76	10.76	32300	350863.00
2017/04/27	1052	10.76	10.77	10.75	10.75	64300	697719.00
2017/04/27	1053	10.75	10.75	10.74	10.74	73000	791500.00
2017/04/27	1054	10.74	10.74	10.73	10.73	94200	1021014.00
2017/04/27	1055	10.73	10.77	10.73	10.77	109000	1183257.00
2017/04/27	1056	10.76	10.83	10.76	10.83	90700	988072.00
2017/04/27	1057	10.81	10.82	10.81	10.82	17100	186635.00
2017/04/27	1058	10.82	10.82	10.80	10.80	32200	351458.00
2017/04/27	1059	10.80	10.82	10.80	10.80	35200	384030.00
2017/04/27	1100	10.80	10.81	10.79	10.81	25800	281202.00
2017/04/27	1101	10.80	10.80	10.78	10.78	98000	1066390.00
2017/04/27	1102	10.79	10.81	10.78	10.81	39400	428999.00
2017/04/27	1103	10.80	10.82	10.80	10.81	31300	341575.00
2017/04/27	1104	10.82	10.82	10.81	10.82	44400	484757.00
2017/04/27	1105	10.82	10.83	10.80	10.80	69900	762931.00
2017/04/27	1106	10.82	10.83	10.80	10.82	12900	140921.00
2017/04/27	1107	10.82	10.82	10.81	10.82	12800	139770.00
2017/04/27	1108	10.82	10.82	10.80	10.80	38000	414794.00
2017/04/27	1109	10.80	10.81	10.80	10.81	56900	620516.00
2017/04/27	1110	10.80	10.80	10.79	10.79	34500	375917.00
2017/04/27	1111	10.79	10.79	10.77	10.79	56000	608840.00
2017/04/27	1112	10.78	10.79	10.77	10.78	35300	383831.00
2017/04/27	1113	10.79	10.80	10.79	10.79	43100	469727.00
2017/04/27	1114	10.80	10.81	10.79	10.81	25600	279159.00
2017/04/27	1115	10.81	10.83	10.81	10.83	27300	298103.00
2017/04/27	1116	10.83	10.83	10.82	10.83	31100	339919.00
2017/04/27	1117	10.83	10.83	10.82	10.83	25600	279806.00
2017/04/27	1118	10.83	10.84	10.82	10.84	47600	520251.00
2017/04/27	1119	10.84	10.86	10.83	10.86	96400	1055001.00
2017/04/27	1120	10.86	10.86	10.85	10.85	46400	508273.00
2017/04/27	1121	10.85	10.85	10.84	10.85	15300	167426.00
2017/04/27	1122	10.85	10.85	10.84	10.84	49300	539654.00
2017/04/27	1123	10.84	10.85	10.83	10.85	19800	216626.98
2017/04/27	1124	10.84	10.85	10.84	10.85	19000	207885.00
2017/04/27	1125	10.85	10.85	10.84	10.85	78100	854759.00
2017/04/27	1126	10.84	10.85	10.84	10.85	19900	217792.00
2017/04/27	1127	10.85	10.85	10.84	10.85	11000	120388.00
2017/04/27	1128	10.84	10.85	10.84	10.84	26400	288871.00
2017/04/27	1129	10.83	10.85	10.83	10.85	33100	361920.00
2017/04/27	1300	10.84	10.86	10.84	10.86	45800	501201.00
2017/04/27	1301	10.86	10.86	10.86	10.86	0	0.00
2017/04/27	1302	10.85	10.86	10.85	10.85	16500	180679.00
2017/04/27	1303	10.85	10.85	10.85	10.85	22900	250755.00
2017/04/27	1304	10.84	10.85	10.84	10.85	7300	79928.00
2017/04/27	1305	10.85	10.85	10.84	10.85	18800	205842.00
2017/04/27	1306	10.85	10.85	10.84	10.85	21200	232077.00
2017/04/27	1307	10.85	10.86	10.84	10.85	22100	241876.00
2017/04/27	1308	10.85	10.85	10.84	10.85	20500	224446.00
2017/04/27	1309	10.86	10.86	10.84	10.85	68300	748182.00
2017/04/27	1310	10.86	10.87	10.85	10.86	76400	837184.00
2017/04/27	1311	10.86	10.87	10.85	10.85	43500	476674.00
2017/04/27	1312	10.84	10.85	10.84	10.85	62300	682141.00
2017/04/27	1313	10.84	10.85	10.84	10.84	68500	749482.00
2017/04/27	1314	10.84	10.84	10.83	10.84	19200	210010.00
2017/04/27	1315	10.83	10.84	10.83	10.84	11800	129041.00
2017/04/27	1316	10.83	10.84	10.82	10.83	58800	642685.00
2017/04/27	1317	10.83	10.83	10.82	10.82	22100	241356.00
2017/04/27	1318	10.81	10.82	10.81	10.82	35300	385332.00
2017/04/27	1319	10.81	10.82	10.80	10.80	83600	912119.00
2017/04/27	1320	10.81	10.83	10.81	10.83	52600	574114.00
2017/04/27	1321	10.84	10.85	10.84	10.85	22900	250578.98
2017/04/27	1322	10.85	10.85	10.84	10.85	51800	567164.00
2017/04/27	1323	10.85	10.88	10.85	10.88	125100	1371577.00
2017/04/27	1324	10.88	10.90	10.88	10.90	195200	2146179.00
2017/04/27	1325	10.91	10.97	10.90	10.97	120600	1331730.00
2017/04/27	1326	10.97	11.02	10.97	11.02	219800	2439805.00
2017/04/27	1327	11.03	11.04	11.01	11.01	330100	3669955.00
2017/04/27	1328	11.01	11.03	10.99	11.01	172700	1919278.00
2017/04/27	1329	11.02	11.05	11.02	11.03	133900	1491727.00
2017/04/27	1330	11.03	11.08	11.02	11.08	207300	2314111.00
2017/04/27	1331	11.08	11.15	11.08	11.15	531700	5963065.00
2017/04/27	1332	11.15	11.16	11.11	11.14	269800	3033990.00
2017/04/27	1333	11.13	11.14	11.11	11.13	92900	1042533.00
2017/04/27	1334	11.13	11.14	11.11	11.12	95600	1073425.00
2017/04/27	1335	11.12	11.13	11.10	11.10	126700	1419776.00
2017/04/27	1336	11.10	11.12	11.10	11.10	61900	693636.00
2017/04/27	1337	11.12	11.12	11.10	11.12	56600	634560.00
2017/04/27	1338	11.11	11.12	11.11	11.11	82500	925102.00
2017/04/27	1339	11.12	11.12	11.11	11.11	85600	959757.00
2017/04/27	1340	11.11	11.12	11.11	11.11	64500	723376.00
2017/04/27	1341	11.11	11.11	11.11	11.11	67000	751070.00
2017/04/27	1342	11.11	11.11	11.10	11.10	33100	370799.00
2017/04/27	1343	11.10	11.11	11.10	11.10	51100	572348.00
2017/04/27	1344	11.10	11.10	11.09	11.10	58000	649589.00
2017/04/27	1345	11.10	11.10	11.09	11.10	26200	293351.00
2017/04/27	1346	11.09	11.10	11.09	11.09	29600	331242.97
2017/04/27	1347	11.10	11.10	11.09	11.10	39200	438726.00
2017/04/27	1348	11.10	11.10	11.09	11.09	41500	464561.00
2017/04/27	1349	11.10	11.10	11.09	11.10	30800	344743.00
2017/04/27	1350	11.10	11.10	11.09	11.10	97800	1095308.00
2017/04/27	1351	11.10	11.10	11.09	11.09	30700	343741.00
2017/04/27	1352	11.09	11.10	11.09	11.10	31000	346916.00
2017/04/27	1353	11.10	11.10	11.08	11.10	42400	474627.00
2017/04/27	1354	11.10	11.10	11.07	11.08	218000	2435426.00
2017/04/27	1355	11.07	11.08	11.07	11.08	36100	403405.00
2017/04/27	1356	11.08	11.08	11.07	11.08	21500	240361.00
2017/04/27	1357	11.08	11.09	11.08	11.09	38700	432849.00
2017/04/27	1358	11.09	11.10	11.08	11.09	59800	669154.00
2017/04/27	1359	11.10	11.11	11.09	11.10	98300	1101331.00
2017/04/27	1400	11.11	11.13	11.11	11.13	66700	748187.00
2017/04/27	1401	11.12	11.13	11.12	11.12	42400	475940.00
2017/04/27	1402	11.13	11.13	11.11	11.13	70300	789076.00
2017/04/27	1403	11.13	11.14	11.11	11.14	70400	790388.00
2017/04/27	1404	11.14	11.16	11.13	11.16	176600	1985926.00
2017/04/27	1405	11.16	11.16	11.14	11.15	105700	1189585.00
2017/04/27	1406	11.14	11.15	11.14	11.14	83800	942344.00
2017/04/27	1407	11.15	11.15	11.14	11.15	38900	437425.00
2017/04/27	1408	11.15	11.15	11.14	11.14	72400	813935.00
2017/04/27	1409	11.15	11.15	11.13	11.14	79300	891388.00
2017/04/27	1410	11.14	11.15	11.14	11.15	41000	461004.00
2017/04/27	1411	11.14	11.15	11.13	11.14	25100	282207.00
2017/04/27	1412	11.14	11.15	11.13	11.15	24900	279993.00
2017/04/27	1413	11.15	11.15	11.14	11.15	29300	329616.00
2017/04/27	1414	11.15	11.15	11.13	11.15	186000	2089316.88
2017/04/27	1415	11.14	11.14	11.13	11.13	36000	404595.00
2017/04/27	1416	11.14	11.14	11.13	11.14	56300	632760.00
2017/04/27	1417	11.13	11.16	11.13	11.14	228400	2569444.00
2017/04/27	1418	11.18	11.30	11.18	11.30	817100	9253179.00
2017/04/27	1419	11.30	11.30	11.25	11.25	426500	4852170.00
2017/04/27	1420	11.24	11.25	11.20	11.20	89500	1013796.00
2017/04/27	1421	11.21	11.21	11.19	11.20	76200	861414.06
2017/04/27	1422	11.19	11.20	11.19	11.19	58600	661884.00
2017/04/27	1423	11.19	11.20	11.16	11.16	94600	1067254.00
2017/04/27	1424	11.17	11.19	11.15	11.18	53500	602834.00
2017/04/27	1425	11.19	11.19	11.18	11.19	47500	536137.00
2017/04/27	1426	11.19	11.19	11.18	11.18	18700	211096.00
2017/04/27	1427	11.18	11.21	11.18	11.21	49800	562327.00
2017/04/27	1428	11.21	11.22	11.20	11.21	42300	478357.03
2017/04/27	1429	11.21	11.21	11.20	11.21	40600	459149.00
2017/04/27	1430	11.22	11.22	11.21	11.21	38500	435468.00
2017/04/27	1431	11.20	11.21	11.19	11.19	34900	394393.00
2017/04/27	1432	11.20	11.20	11.19	11.19	29200	329891.00
2017/04/27	1433	11.20	11.20	11.18	11.18	75300	850270.00
2017/04/27	1434	11.19	11.19	11.18	11.19	7500	84661.00
2017/04/27	1435	11.19	11.19	11.18	11.19	25600	289014.00
2017/04/27	1436	11.19	11.20	11.19	11.19	42100	475319.00
2017/04/27	1437	11.20	11.20	11.19	11.19	33300	375989.00
2017/04/27	1438	11.18	11.19	11.18	11.18	110300	1244222.00
2017/04/27	1439	11.18	11.19	11.18	11.19	17700	199759.00
2017/04/27	1440	11.19	11.19	11.18	11.19	18300	206500.00
2017/04/27	1441	11.18	11.19	11.18	11.19	89100	1005214.00
2017/04/27	1442	11.18	11.19	11.17	11.19	84200	949481.00
2017/04/27	1443	11.18	11.19	11.18	11.18	30000	338443.00
2017/04/27	1444	11.18	11.18	11.16	11.16	49800	561274.00
2017/04/27	1445	11.17	11.17	11.16	11.17	32300	363921.03
2017/04/27	1446	11.16	11.17	11.15	11.15	50900	573146.00
2017/04/27	1447	11.15	11.17	11.15	11.17	99900	1124691.00
2017/04/27	1448	11.17	11.18	11.17	11.18	42700	481519.00
2017/04/27	1449	11.17	11.18	11.17	11.18	154400	1741413.00
2017/04/27	1450	11.18	11.18	11.17	11.17	91000	1026412.00
2017/04/27	1451	11.18	11.18	11.18	11.18	11300	127464.00
2017/04/27	1452	11.18	11.18	11.17	11.17	13700	154457.00
2017/04/27	1453	11.17	11.18	11.17	11.18	61500	693361.00
2017/04/27	1454	11.17	11.17	11.17	11.17	81200	915124.06
2017/04/27	1455	11.17	11.18	11.17	11.17	117600	1325424.13
2017/04/27	1456	11.17	11.17	11.16	11.17	39300	442639.00
2017/04/27	1457	11.16	11.17	11.14	11.15	101600	1143046.00
2017/04/27	1458	11.15	11.15	11.15	11.15	5400	60750.00
2017/04/27	1459	11.15	11.15	11.15	11.15	0	0.00
2017/04/27	1500	11.18	11.18	11.18	11.18	304400	3433632.00
2017/04/28	0931	11.09	11.09	11.02	11.02	325200	3625490.00
2017/04/28	0932	11.02	11.02	11.00	11.00	210100	2334401.00
2017/04/28	0933	11.02	11.03	11.00	11.03	192400	2139133.00
2017/04/28	0934	11.03	11.05	11.02	11.04	58000	645707.00
2017/04/28	0935	11.04	11.05	11.03	11.04	151200	1683625.00
2017/04/28	0936	11.04	11.05	11.03	11.03	79900	889704.00
2017/04/28	0937	11.03	11.03	11.02	11.02	56600	629568.00
2017/04/28	0938	11.03	11.03	11.01	11.01	69200	769489.00
2017/04/28	0939	11.02	11.02	11.01	11.02	57200	635991.00
2017/04/28	0940	11.02	11.04	11.02	11.03	61600	685576.00
2017/04/28	0941	11.03	11.04	11.02	11.03	63000	700835.00
2017/04/28	0942	11.04	11.04	11.02	11.02	83500	928572.00
2017/04/28	0943	11.03	11.03	11.00	11.00	426900	4743322.00
2017/04/28	0944	11.00	11.00	10.96	10.97	171300	1897691.00
2017/04/28	0945	10.97	10.98	10.96	10.96	175100	1938542.00
2017/04/28	0946	10.96	10.96	10.92	10.93	264400	2918617.00
2017/04/28	0947	10.93	10.93	10.91	10.92	482000	5311934.00
2017/04/28	0948	10.92	10.96	10.92	10.96	241300	2662001.00
2017/04/28	0949	10.96	10.99	10.96	10.99	109500	1212466.00
2017/04/28	0950	10.99	11.01	10.99	10.99	125000	1387410.13
2017/04/28	0951	10.98	10.99	10.95	10.95	201200	2227141.00
2017/04/28	0952	10.96	10.96	10.94	10.95	143300	1583884.13
2017/04/28	0953	10.95	10.95	10.94	10.94	211900	2341293.00
2017/04/28	0954	10.95	10.95	10.94	10.95	144100	1592166.00
2017/04/28	0955	10.96	10.97	10.95	10.96	67400	745396.00
2017/04/28	0956	10.97	10.97	10.95	10.97	69700	771344.00
2017/04/28	0957	10.97	10.98	10.96	10.97	44000	487025.00
2017/04/28	0958	10.96	10.97	10.95	10.96	72500	802016.00
2017/04/28	0959	10.95	10.96	10.95	10.96	54800	605824.00
2017/04/28	1000	10.96	10.96	10.95	10.95	33400	369118.00
2017/04/28	1001	10.96	10.96	10.95	10.96	55300	611185.00
2017/04/28	1002	10.96	10.96	10.95	10.96	39900	441158.00
2017/04/28	1003	10.95	10.96	10.95	10.95	108500	1199125.00
2017/04/28	1004	10.95	10.95	10.93	10.94	130500	1441709.00
2017/04/28	1005	10.94	10.95	10.93	10.94	40300	444938.00
2017/04/28	1006	10.94	10.94	10.93	10.93	81000	893565.00
2017/04/28	1007	10.93	10.94	10.93	10.93	77300	853131.00
2017/04/28	1008	10.94	10.95	10.93	10.93	103300	1139779.00
2017/04/28	1009	10.93	10.94	10.92	10.94	217200	2396491.00
2017/04/28	1010	10.94	10.96	10.93	10.96	111700	1233738.00
2017/04/28	1011	10.96	10.97	10.95	10.97	38200	422486.03
2017/04/28	1012	10.93	10.97	10.93	10.95	77300	853126.00
2017/04/28	1013	10.95	10.96	10.95	10.95	51000	563974.00
2017/04/28	1014	10.96	10.96	10.95	10.96	30100	332788.00
2017/04/28	1015	10.96	10.96	10.96	10.96	24300	268758.00
2017/04/28	1016	10.96	10.96	10.95	10.95	19100	211182.02
2017/04/28	1017	10.96	10.96	10.94	10.94	42400	468402.00
2017/04/28	1018	10.94	10.95	10.94	10.94	26700	294906.00
2017/04/28	1019	10.94	10.95	10.93	10.94	93500	1032295.00
2017/04/28	1020	10.94	10.95	10.91	10.91	422700	4655224.00
2017/04/28	1021	10.93	10.94	10.92	10.92	27300	301128.00
2017/04/28	1022	10.92	10.93	10.91	10.91	103900	1144946.00
2017/04/28	1023	10.92	10.93	10.92	10.93	149800	1650828.00
2017/04/28	1024	10.93	10.94	10.92	10.92	156200	1723482.00
2017/04/28	1025	10.93	10.94	10.92	10.94	51200	564589.00
2017/04/28	1026	10.93	10.94	10.92	10.94	129200	1425725.00
2017/04/28	1027	10.93	10.94	10.93	10.93	27900	307920.00
2017/04/28	1028	10.93	10.94	10.93	10.94	96700	1067127.00
2017/04/28	1029	10.94	10.95	10.93	10.95	80400	887706.00
2017/04/28	1030	10.95	10.95	10.94	10.95	46100	509228.00
2017/04/28	1031	10.95	10.95	10.94	10.95	42300	467180.00
2017/04/28	1032	10.95	10.95	10.94	10.94	54300	599887.00
2017/04/28	1033	10.95	10.96	10.95	10.96	112200	1240048.00
2017/04/28	1034	10.96	10.96	10.95	10.96	25100	277575.00
2017/04/28	1035	10.96	10.97	10.96	10.96	25300	279826.00
2017/04/28	1036	10.96	10.97	10.96	10.97	32100	355195.00
2017/04/28	1037	10.97	10.97	10.95	10.95	77300	855054.00
2017/04/28	1038	10.96	10.96	10.95	10.95	44100	487510.00
2017/04/28	1039	10.96	10.96	10.95	10.95	24500	270756.00
2017/04/28	1040	10.95	10.96	10.95	10.96	37700	416745.00
