002475 立讯精密 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	17.37	17.37	17.29	17.30	98200	2560046.00
2017/04/27	0932	17.31	17.31	16.97	17.08	85700	2208266.00
2017/04/27	0933	17.08	17.33	17.08	17.31	48400	1251553.00
2017/04/27	0934	17.32	17.33	17.20	17.28	81000	2106763.00
2017/04/27	0935	17.29	17.29	17.22	17.22	30300	786693.00
2017/04/27	0936	17.23	17.27	17.23	17.25	45900	1190670.00
2017/04/27	0937	17.24	17.27	17.24	17.25	38000	986102.00
2017/04/27	0938	17.23	17.25	17.23	17.23	22800	591466.00
2017/04/27	0939	17.23	17.28	17.23	17.25	60000	1557713.00
2017/04/27	0940	17.28	17.54	17.28	17.54	44700	1167232.00
2017/04/27	0941	17.49	17.59	17.49	17.53	42400	1118752.00
2017/04/27	0942	17.55	17.61	17.55	17.61	63300	1675442.00
2017/04/27	0943	17.59	17.64	17.57	17.57	68500	1816776.00
2017/04/27	0944	17.55	17.55	17.48	17.48	21100	555670.00
2017/04/27	0945	17.47	17.48	17.39	17.41	17200	450844.00
2017/04/27	0946	17.47	17.48	17.41	17.43	36300	953350.00
2017/04/27	0947	17.48	17.48	17.43	17.46	36100	948262.00
2017/04/27	0948	17.46	17.49	17.44	17.48	34300	901447.00
2017/04/27	0949	17.49	17.57	17.49	17.57	67600	1783843.00
2017/04/27	0950	17.57	17.57	17.48	17.54	97100	2562015.00
2017/04/27	0951	17.55	17.55	17.50	17.50	21500	566908.00
2017/04/27	0952	17.49	17.50	17.49	17.49	26500	697451.00
2017/04/27	0953	17.50	17.50	17.48	17.49	16500	434194.00
2017/04/27	0954	17.48	17.50	17.47	17.49	35900	944722.00
2017/04/27	0955	17.49	17.55	17.49	17.53	22600	595986.00
2017/04/27	0956	17.53	17.56	17.53	17.55	26200	691520.00
2017/04/27	0957	17.55	17.59	17.55	17.59	57900	1530163.00
2017/04/27	0958	17.59	17.63	17.59	17.59	32600	863588.00
