002493 荣盛石化 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	9.52	9.52	9.45	9.47	36500	523942.00
2017/04/27	0932	9.48	9.48	9.46	9.47	47700	683648.00
2017/04/27	0933	9.48	9.53	9.48	9.53	7400	106166.00
2017/04/27	0934	9.53	9.56	9.53	9.55	7400	106914.00
2017/04/27	0935	9.55	9.57	9.55	9.55	3300	47709.00
2017/04/27	0936	9.57	9.57	9.52	9.52	29300	422759.00
2017/04/27	0937	9.51	9.51	9.49	9.49	15100	217083.00
2017/04/27	0938	9.49	9.50	9.48	9.49	13800	197969.00
2017/04/27	0939	9.50	9.50	9.49	9.49	6600	94825.00
2017/04/27	0940	9.49	9.50	9.49	9.50	16100	231178.00
2017/04/27	0941	9.49	9.49	9.48	9.49	19700	282786.00
2017/04/27	0942	9.48	9.49	9.48	9.49	10000	143437.00
2017/04/27	0943	9.49	9.49	9.48	9.48	1600	22959.00
2017/04/27	0944	9.49	9.49	9.48	9.49	6100	87534.00
2017/04/27	0945	9.49	9.49	9.49	9.49	15500	222516.00
2017/04/27	0946	9.49	9.49	9.49	9.49	8800	126306.00
2017/04/27	0947	9.49	9.49	9.49	9.49	12200	175072.00
2017/04/27	0948	9.49	9.49	9.47	9.47	16600	237892.00
2017/04/27	0949	9.47	9.47	9.47	9.47	4500	64468.00
2017/04/27	0950	9.47	9.48	9.47	9.48	10900	156234.00
2017/04/27	0951	9.47	9.49	9.47	9.47	31300	448561.00
2017/04/27	0952	9.47	9.47	9.47	9.47	17700	253478.00
2017/04/27	0953	9.47	9.47	9.47	9.47	6400	91674.00
2017/04/27	0954	9.47	9.47	9.45	9.47	108800	1556155.00
2017/04/27	0955	9.47	9.47	9.45	9.45	35100	501921.00
2017/04/27	0956	9.45	9.45	9.45	9.45	81300	1162341.00
2017/04/27	0957	9.45	9.45	9.44	9.44	56400	805612.00
2017/04/27	0958	9.45	9.45	9.42	9.42	50600	722041.00
2017/04/27	0959	9.42	9.42	9.38	9.38	35700	507471.00
2017/04/27	1000	9.39	9.39	9.37	9.38	47700	676988.00
2017/04/27	1001	9.38	9.38	9.37	9.37	58400	828283.00
2017/04/27	1002	9.37	9.38	9.36	9.38	33700	477907.00
2017/04/27	1003	9.35	9.37	9.35	9.35	52800	747372.00
2017/04/27	1004	9.35	9.35	9.33	9.33	24800	350436.00
2017/04/27	1005	9.33	9.33	9.31	9.31	52500	740094.00
2017/04/27	1006	9.29	9.29	9.26	9.27	76000	1065990.00
2017/04/27	1007	9.26	9.29	9.26	9.29	47100	660724.00
2017/04/27	1008	9.28	9.29	9.28	9.29	67300	945343.00
2017/04/27	1009	9.28	9.29	9.26	9.26	114400	1604381.00
2017/04/27	1010	9.26	9.26	9.21	9.23	122200	1707376.00
2017/04/27	1011	9.23	9.25	9.23	9.25	42900	599060.00
2017/04/27	1012	9.25	9.27	9.25	9.27	23300	326533.00
2017/04/27	1013	9.28	9.29	9.27	9.28	108100	1519261.00
2017/04/27	1014	9.27	9.28	9.25	9.26	107300	1504717.00
2017/04/27	1015	9.26	9.27	9.25	9.25	32500	455042.00
2017/04/27	1016	9.28	9.28	9.25	9.25	3600	50516.00
2017/04/27	1017	9.25	9.28	9.24	9.24	27600	386288.00
2017/04/27	1018	9.25	9.25	9.24	9.25	69400	971433.00
2017/04/27	1019	9.25	9.25	9.25	9.25	4800	67191.00
2017/04/27	1020	9.25	9.27	9.25	9.25	14300	200208.00
