002572 索菲亚 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	35.06	35.44	35.06	35.13	70900	2495288.00
2017/04/27	0932	35.13	35.28	35.00	35.03	41200	1446229.00
2017/04/27	0933	35.03	35.12	34.90	34.92	41300	1445874.00
2017/04/27	0934	34.88	34.92	34.86	34.88	28200	983897.00
2017/04/27	0935	34.88	35.00	34.86	34.90	35200	1228841.00
2017/04/27	0936	34.89	34.90	34.81	34.81	21100	735671.00
2017/04/27	0937	34.82	34.82	34.65	34.65	76200	2650049.00
2017/04/27	0938	34.65	34.65	34.50	34.50	67100	2317710.00
2017/04/27	0939	34.46	34.60	34.42	34.60	37100	1280631.00
2017/04/27	0940	34.60	34.70	34.60	34.64	27700	959411.00
2017/04/27	0941	34.65	34.83	34.65	34.83	48500	1684851.00
2017/04/27	0942	34.88	34.92	34.82	34.92	59500	2075247.00
2017/04/27	0943	34.92	35.28	34.92	35.20	115100	4032314.00
2017/04/27	0944	35.20	35.35	35.15	35.27	23300	821978.00
2017/04/27	0945	35.27	35.27	35.23	35.26	13700	483024.00
2017/04/27	0946	35.27	35.27	35.20	35.21	25000	881279.00
2017/04/27	0947	35.21	35.26	35.21	35.26	13400	472030.00
2017/04/27	0948	35.27	35.36	35.00	35.36	17400	611802.00
2017/04/27	0949	35.31	35.46	35.31	35.46	6200	219380.00
2017/04/27	0950	35.48	35.50	35.46	35.49	9000	319274.00
2017/04/27	0951	35.49	35.49	35.10	35.29	7200	254618.00
2017/04/27	0952	35.13	35.33	35.13	35.18	6000	211461.00
2017/04/27	0953	35.18	35.20	35.13	35.16	10100	355155.00
2017/04/27	0954	35.16	35.39	35.16	35.33	5300	187028.00
2017/04/27	0955	35.38	35.40	35.29	35.38	7900	279559.00
2017/04/27	0956	35.38	35.38	35.32	35.33	3000	106026.00
2017/04/27	0957	35.32	35.37	35.32	35.32	6000	212104.00
2017/04/27	0958	35.33	35.33	35.28	35.28	6900	243642.00
2017/04/27	0959	35.30	35.30	35.10	35.10	10800	379547.00
2017/04/27	1000	35.09	35.09	34.82	34.82	55400	1937409.00
2017/04/27	1001	34.80	34.84	34.75	34.82	10200	355071.00
2017/04/27	1002	34.98	34.99	34.97	34.99	11900	416266.00
2017/04/27	1003	34.99	34.99	34.97	34.99	5400	188894.00
2017/04/27	1004	35.00	35.08	34.99	35.08	10300	360610.00
2017/04/27	1005	35.03	35.13	35.03	35.11	6100	214075.00
2017/04/27	1006	35.25	35.25	35.13	35.24	2500	88087.00
2017/04/27	1007	35.25	35.31	35.24	35.31	4400	155152.00
2017/04/27	1008	35.31	35.38	35.28	35.29	3900	137744.00
2017/04/27	1009	35.36	35.67	35.36	35.67	34600	1228859.00
2017/04/27	1010	35.67	35.68	35.61	35.67	12000	428082.00
2017/04/27	1011	35.61	35.67	35.61	35.66	9800	349398.97
2017/04/27	1012	35.61	35.64	35.61	35.61	6200	220863.00
2017/04/27	1013	35.61	35.61	35.60	35.60	6600	234998.00
2017/04/27	1014	35.60	35.61	35.60	35.60	5900	210046.00
2017/04/27	1015	35.60	35.60	35.53	35.56	6400	227771.00
2017/04/27	1016	35.53	35.56	35.47	35.53	5700	202551.00
2017/04/27	1017	35.50	35.50	35.41	35.44	1500	53154.00
2017/04/27	1018	35.50	35.50	35.45	35.50	700	24845.00
