002619 巨龙管业 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	8.14	8.14	8.07	8.11	163800	2393893.00
2017/04/27	0932	8.10	8.10	8.06	8.07	145600	2117712.00
2017/04/27	0933	8.07	8.07	8.06	8.07	110100	1597737.00
2017/04/27	0934	8.07	8.13	8.07	8.13	80300	1168822.00
2017/04/27	0935	8.11	8.13	8.09	8.09	66400	969419.00
2017/04/27	0936	8.09	8.10	8.06	8.06	91800	1332977.00
2017/04/27	0937	8.06	8.06	8.03	8.03	99400	1440209.00
2017/04/27	0938	8.03	8.04	8.00	8.02	169700	2449566.00
2017/04/27	0939	8.02	8.07	8.02	8.07	97000	1402864.00
2017/04/27	0940	8.09	8.10	8.07	8.07	71100	1035151.00
2017/04/27	0941	8.06	8.07	8.02	8.06	42800	619014.00
2017/04/27	0942	8.06	8.08	8.06	8.08	31100	452161.00
2017/04/27	0943	8.08	8.11	8.08	8.10	29400	428586.00
2017/04/27	0944	8.10	8.11	8.09	8.10	21100	307511.00
2017/04/27	0945	8.09	8.10	8.07	8.07	27100	394281.00
2017/04/27	0946	8.07	8.07	8.02	8.02	93300	1349954.00
2017/04/27	0947	8.02	8.03	8.01	8.03	88000	1269963.00
2017/04/27	0948	8.04	8.06	8.04	8.04	26300	380795.00
2017/04/27	0949	8.04	8.06	8.04	8.04	31500	456106.00
2017/04/27	0950	8.04	8.04	8.03	8.04	25300	366091.00
2017/04/27	0951	8.04	8.04	8.03	8.04	28800	416693.00
2017/04/27	0952	8.04	8.04	8.04	8.04	28500	412436.00
2017/04/27	0953	8.04	8.05	8.03	8.05	45800	663099.00
2017/04/27	0954	8.05	8.08	8.05	8.08	23800	345224.00
2017/04/27	0955	8.08	8.10	8.08	8.09	34900	507902.00
2017/04/27	0956	8.09	8.09	8.06	8.08	25500	370852.00
2017/04/27	0957	8.08	8.09	8.08	8.08	84500	1229416.00
2017/04/27	0958	8.07	8.08	8.07	8.08	17100	248483.00
2017/04/27	0959	8.08	8.08	8.05	8.06	102900	1493612.00
2017/04/27	1000	8.06	8.06	8.04	8.05	19500	282543.00
2017/04/27	1001	8.05	8.07	8.04	8.04	46700	676751.00
2017/04/27	1002	8.03	8.03	8.00	8.02	167600	2416348.00
2017/04/27	1003	8.02	8.03	8.01	8.02	163600	2360932.00
2017/04/27	1004	8.03	8.04	8.02	8.04	49700	718743.00
2017/04/27	1005	8.04	8.06	8.03	8.06	81600	1182407.00
2017/04/27	1006	8.06	8.08	8.06	8.07	16800	244009.00
2017/04/27	1007	8.07	8.08	8.07	8.07	26500	385157.00
2017/04/27	1008	8.07	8.08	8.07	8.07	22400	325566.00
2017/04/27	1009	8.08	8.08	8.06	8.06	26000	377197.00
2017/04/27	1010	8.04	8.06	8.04	8.04	31800	460504.00
2017/04/27	1011	8.04	8.06	8.03	8.06	28800	416902.00
2017/04/27	1012	8.04	8.07	8.04	8.05	41200	597245.00
2017/04/27	1013	8.06	8.07	8.05	8.07	21800	316530.00
2017/04/27	1014	8.07	8.07	8.06	8.06	22100	320638.00
2017/04/27	1015	8.05	8.06	8.05	8.05	10900	158006.00
2017/04/27	1016	8.06	8.06	8.04	8.05	15500	224566.00
2017/04/27	1017	8.04	8.06	8.04	8.05	15900	230284.00
2017/04/27	1018	8.04	8.04	8.04	8.04	16000	231567.00
2017/04/27	1019	8.04	8.04	8.00	8.00	127200	1836336.00
2017/04/27	1020	8.00	8.01	7.97	7.98	168600	2426408.00
2017/04/27	1021	7.98	8.00	7.98	8.00	20700	297677.00
2017/04/27	1022	8.00	8.03	7.99	8.03	22500	324284.00
2017/04/27	1023	8.03	8.03	8.00	8.01	51800	747144.00
2017/04/27	1024	8.00	8.01	8.00	8.00	27500	396112.00
2017/04/27	1025	8.00	8.01	7.99	8.01	35800	515664.00
2017/04/27	1026	8.01	8.02	8.00	8.00	31900	459446.00
2017/04/27	1027	8.00	8.01	8.00	8.00	15800	227542.00
2017/04/27	1028	8.00	8.01	8.00	8.01	16100	231923.00
2017/04/27	1029	8.01	8.01	8.00	8.00	24500	352934.00
2017/04/27	1030	8.01	8.01	8.00	8.01	7200	103761.00
2017/04/27	1031	8.00	8.01	8.00	8.01	33300	480092.00
2017/04/27	1032	8.01	8.01	7.99	7.99	51100	735789.00
2017/04/27	1033	7.99	7.99	7.94	7.94	193400	2767928.00
2017/04/27	1034	7.94	7.94	7.90	7.90	105900	1510921.00
2017/04/27	1035	7.90	7.92	7.89	7.92	73600	1046959.00
2017/04/27	1036	7.93	7.94	7.91	7.94	54100	772041.00
2017/04/27	1037	7.93	7.97	7.93	7.94	24000	343184.00
2017/04/27	1038	7.94	7.98	7.94	7.98	12600	180639.00
2017/04/27	1039	7.98	7.99	7.97	7.99	51600	741817.00
2017/04/27	1040	7.98	7.98	7.96	7.97	9400	134842.00
2017/04/27	1041	7.96	7.97	7.96	7.96	16600	238035.00
2017/04/27	1042	7.97	8.00	7.94	7.96	48300	691670.00
2017/04/27	1043	7.96	7.96	7.95	7.96	23300	333591.00
2017/04/27	1044	7.96	7.99	7.96	7.97	3100	44502.00
2017/04/27	1045	7.99	8.00	7.98	7.99	17400	250282.00
2017/04/27	1046	7.99	8.00	7.98	7.99	43500	625968.00
2017/04/27	1047	8.00	8.00	7.99	7.99	5600	80630.00
2017/04/27	1048	7.99	8.00	7.98	7.98	20500	294891.00
2017/04/27	1049	7.98	7.99	7.98	7.98	7700	110666.00
2017/04/27	1050	7.98	7.98	7.98	7.98	5600	80451.00
2017/04/27	1051	7.97	7.98	7.96	7.96	13500	193731.00
2017/04/27	1052	7.97	7.97	7.96	7.97	10100	144809.00
2017/04/27	1053	7.98	7.98	7.98	7.98	9300	133548.00
2017/04/27	1054	7.97	7.98	7.97	7.97	4500	64571.00
2017/04/27	1055	7.97	7.98	7.97	7.98	9200	132125.00
2017/04/27	1056	7.98	8.00	7.98	8.00	14400	206976.00
2017/04/27	1057	8.00	8.02	8.00	8.02	12400	178858.00
2017/04/27	1058	8.01	8.02	8.00	8.00	30200	434997.00
2017/04/27	1059	7.99	7.99	7.99	7.99	9200	132348.00
2017/04/27	1100	7.99	7.99	7.99	7.99	2400	34512.00
2017/04/27	1101	7.99	7.99	7.98	7.99	26600	382512.00
2017/04/27	1102	7.99	8.01	7.99	8.01	4700	67697.00
2017/04/27	1103	8.02	8.02	8.01	8.01	40000	577170.00
2017/04/27	1104	8.01	8.03	8.01	8.01	67900	979512.00
2017/04/27	1105	8.01	8.02	8.01	8.02	23500	338982.00
2017/04/27	1106	8.02	8.03	8.02	8.02	27600	398592.00
2017/04/27	1107	8.03	8.03	8.01	8.01	24400	352101.00
2017/04/27	1108	8.01	8.01	7.99	7.99	41500	597450.00
2017/04/27	1109	7.99	7.99	7.97	7.98	66800	959243.00
2017/04/27	1110	7.97	7.99	7.97	7.99	17500	251266.00
2017/04/27	1111	7.98	7.99	7.98	7.98	19800	284543.00
2017/04/27	1112	7.99	7.99	7.97	7.97	38800	556928.00
2017/04/27	1113	7.97	7.98	7.97	7.98	21700	311373.00
2017/04/27	1114	7.97	7.98	7.97	7.97	19900	285569.00
2017/04/27	1115	7.98	7.98	7.98	7.98	31100	446665.00
2017/04/27	1116	7.98	8.02	7.98	8.02	12600	181227.00
2017/04/27	1117	8.01	8.01	7.99	7.99	12000	172785.00
2017/04/27	1118	7.99	8.00	7.99	7.99	20000	287733.00
2017/04/27	1119	8.00	8.00	7.99	7.99	25600	368369.00
2017/04/27	1120	7.99	7.99	7.98	7.99	28800	414102.00
2017/04/27	1121	7.99	8.00	7.99	8.00	14500	208594.00
2017/04/27	1122	8.00	8.01	7.99	8.00	22100	318274.00
2017/04/27	1123	8.00	8.00	7.99	7.99	34000	489593.00
2017/04/27	1124	8.00	8.00	7.99	7.99	15700	226020.00
2017/04/27	1125	7.99	7.99	7.99	7.99	34400	494791.00
2017/04/27	1126	7.99	7.99	7.98	7.98	27800	399481.00
2017/04/27	1127	7.98	7.98	7.97	7.97	14800	212510.00
2017/04/27	1128	7.98	7.99	7.98	7.99	6900	99095.00
2017/04/27	1129	7.98	8.01	7.98	8.01	15200	218733.00
2017/04/27	1300	8.02	8.06	8.02	8.06	33600	486488.00
2017/04/27	1301	8.06	8.06	8.06	8.06	0	0.00
2017/04/27	1302	8.07	8.08	8.07	8.08	18700	271888.00
2017/04/27	1303	8.08	8.08	8.06	8.06	13200	191682.00
2017/04/27	1304	8.06	8.06	8.06	8.06	3300	47851.00
2017/04/27	1305	8.06	8.06	8.06	8.06	10800	156696.00
2017/04/27	1306	8.06	8.07	8.06	8.06	15400	223453.00
2017/04/27	1307	8.06	8.07	8.06	8.06	5400	78361.00
2017/04/27	1308	8.06	8.06	8.05	8.05	15100	218971.00
2017/04/27	1309	8.05	8.06	8.04	8.04	6900	99995.00
2017/04/27	1310	8.04	8.05	8.04	8.04	11400	165108.00
2017/04/27	1311	8.04	8.04	8.04	8.04	900	13032.00
2017/04/27	1312	8.04	8.04	8.03	8.03	3700	53506.00
2017/04/27	1313	8.03	8.03	8.02	8.02	7800	112686.00
2017/04/27	1314	8.02	8.02	8.02	8.02	5500	79380.00
2017/04/27	1315	8.02	8.02	8.02	8.02	11400	164578.00
2017/04/27	1316	8.02	8.03	8.02	8.03	52100	752482.00
2017/04/27	1317	8.03	8.04	8.03	8.04	7700	111386.00
2017/04/27	1318	8.04	8.05	8.04	8.05	5900	85478.00
2017/04/27	1319	8.06	8.06	8.04	8.05	46900	679606.00
2017/04/27	1320	8.06	8.06	8.05	8.06	9600	139244.00
2017/04/27	1321	8.05	8.06	8.02	8.03	57000	824849.00
2017/04/27	1322	8.03	8.05	8.03	8.05	46100	666417.00
2017/04/27	1323	8.06	8.06	8.00	8.03	91600	1319758.00
2017/04/27	1324	8.03	8.06	8.03	8.06	7600	110140.00
2017/04/27	1325	8.05	8.06	8.04	8.05	20400	295682.00
2017/04/27	1326	8.05	8.06	8.05	8.06	16100	233447.00
2017/04/27	1327	8.06	8.06	8.05	8.06	25500	369742.00
2017/04/27	1328	8.07	8.07	8.06	8.07	30100	436890.00
2017/04/27	1329	8.06	8.07	8.06	8.07	21800	316456.00
2017/04/27	1330	8.06	8.08	8.06	8.08	7900	114859.00
2017/04/27	1331	8.08	8.08	8.07	8.08	7100	103231.00
2017/04/27	1332	8.08	8.09	8.08	8.09	22000	320145.00
2017/04/27	1333	8.10	8.10	8.09	8.09	36500	531772.00
2017/04/27	1334	8.09	8.11	8.09	8.11	32400	472763.00
2017/04/27	1335	8.11	8.11	8.10	8.10	40500	590787.00
2017/04/27	1336	8.10	8.10	8.09	8.09	14100	205445.00
2017/04/27	1337	8.09	8.09	8.08	8.09	23600	343519.00
2017/04/27	1338	8.08	8.09	8.08	8.08	9400	136843.00
2017/04/27	1339	8.08	8.08	8.08	8.08	7900	114945.00
2017/04/27	1340	8.08	8.09	8.08	8.08	7400	107680.00
2017/04/27	1341	8.09	8.09	8.08	8.08	22900	333296.00
2017/04/27	1342	8.08	8.08	8.07	8.07	23100	335643.00
2017/04/27	1343	8.07	8.07	8.06	8.06	19700	285800.00
2017/04/27	1344	8.06	8.06	8.04	8.04	24500	354899.00
2017/04/27	1345	8.05	8.05	8.04	8.04	15200	220037.00
2017/04/27	1346	8.04	8.06	8.04	8.06	19700	285544.00
2017/04/27	1347	8.06	8.06	8.05	8.05	11800	171037.00
2017/04/27	1348	8.05	8.06	8.04	8.06	24000	347868.00
2017/04/27	1349	8.06	8.08	8.06	8.08	25600	371547.00
2017/04/27	1350	8.07	8.10	8.07	8.10	46900	683126.00
2017/04/27	1351	8.09	8.10	8.08	8.09	11200	162991.00
2017/04/27	1352	8.09	8.11	8.09	8.11	10700	155897.00
2017/04/27	1353	8.09	8.09	8.08	8.09	35700	519859.00
2017/04/27	1354	8.08	8.09	8.08	8.08	13600	197948.00
2017/04/27	1355	8.08	8.08	8.07	8.08	16100	234099.00
2017/04/27	1356	8.07	8.08	8.07	8.08	13600	197650.00
2017/04/27	1357	8.08	8.09	8.08	8.09	37900	551795.00
2017/04/27	1358	8.09	8.11	8.09	8.11	10600	154562.00
2017/04/27	1359	8.11	8.13	8.11	8.12	40400	590154.00
2017/04/27	1400	8.13	8.14	8.12	8.12	56600	828444.00
2017/04/27	1401	8.12	8.12	8.11	8.12	45100	658821.00
2017/04/27	1402	8.11	8.12	8.11	8.12	26900	392988.00
2017/04/27	1403	8.12	8.12	8.11	8.12	14500	211876.00
2017/04/27	1404	8.13	8.13	8.12	8.12	6600	96521.00
2017/04/27	1405	8.12	8.12	8.12	8.12	12200	178337.00
2017/04/27	1406	8.12	8.12	8.11	8.11	24500	357935.00
2017/04/27	1407	8.11	8.12	8.11	8.12	9500	138727.00
2017/04/27	1408	8.12	8.12	8.12	8.12	7600	111043.00
2017/04/27	1409	8.11	8.12	8.11	8.11	13600	198580.00
2017/04/27	1410	8.11	8.11	8.10	8.10	60200	878710.00
2017/04/27	1411	8.10	8.10	8.09	8.09	12400	180728.00
2017/04/27	1412	8.10	8.10	8.09	8.09	13900	202463.00
2017/04/27	1413	8.11	8.11	8.09	8.10	14600	213058.00
2017/04/27	1414	8.10	8.11	8.10	8.11	45200	659863.00
2017/04/27	1415	8.11	8.11	8.11	8.11	12800	186805.00
2017/04/27	1416	8.11	8.11	8.11	8.11	13900	202928.00
2017/04/27	1417	8.11	8.11	8.11	8.11	20200	294758.00
2017/04/27	1418	8.11	8.11	8.11	8.11	10700	156138.00
2017/04/27	1419	8.11	8.11	8.10	8.10	14600	212891.00
2017/04/27	1420	8.10	8.10	8.09	8.09	16000	233172.00
2017/04/27	1421	8.09	8.09	8.09	8.09	8100	118017.00
2017/04/27	1422	8.09	8.09	8.09	8.09	18700	272421.00
2017/04/27	1423	8.09	8.09	8.08	8.08	12800	186318.00
2017/04/27	1424	8.08	8.08	8.07	8.08	7900	114931.00
2017/04/27	1425	8.08	8.08	8.06	8.07	17400	252681.00
2017/04/27	1426	8.07	8.08	8.07	8.07	10700	155480.00
2017/04/27	1427	8.07	8.08	8.07	8.08	14400	209493.00
2017/04/27	1428	8.08	8.09	8.08	8.08	11100	161544.00
2017/04/27	1429	8.08	8.09	8.08	8.08	11400	165971.00
2017/04/27	1430	8.08	8.08	8.08	8.08	19700	286615.00
2017/04/27	1431	8.08	8.09	8.08	8.09	16200	235740.00
2017/04/27	1432	8.09	8.09	8.09	8.09	14100	205308.00
2017/04/27	1433	8.09	8.10	8.09	8.10	14800	215757.00
2017/04/27	1434	8.10	8.12	8.10	8.12	39900	582474.00
2017/04/27	1435	8.12	8.12	8.12	8.12	46300	676584.00
2017/04/27	1436	8.12	8.12	8.11	8.11	25300	369397.00
2017/04/27	1437	8.11	8.11	8.10	8.10	11900	173624.00
2017/04/27	1438	8.10	8.11	8.09	8.09	88100	1284302.00
2017/04/27	1439	8.09	8.11	8.09	8.11	53400	779293.00
2017/04/27	1440	8.11	8.12	8.10	8.10	46100	673592.00
2017/04/27	1441	8.11	8.11	8.10	8.11	28400	414604.00
