002815 崇达技术 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	36.51	36.51	36.46	36.46	12200	450626.00
2017/04/27	0932	36.47	36.51	36.44	36.51	6000	221749.00
2017/04/27	0933	36.45	36.45	36.41	36.41	14500	534714.00
2017/04/27	0934	36.41	36.41	36.36	36.37	10500	386824.00
2017/04/27	0935	36.35	36.35	36.23	36.23	11300	415095.00
2017/04/27	0936	36.21	36.25	36.18	36.21	14500	531510.00
2017/04/27	0937	36.21	36.21	36.15	36.15	20200	739491.00
2017/04/27	0938	36.06	36.06	35.85	35.85	13600	495146.00
2017/04/27	0939	35.85	36.12	35.76	36.12	12100	439856.00
2017/04/27	0940	36.12	36.12	35.98	35.98	3700	134902.00
2017/04/27	0941	35.98	36.09	35.96	35.96	14200	517963.00
2017/04/27	0942	35.96	35.98	35.95	35.97	5500	200307.00
2017/04/27	0943	35.96	36.05	35.96	36.05	4100	149378.00
2017/04/27	0944	36.05	36.05	35.98	36.04	7400	269980.00
2017/04/27	0945	35.98	36.00	35.93	35.93	13300	484221.00
2017/04/27	0946	35.94	35.96	35.94	35.94	12800	465834.00
2017/04/27	0947	35.94	35.95	35.83	35.85	8500	308867.00
2017/04/27	0948	35.90	35.96	35.85	35.96	5000	181838.00
2017/04/27	0949	35.97	35.97	35.97	35.97	2700	98333.99
2017/04/27	0950	35.98	35.98	35.97	35.97	3800	138415.00
2017/04/27	0951	35.98	35.98	35.97	35.98	1200	43714.00
2017/04/27	0952	36.00	36.00	35.98	35.98	3000	109312.00
2017/04/27	0953	35.97	35.99	35.91	35.91	10800	393254.00
2017/04/27	0954	35.90	35.95	35.86	35.86	5200	188969.00
2017/04/27	0955	35.89	35.97	35.87	35.97	5100	185558.00
2017/04/27	0956	35.97	36.03	35.94	35.98	7200	262213.00
2017/04/27	0957	35.98	36.05	35.98	36.03	4000	145931.00
2017/04/27	0958	36.05	36.06	35.98	35.98	21100	769521.00
2017/04/27	0959	35.97	35.97	35.86	35.86	7500	272514.00
2017/04/27	1000	35.85	35.86	35.79	35.79	21500	780113.00
2017/04/27	1001	35.80	35.85	35.80	35.84	24300	881420.00
2017/04/27	1002	35.78	35.80	35.77	35.80	7400	268100.00
2017/04/27	1003	35.84	35.95	35.84	35.95	4900	177866.00
2017/04/27	1004	35.87	35.94	35.86	35.93	1900	69078.00
2017/04/27	1005	35.92	35.97	35.90	35.92	4700	171058.98
2017/04/27	1006	35.97	35.97	35.90	35.90	4900	178221.00
2017/04/27	1007	35.90	35.90	35.85	35.85	6500	236140.00
2017/04/27	1008	35.89	35.90	35.87	35.89	2400	87201.00
2017/04/27	1009	35.90	35.92	35.90	35.92	4400	159969.98
2017/04/27	1010	35.95	35.95	35.92	35.94	1700	61853.00
2017/04/27	1011	35.94	35.94	35.92	35.94	2800	101872.00
2017/04/27	1012	35.94	35.94	35.93	35.93	600	21830.00
2017/04/27	1013	35.93	35.94	35.91	35.91	9300	338204.00
2017/04/27	1014	35.91	35.91	35.89	35.89	5600	203518.00
2017/04/27	1015	35.89	35.89	35.86	35.86	6800	246944.00
2017/04/27	1016	35.85	35.85	35.85	35.85	7700	279510.00
2017/04/27	1017	35.85	35.86	35.85	35.85	4600	166986.00
2017/04/27	1018	35.83	35.84	35.83	35.83	2300	83450.00
2017/04/27	1019	35.83	35.83	35.80	35.82	5900	213963.00
2017/04/27	1020	35.80	35.81	35.80	35.81	8800	319040.00
2017/04/27	1021	35.81	35.81	35.78	35.78	10000	362448.00
2017/04/27	1022	35.78	35.78	35.66	35.71	25100	907900.00
2017/04/27	1023	35.66	35.71	35.66	35.68	29400	1061908.00
2017/04/27	1024	35.68	35.74	35.68	35.74	3200	115735.00
2017/04/27	1025	35.74	35.75	35.72	35.75	3200	115819.00
2017/04/27	1026	35.74	35.75	35.72	35.74	6200	224338.00
2017/04/27	1027	35.75	35.75	35.71	35.71	8000	289588.00
2017/04/27	1028	35.74	35.74	35.70	35.71	10400	376063.00
2017/04/27	1029	35.74	35.74	35.66	35.66	12600	455293.00
2017/04/27	1030	35.65	35.65	35.61	35.62	6000	216479.00
2017/04/27	1031	35.61	35.62	35.56	35.56	22300	803262.00
2017/04/27	1032	35.55	35.56	35.44	35.44	23500	845587.00
2017/04/27	1033	35.41	35.41	35.16	35.16	17100	610288.00
2017/04/27	1034	35.15	35.21	35.15	35.21	19500	694751.00
2017/04/27	1035	35.24	35.38	35.24	35.38	14300	510474.00
2017/04/27	1036	35.38	35.38	35.35	35.36	6500	232796.00
2017/04/27	1037	35.36	35.37	35.29	35.30	6300	225428.00
2017/04/27	1038	35.34	35.34	35.29	35.32	16600	593574.00
2017/04/27	1039	35.32	35.37	35.32	35.37	10600	379506.00
2017/04/27	1040	35.38	35.54	35.38	35.54	900	32297.00
2017/04/27	1041	35.54	35.55	35.54	35.54	3500	125976.01
2017/04/27	1042	35.54	35.54	35.51	35.52	3900	140327.02
2017/04/27	1043	35.51	35.51	35.50	35.50	5500	197731.00
2017/04/27	1044	35.50	35.50	35.47	35.47	2400	86271.00
2017/04/27	1045	35.47	35.50	35.47	35.50	7300	262293.00
2017/04/27	1046	35.55	35.56	35.50	35.56	9800	352565.00
2017/04/27	1047	35.52	35.56	35.51	35.56	6200	223106.00
2017/04/27	1048	35.56	35.56	35.56	35.56	4000	144039.98
2017/04/27	1049	35.53	35.53	35.53	35.53	2200	79156.00
2017/04/27	1050	35.53	35.53	35.50	35.50	4400	158275.00
2017/04/27	1051	35.51	35.51	35.39	35.39	8700	311995.03
2017/04/27	1052	35.40	35.52	35.39	35.52	10000	359160.00
2017/04/27	1053	35.42	35.43	35.42	35.42	2400	86090.00
2017/04/27	1054	35.42	35.50	35.42	35.43	4500	161466.00
2017/04/27	1055	35.50	35.51	35.43	35.50	2200	79016.00
2017/04/27	1056	35.50	35.50	35.44	35.50	4600	165364.00
2017/04/27	1057	35.50	35.52	35.46	35.46	5600	201270.00
2017/04/27	1058	35.46	35.52	35.46	35.52	2300	82690.00
2017/04/27	1059	35.52	35.52	35.49	35.52	3800	136650.00
2017/04/27	1100	35.48	35.52	35.48	35.48	4100	147405.00
2017/04/27	1101	35.52	35.56	35.49	35.56	20600	740993.00
2017/04/27	1102	35.56	35.74	35.56	35.74	12100	436966.00
2017/04/27	1103	35.75	35.82	35.75	35.82	8800	318770.00
2017/04/27	1104	35.83	35.91	35.82	35.91	5100	185151.00
2017/04/27	1105	35.91	36.03	35.91	35.98	6300	229216.00
2017/04/27	1106	35.95	35.98	35.86	35.90	11700	425520.00
2017/04/27	1107	35.86	35.86	35.84	35.84	1000	36292.00
2017/04/27	1108	35.84	35.84	35.82	35.82	6900	250333.00
2017/04/27	1109	35.83	35.83	35.81	35.81	7600	275688.00
2017/04/27	1110	35.81	35.81	35.78	35.78	3200	115989.00
2017/04/27	1111	35.78	35.81	35.78	35.81	2900	105085.00
2017/04/27	1112	35.86	35.90	35.81	35.90	4000	145141.00
2017/04/27	1113	35.90	35.95	35.86	35.86	2900	105427.99
2017/04/27	1114	35.95	35.99	35.95	35.99	8200	298694.00
2017/04/27	1115	36.02	36.04	36.01	36.04	5000	182413.00
2017/04/27	1116	36.04	36.05	36.04	36.05	15900	580245.00
