300059 东方财富 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	10.70	10.71	10.65	10.68	598000	6388507.00
2017/04/27	0932	10.66	10.68	10.65	10.65	342200	3647710.00
2017/04/27	0933	10.66	10.66	10.62	10.62	512200	5451083.00
2017/04/27	0934	10.62	10.65	10.62	10.64	261100	2777086.00
2017/04/27	0935	10.64	10.65	10.62	10.62	222900	2371843.00
2017/04/27	0936	10.64	10.64	10.62	10.63	269600	2866343.00
2017/04/27	0937	10.63	10.64	10.59	10.59	561800	5962413.00
2017/04/27	0938	10.59	10.59	10.52	10.55	677400	7145209.00
2017/04/27	0939	10.55	10.59	10.55	10.59	332400	3510887.00
2017/04/27	0940	10.58	10.60	10.58	10.60	131300	1390047.00
2017/04/27	0941	10.60	10.60	10.58	10.58	191000	2022354.00
2017/04/27	0942	10.58	10.58	10.57	10.58	172400	1823577.00
2017/04/27	0943	10.57	10.57	10.56	10.57	325900	3443990.00
2017/04/27	0944	10.57	10.57	10.56	10.57	347000	3666766.00
2017/04/27	0945	10.57	10.57	10.53	10.54	253300	2672081.00
2017/04/27	0946	10.54	10.54	10.50	10.50	885200	9310574.00
2017/04/27	0947	10.48	10.49	10.46	10.47	646900	6773420.00
2017/04/27	0948	10.49	10.50	10.48	10.48	282900	2969071.00
2017/04/27	0949	10.49	10.50	10.48	10.50	367500	3854513.00
2017/04/27	0950	10.51	10.52	10.50	10.51	202000	2122882.00
2017/04/27	0951	10.50	10.51	10.49	10.51	264000	2772261.00
2017/04/27	0952	10.50	10.50	10.48	10.50	441900	4634326.00
2017/04/27	0953	10.49	10.49	10.48	10.49	235300	2467278.00
2017/04/27	0954	10.49	10.51	10.49	10.50	517700	5435055.00
2017/04/27	0955	10.51	10.56	10.50	10.55	162700	1711527.00
2017/04/27	0956	10.53	10.54	10.52	10.53	175400	1847238.00
2017/04/27	0957	10.52	10.53	10.51	10.52	95800	1007704.00
2017/04/27	0958	10.51	10.53	10.50	10.51	276100	2902343.00
2017/04/27	0959	10.51	10.51	10.47	10.48	565000	5924789.00
2017/04/27	1000	10.47	10.47	10.44	10.44	716500	7490628.00
2017/04/27	1001	10.44	10.48	10.44	10.48	384800	4022827.00
2017/04/27	1002	10.47	10.50	10.47	10.49	248400	2603720.00
2017/04/27	1003	10.49	10.50	10.49	10.49	276600	2901746.00
2017/04/27	1004	10.49	10.49	10.48	10.48	261700	2743230.00
2017/04/27	1005	10.48	10.49	10.47	10.48	481900	5051968.00
2017/04/27	1006	10.48	10.49	10.47	10.49	167300	1753894.00
2017/04/27	1007	10.48	10.49	10.48	10.49	432900	4538379.00
2017/04/27	1008	10.49	10.50	10.48	10.50	147900	1551739.00
2017/04/27	1009	10.50	10.50	10.47	10.47	378800	3970774.00
2017/04/27	1010	10.48	10.48	10.47	10.48	98700	1033557.00
2017/04/27	1011	10.48	10.49	10.47	10.48	168600	1766563.00
2017/04/27	1012	10.48	10.49	10.47	10.49	119700	1254796.88
2017/04/27	1013	10.48	10.49	10.48	10.49	93500	980320.94
2017/04/27	1014	10.48	10.49	10.47	10.48	107500	1127002.88
2017/04/27	1015	10.48	10.49	10.47	10.48	88000	922440.94
2017/04/27	1016	10.48	10.49	10.47	10.49	45500	476600.00
2017/04/27	1017	10.49	10.49	10.46	10.46	216600	2268332.00
2017/04/27	1018	10.47	10.47	10.46	10.46	240700	2518093.00
2017/04/27	1019	10.46	10.46	10.40	10.40	760700	7929551.00
2017/04/27	1020	10.40	10.40	10.38	10.40	966700	10048064.00
2017/04/27	1021	10.40	10.40	10.38	10.39	513600	5337903.00
2017/04/27	1022	10.38	10.40	10.38	10.40	762800	7924645.00
2017/04/27	1023	10.42	10.44	10.41	10.43	336400	3506171.00
2017/04/27	1024	10.43	10.44	10.41	10.44	116200	1210630.00
2017/04/27	1025	10.44	10.45	10.43	10.43	143200	1494865.00
2017/04/27	1026	10.43	10.44	10.42	10.44	139400	1453938.00
2017/04/27	1027	10.43	10.44	10.42	10.42	132100	1377158.00
2017/04/27	1028	10.42	10.44	10.41	10.43	156500	1631522.00
2017/04/27	1029	10.43	10.46	10.43	10.46	150300	1570149.00
2017/04/27	1030	10.47	10.49	10.47	10.48	224600	2354547.00
2017/04/27	1031	10.48	10.48	10.42	10.42	249700	2611291.00
2017/04/27	1032	10.40	10.44	10.40	10.44	387300	4033613.00
2017/04/27	1033	10.43	10.44	10.41	10.42	181100	1887361.00
2017/04/27	1034	10.41	10.50	10.41	10.50	729800	7618903.00
2017/04/27	1035	10.50	10.57	10.49	10.56	1019800	10759347.00
2017/04/27	1036	10.56	10.70	10.56	10.68	1013000	10766567.00
2017/04/27	1037	10.68	10.69	10.60	10.61	507000	5406282.00
2017/04/27	1038	10.60	10.62	10.59	10.59	233500	2476332.00
2017/04/27	1039	10.59	10.61	10.59	10.61	123600	1309836.00
2017/04/27	1040	10.61	10.61	10.56	10.57	300000	3175253.00
2017/04/27	1041	10.56	10.61	10.56	10.60	181700	1923295.00
2017/04/27	1042	10.60	10.64	10.60	10.63	207200	2201105.00
2017/04/27	1043	10.64	10.64	10.61	10.61	99600	1058488.00
2017/04/27	1044	10.60	10.61	10.58	10.60	96100	1018262.00
2017/04/27	1045	10.60	10.62	10.59	10.60	428000	4537788.00
