300072 三聚环保 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	35.51	35.65	35.43	35.45	376800	13384351.00
2017/04/27	0932	35.35	35.45	35.32	35.43	125400	4438522.00
2017/04/27	0933	35.43	35.69	35.43	35.69	148100	5261856.00
2017/04/27	0934	35.69	35.87	35.69	35.87	141400	5065383.00
2017/04/27	0935	35.88	35.95	35.86	35.93	304600	10936048.00
2017/04/27	0936	35.89	35.92	35.76	35.80	202500	7260723.00
2017/04/27	0937	35.75	35.76	35.60	35.62	160800	5735498.00
2017/04/27	0938	35.62	35.76	35.61	35.70	102200	3642359.00
2017/04/27	0939	35.75	35.84	35.71	35.84	113100	4051068.00
2017/04/27	0940	35.83	35.84	35.76	35.78	190700	6828499.00
2017/04/27	0941	35.77	35.78	35.67	35.70	110700	3954090.75
2017/04/27	0942	35.70	35.75	35.68	35.74	107900	3853703.00
2017/04/27	0943	35.74	35.82	35.74	35.80	142000	5081185.00
2017/04/27	0944	35.80	35.85	35.79	35.85	160000	5733370.00
2017/04/27	0945	35.85	36.10	35.85	36.10	211900	7625854.00
2017/04/27	0946	36.15	36.19	36.13	36.15	205800	7440263.00
2017/04/27	0947	36.15	36.18	36.08	36.08	166900	6032790.00
2017/04/27	0948	36.10	36.10	35.90	35.99	118600	4268419.00
2017/04/27	0949	35.98	35.98	35.90	35.96	111200	3994024.00
2017/04/27	0950	35.95	36.13	35.95	36.13	120000	4327880.00
2017/04/27	0951	36.13	36.20	36.10	36.20	197300	7136001.00
2017/04/27	0952	36.20	36.23	36.18	36.21	224000	8110452.00
2017/04/27	0953	36.22	36.23	36.17	36.17	167600	6068271.00
2017/04/27	0954	36.18	36.18	36.10	36.10	277000	10012294.00
2017/04/27	0955	36.12	36.12	36.01	36.07	86300	3112208.00
2017/04/27	0956	36.05	36.12	36.05	36.12	185300	6684084.00
2017/04/27	0957	36.10	36.12	36.03	36.03	80200	2893123.00
2017/04/27	0958	36.05	36.09	36.05	36.09	125700	4534041.00
2017/04/27	0959	36.12	36.12	35.98	35.98	176400	6359586.00
2017/04/27	1000	36.00	36.00	35.92	35.92	75300	2708042.00
2017/04/27	1001	35.92	35.92	35.80	35.82	132400	4746472.00
2017/04/27	1002	35.83	35.97	35.82	35.97	111500	4002244.00
2017/04/27	1003	35.90	36.00	35.89	36.00	110700	3977795.00
2017/04/27	1004	35.96	35.97	35.91	35.91	141600	5086447.00
2017/04/27	1005	35.90	35.95	35.89	35.92	224000	8045687.00
2017/04/27	1006	35.92	35.96	35.92	35.95	54200	1947646.00
2017/04/27	1007	35.93	36.00	35.93	36.00	55300	1989504.00
2017/04/27	1008	35.98	36.01	35.98	36.01	38400	1382384.00
2017/04/27	1009	36.00	36.06	36.00	36.05	80300	2893456.00
2017/04/27	1010	36.06	36.10	36.06	36.10	62200	2243588.00
2017/04/27	1011	36.09	36.15	36.09	36.10	86400	3120804.00
2017/04/27	1012	36.14	36.14	36.09	36.10	83200	3004015.00
2017/04/27	1013	36.10	36.12	36.08	36.08	121400	4381459.00
2017/04/27	1014	36.10	36.11	36.08	36.09	58300	2104121.00
2017/04/27	1015	36.10	36.11	36.07	36.07	35700	1288702.00
2017/04/27	1016	36.06	36.06	35.99	36.00	82500	2971404.00
2017/04/27	1017	36.00	36.04	35.91	35.91	79300	2852488.00
2017/04/27	1018	35.91	35.98	35.90	35.90	80500	2891748.00
2017/04/27	1019	35.96	35.96	35.90	35.95	87300	3138191.00
2017/04/27	1020	35.95	35.95	35.82	35.85	88700	3182108.00
2017/04/27	1021	35.85	35.90	35.82	35.88	124500	4466533.00
2017/04/27	1022	35.84	35.96	35.84	35.95	55000	1974353.00
2017/04/27	1023	35.96	35.96	35.91	35.92	42400	1523138.00
2017/04/27	1024	35.96	36.01	35.91	35.96	108200	3890665.00
2017/04/27	1025	35.95	36.03	35.93	35.93	87600	3149824.00
2017/04/27	1026	35.93	35.99	35.92	35.99	26700	959259.00
2017/04/27	1027	35.99	35.99	35.91	35.93	32700	1175038.00
2017/04/27	1028	35.95	35.97	35.93	35.94	13300	478037.00
2017/04/27	1029	35.88	36.00	35.88	35.98	121100	4354689.00
2017/04/27	1030	35.98	35.98	35.90	35.90	16700	599934.00
2017/04/27	1031	35.90	35.97	35.88	35.88	108600	3900425.00
2017/04/27	1032	35.90	35.90	35.80	35.80	119900	4297202.00
2017/04/27	1033	35.80	35.80	35.75	35.75	88300	3158321.00
2017/04/27	1034	35.73	35.73	35.68	35.68	66100	2360134.00
2017/04/27	1035	35.69	35.76	35.67	35.76	71500	2553608.00
2017/04/27	1036	35.78	35.85	35.78	35.80	38100	1364033.00
2017/04/27	1037	35.83	35.85	35.78	35.78	34600	1238632.00
2017/04/27	1038	35.79	35.80	35.74	35.79	95400	3412091.00
2017/04/27	1039	35.74	35.79	35.72	35.72	30500	1090104.00
2017/04/27	1040	35.72	35.77	35.71	35.77	27400	978927.00
2017/04/27	1041	35.79	35.79	35.73	35.79	33800	1208751.00
2017/04/27	1042	35.79	35.80	35.78	35.79	21700	776608.00
2017/04/27	1043	35.79	35.83	35.79	35.83	24300	870238.00
2017/04/27	1044	35.83	35.86	35.81	35.86	42500	1522918.00
2017/04/27	1045	35.85	35.88	35.84	35.86	22800	817600.00
2017/04/27	1046	35.86	35.89	35.85	35.88	56200	2015553.00
2017/04/27	1047	35.88	35.90	35.86	35.88	23800	854046.00
2017/04/27	1048	35.86	35.86	35.80	35.80	24300	870642.00
2017/04/27	1049	35.80	35.81	35.76	35.78	20800	744509.00
2017/04/27	1050	35.75	35.77	35.74	35.75	20100	718658.00
2017/04/27	1051	35.77	35.77	35.70	35.75	73900	2639498.00
2017/04/27	1052	35.70	35.75	35.69	35.70	12300	439134.00
2017/04/27	1053	35.75	35.75	35.68	35.70	51200	1828061.00
2017/04/27	1054	35.69	35.74	35.68	35.70	37600	1342533.00
2017/04/27	1055	35.70	35.75	35.70	35.75	17900	639674.00
2017/04/27	1056	35.74	35.75	35.70	35.74	67500	2413014.00
2017/04/27	1057	35.74	35.76	35.70	35.76	37800	1351139.00
2017/04/27	1058	35.76	35.76	35.70	35.74	21600	771464.00
2017/04/27	1059	35.74	35.74	35.70	35.70	16500	589382.00
2017/04/27	1100	35.70	35.71	35.69	35.70	64100	2288339.00
2017/04/27	1101	35.71	35.77	35.71	35.77	25200	900219.00
2017/04/27	1102	35.77	35.85	35.77	35.85	36500	1306511.00
2017/04/27	1103	35.85	35.89	35.78	35.89	114700	4105736.00
2017/04/27	1104	35.94	35.97	35.89	35.97	28900	1038666.00
2017/04/27	1105	35.96	35.98	35.90	35.96	40300	1449032.00
2017/04/27	1106	35.96	35.97	35.92	35.95	23500	845107.00
2017/04/27	1107	35.96	35.96	35.89	35.89	53100	1908264.00
2017/04/27	1108	35.89	35.96	35.88	35.96	21600	776446.00
2017/04/27	1109	35.96	35.97	35.90	35.95	24000	863139.00
2017/04/27	1110	35.97	36.00	35.91	35.96	30800	1108315.00
2017/04/27	1111	35.98	36.01	35.98	35.98	72000	2591329.00
2017/04/27	1112	35.98	35.98	35.85	35.85	59200	2127318.00
2017/04/27	1113	35.85	35.98	35.85	35.96	15200	546618.00
2017/04/27	1114	35.96	35.97	35.86	35.86	20200	725317.00
2017/04/27	1115	35.90	36.00	35.86	36.00	84300	3030789.00
2017/04/27	1116	36.00	36.04	36.00	36.04	31500	1134792.00
2017/04/27	1117	36.05	36.07	36.01	36.03	121700	4386733.00
2017/04/27	1118	36.03	36.10	36.02	36.03	26600	959239.00
2017/04/27	1119	36.04	36.08	36.02	36.05	13900	500835.00
2017/04/27	1120	36.05	36.14	36.05	36.13	85900	3101279.00
2017/04/27	1121	36.15	36.18	36.14	36.18	108700	3930500.00
2017/04/27	1122	36.17	36.18	36.13	36.14	66100	2390599.00
2017/04/27	1123	36.13	36.15	36.10	36.14	36000	1300619.00
2017/04/27	1124	36.14	36.17	36.13	36.16	54800	1981377.00
2017/04/27	1125	36.16	36.24	36.16	36.24	146000	5282767.00
2017/04/27	1126	36.25	36.38	36.25	36.37	132100	4797382.00
2017/04/27	1127	36.37	36.41	36.37	36.39	156400	5691067.00
2017/04/27	1128	36.39	36.40	36.36	36.39	73300	2667446.00
2017/04/27	1129	36.39	36.40	36.36	36.36	47100	1713246.00
2017/04/27	1300	36.36	36.36	36.27	36.36	112400	4081192.00
2017/04/27	1301	36.36	36.36	36.36	36.36	0	0.00
2017/04/27	1302	36.36	36.36	36.31	36.34	14400	523071.00
2017/04/27	1303	36.35	36.35	36.27	36.28	21400	776969.00
2017/04/27	1304	36.28	36.30	36.25	36.25	32100	1164064.00
2017/04/27	1305	36.26	36.26	36.16	36.16	23900	865699.00
2017/04/27	1306	36.21	36.24	36.17	36.24	14000	506774.00
2017/04/27	1307	36.22	36.26	36.22	36.25	70600	2559156.00
2017/04/27	1308	36.28	36.34	36.28	36.34	22000	798999.00
2017/04/27	1309	36.34	36.38	36.33	36.38	34200	1243503.00
2017/04/27	1310	36.37	36.40	36.35	36.40	81300	2957781.00
2017/04/27	1311	36.40	36.41	36.38	36.39	26400	960860.00
2017/04/27	1312	36.35	36.38	36.28	36.34	65300	2370649.00
2017/04/27	1313	36.34	36.35	36.25	36.25	87600	3178627.00
2017/04/27	1314	36.28	36.30	36.25	36.26	35000	1268960.00
2017/04/27	1315	36.30	36.35	36.30	36.35	37100	1347159.00
2017/04/27	1316	36.35	36.38	36.33	36.38	34100	1239669.00
2017/04/27	1317	36.36	36.38	36.36	36.36	12500	454521.00
2017/04/27	1318	36.36	36.38	36.35	36.36	36900	1342122.00
2017/04/27	1319	36.33	36.37	36.33	36.36	23100	839631.00
2017/04/27	1320	36.35	36.38	36.33	36.38	30400	1105420.00
2017/04/27	1321	36.37	36.40	36.37	36.40	53400	1943232.00
2017/04/27	1322	36.40	36.60	36.40	36.60	194400	7093044.00
2017/04/27	1323	36.60	36.63	36.55	36.59	156300	5721765.00
2017/04/27	1324	36.60	36.60	36.53	36.60	43900	1605639.00
2017/04/27	1325	36.60	36.65	36.59	36.65	65300	2391357.00
2017/04/27	1326	36.65	36.66	36.58	36.59	64900	2377094.00
2017/04/27	1327	36.60	36.67	36.59	36.67	72600	2659677.00
2017/04/27	1328	36.65	36.80	36.65	36.79	135600	4983385.00
2017/04/27	1329	36.81	36.88	36.79	36.81	135400	4986502.00
2017/04/27	1330	36.82	36.83	36.76	36.77	84600	3113781.00
2017/04/27	1331	36.77	36.80	36.76	36.80	74300	2732853.00
2017/04/27	1332	36.80	36.81	36.78	36.81	73500	2704097.00
2017/04/27	1333	36.82	36.95	36.77	36.94	203800	7514897.00
2017/04/27	1334	36.94	36.95	36.85	36.85	176000	6493066.00
2017/04/27	1335	36.85	36.85	36.79	36.79	63700	2344787.00
2017/04/27	1336	36.79	36.80	36.76	36.76	56200	2066990.00
2017/04/27	1337	36.77	36.77	36.62	36.65	40400	1482802.00
2017/04/27	1338	36.65	36.71	36.63	36.71	43300	1587350.13
2017/04/27	1339	36.74	36.75	36.67	36.70	31600	1160008.00
2017/04/27	1340	36.70	36.70	36.65	36.67	39700	1455553.00
2017/04/27	1341	36.66	36.66	36.63	36.63	47400	1737324.00
2017/04/27	1342	36.65	36.65	36.56	36.58	52400	1918745.00
2017/04/27	1343	36.58	36.58	36.51	36.52	40700	1486616.00
2017/04/27	1344	36.52	36.52	36.50	36.51	34800	1270565.00
2017/04/27	1345	36.51	36.59	36.51	36.59	40200	1468867.00
2017/04/27	1346	36.58	36.60	36.58	36.60	35700	1306253.00
2017/04/27	1347	36.59	36.59	36.56	36.59	70000	2560557.00
2017/04/27	1348	36.59	36.62	36.55	36.61	77700	2842967.00
2017/04/27	1349	36.63	36.73	36.61	36.73	74100	2716419.00
2017/04/27	1350	36.73	36.83	36.73	36.81	77800	2862480.00
2017/04/27	1351	36.84	36.84	36.68	36.68	116800	4298444.00
2017/04/27	1352	36.68	36.74	36.68	36.70	17800	653655.00
2017/04/27	1353	36.70	36.75	36.70	36.75	17000	624271.00
2017/04/27	1354	36.74	36.75	36.72	36.75	32700	1201544.00
2017/04/27	1355	36.75	36.80	36.75	36.79	51900	1909536.00
2017/04/27	1356	36.78	36.81	36.78	36.81	70600	2597217.00
2017/04/27	1357	36.79	36.80	36.78	36.78	36000	1324501.00
2017/04/27	1358	36.79	36.81	36.78	36.80	45100	1659651.00
2017/04/27	1359	36.80	36.81	36.77	36.79	12100	445170.00
2017/04/27	1400	36.78	36.81	36.78	36.80	51600	1898977.00
2017/04/27	1401	36.80	36.84	36.80	36.84	50700	1867187.13
2017/04/27	1402	36.84	36.93	36.84	36.93	108800	4012739.00
2017/04/27	1403	36.90	36.92	36.88	36.90	66300	2446433.00
2017/04/27	1404	36.89	36.89	36.85	36.86	86800	3199907.00
2017/04/27	1405	36.90	36.90	36.85	36.85	57000	2101676.00
2017/04/27	1406	36.85	36.88	36.85	36.85	17700	652466.00
2017/04/27	1407	36.88	36.88	36.83	36.85	37500	1382502.00
2017/04/27	1408	36.85	36.87	36.83	36.84	25800	950724.00
2017/04/27	1409	36.87	36.88	36.84	36.88	57100	2105271.00
2017/04/27	1410	36.89	36.90	36.85	36.85	19300	711757.00
2017/04/27	1411	36.86	36.86	36.84	36.86	37400	1378464.00
2017/04/27	1412	36.85	36.86	36.85	36.85	15800	582311.00
2017/04/27	1413	36.86	36.87	36.85	36.87	37100	1367531.00
2017/04/27	1414	36.86	36.87	36.85	36.85	23800	877114.00
2017/04/27	1415	36.85	36.86	36.78	36.79	63300	2330474.00
2017/04/27	1416	36.78	36.82	36.78	36.78	20200	743094.00
2017/04/27	1417	36.78	36.79	36.74	36.74	21500	790270.00
2017/04/27	1418	36.72	36.72	36.63	36.65	41100	1507618.00
2017/04/27	1419	36.63	36.66	36.63	36.64	20100	736477.00
2017/04/27	1420	36.64	36.64	36.61	36.63	27900	1021859.00
2017/04/27	1421	36.62	36.66	36.62	36.66	24700	904817.00
2017/04/27	1422	36.67	36.73	36.66	36.73	38700	1419479.00
2017/04/27	1423	36.70	36.70	36.67	36.67	23800	873017.00
2017/04/27	1424	36.67	36.68	36.65	36.68	36700	1345676.00
2017/04/27	1425	36.68	36.69	36.66	36.67	8900	326463.00
2017/04/27	1426	36.69	36.70	36.66	36.70	26000	953867.00
2017/04/27	1427	36.69	36.70	36.67	36.67	15900	583316.00
2017/04/27	1428	36.66	36.71	36.65	36.70	47200	1731510.00
2017/04/27	1429	36.70	36.74	36.70	36.73	45400	1667197.00
2017/04/27	1430	36.73	36.75	36.73	36.75	34300	1260266.00
2017/04/27	1431	36.75	36.79	36.75	36.79	10800	397133.00
2017/04/27	1432	36.79	36.80	36.75	36.76	26900	989536.00
2017/04/27	1433	36.76	36.78	36.74	36.75	27900	1025488.00
2017/04/27	1434	36.75	36.77	36.75	36.75	11300	415325.00
2017/04/27	1435	36.77	36.77	36.76	36.77	37800	1389763.00
2017/04/27	1436	36.80	36.80	36.77	36.80	116700	4292769.00
2017/04/27	1437	36.80	36.85	36.80	36.85	64300	2367709.00
2017/04/27	1438	36.85	36.85	36.82	36.85	61700	2273419.00
2017/04/27	1439	36.85	36.85	36.82	36.84	73700	2715516.00
2017/04/27	1440	36.84	36.84	36.77	36.80	35100	1291574.00
2017/04/27	1441	36.77	36.79	36.77	36.77	26400	970752.00
2017/04/27	1442	36.77	36.78	36.76	36.76	22000	809028.00
2017/04/27	1443	36.76	36.77	36.73	36.73	24900	915101.00
2017/04/27	1444	36.75	36.76	36.74	36.74	40900	1503080.00
2017/04/27	1445	36.75	36.77	36.71	36.76	69900	2569229.00
2017/04/27	1446	36.74	36.75	36.70	36.70	81400	2988618.00
2017/04/27	1447	36.72	36.75	36.65	36.65	80700	2960584.00
2017/04/27	1448	36.65	36.65	36.61	36.64	38300	1402683.00
2017/04/27	1449	36.64	36.67	36.64	36.67	90000	3299127.00
2017/04/27	1450	36.67	36.68	36.64	36.64	24800	909045.00
2017/04/27	1451	36.64	36.66	36.64	36.65	61400	2250474.00
2017/04/27	1452	36.65	36.65	36.60	36.62	85800	3143382.00
2017/04/27	1453	36.62	36.66	36.62	36.62	101700	3725638.00
2017/04/27	1454	36.64	36.65	36.60	36.65	114700	4201231.00
2017/04/27	1455	36.62	36.64	36.59	36.60	60000	2196611.00
2017/04/27	1456	36.60	36.60	36.55	36.55	59300	2168700.00
2017/04/27	1457	36.55	36.56	36.53	36.53	104000	3801066.00
2017/04/27	1458	36.53	36.53	36.50	36.50	52500	1916325.00
2017/04/27	1459	36.50	36.50	36.50	36.50	0	0.00
2017/04/27	1500	36.52	36.52	36.52	36.52	144200	5266184.00
2017/04/28	0931	36.80	36.85	36.66	36.79	226700	8338693.00
2017/04/28	0932	36.78	36.78	36.61	36.67	95500	3502295.00
2017/04/28	0933	36.70	36.89	36.70	36.88	96800	3560439.00
2017/04/28	0934	36.90	37.11	36.88	37.11	205400	7597467.00
2017/04/28	0935	37.37	37.37	37.18	37.18	260400	9700960.00
2017/04/28	0936	37.20	37.30	37.20	37.28	155200	5782730.00
2017/04/28	0937	37.29	37.49	37.26	37.40	271600	10152853.00
2017/04/28	0938	37.40	37.50	37.38	37.49	339500	12717684.00
2017/04/28	0939	37.48	37.49	37.39	37.39	112400	4209653.00
2017/04/28	0940	37.39	37.40	37.34	37.37	126500	4727249.00
2017/04/28	0941	37.36	37.52	37.36	37.52	284000	10630728.00
2017/04/28	0942	37.53	37.53	37.33	37.33	153800	5755742.00
2017/04/28	0943	37.30	37.30	37.20	37.29	152400	5677643.00
2017/04/28	0944	37.30	37.34	37.23	37.31	90200	3364346.00
2017/04/28	0945	37.30	37.55	37.30	37.55	175900	6583966.00
2017/04/28	0946	37.55	37.88	37.55	37.85	302300	11406487.00
2017/04/28	0947	37.84	37.87	37.76	37.76	298600	11290880.00
2017/04/28	0948	37.77	37.77	37.69	37.70	138100	5210079.00
2017/04/28	0949	37.68	37.75	37.68	37.75	124900	4710093.00
2017/04/28	0950	37.77	37.83	37.77	37.81	90700	3428409.00
2017/04/28	0951	37.85	37.87	37.81	37.81	182900	6921116.00
2017/04/28	0952	37.81	37.93	37.81	37.93	231300	8757377.00
2017/04/28	0953	37.90	37.92	37.90	37.90	127300	4825767.00
2017/04/28	0954	37.90	37.90	37.79	37.79	119100	4507512.00
2017/04/28	0955	37.79	37.81	37.77	37.77	61500	2323998.00
2017/04/28	0956	37.80	37.80	37.71	37.78	109400	4128649.00
2017/04/28	0957	37.72	37.77	37.70	37.73	88400	3335793.00
2017/04/28	0958	37.70	37.71	37.61	37.70	106300	4004936.00
2017/04/28	0959	37.70	37.70	37.58	37.60	91100	3428771.00
2017/04/28	1000	37.60	37.60	37.50	37.60	143700	5396830.00
2017/04/28	1001	37.55	37.69	37.55	37.68	33800	1271506.00
2017/04/28	1002	37.69	37.73	37.64	37.69	77700	2928752.00
