300124 汇川技术 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	23.63	23.63	23.44	23.44	51200	1218550.00
2017/04/27	0932	23.44	23.53	23.44	23.53	28200	670036.00
2017/04/27	0933	23.54	23.54	23.49	23.54	29900	711138.00
2017/04/27	0934	23.53	23.53	23.49	23.49	47700	1134200.00
2017/04/27	0935	23.49	23.49	23.46	23.46	40500	961460.00
2017/04/27	0936	23.47	23.48	23.47	23.48	36500	866601.00
2017/04/27	0937	23.47	23.47	23.41	23.41	122800	2911167.00
2017/04/27	0938	23.43	23.43	23.34	23.34	116100	2746115.00
2017/04/27	0939	23.38	23.51	23.36	23.51	57500	1363040.00
2017/04/27	0940	23.47	23.51	23.44	23.46	48800	1158610.00
2017/04/27	0941	23.46	23.47	23.43	23.43	57900	1372626.00
2017/04/27	0942	23.41	23.43	23.36	23.36	62500	1478680.00
2017/04/27	0943	23.36	23.43	23.36	23.41	60300	1426294.00
2017/04/27	0944	23.41	23.48	23.41	23.46	22600	536091.00
2017/04/27	0945	23.48	23.48	23.44	23.44	38000	901571.00
2017/04/27	0946	23.43	23.44	23.41	23.42	49300	1168188.00
2017/04/27	0947	23.41	23.42	23.39	23.39	36400	861796.00
2017/04/27	0948	23.40	23.40	23.34	23.34	107500	2540313.00
2017/04/27	0949	23.34	23.36	23.24	23.25	106200	2503189.00
2017/04/27	0950	23.26	23.33	23.25	23.27	70900	1670975.00
2017/04/27	0951	23.29	23.29	23.23	23.23	178700	4202153.00
2017/04/27	0952	23.21	23.21	23.09	23.09	263600	6174014.00
2017/04/27	0953	23.09	23.13	23.04	23.04	345200	8052904.00
2017/04/27	0954	23.03	23.10	23.03	23.03	258300	6022929.00
2017/04/27	0955	23.06	23.16	23.00	23.05	152500	3559663.00
2017/04/27	0956	23.04	23.14	23.04	23.13	80900	1892109.00
2017/04/27	0957	23.13	23.13	23.04	23.12	169700	3967639.00
2017/04/27	0958	23.06	23.12	23.06	23.10	34900	815567.00
2017/04/27	0959	23.10	23.10	23.03	23.03	123000	2867295.00
2017/04/27	1000	23.01	23.01	22.85	22.85	197400	4586510.00
2017/04/27	1001	22.85	22.88	22.73	22.82	487000	11215455.00
2017/04/27	1002	22.83	22.91	22.74	22.91	160800	3710987.00
2017/04/27	1003	22.85	22.93	22.85	22.93	57600	1334501.00
2017/04/27	1004	22.91	22.94	22.88	22.91	72400	1678559.00
2017/04/27	1005	22.91	22.93	22.90	22.93	73700	1708686.00
2017/04/27	1006	22.92	22.98	22.92	22.94	61600	1429597.00
2017/04/27	1007	22.94	23.00	22.92	22.98	117500	2728745.00
2017/04/27	1008	22.98	23.04	22.94	23.03	99000	2304219.00
2017/04/27	1009	23.01	23.09	23.01	23.06	106600	2484560.00
2017/04/27	1010	23.03	23.20	23.02	23.18	98600	2302051.00
2017/04/27	1011	23.18	23.18	23.03	23.04	47000	1095653.00
2017/04/27	1012	23.15	23.15	23.04	23.13	10200	238518.00
2017/04/27	1013	23.08	23.13	23.08	23.13	37800	883649.00
2017/04/27	1014	23.15	23.15	23.10	23.12	20000	467718.00
2017/04/27	1015	23.10	23.10	23.05	23.08	32300	753885.00
2017/04/27	1016	23.06	23.11	23.05	23.06	33800	788489.00
2017/04/27	1017	23.06	23.06	23.04	23.04	15000	349701.00
2017/04/27	1018	23.04	23.05	23.03	23.04	28200	657345.00
2017/04/27	1019	23.04	23.06	23.02	23.02	50400	1174554.00
2017/04/27	1020	23.03	23.06	23.03	23.03	13100	305336.00
2017/04/27	1021	23.04	23.04	23.03	23.03	17400	405545.00
