300144 宋城演艺 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	19.80	19.88	19.80	19.84	24200	479570.00
2017/04/27	0932	19.80	19.84	19.79	19.79	12700	251557.00
2017/04/27	0933	19.79	19.83	19.79	19.81	3800	75245.00
2017/04/27	0934	19.83	19.83	19.80	19.83	8100	160535.00
2017/04/27	0935	19.81	19.83	19.81	19.82	7500	148601.00
2017/04/27	0936	19.83	19.83	19.80	19.81	8300	164406.00
2017/04/27	0937	19.81	19.82	19.76	19.76	26000	514705.00
2017/04/27	0938	19.75	19.76	19.70	19.72	30100	593584.00
2017/04/27	0939	19.70	19.70	19.67	19.67	75900	1494634.13
2017/04/27	0940	19.69	19.71	19.67	19.71	47100	927444.00
2017/04/27	0941	19.71	19.77	19.69	19.77	9000	177385.00
2017/04/27	0942	19.71	19.71	19.69	19.69	20200	397851.00
2017/04/27	0943	19.70	19.70	19.68	19.70	37700	742224.00
2017/04/27	0944	19.70	19.70	19.69	19.70	8100	159538.00
2017/04/27	0945	19.69	19.70	19.68	19.69	45300	891913.00
2017/04/27	0946	19.69	19.69	19.68	19.68	14100	277523.00
2017/04/27	0947	19.68	19.69	19.67	19.68	9100	179071.00
2017/04/27	0948	19.68	19.68	19.67	19.67	14200	279372.00
2017/04/27	0949	19.66	19.67	19.64	19.65	14900	292813.00
2017/04/27	0950	19.65	19.66	19.64	19.64	25800	506812.00
2017/04/27	0951	19.65	19.65	19.55	19.56	134000	2626692.00
2017/04/27	0952	19.56	19.60	19.53	19.55	60600	1184588.00
2017/04/27	0953	19.56	19.59	19.55	19.56	19500	381436.00
2017/04/27	0954	19.56	19.59	19.56	19.59	24100	471926.00
2017/04/27	0955	19.59	19.60	19.57	19.60	23900	468059.00
2017/04/27	0956	19.61	19.61	19.58	19.61	15600	305774.00
2017/04/27	0957	19.59	19.59	19.58	19.58	29400	575783.00
2017/04/27	0958	19.57	19.58	19.56	19.57	57300	1121144.00
2017/04/27	0959	19.57	19.57	19.56	19.57	76100	1488578.00
2017/04/27	1000	19.56	19.57	19.54	19.54	70800	1384721.00
2017/04/27	1001	19.55	19.55	19.45	19.50	177100	3458430.00
2017/04/27	1002	19.50	19.50	19.45	19.48	38800	755597.00
2017/04/27	1003	19.47	19.47	19.42	19.45	89200	1735078.00
2017/04/27	1004	19.48	19.48	19.43	19.44	60300	1172865.00
2017/04/27	1005	19.44	19.49	19.43	19.49	25500	495675.00
2017/04/27	1006	19.49	19.50	19.48	19.50	13900	270975.00
2017/04/27	1007	19.50	19.54	19.49	19.54	16900	329794.00
2017/04/27	1008	19.53	19.55	19.53	19.55	9500	185653.00
2017/04/27	1009	19.54	19.55	19.53	19.55	7900	154381.00
2017/04/27	1010	19.55	19.56	19.51	19.56	3500	68346.00
2017/04/27	1011	19.55	19.55	19.50	19.51	3000	58537.00
2017/04/27	1012	19.51	19.55	19.51	19.55	6400	124952.00
2017/04/27	1013	19.51	19.52	19.51	19.52	7600	148280.00
