300159 新研股份 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	14.82	14.82	14.61	14.61	77300	1140447.00
2017/04/27	0932	14.64	14.71	14.64	14.66	5000	73371.00
2017/04/27	0933	14.68	14.72	14.68	14.72	8400	123536.00
2017/04/27	0934	14.72	14.72	14.68	14.68	7300	107518.00
2017/04/27	0935	14.67	14.68	14.67	14.67	8800	129358.00
2017/04/27	0936	14.67	14.70	14.58	14.60	63300	924780.00
2017/04/27	0937	14.59	14.69	14.59	14.62	7300	106885.00
2017/04/27	0938	14.68	14.68	14.63	14.63	6300	92370.00
2017/04/27	0939	14.68	14.68	14.63	14.67	17700	260138.00
2017/04/27	0940	14.67	14.67	14.63	14.67	3800	55818.00
2017/04/27	0941	14.68	14.70	14.67	14.70	23600	346949.00
2017/04/27	0942	14.69	14.77	14.69	14.77	5800	85496.00
2017/04/27	0943	14.77	14.77	14.71	14.77	5700	84066.00
2017/04/27	0944	14.71	14.75	14.71	14.75	5000	73838.00
2017/04/27	0945	14.72	14.72	14.72	14.72	400	5896.00
2017/04/27	0946	14.71	14.71	14.71	14.71	700	10311.00
2017/04/27	0947	14.73	14.75	14.73	14.75	4800	70826.00
2017/04/27	0948	14.73	14.73	14.73	14.73	900	13275.00
2017/04/27	0949	14.75	14.76	14.75	14.75	5200	76812.00
2017/04/27	0950	14.75	14.76	14.73	14.76	14300	211229.00
2017/04/27	0951	14.76	14.77	14.76	14.76	5800	85738.00
2017/04/27	0952	14.76	14.76	14.73	14.75	8400	123956.00
2017/04/27	0953	14.72	14.72	14.71	14.72	9700	142973.00
2017/04/27	0954	14.72	14.75	14.72	14.72	7800	115063.00
2017/04/27	0955	14.72	14.72	14.70	14.72	33200	489092.00
2017/04/27	0956	14.68	14.68	14.68	14.68	14700	216090.00
2017/04/27	0957	14.67	14.68	14.66	14.68	29800	438049.00
2017/04/27	0958	14.68	14.69	14.68	14.68	11700	172020.00
2017/04/27	0959	14.68	14.69	14.67	14.67	15500	227822.00
2017/04/27	1000	14.66	14.66	14.62	14.62	57300	839478.00
2017/04/27	1001	14.62	14.62	14.54	14.55	62600	914104.00
2017/04/27	1002	14.54	14.58	14.54	14.55	30300	441736.00
2017/04/27	1003	14.58	14.62	14.56	14.62	83400	1218172.00
2017/04/27	1004	14.62	14.62	14.56	14.59	15300	223287.00
2017/04/27	1005	14.59	14.59	14.57	14.57	24800	362124.00
2017/04/27	1006	14.57	14.58	14.57	14.58	33000	481779.00
2017/04/27	1007	14.58	14.58	14.56	14.56	19500	284518.00
2017/04/27	1008	14.56	14.59	14.56	14.59	33700	491531.00
2017/04/27	1009	14.57	14.65	14.57	14.65	7800	114010.00
2017/04/27	1010	14.65	14.65	14.60	14.61	3200	46854.00
2017/04/27	1011	14.61	14.61	14.60	14.60	17600	257448.00
2017/04/27	1012	14.59	14.60	14.59	14.60	39700	580413.00
