300296 利亚德 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	19.88	19.88	19.84	19.84	29200	1164314.00
2017/04/27	0932	19.84	19.84	19.79	19.79	10400	413490.00
2017/04/27	0933	19.79	19.84	19.79	19.84	27300	1085411.00
2017/04/27	0934	19.84	19.88	19.82	19.88	12000	477303.00
2017/04/27	0935	20.16	20.16	19.90	20.10	42700	1724891.00
2017/04/27	0936	19.97	20.06	19.97	19.99	16800	673282.00
2017/04/27	0937	19.95	20.01	19.89	19.92	20200	808847.00
2017/04/27	0938	19.94	20.04	19.94	20.04	34600	1390880.00
2017/04/27	0939	19.97	20.04	19.97	20.03	21800	875729.00
2017/04/27	0940	20.04	20.05	20.03	20.04	18600	747710.00
2017/04/27	0941	20.04	20.04	20.03	20.04	4000	160796.00
2017/04/27	0942	20.03	20.03	19.98	19.98	2900	116468.00
2017/04/27	0943	19.98	20.01	19.98	20.01	2100	84203.00
2017/04/27	0944	20.01	20.01	19.99	19.99	2600	104295.00
2017/04/27	0945	19.99	19.99	19.96	19.97	13200	528907.00
2017/04/27	0946	19.97	20.00	19.97	20.00	5500	220409.00
2017/04/27	0947	20.01	20.01	20.00	20.01	22200	891266.00
2017/04/27	0948	20.01	20.01	20.01	20.01	4800	192720.02
2017/04/27	0949	20.01	20.01	20.00	20.00	47500	1906190.00
2017/04/27	0950	20.00	20.00	20.00	20.00	25800	1035354.00
2017/04/27	0951	20.00	20.04	20.00	20.04	21000	844080.00
2017/04/27	0952	20.04	20.07	20.04	20.06	20300	816733.00
2017/04/27	0953	20.06	20.07	20.04	20.04	45100	1814824.13
2017/04/27	0954	20.09	20.10	20.09	20.10	25900	1043848.00
2017/04/27	0955	20.10	20.10	20.09	20.09	45100	1817820.00
2017/04/27	0956	20.08	20.08	20.05	20.05	6800	273814.00
2017/04/27	0957	20.05	20.09	20.05	20.09	14900	600248.00
2017/04/27	0958	20.09	20.10	20.09	20.09	15000	604580.00
2017/04/27	0959	20.09	20.09	20.06	20.06	37600	1514551.00
2017/04/27	1000	20.06	20.08	20.06	20.08	40900	1647553.00
2017/04/27	1001	20.05	20.05	20.04	20.04	14600	587051.00
2017/04/27	1002	20.00	20.00	19.97	19.97	32100	1286737.00
2017/04/27	1003	20.00	20.04	19.97	19.97	33000	1324142.00
2017/04/27	1004	19.97	20.03	19.94	19.95	13800	552985.00
2017/04/27	1005	20.02	20.02	19.96	19.98	10700	428797.00
2017/04/27	1006	20.01	20.07	20.01	20.07	39100	1573642.00
2017/04/27	1007	20.06	20.07	20.06	20.06	14100	567526.00
2017/04/27	1008	20.01	20.03	20.01	20.03	1400	56262.00
2017/04/27	1009	20.01	20.03	19.98	20.03	700	28094.00
2017/04/27	1010	20.03	20.04	19.99	20.04	21800	876213.00
2017/04/27	1011	20.04	20.04	20.03	20.04	3700	148734.00
2017/04/27	1012	20.04	20.07	20.04	20.07	14200	571642.00
2017/04/27	1013	20.06	20.09	20.04	20.04	33200	1337809.00
2017/04/27	1014	20.08	20.08	20.08	20.08	3800	153082.00
2017/04/27	1015	20.08	20.08	20.07	20.07	1500	60431.00
2017/04/27	1016	20.08	20.08	20.04	20.04	1100	44253.00
2017/04/27	1017	20.04	20.08	20.03	20.04	15000	603795.00
2017/04/27	1018	20.03	20.03	19.98	19.98	21200	851742.00
2017/04/27	1019	19.98	19.98	19.98	19.98	1700	68147.01
2017/04/27	1020	19.98	20.05	19.98	20.05	31200	1254904.00
2017/04/27	1021	20.06	20.06	20.05	20.05	17900	720317.00
2017/04/27	1022	20.06	20.06	19.99	20.05	7100	285538.00
2017/04/27	1023	20.05	20.05	20.00	20.00	3000	120657.00
2017/04/27	1024	20.05	20.05	20.05	20.05	200	8046.00
2017/04/27	1025	20.05	20.05	20.00	20.00	6400	256790.00
2017/04/27	1026	20.00	20.05	20.00	20.00	2800	112347.00
2017/04/27	1027	20.05	20.05	20.00	20.00	13500	543025.00
2017/04/27	1028	20.00	20.06	20.00	20.01	25500	1026076.00
2017/04/27	1029	20.06	20.06	20.06	20.06	400	16100.00
2017/04/27	1030	20.06	20.06	20.02	20.02	3300	132695.00
2017/04/27	1031	20.02	20.07	20.02	20.06	12300	494999.00
2017/04/27	1032	20.02	20.06	20.01	20.06	30700	1233680.00
2017/04/27	1033	20.02	20.04	20.02	20.02	13600	546589.00
2017/04/27	1034	20.02	20.06	20.00	20.02	46500	1867688.00
2017/04/27	1035	20.04	20.05	20.01	20.04	22000	884125.00
2017/04/27	1036	20.05	20.05	20.05	20.05	11400	458536.00
2017/04/27	1037	20.05	20.05	20.05	20.05	5200	209179.00
2017/04/27	1038	20.06	20.07	20.00	20.05	34300	1380440.00
2017/04/27	1039	20.04	20.04	20.01	20.04	5800	233123.00
2017/04/27	1040	20.04	20.07	20.04	20.07	38300	1541248.00
2017/04/27	1041	20.07	20.16	20.07	20.16	99500	4017941.00
2017/04/27	1042	20.16	20.16	20.14	20.14	17100	691560.00
2017/04/27	1043	20.13	20.14	20.12	20.12	8600	347349.00
2017/04/27	1044	20.13	20.14	20.13	20.14	29000	1171321.00
2017/04/27	1045	20.13	20.14	20.12	20.12	22000	888577.00
2017/04/27	1046	20.13	20.19	20.09	20.18	104000	4210272.00
2017/04/27	1047	20.24	20.34	20.20	20.31	96800	3933937.75
2017/04/27	1048	20.32	20.32	20.15	20.28	24100	981218.00
2017/04/27	1049	20.27	20.27	20.21	20.25	5100	207259.00
2017/04/27	1050	20.25	20.27	20.25	20.26	9800	398356.00
2017/04/27	1051	20.27	20.28	20.24	20.25	12900	524588.00
2017/04/27	1052	20.24	20.26	20.20	20.20	32300	1312257.00
2017/04/27	1053	20.23	20.23	20.20	20.21	9500	385156.00
2017/04/27	1054	20.21	20.21	20.19	20.19	45100	1827742.00
2017/04/27	1055	20.18	20.18	20.17	20.17	4700	190252.00
2017/04/27	1056	20.19	20.19	20.16	20.16	19900	805544.00
2017/04/27	1057	20.16	20.19	20.16	20.19	13000	525846.00
2017/04/27	1058	20.17	20.19	20.15	20.15	15400	622772.00
2017/04/27	1059	20.18	20.18	20.14	20.15	10600	428459.03
2017/04/27	1100	20.15	20.18	20.15	20.18	8200	331732.00
2017/04/27	1101	20.18	20.19	20.17	20.19	29100	1178307.00
2017/04/27	1102	20.19	20.24	20.19	20.24	18700	758060.00
2017/04/27	1103	20.24	20.26	20.24	20.26	3200	130052.00
2017/04/27	1104	20.27	20.29	20.24	20.27	29900	1214791.00
2017/04/27	1105	20.27	20.29	20.27	20.27	14400	585954.00
2017/04/27	1106	20.28	20.28	20.27	20.27	13800	561254.00
2017/04/27	1107	20.26	20.26	20.17	20.23	25400	1031022.00
2017/04/27	1108	20.21	20.23	20.21	20.23	1900	77060.00
2017/04/27	1109	20.17	20.23	20.17	20.21	6100	247132.00
2017/04/27	1110	20.23	20.23	20.23	20.23	600	24348.00
2017/04/27	1111	20.19	20.19	20.18	20.18	11300	457642.00
2017/04/27	1112	20.18	20.19	20.18	20.19	3400	137676.00
2017/04/27	1113	20.22	20.22	20.22	20.22	100	4057.00
2017/04/27	1114	20.23	20.23	20.19	20.19	3300	133703.00
2017/04/27	1115	20.19	20.22	20.19	20.22	2900	117551.00
2017/04/27	1116	20.22	20.22	20.19	20.19	2700	109473.00
2017/04/27	1117	20.22	20.23	20.21	20.23	23400	949323.00
2017/04/27	1118	20.22	20.23	20.15	20.15	17200	696377.00
2017/04/27	1119	20.15	20.15	20.12	20.15	3600	145430.00
2017/04/27	1120	20.15	20.15	20.13	20.15	11300	456835.00
2017/04/27	1121	20.16	20.16	20.14	20.14	12700	513275.00
2017/04/27	1122	20.16	20.16	20.12	20.14	36100	1457753.00
2017/04/27	1123	20.14	20.14	20.10	20.10	9500	383407.00
2017/04/27	1124	20.10	20.14	20.10	20.14	10600	427823.00
2017/04/27	1125	20.14	20.16	20.14	20.14	10500	424474.00
2017/04/27	1126	20.14	20.16	20.14	20.16	6700	270825.03
2017/04/27	1127	20.16	20.19	20.16	20.19	5300	214521.00
2017/04/27	1128	20.19	20.22	20.19	20.19	6700	271380.00
2017/04/27	1129	20.22	20.22	20.16	20.19	26400	1068827.00
2017/04/27	1300	20.16	20.19	20.13	20.14	20200	817204.00
2017/04/27	1301	20.14	20.14	20.14	20.14	0	0.00
2017/04/27	1302	20.13	20.14	20.13	20.14	14900	601955.00
2017/04/27	1303	20.16	20.16	20.13	20.13	8400	339366.00
2017/04/27	1304	20.13	20.14	20.13	20.14	6400	258529.00
2017/04/27	1305	20.14	20.14	20.09	20.09	31600	1274916.00
2017/04/27	1306	20.09	20.11	20.09	20.09	2900	116927.00
2017/04/27	1307	20.11	20.12	20.09	20.11	21900	883601.00
2017/04/27	1308	20.13	20.14	20.13	20.14	900	36348.00
2017/04/27	1309	20.14	20.14	20.13	20.13	4000	161548.00
2017/04/27	1310	20.13	20.13	20.13	20.13	2600	104988.00
2017/04/27	1311	20.13	20.13	20.11	20.11	7000	282574.00
2017/04/27	1312	20.09	20.09	20.05	20.05	82400	3317442.00
2017/04/27	1313	20.08	20.08	20.07	20.07	31400	1265097.00
2017/04/27	1314	20.07	20.07	20.05	20.05	4500	181073.00
2017/04/27	1315	20.05	20.05	20.05	20.05	16500	663711.00
2017/04/27	1316	20.05	20.05	20.04	20.05	4000	160890.00
2017/04/27	1317	20.07	20.08	20.06	20.08	8000	322095.00
2017/04/27	1318	20.05	20.08	20.05	20.08	21000	845003.00
2017/04/27	1319	20.09	20.09	20.08	20.09	20600	830110.00
2017/04/27	1320	20.09	20.09	20.06	20.09	18600	749554.00
2017/04/27	1321	20.09	20.13	20.09	20.11	10400	419727.00
2017/04/27	1322	20.09	20.12	20.07	20.11	12600	508582.00
2017/04/27	1323	20.11	20.13	20.10	20.11	13400	540973.00
2017/04/27	1324	20.10	20.13	20.10	20.11	3900	157325.00
2017/04/27	1325	20.11	20.11	20.07	20.11	15100	609128.00
2017/04/27	1326	20.07	20.11	20.07	20.11	2100	84602.00
2017/04/27	1327	20.11	20.11	20.11	20.11	2200	88756.00
2017/04/27	1328	20.11	20.13	20.11	20.11	9900	399652.00
2017/04/27	1329	20.13	20.13	20.11	20.13	5900	238235.00
2017/04/27	1330	20.13	20.13	20.13	20.13	4400	177704.00
2017/04/27	1331	20.13	20.14	20.12	20.12	9200	371571.00
2017/04/27	1332	20.12	20.12	20.09	20.12	13700	552823.00
