300315 掌趣科技 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/03	0931	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0932	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0933	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0934	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0935	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0936	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0937	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0938	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0939	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0940	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0941	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0942	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0943	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0944	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0945	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0946	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0947	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0948	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0949	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0950	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0951	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0952	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0953	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0954	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0955	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0956	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0957	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0958	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	0959	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1000	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1001	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1002	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1003	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1004	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1005	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1006	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1007	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1008	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1009	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1010	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1011	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1012	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1013	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1014	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1015	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1016	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1017	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1018	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1019	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1020	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1021	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1022	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1023	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1024	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1025	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1026	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1027	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1028	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1029	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1030	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1031	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1032	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1033	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1034	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1035	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1036	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1037	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1038	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1039	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1040	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1041	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1042	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1043	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1044	8.82	8.82	8.82	8.82	0	0.00
2017/05/03	1045	8.82	8.82	8.82	8.82	0	0.00
