300586 美联新材 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/27	0931	32.80	32.89	32.75	32.89	9000	297029.00
2017/04/27	0932	32.88	32.88	32.80	32.80	1000	33013.00
2017/04/27	0933	32.80	33.00	32.80	32.81	17100	567547.00
2017/04/27	0934	32.98	32.98	32.82	32.97	2000	66194.00
2017/04/27	0935	32.97	32.97	32.87	32.97	6100	202326.98
2017/04/27	0936	32.96	32.98	32.87	32.87	4800	159161.00
2017/04/27	0937	32.93	32.93	32.65	32.65	15500	510610.00
2017/04/27	0938	32.65	32.65	32.61	32.63	8400	275698.00
2017/04/27	0939	32.63	32.65	32.62	32.62	10900	357973.00
2017/04/27	0940	32.65	32.65	32.62	32.62	800	26259.00
2017/04/27	0941	32.75	32.75	32.63	32.65	6100	200523.00
2017/04/27	0942	32.69	32.70	32.64	32.70	3400	111722.00
2017/04/27	0943	32.65	32.70	32.65	32.66	7900	259648.00
2017/04/27	0944	32.67	32.67	32.64	32.67	9600	315424.00
2017/04/27	0945	32.68	32.76	32.68	32.71	3700	121828.00
2017/04/27	0946	32.68	32.68	32.60	32.62	11200	367525.00
2017/04/27	0947	32.62	32.68	32.61	32.61	13000	426581.00
2017/04/27	0948	32.62	32.65	32.61	32.61	5400	177236.00
2017/04/27	0949	32.61	32.70	32.61	32.70	7100	233140.00
2017/04/27	0950	32.70	32.70	32.70	32.70	0	0.00
2017/04/27	0951	32.60	32.70	32.59	32.60	28500	934712.00
2017/04/27	0952	32.60	32.60	32.52	32.52	10700	350460.00
2017/04/27	0953	32.52	32.52	32.40	32.40	15800	516237.00
2017/04/27	0954	32.40	32.50	32.40	32.50	9500	310213.00
2017/04/27	0955	32.60	32.60	32.50	32.50	3100	101555.00
2017/04/27	0956	32.60	32.60	32.42	32.46	18700	610024.00
2017/04/27	0957	32.50	32.60	32.50	32.60	4900	160460.00
2017/04/27	0958	32.58	32.62	32.48	32.48	17900	585528.00
2017/04/27	0959	32.48	32.53	32.43	32.43	13300	434261.00
2017/04/27	1000	32.41	32.41	32.00	32.00	31700	1026429.00
2017/04/27	1001	32.11	32.25	32.11	32.21	2100	67927.00
2017/04/27	1002	32.21	32.25	32.20	32.20	9100	294983.00
2017/04/27	1003	32.20	32.30	32.20	32.30	21500	697839.00
2017/04/27	1004	32.47	32.48	32.35	32.47	14900	486584.00
2017/04/27	1005	32.47	32.47	32.30	32.30	7500	245007.98
2017/04/27	1006	32.31	32.39	32.31	32.31	500	16271.00
2017/04/27	1007	32.25	32.39	32.24	32.24	11300	366899.00
2017/04/27	1008	32.39	32.39	32.37	32.39	4900	159683.00
2017/04/27	1009	32.39	32.39	32.37	32.39	1900	61913.00
2017/04/27	1010	32.33	32.39	32.33	32.39	5500	179179.00
2017/04/27	1011	32.39	32.40	32.31	32.40	700	22774.00
2017/04/27	1012	32.40	32.40	32.40	32.40	1200	39120.00
2017/04/27	1013	32.42	32.42	32.40	32.40	1500	48918.00
2017/04/27	1014	32.40	32.40	32.37	32.37	2000	65159.00
2017/04/27	1015	32.36	32.36	32.32	32.32	1800	58588.00
2017/04/27	1016	32.35	32.37	32.35	32.37	6200	201816.00
2017/04/27	1017	32.41	32.46	32.41	32.46	1200	39179.00
2017/04/27	1018	32.46	32.46	32.37	32.37	2800	91232.00
2017/04/27	1019	32.37	32.38	32.37	32.38	1700	55371.00
2017/04/27	1020	32.38	32.38	32.37	32.37	9200	299649.00
2017/04/27	1021	32.37	32.37	32.33	32.37	8000	260435.00
2017/04/27	1022	32.37	32.40	32.37	32.40	3100	100985.00
2017/04/27	1023	32.40	32.40	32.33	32.34	13200	429450.00
2017/04/27	1024	32.40	32.41	32.40	32.41	4000	130409.99
2017/04/27	1025	32.40	32.40	32.40	32.40	9200	299919.97
2017/04/27	1026	32.40	32.41	32.40	32.41	1700	55429.00
2017/04/27	1027	32.41	32.41	32.40	32.40	5200	169552.00
2017/04/27	1028	32.40	32.40	32.38	32.39	2900	94494.00
2017/04/27	1029	32.39	32.40	32.36	32.36	11700	381389.00
2017/04/27	1030	32.36	32.36	32.35	32.35	2000	65116.00
2017/04/27	1031	32.35	32.36	32.31	32.31	8100	263443.00
2017/04/27	1032	32.31	32.31	32.18	32.18	13600	441027.00
2017/04/27	1033	32.18	32.18	32.05	32.10	25300	817591.00
2017/04/27	1034	32.08	32.08	32.02	32.08	12000	386862.00
2017/04/27	1035	32.08	32.10	32.05	32.10	6900	222809.00
2017/04/27	1036	32.11	32.20	32.11	32.20	10200	330060.03
2017/04/27	1037	32.21	32.22	32.21	32.22	2100	68076.99
2017/04/27	1038	32.22	32.29	32.21	32.21	2600	84395.00
2017/04/27	1039	32.29	32.30	32.20	32.21	8600	278906.00
2017/04/27	1040	32.30	32.36	32.30	32.36	5200	169177.00
2017/04/27	1041	32.36	32.36	32.36	32.36	900	29304.00
2017/04/27	1042	32.36	32.38	32.30	32.38	3200	104092.00
2017/04/27	1043	32.38	32.40	32.38	32.40	600	19558.00
2017/04/27	1044	32.41	32.41	32.40	32.40	2500	81503.00
2017/04/27	1045	32.33	32.33	32.33	32.33	900	29277.00
2017/04/27	1046	32.45	32.48	32.45	32.48	2900	94766.00
2017/04/27	1047	32.48	32.50	32.45	32.45	7300	238607.98
2017/04/27	1048	32.45	32.45	32.45	32.45	2100	68565.01
2017/04/27	1049	32.42	32.42	32.42	32.42	1000	32620.00
2017/04/27	1050	32.42	32.42	32.42	32.42	0	0.00
2017/04/27	1051	32.43	32.44	32.43	32.44	1000	32631.00
2017/04/27	1052	32.44	32.44	32.40	32.43	3900	127211.00
2017/04/27	1053	32.37	32.41	32.37	32.41	2100	68445.00
2017/04/27	1054	32.42	32.43	32.39	32.40	12500	407536.00
2017/04/27	1055	32.38	32.38	32.38	32.38	900	29322.00
2017/04/27	1056	32.40	32.49	32.40	32.49	1900	62030.00
2017/04/27	1057	32.51	32.60	32.49	32.60	17000	556237.00
2017/04/27	1058	32.61	32.65	32.60	32.65	8700	285405.00
2017/04/27	1059	32.65	32.65	32.60	32.60	2200	72254.00
2017/04/27	1100	32.51	32.60	32.50	32.60	3600	117850.00
2017/04/27	1101	32.66	32.67	32.66	32.67	3200	105157.00
2017/04/27	1102	32.66	32.70	32.66	32.70	6100	200524.00
2017/04/27	1103	32.76	32.76	32.70	32.75	6600	217396.00
2017/04/27	1104	32.76	32.77	32.74	32.74	7900	260381.00
2017/04/27	1105	32.74	32.78	32.74	32.78	7000	230794.00
2017/04/27	1106	32.78	32.80	32.78	32.80	7900	260646.00
2017/04/27	1107	32.80	32.88	32.80	32.88	5400	178544.00
2017/04/27	1108	32.85	32.88	32.81	32.81	10600	350492.00
2017/04/27	1109	32.86	32.89	32.86	32.89	3600	119037.00
2017/04/27	1110	32.88	32.90	32.87	32.87	4000	132339.00
2017/04/27	1111	32.87	32.87	32.86	32.86	5000	165317.00
2017/04/27	1112	32.84	32.84	32.81	32.84	2900	95810.00
2017/04/27	1113	32.87	32.87	32.87	32.87	300	9921.00
2017/04/27	1114	32.90	33.00	32.90	33.00	9100	301866.00
2017/04/27	1115	32.98	33.18	32.98	33.02	25800	858274.00
2017/04/27	1116	33.19	33.19	33.10	33.10	2700	89973.00
2017/04/27	1117	33.10	33.13	33.10	33.10	12900	429735.00
2017/04/27	1118	33.14	33.14	33.12	33.13	9100	303283.00
2017/04/27	1119	33.12	33.12	33.08	33.08	6500	216488.00
2017/04/27	1120	33.02	33.08	33.00	33.08	4300	143002.00
2017/04/27	1121	33.08	33.08	33.08	33.08	3900	129792.00
2017/04/27	1122	33.00	33.00	33.00	33.00	1600	53120.00
2017/04/27	1123	33.02	33.10	33.00	33.10	12800	426062.00
2017/04/27	1124	32.92	32.92	32.92	32.92	100	3312.00
2017/04/27	1125	33.07	33.07	33.07	33.07	600	19962.00
2017/04/27	1126	33.07	33.07	32.97	32.98	5800	192581.00
2017/04/27	1127	32.98	33.07	32.98	33.07	2100	69723.00
2017/04/27	1128	33.12	33.12	32.98	33.07	9700	322665.00
2017/04/27	1129	33.07	33.13	33.07	33.13	6500	216592.00
2017/04/27	1300	33.15	33.28	33.15	33.25	25900	865544.00
2017/04/27	1301	33.25	33.25	33.25	33.25	0	0.00
2017/04/27	1302	33.28	33.30	33.25	33.30	6000	200902.00
2017/04/27	1303	33.28	33.29	33.25	33.28	4000	133899.00
2017/04/27	1304	33.28	33.29	33.26	33.29	14900	498883.00
2017/04/27	1305	33.26	33.26	33.25	33.25	5900	197398.00
