399006 创业板指 1分钟线 前复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/26	0931	1872.14	1875.55	1872.14	1874.91	89816	0.00
2017/01/26	0932	1874.62	1874.63	1873.54	1874.16	35716	0.00
2017/01/26	0933	1874.19	1874.62	1873.04	1874.06	35161	0.00
2017/01/26	0934	1873.92	1874.28	1873.48	1874.27	34153	0.00
2017/01/26	0935	1874.21	1875.54	1874.00	1875.10	34138	0.00
2017/01/26	0936	1875.39	1876.18	1874.93	1876.18	34057	0.00
2017/01/26	0937	1876.17	1877.05	1876.04	1877.05	43220	0.00
2017/01/26	0938	1877.07	1877.51	1876.60	1877.51	34311	0.00
2017/01/26	0939	1877.49	1877.79	1876.61	1876.97	30600	0.00
2017/01/26	0940	1877.16	1877.26	1876.74	1877.22	28944	0.00
2017/01/26	0941	1877.25	1877.50	1876.69	1877.17	30347	0.00
2017/01/26	0942	1877.29	1877.88	1877.20	1877.66	29603	0.00
2017/01/26	0943	1877.62	1877.90	1877.20	1877.90	29219	0.00
2017/01/26	0944	1878.19	1878.19	1877.38	1877.94	29596	0.00
2017/01/26	0945	1878.23	1878.61	1878.01	1878.59	30027	0.00
2017/01/26	0946	1878.58	1879.31	1878.58	1878.97	27989	0.00
2017/01/26	0947	1879.04	1879.47	1878.93	1879.19	27354	0.00
2017/01/26	0948	1879.23	1879.63	1878.97	1879.63	31097	0.00
2017/01/26	0949	1879.63	1879.83	1878.87	1879.46	30383	0.00
2017/01/26	0950	1879.34	1879.65	1878.90	1879.11	26130	0.00
2017/01/26	0951	1879.30	1879.62	1878.70	1879.62	26470	0.00
2017/01/26	0952	1879.70	1881.18	1879.39	1880.80	31514	0.00
2017/01/26	0953	1880.80	1882.15	1880.75	1881.66	30503	0.00
2017/01/26	0954	1881.72	1882.62	1881.33	1882.33	31197	0.00
2017/01/26	0955	1882.41	1882.86	1882.25	1882.77	28272	0.00
2017/01/26	0956	1882.87	1883.23	1882.61	1882.98	26274	0.00
2017/01/26	0957	1882.86	1883.12	1882.38	1882.82	26322	0.00
2017/01/26	0958	1882.70	1883.63	1882.63	1883.63	26996	0.00
2017/01/26	0959	1883.56	1883.56	1882.83	1882.83	24145	0.00
2017/01/26	1000	1883.00	1883.27	1882.39	1882.54	27628	0.00
2017/01/26	1001	1882.34	1882.90	1882.34	1882.55	28888	0.00
2017/01/26	1002	1882.48	1882.69	1882.28	1882.41	22123	0.00
2017/01/26	1003	1882.54	1883.07	1882.35	1882.57	22168	0.00
2017/01/26	1004	1882.48	1882.72	1882.39	1882.48	21285	0.00
2017/01/26	1005	1882.60	1883.48	1882.60	1883.39	22541	0.00
